season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2018-19,7827866,1,43,Manchester_City,Away,6019,17476,Vincent Kompany,vincent-kompany,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2018-19,7827866,1,43,Manchester_City,Away,13249,33148,Claudio Bravo,claudio-bravo,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2018-19,7827866,1,43,Manchester_City,Away,13630,27789,Fernandinho,fernandinho,M,False,,,2.0,17.0,27.0,44.0,2.0,,9.0,,,,,,,2.0,5.0,2.0,,,1.0,,,,,,1.0,90.0,,,,,,,11.0,,6.6,,,,,1.0,1.0,,,4.0,,22.0,30.0,52.0,0,,60.0,,1.0,1.0,
2018-19,7827866,1,43,Manchester_City,Away,17094,37572,Sergio Agüero,sergio-aguero,F,False,,,1.0,15.0,3.0,18.0,1.0,,2.0,,1.0,1.0,,,,,2.0,3.0,,,,,,,,1.0,2.0,79.0,1.0,,,,,,9.0,,6.8,,,1.0,,,1.0,,,1.0,1.0,19.0,3.0,22.0,3,1.0,35.0,4.0,2.0,,1.0
2018-19,7827866,1,43,Manchester_City,Away,44614,58621,Kyle Walker,kyle-walker,D,False,,,2.0,15.0,44.0,59.0,1.0,3.0,4.0,,,,,,,1.0,4.0,5.0,,,1.0,,,,,4.0,,90.0,,,,,,,12.0,,7.2,,,,,1.0,3.0,1.0,,3.0,,21.0,45.0,65.0,0,,86.0,,,2.0,
2018-19,7827866,1,43,Manchester_City,Away,45853,59859,İlkay Gündoğan,ilkay-gundogan,M,False,,,,21.0,21.0,42.0,1.0,1.0,6.0,,,1.0,,,,3.0,4.0,3.0,,,,,,,,2.0,,90.0,,,,,,,15.0,,6.6,,,1.0,,,,2.0,,2.0,,28.0,24.0,50.0,2,,67.0,1.0,2.0,,
2018-19,7827866,1,43,Manchester_City,Away,70996,61366,Kevin De Bruyne,kevin-de-bruyne,M,True,,,2.0,11.0,13.0,24.0,,,2.0,,,,,,,,2.0,2.0,,,2.0,,,,,,1.0,30.0,1.0,,,,,,3.0,,6.9,,,,,,1.0,1.0,,2.0,,14.0,13.0,26.0,1,,30.0,,1.0,1.0,
2018-19,7827866,1,43,Manchester_City,Away,74915,57410,Nicolás Otamendi,nicolas-otamendi,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2018-19,7827866,1,43,Manchester_City,Away,138534,103955,Raheem Sterling,raheem-sterling,F,False,,,,20.0,4.0,24.0,2.0,,2.0,,,1.0,,,,5.0,12.0,4.0,,,3.0,,1.0,,,1.0,1.0,87.0,2.0,,,,,,15.0,,6.8,,,,,,5.0,,,,,25.0,5.0,30.0,3,,50.0,1.0,1.0,3.0,
2018-19,7827866,1,43,Manchester_City,Away,139225,102826,Benjamin Mendy,benjamin-mendy,D,False,,,3.0,30.0,13.0,43.0,3.0,,6.0,,,1.0,1.0,,,2.0,6.0,2.0,,,,2.0,,,,1.0,2.0,90.0,1.0,2.0,,,,,23.0,,7.9,,,,,1.0,,4.0,,7.0,,43.0,17.0,56.0,2,2.0,84.0,1.0,,,2.0
