season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2021-22,9576188,1,43,Manchester_City,Away,13630,27789,Fernandinho,fernandinho,M,False,,,,30.0,20.0,50.0,2.0,6.0,11.0,,1.0,,6.0,,,2.0,11.0,11.0,,,1.0,,,,,,,2.0,,90.0,,,,,,,17.0,,6.5,,,3.0,,,1.0,,3.0,,41.0,24.0,64.0,3,5.0,76.0,,,,4.0
2021-22,9576188,1,43,Manchester_City,Away,44614,58621,Kyle Walker,kyle-walker,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576188,1,43,Manchester_City,Away,45853,59859,İlkay Gündoğan,ilkay-gundogan,M,False,,,,31.0,5.0,36.0,1.0,,4.0,,,2.0,,1.0,,2.0,5.0,5.0,,,1.0,,,,,,,1.0,,90.0,,1.0,,,,,16.0,,7.3,,,,1.0,4.0,4.0,,,,41.0,6.0,43.0,2,2.0,63.0,2.0,,3.0,
2021-22,9576188,1,43,Manchester_City,Away,70996,61366,Kevin De Bruyne,kevin-de-bruyne,M,True,,,2.0,8.0,,8.0,1.0,,3.0,,,,,,,1.0,3.0,3.0,,,,,,,,,,1.0,,11.0,1.0,,,,,,9.0,,7.0,,,,,3.0,3.0,,3.0,,12.0,3.0,12.0,1,1.0,22.0,,,2.0,
2021-22,9576188,1,43,Manchester_City,Away,138534,103955,Raheem Sterling,raheem-sterling,F,False,,,,21.0,4.0,25.0,1.0,,1.0,,,,,,,2.0,8.0,5.0,,,1.0,,,,,,,,,70.0,1.0,,,,,,13.0,,6.5,,,,,6.0,1.0,,,,26.0,5.0,30.0,1,,47.0,1.0,3.0,2.0,
2021-22,9576188,1,43,Manchester_City,Away,138892,121145,João Cancelo,joao-cancelo,D,False,1.0,,2.0,40.0,18.0,57.0,1.0,3.0,2.0,1.0,,,,,,,1.0,8.0,,,,,,,,,1.0,3.0,,90.0,,,,,,,13.0,,7.8,,,3.0,3.0,3.0,3.0,,2.0,,49.0,19.0,65.0,3,1.0,89.0,1.0,1.0,3.0,1.0
2021-22,9576188,1,43,Manchester_City,Away,139225,102826,Benjamin Mendy,benjamin-mendy,D,False,1.0,,1.0,37.0,35.0,71.0,3.0,,5.0,1.0,,,4.0,,,,10.0,4.0,,,2.0,,,,,,,2.0,,79.0,,,,,,,16.0,,6.5,,,,,3.0,9.0,,3.0,,50.0,36.0,77.0,0,2.0,103.0,1.0,,2.0,2.0
2021-22,9576188,1,43,Manchester_City,Away,149663,126184,Nathan Aké,nathan-ake,D,False,,,,17.0,38.0,55.0,,5.0,4.0,,,,,,,,1.0,6.0,,,1.0,,,,,,,,,90.0,,2.0,,,,,11.0,,7.1,,,1.0,3.0,,,,1.0,,22.0,43.0,65.0,1,1.0,73.0,1.0,,,1.0
2021-22,9576188,1,43,Manchester_City,Away,149734,146941,Aymeric Laporte,aymeric-laporte,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576188,1,43,Manchester_City,Away,152077,97299,John Stones,john-stones,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
