season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2020-21,9258869,1,43,Manchester_City,Home,13630,27789,Fernandinho,fernandinho,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,9258869,1,43,Manchester_City,Home,44614,58621,Kyle Walker,kyle-walker,D,False,,,1.0,6.0,10.0,16.0,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,28.0,,,,,,,,,4.0,,6.6,,,,,,,,2.0,,7.0,12.0,19.0,0,,22.0,,,,
2020-21,9258869,1,43,Manchester_City,Home,45853,59859,İlkay Gündoğan,ilkay-gundogan,M,False,,,4.0,39.0,20.0,59.0,,,5.0,,1.0,2.0,1.0,1.0,4.0,2.0,,,1.0,,1.0,,,,2.0,,90.0,2.0,,,,,,,,8.0,,7.4,,,2.0,,2.0,1.0,,5.0,,43.0,20.0,62.0,6,1.0,78.0,2.0,,1.0,1.0
2020-21,9258869,1,43,Manchester_City,Home,70996,61366,Kevin De Bruyne,kevin-de-bruyne,M,False,1.0,,2.0,27.0,7.0,33.0,1.0,1.0,3.0,,,2.0,1.0,,3.0,2.0,,,1.0,,,,,,3.0,,59.0,1.0,,,,,,,,13.0,,7.0,,,,,,7.0,,4.0,,36.0,10.0,39.0,3,,51.0,,1.0,,
2020-21,9258869,1,43,Manchester_City,Home,138534,103955,Raheem Sterling,raheem-sterling,F,False,,,1.0,19.0,2.0,21.0,,,2.0,,,1.0,,2.0,7.0,2.0,,,2.0,,,,,,2.0,,72.0,,,,,,,,,11.0,,6.6,,,1.0,,4.0,1.0,,1.0,,23.0,2.0,24.0,2,1.0,41.0,1.0,,1.0,1.0
2020-21,9258869,1,43,Manchester_City,Home,138892,121145,João Cancelo,joao-cancelo,D,False,,,3.0,40.0,34.0,74.0,,2.0,6.0,,,,5.0,,6.0,6.0,,,1.0,,,,1.0,2.0,2.0,,90.0,1.0,,,,,,,,20.0,,7.5,,,2.0,1.0,3.0,6.0,,4.0,,56.0,36.0,86.0,3,1.0,108.0,1.0,,3.0,1.0
2020-21,9258869,1,43,Manchester_City,Home,139225,102826,Benjamin Mendy,benjamin-mendy,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,9258869,1,43,Manchester_City,Home,152077,97299,John Stones,john-stones,D,False,,,2.0,21.0,41.0,62.0,5.0,1.0,4.0,,1.0,1.0,,,6.0,3.0,,,1.0,,,,,,,,90.0,,1.0,,,,,,,6.0,,6.9,,,,1.0,,1.0,,4.0,,24.0,44.0,67.0,1,1.0,75.0,,1.0,,1.0
2020-21,9258869,1,43,Manchester_City,Home,158213,103025,Riyad Mahrez,riyad-mahrez,M,True,2.0,,,6.0,1.0,5.0,,,,,,,,,,,,,,,,,,,1.0,,18.0,,,,,,,,,2.0,,6.7,,,,,,2.0,,,,8.0,1.0,7.0,0,,9.0,,,,
2020-21,9258869,1,43,Manchester_City,Home,254491,121160,Ederson,ederson,G,False,,2.0,2.0,1.0,16.0,17.0,,,4.0,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,3.0,,7.7,,4.0,,1.0,,,2.0,5.0,,4.0,16.0,20.0,0,,28.0,,,,
