season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballCarriesCount,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,metersCoveredHighSpeedRunningKm,metersCoveredJoggingKm,metersCoveredRunningKm,metersCoveredSprintingKm,metersCoveredWalkingKm,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,progressiveBallCarriesCount,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalBallCarriesDistance,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalProgression,totalProgressiveBallCarriesDistance,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2025-26,14025050,1,43,Manchester_City,Away,45853,59859,İlkay Gündoğan,ilkay-gundogan,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025050,1,43,Manchester_City,Away,125274,88248,Stefan Ortega,stefan-ortega,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025050,1,43,Manchester_City,Away,149663,126184,Nathan Aké,nathan-ake,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025050,1,43,Manchester_City,Away,152077,97299,John Stones,john-stones,D,False,,,1.0,25.0,30.0,55.0,,2.0,,4.0,,,,,,,,,4.0,,,0.0146539,,,,0.0,,,,,,,,0.75,4.43,1.55,0.26,2.53,82.0,,1.0,,,,,,6.0,,,7.5,,,,,,1.0,2.0,2.0,,2.0,,28.0,31.0,59.0,,,0,,65.0,,,2.0,
2025-26,14025050,1,43,Manchester_City,Away,318941,171314,Rúben Dias,ruben-dias,D,False,,,1.0,25.0,46.0,71.0,1.0,1.0,,4.0,,,,,,,,1.0,2.0,,,0.0838293,,,,0.0,,,,,,,,0.55,5.94,1.55,0.24,2.88,90.0,,1.0,,,,,,8.0,,,7.4,,,,,,3.0,1.0,,,3.0,,29.0,50.0,79.0,,,0,,85.0,,,1.0,
2025-26,14025050,1,43,Manchester_City,Away,331209,165809,Bernardo Silva,bernardo-silva,M,False,5.0,,1.0,14.0,19.0,33.0,,,,4.0,2.0,,,1.0,,,2.0,5.0,4.0,,,0.442674,,,1.0,0.0,,,,,,4.0,,0.52,4.85,1.45,0.07,1.85,66.0,,,,,,,,9.0,,,7.3,,,,,,1.0,1.0,9.0,,2.0,,15.0,19.0,34.0,,,0,4.0,54.0,1.0,,,2.0
2025-26,14025050,1,43,Manchester_City,Away,383560,211975,Manuel Akanji,manuel-akanji,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025050,1,43,Manchester_City,Away,839956,223094,Erling Haaland,erling-haaland,F,False,,,,1.0,1.0,2.0,,4.0,,1.0,,2.0,,,,,,2.0,5.0,,,0.00162474,1.9919,1.0639,1.0,0.0,2.0,,,,,,,0.65,3.21,0.95,0.21,3.06,73.0,2.0,,,,,,,4.0,,,8.5,,,4.0,,,,1.0,,,,,2.0,2.0,4.0,,,6,1.0,13.0,1.0,,,
2025-26,14025050,1,43,Manchester_City,Away,873554,438234,Omar Marmoush,omar-marmoush,F,True,,,,4.0,1.0,5.0,,,,1.0,,,1.0,,,,1.0,2.0,2.0,,,0.00452855,0.1217,,,0.0,,,,,,,,0.31,1.31,0.44,0.17,1.07,24.0,,,,,,,,3.0,,,6.9,,,,,,,1.0,,,,,5.0,1.0,6.0,,,1,,12.0,,2.0,,
2025-26,14025050,1,43,Manchester_City,Away,893549,433036,Tijjani Reijnders,tijjani-reijnders,M,False,1.0,,2.0,34.0,18.0,52.0,1.0,,,1.0,,,,,,,4.0,10.0,4.0,,1.0,0.141477,0.2019,0.7548,3.0,1.0,1.0,,,,,2.0,,0.67,5.53,2.23,0.26,2.94,90.0,1.0,,,,,,,16.0,,,7.8,,,2.0,,,1.0,3.0,3.0,,3.0,,39.0,18.0,57.0,,,3,1.0,82.0,3.0,2.0,1.0,
