season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2019-20,8243390,1,43,Manchester_City,Away,11781,20664,David Silva,david-silva,M,False,,,1.0,31.0,17.0,48.0,3.0,,3.0,,,,2.0,,2.0,9.0,3.0,,,1.0,,,,,,2.0,,80.0,,,,,,,,19.0,,6.5,,,1.0,,3.0,1.0,,1.0,1.0,41.0,19.0,59.0,1,1.0,75.0,2.0,,2.0,1.0
2019-20,8243390,1,43,Manchester_City,Away,13249,33148,Claudio Bravo,claudio-bravo,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243390,1,43,Manchester_City,Away,17094,37572,Sergio Agüero,sergio-aguero,F,True,,,,3.0,,3.0,,,2.0,,,,,,,,,,,,,1.0,,,,,,21.0,1.0,,,,,,,1.0,,7.0,,,,,,,,,,3.0,,3.0,1,,5.0,,,,
2019-20,8243390,1,43,Manchester_City,Away,44614,58621,Kyle Walker,kyle-walker,D,False,,,2.0,21.0,26.0,47.0,1.0,2.0,10.0,,,1.0,,,1.0,3.0,4.0,,,1.0,1.0,,,,1.0,2.0,,90.0,,,,,,,,11.0,,7.3,,,,1.0,1.0,,,5.0,,25.0,30.0,55.0,1,1.0,73.0,1.0,,1.0,
2019-20,8243390,1,43,Manchester_City,Away,45853,59859,İlkay Gündoğan,ilkay-gundogan,M,True,,,,6.0,1.0,7.0,,,3.0,,,,1.0,,1.0,2.0,,,,,,,,,1.0,,,11.0,,,,,,,,3.0,,6.3,,,,,,,,1.0,,7.0,2.0,9.0,0,,13.0,,,,
2019-20,8243390,1,43,Manchester_City,Away,70996,61366,Kevin De Bruyne,kevin-de-bruyne,M,False,,,1.0,26.0,12.0,38.0,,,9.0,2.0,,,,,1.0,2.0,6.0,,,1.0,1.0,,,,2.0,3.0,,79.0,1.0,,,,,,,15.0,,8.2,,,,,2.0,2.0,,3.0,,36.0,14.0,48.0,1,4.0,66.0,1.0,,2.0,4.0
2019-20,8243390,1,43,Manchester_City,Away,74915,57410,Nicolás Otamendi,nicolas-otamendi,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243390,1,43,Manchester_City,Away,138534,103955,Raheem Sterling,raheem-sterling,F,False,,,,20.0,6.0,26.0,2.0,2.0,5.0,,,,,,1.0,8.0,5.0,,,3.0,,3.0,,,1.0,,,90.0,4.0,,,,,,,13.0,,9.5,,,,,3.0,,,,2.0,24.0,9.0,33.0,4,,49.0,1.0,2.0,1.0,
2019-20,8243390,1,43,Manchester_City,Away,138892,121145,João Cancelo,joao-cancelo,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243390,1,43,Manchester_City,Away,149734,146941,Aymeric Laporte,aymeric-laporte,D,False,,,8.0,16.0,50.0,66.0,3.0,5.0,4.0,,,,1.0,,,5.0,8.0,,,,,,,,4.0,,,90.0,,,,,,,,9.0,,7.2,,,,3.0,2.0,,,11.0,,19.0,55.0,74.0,0,1.0,85.0,,1.0,1.0,
