season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyMiss,penaltyWon,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest
2015-16,6767937,1,43,Manchester_City,Away,301,15312,Martín Demichelis,martin-demichelis,D,True,,,2.0,19.0,7.0,26.0,,,,,,,2.0,,,,2.0,1.0,,,,,,,,,,,10.0,,,,,,,,6.4,,,,,,,,2.0,,19.0,8.0,27.0,0,1.0,28.0,,,
2015-16,6767937,1,43,Manchester_City,Away,1053,37748,Bacary Sagna,bacary-sagna,D,False,,,3.0,34.0,25.0,59.0,1.0,1.0,4.0,,,,,,,1.0,2.0,4.0,,,,,,,,3.0,1.0,,90.0,,,,,,,,7.3,,,,1.0,,3.0,,4.0,,40.0,25.0,62.0,0,2.0,80.0,,1.0,
2015-16,6767937,1,43,Manchester_City,Away,3544,28554,Samir Nasri,samir-nasri,M,True,,,1.0,22.0,6.0,28.0,,,,,,1.0,,,,,,,,,,,,,,,,,16.0,,,,,,,,6.8,,,,,,1.0,,1.0,,24.0,6.0,29.0,1,,31.0,,,
2015-16,6767937,1,43,Manchester_City,Away,6019,17476,Vincent Kompany,vincent-kompany,D,False,,,2.0,21.0,36.0,57.0,,1.0,5.0,,,,1.0,,,1.0,3.0,1.0,,,1.0,,1.0,,,2.0,,,90.0,1.0,,,,,,,7.4,,,,2.0,,,,6.0,,24.0,40.0,64.0,1,,70.0,,,
2015-16,6767937,1,43,Manchester_City,Away,11781,20664,David Silva,david-silva,M,False,1.0,,5.0,80.0,11.0,90.0,1.0,1.0,1.0,,,2.0,,,,3.0,5.0,8.0,,,1.0,1.0,1.0,,,,4.0,,90.0,1.0,,,,,,,8.9,,,1.0,,2.0,6.0,,5.0,,90.0,11.0,95.0,4,1.0,116.0,,4.0,2.0
2015-16,6767937,1,43,Manchester_City,Away,11796,20658,Pablo Zabaleta,pablo-zabaleta,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2015-16,6767937,1,43,Manchester_City,Away,11869,17740,Jesús Navas,jesus-navas,D,False,1.0,,1.0,48.0,5.0,52.0,1.0,,7.0,,,2.0,1.0,,,1.0,3.0,3.0,,,,,,,,1.0,2.0,,90.0,,,,,,,,7.1,,,,,1.0,4.0,,3.0,,53.0,7.0,56.0,2,1.0,69.0,1.0,1.0,1.0
2015-16,6767937,1,43,Manchester_City,Away,13630,27789,Fernandinho,fernandinho,M,False,,,2.0,61.0,29.0,90.0,,1.0,3.0,1.0,,,,,,1.0,5.0,3.0,,,4.0,,,,,1.0,1.0,,90.0,,,,,,,,7.3,,,,3.0,,,,2.0,,64.0,33.0,97.0,0,2.0,107.0,,,
2015-16,6767937,1,43,Manchester_City,Away,14468,14664,Yaya Touré,yaya-toure,M,False,,,2.0,66.0,17.0,83.0,1.0,,6.0,,,1.0,1.0,,,2.0,5.0,1.0,,,1.0,1.0,1.0,,,,2.0,,80.0,1.0,,,,,,,7.8,,,,,1.0,,,2.0,,69.0,17.0,86.0,2,,92.0,,,1.0
2015-16,6767937,1,43,Manchester_City,Away,16817,15749,Joe Hart,joe-hart,G,False,,,8.0,7.0,8.0,15.0,,,8.0,,,,,,,,,,,,,,,2.0,,,,,90.0,,,,,,,3.0,7.3,1.0,2.0,,3.0,,,,18.0,,16.0,9.0,25.0,0,,37.0,,,
