season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2016-17,7089877,1,43,Manchester_City,Home,532,17336,Gaël Clichy,gael-clichy,D,False,,,2.0,37.0,31.0,68.0,,,6.0,,,,,,,1.0,1.0,3.0,,,,,,,,2.0,,80.0,,1.0,,,,,,,17.0,,7.1,,,,2.0,,1.0,,8.0,,48.0,36.0,83.0,0,2.0,107.0,,1.0,,1.0
2016-17,7089877,1,43,Manchester_City,Home,1053,37748,Bacary Sagna,bacary-sagna,D,False,,,1.0,36.0,19.0,55.0,3.0,4.0,3.0,,,,2.0,,,,5.0,5.0,,,,,,,,,,90.0,,,,,,,,,11.0,,6.4,,,1.0,1.0,,,,4.0,,45.0,19.0,64.0,1,1.0,82.0,1.0,,,1.0
2016-17,7089877,1,43,Manchester_City,Home,11781,20664,David Silva,david-silva,M,False,,,,36.0,13.0,49.0,3.0,,5.0,,,,,,,2.0,6.0,3.0,,,1.0,,,,,1.0,2.0,64.0,,,,,,,,,17.0,,6.7,,,,2.0,1.0,5.0,,2.0,,47.0,15.0,57.0,0,1.0,72.0,,2.0,,1.0
2016-17,7089877,1,43,Manchester_City,Home,11796,20658,Pablo Zabaleta,pablo-zabaleta,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7089877,1,43,Manchester_City,Home,11869,17740,Jesús Navas,jesus-navas,D,True,2.0,,,14.0,,12.0,,,2.0,,,,,,,,,,,,,,,,,1.0,3.0,31.0,,,,,,,,,8.0,,7.2,,,,,,7.0,,,,21.0,1.0,15.0,0,,23.0,,,,
2016-17,7089877,1,43,Manchester_City,Home,13630,27789,Fernandinho,fernandinho,M,False,,,7.0,56.0,28.0,84.0,,2.0,7.0,,,,,,,,1.0,5.0,,,1.0,,,,,2.0,,90.0,,,,,,,,,15.0,,7.4,,,,2.0,2.0,,,11.0,,66.0,31.0,97.0,0,1.0,109.0,2.0,1.0,2.0,1.0
2016-17,7089877,1,43,Manchester_City,Home,16817,15749,Joe Hart,joe-hart,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7089877,1,43,Manchester_City,Home,17094,37572,Sergio Agüero,sergio-aguero,F,False,,,,19.0,7.0,26.0,6.0,,2.0,1.0,,2.0,5.0,,,1.0,13.0,2.0,,,,,1.0,,,,2.0,90.0,2.0,,,,,,,,11.0,,7.4,,,2.0,,2.0,,,,1.0,23.0,10.0,33.0,6,,46.0,2.0,1.0,1.0,
2016-17,7089877,1,43,Manchester_City,Home,24048,41823,Fabian Delph,fabian-delph,M,True,,,,11.0,,11.0,,,,,,,1.0,,,,3.0,,,,2.0,,,,,,,26.0,,,,,,,,,3.0,,6.3,,,,2.0,,1.0,,,,12.0,,11.0,0,,17.0,2.0,,,
2016-17,7089877,1,43,Manchester_City,Home,26097,42593,Aleksandar Kolarov,aleksandar-kolarov,D,False,,,3.0,37.0,36.0,73.0,3.0,6.0,7.0,,,,,,,1.0,7.0,11.0,,,2.0,,,,,2.0,,90.0,,1.0,,,,,,,10.0,,7.3,,,,10.0,4.0,,,7.0,,42.0,39.0,81.0,0,,103.0,,2.0,3.0,
2016-17,7089877,1,43,Manchester_City,Home,41837,52538,Fernando,fernando-reges,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7089877,1,43,Manchester_City,Home,52741,20310,Willy Caballero,willy-caballero,G,False,,2.0,10.0,2.0,18.0,20.0,,,2.0,,,,,,,,,,,,,,,1.0,,,,90.0,,,,,,,,,5.0,,6.7,1.0,2.0,,2.0,,,2.0,15.0,,5.0,20.0,25.0,0,,31.0,,,,
2016-17,7089877,1,43,Manchester_City,Home,70996,61366,Kevin De Bruyne,kevin-de-bruyne,M,False,1.0,,4.0,42.0,11.0,52.0,1.0,,4.0,,,,1.0,,,,7.0,2.0,,,3.0,,,,,,1.0,90.0,2.0,,,,,,,,14.0,,7.0,,,3.0,1.0,2.0,7.0,,5.0,,53.0,12.0,58.0,5,,75.0,,2.0,,
2016-17,7089877,1,43,Manchester_City,Home,74915,57410,Nicolás Otamendi,nicolas-otamendi,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7089877,1,43,Manchester_City,Home,123977,86173,Nolito,nolito,M,False,,,,17.0,5.0,22.0,,1.0,,,,,,,,1.0,3.0,2.0,,,,,,,,,1.0,59.0,,,,,,,,,9.0,,6.6,,,1.0,,3.0,,,,,20.0,6.0,26.0,1,,34.0,2.0,,1.0,
