season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2023-24,11352309,1,94,Brentford,Home,26404,48760,Zanka,zanka,D,True,1.0,,1.0,2.0,4.0,5.0,,,2.0,1.0,,,,,,,,,,,0.111527,0.0,0.0,,,,,,,,1.0,,11.0,,1.0,,,,1.0,,7.4,,,,,,1.0,,1.0,,2.0,4.0,5.0,0,,8.0,,,,
2023-24,11352309,1,94,Brentford,Home,135256,128295,Christian Nørgaard,christian-nrgaard,M,False,,,1.0,5.0,14.0,19.0,1.0,1.0,7.0,,1.0,,1.0,,,,3.0,2.0,,,0.010074,0.0,0.0,,,,,,,2.0,,,72.0,,,,,,5.0,,6.3,,,,2.0,1.0,,,2.0,,7.0,14.0,21.0,0,1.0,38.0,1.0,,,
2023-24,11352309,1,94,Brentford,Home,171919,118342,Mark Flekken,mark-flekken,G,False,,,7.0,5.0,14.0,19.0,,,9.0,,,,,,,,,,,,0.00204068,0.0,0.0,,,,-0.8911,2.0,,,,,90.0,,,,,,9.0,,7.1,4.0,4.0,,,,,,16.0,,10.0,18.0,28.0,0,,38.0,,,,
2023-24,11352309,1,94,Brentford,Home,227212,140200,Thomas Strakosha,thomas-strakosha,G,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352309,1,94,Brentford,Home,576384,191866,Kristoffer Ajer,kristoffer-ajer,D,False,,,1.0,8.0,8.0,16.0,,3.0,1.0,,,,1.0,,,1.0,3.0,3.0,,,0.0119155,0.0,0.0,1.0,,,,,,1.0,,,84.0,,1.0,,,,8.0,,6.5,,,,6.0,,,,4.0,,12.0,9.0,21.0,0,,36.0,1.0,,,
2023-24,11352309,1,94,Brentford,Home,599128,194010,Rico Henry,rico-henry,D,False,1.0,,3.0,13.0,11.0,23.0,2.0,1.0,5.0,2.0,,,,,,2.0,6.0,7.0,,,0.62137,0.0,0.0,2.0,1.0,,,,,1.0,3.0,,90.0,,,,,,14.0,,7.4,,,,2.0,4.0,4.0,,4.0,,19.0,14.0,29.0,0,2.0,51.0,2.0,1.0,3.0,
2023-24,11352309,1,94,Brentford,Home,799251,207283,Mathias Jensen,mathias-jensen,M,False,,,3.0,5.0,6.0,11.0,,,2.0,,,,2.0,,,1.0,5.0,5.0,,,0.0291826,0.0,0.0,1.0,,,,,,,,,49.0,,,,,1.0,16.0,,6.6,,,,,1.0,2.0,,8.0,,13.0,9.0,20.0,0,2.0,37.0,1.0,3.0,,1.0
2023-24,11352309,1,94,Brentford,Home,805123,216646,Yoane Wissa,yoane-wissa,F,False,,,1.0,6.0,6.0,12.0,1.0,,4.0,,,1.0,1.0,,,2.0,5.0,5.0,,,0.0543627,0.2999,0.1493,1.0,,1.0,,,,1.0,2.0,,72.0,2.0,1.0,,,,8.0,,7.9,,,,1.0,1.0,,,1.0,1.0,6.0,12.0,18.0,3,1.0,36.0,,3.0,1.0,1.0
2023-24,11352309,1,94,Brentford,Home,814873,204580,Vitaly Janelt,vitaly-janelt,M,False,,,3.0,10.0,10.0,20.0,,2.0,4.0,,,,1.0,,,2.0,3.0,4.0,,,0.0116511,0.0356,0.391,1.0,,,,,,,1.0,,90.0,1.0,1.0,,,,7.0,,6.7,,,,2.0,,,,6.0,,10.0,15.0,25.0,1,1.0,33.0,,1.0,,
2023-24,11352309,1,94,Brentford,Home,826057,226956,Mads Roerslev,mads-roerslev,D,True,,,,1.0,5.0,6.0,,,,,,1.0,4.0,,,,4.0,1.0,,,0.00014611,0.0306,0.0,,,,,,,,,,18.0,,,,,,4.0,,6.2,,,,,,1.0,,,,5.0,5.0,9.0,1,1.0,13.0,,,,1.0
2023-24,11352309,1,94,Brentford,Home,855864,231065,Ethan Pinnock,ethan-pinnock,D,False,,,1.0,5.0,8.0,13.0,,3.0,2.0,,,,1.0,,,,1.0,6.0,,,0.00152695,0.0,0.0,,,,,,,2.0,,,90.0,,,,,,5.0,,6.9,,,,10.0,,,,3.0,,8.0,10.0,18.0,0,3.0,34.0,,,,2.0
