season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2024-25,12436879,1,94,Brentford,Home,135256,128295.0,Christian Nørgaard,christian-nrgaard,M,False,,,1.0,12.0,19.0,31.0,1.0,1.0,5.0,1.0,,,,,,1.0,3.0,5.0,,,0.012884,,,1.0,0.0,,,,,3.0,1.0,,90.0,,,,,,,,13.0,,7.2,,,,3.0,,,,4.0,,18.0,24.0,42.0,0,3.0,58.0,,1.0,,1.0
2024-25,12436879,1,94,Brentford,Home,137774,51927.0,Ben Mee,ben-mee,D,True,,,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,1.318e-05,,,,0.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,2.0,,1.0,1.0,2.0,0,,2.0,,,,
2024-25,12436879,1,94,Brentford,Home,171919,118342.0,Mark Flekken,mark-flekken,G,False,,1.0,19.0,6.0,32.0,38.0,,,11.0,,,,,,,,,1.0,,,0.00177493,,,,0.0,,0.0152,1.0,,,,,90.0,,,,,,,,13.0,1.0,8.4,3.0,6.0,,3.0,,,1.0,29.0,,15.0,35.0,50.0,0,1.0,66.0,,,,1.0
2024-25,12436879,1,94,Brentford,Home,576384,191866.0,Kristoffer Ajer,kristoffer-ajer,D,False,,,2.0,9.0,16.0,25.0,2.0,1.0,2.0,,1.0,,,,,,2.0,2.0,,,0.00477794,0.2772,0.824,,0.0,,,,,1.0,,,90.0,1.0,,,,,,,12.0,,6.5,,,,,1.0,,,5.0,,14.0,21.0,35.0,1,,44.0,2.0,,1.0,
2024-25,12436879,1,94,Brentford,Home,799251,207283.0,Mathias Jensen,mathias-jensen,M,False,1.0,,1.0,16.0,9.0,24.0,,1.0,5.0,,,,1.0,,,1.0,4.0,3.0,,,0.0268941,,,1.0,0.0,,,,,2.0,1.0,,84.0,,1.0,,,,,,15.0,,6.8,,,,,1.0,4.0,,3.0,,25.0,10.0,31.0,0,,51.0,,2.0,,
2024-25,12436879,1,94,Brentford,Home,805123,216646.0,Yoane Wissa,yoane-wissa,F,False,,,,14.0,8.0,22.0,,1.0,5.0,,,1.0,,,,,1.0,6.0,,,0.0146559,1.0004,0.9662,1.0,1.0,1.0,,,,,1.0,,84.0,1.0,,,,,,,6.0,,8.1,,,,,1.0,,,,,17.0,9.0,26.0,2,,37.0,2.0,4.0,1.0,
2024-25,12436879,1,94,Brentford,Home,814873,204580.0,Vitaly Janelt,vitaly-janelt,M,False,1.0,,4.0,10.0,18.0,27.0,,2.0,5.0,,,,,,,,2.0,7.0,,,0.0293819,0.0684,,,0.0,,,,,2.0,1.0,,74.0,,,,,,,,4.0,,7.3,,,2.0,1.0,2.0,1.0,,4.0,,12.0,18.0,29.0,2,3.0,44.0,,2.0,,2.0
2024-25,12436879,1,94,Brentford,Home,826057,226956.0,Mads Roerslev,mads-roerslev,D,False,,,4.0,10.0,19.0,29.0,,,3.0,,,,,,,4.0,4.0,2.0,,,0.00436489,,,,0.0,,,,,1.0,,,90.0,,,,,,,,14.0,,6.5,,,,2.0,,1.0,,6.0,,15.0,23.0,37.0,0,,55.0,1.0,2.0,,
2024-25,12436879,1,94,Brentford,Home,855864,231065.0,Ethan Pinnock,ethan-pinnock,D,False,,,2.0,5.0,29.0,34.0,2.0,5.0,4.0,,,,1.0,,,1.0,6.0,7.0,,,0.00102101,0.0093,0.229,,0.0,,,,,1.0,,,90.0,1.0,1.0,1.0,,,,,11.0,,6.6,,,,5.0,2.0,,,4.0,,9.0,33.0,42.0,1,2.0,59.0,,,,
2024-25,12436879,1,94,Brentford,Home,885864,428580.0,Frank Onyeka,frank-onyeka,M,True,,,,,1.0,1.0,,,1.0,,,,,,,,1.0,,,,4.97e-06,,,1.0,0.0,,,,,,,,11.0,,,,,,,,1.0,,6.4,,,,,,,,,,,1.0,1.0,0,,2.0,1.0,,,
