playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,expectedGoalsFreekick,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,oboxBlocked,substituteOn,cornersTakenInclShortCorners,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,timePlayed,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,successfulCornersIntoBox,totalTouchesInOppositionBox,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,oboxTarget,tacklesLost,leftFootGoals,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,freekickTotal,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,attemptsFromSetPieces,leftsidePasses,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,secondGoalAssists,iboxTarget,shotsOnTargetInBox,rightFootGoals,blocks,hitWoodwork,handballsConceded,throwInsToOppositionPlayer,foulWonPenalty,clearancesOffTheLine,headedGoals,setPiecesGoals,penaltiesConceded,penaltiesTaken,penaltyGoals,ownGoalScored,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox
60252,Andros Townsend,Midfielder,C Palace,31,England,2019-20,93.0,15.0,2.0086,0.0,0.0655,4.0,5.0,3.0,1.1142,34.0,8.0,1.0,65.0,24.0,1.0,11.0,14.0,92.0,41.0,393.0,1.0,1.0,0.0,3.0,10.0,9.0,16.0,1.0,4.0,16.0,1289.0,1.0,11.0,102.0,2.0,38.0,97.0,290.0,1.0,18.0,23.031,12.0,2.0,6.0,23.0,1.0,82.0,60.0,26.0,0.0,195.0,18.0,1.0,124.0,97.0,24.0,4.0,13.0,1.0,15.0,218.0,21.0,51.0,51.0,1.0,1.0,179.0,5.0,0.0,379.0,3.0,10.0,231.0,21.0,38.0,1.0,107.0,9.0,15.0,6.0,11.0,102.0,747.0,11.0,6.0,3.0,14.0,99.0,7.0,0.411,0.0,27.0,29.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466955,Brandon Pierrick,Forward,C Palace,31,England,2019-20,1.0,,0.0206,0.0,,,,,,,,,2.0,2.0,,,,2.0,2.0,7.0,,,,,2.0,,,,,,13.0,,,,,1.0,,5.0,,1.0,0.0896,2.0,,1.0,,,1.0,1.0,,0.0,1.0,,,1.0,,2.0,,,,,4.0,,2.0,1.0,,,1.0,,0.0,7.0,,,7.0,,,,2.0,,,,,3.0,14.0,,,,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55037,Cheikhou Kouyaté,Midfielder,C Palace,31,Senegal,2019-20,163.0,2.0,1.1302,0.0,,4.0,4.0,5.0,1.1488,67.0,20.0,1.0,182.0,35.0,1.0,8.0,29.0,222.0,15.0,851.0,1.0,2.0,0.0,3.0,6.0,,161.0,6.0,,2.0,2535.0,2.0,70.0,200.0,4.0,41.0,109.0,606.0,,57.0,41.6159,9.0,8.0,55.0,36.0,1.0,93.0,185.0,28.0,0.0,363.0,24.0,1.0,337.0,139.0,35.0,,35.0,,14.0,297.0,32.0,15.0,39.0,,1.0,202.0,91.0,0.0,844.0,16.0,8.0,328.0,32.0,16.0,,187.0,33.0,43.0,,23.0,142.0,1310.0,5.0,15.0,3.0,24.0,334.0,22.0,2.7121,4.0,40.0,71.0,,3.0,3.0,1.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,
54861,Christian Benteke,Forward,C Palace,31,Belgium,2019-20,171.0,1.0,1.1307,1.0,,7.0,19.0,4.0,3.4175,9.0,34.0,2.0,153.0,24.0,1.0,16.0,13.0,154.0,4.0,337.0,2.0,12.0,1.0,,11.0,,258.0,1.0,1.0,1.0,1257.0,5.0,113.0,191.0,,11.0,46.0,176.0,,87.0,24.5571,18.0,1.0,28.0,18.0,7.0,58.0,75.0,20.0,0.0,362.0,7.0,1.0,122.0,24.0,24.0,1.0,4.0,,4.0,138.0,18.0,4.0,27.0,,7.0,104.0,145.0,1.0,325.0,15.0,7.0,236.0,5.0,19.0,,61.0,25.0,4.0,,7.0,79.0,593.0,,6.0,,,46.0,7.0,5.1144,4.0,1.0,18.0,,16.0,16.0,2.0,4.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
59125,Connor Wickham,Forward,C Palace,31,England,2019-20,18.0,,0.0324,0.0,,,2.0,,1.4295,1.0,3.0,,19.0,6.0,1.0,1.0,,19.0,,46.0,1.0,1.0,1.0,,6.0,,20.0,,,,90.0,,10.0,13.0,,1.0,3.0,25.0,,8.0,1.5048,2.0,,,2.0,,8.0,6.0,,0.0,31.0,1.0,0.0,20.0,1.0,6.0,,,,2.0,18.0,2.0,,4.0,,,11.0,10.0,0.0,45.0,1.0,,27.0,1.0,2.0,,10.0,4.0,1.0,,2.0,10.0,68.0,1.0,,,,9.0,3.0,1.3688,0.0,,3.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
19419,Gary Cahill,Defender,C Palace,31,England,2019-20,77.0,,0.3341,0.0,,8.0,5.0,,0.7667,15.0,13.0,,85.0,25.0,1.0,,25.0,153.0,,1008.0,,,,1.0,,,140.0,7.0,,,2168.0,,52.0,116.0,4.0,15.0,28.0,782.0,,47.0,36.8599,2.0,8.0,111.0,35.0,7.0,25.0,329.0,12.0,0.0,193.0,9.0,,388.0,98.0,25.0,,7.0,,1.0,211.0,31.0,,5.0,,7.0,53.0,88.0,0.0,971.0,8.0,3.0,171.0,8.0,4.0,,223.0,14.0,18.0,,73.0,68.0,1287.0,5.0,1.0,1.0,28.0,644.0,7.0,1.551,1.0,68.0,65.0,,5.0,5.0,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,
234720,Giovanni McGregor,Midfielder,C Palace,31,England,2019-20,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173954,Jairo Riedewald,Midfielder,C Palace,31,Netherlands,2019-20,22.0,1.0,0.3846,0.0,,2.0,,1.0,,14.0,1.0,1.0,58.0,17.0,,1.0,7.0,80.0,3.0,329.0,,,,2.0,10.0,,8.0,,,1.0,764.0,1.0,5.0,27.0,2.0,9.0,24.0,233.0,,5.0,14.716,2.0,2.0,19.0,9.0,,17.0,75.0,2.0,0.0,49.0,5.0,,161.0,47.0,17.0,,4.0,,3.0,135.0,7.0,5.0,10.0,,,41.0,3.0,0.0,321.0,1.0,,129.0,10.0,8.0,,35.0,3.0,17.0,,16.0,58.0,505.0,43.0,3.0,2.0,6.0,115.0,1.0,0.078,0.0,22.0,25.0,,,,,2.0,,,20.0,,,,,,,,,,,,,,,,,,,,,,
50471,James McArthur,Midfielder,C Palace,31,Scotland,2019-20,250.0,7.0,2.3729,0.0,,8.0,6.0,3.0,0.9288,88.0,20.0,4.0,232.0,37.0,3.0,14.0,37.0,308.0,37.0,1431.0,,4.0,,2.0,,1.0,120.0,7.0,2.0,7.0,3104.0,1.0,75.0,195.0,4.0,99.0,150.0,1061.0,,89.0,48.3617,31.0,6.0,47.0,38.0,6.0,175.0,282.0,35.0,0.0,445.0,50.0,,536.0,186.0,37.0,2.0,37.0,,15.0,631.0,34.0,37.0,54.0,,6.0,325.0,45.0,0.0,1386.0,14.0,17.0,461.0,51.0,29.0,,333.0,57.0,60.0,,62.0,280.0,2102.0,38.0,15.0,2.0,35.0,499.0,29.0,2.0501,6.0,76.0,85.0,1.0,4.0,4.0,,19.0,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
50472,James McCarthy,Midfielder,C Palace,31,Ireland,2019-20,98.0,,1.0749,0.0,,3.0,3.0,1.0,0.2611,82.0,9.0,,104.0,33.0,,9.0,16.0,175.0,9.0,784.0,,,,3.0,17.0,22.0,34.0,2.0,3.0,11.0,1672.0,,19.0,122.0,4.0,39.0,107.0,557.0,11.0,11.0,32.0793,17.0,5.0,10.0,29.0,,79.0,165.0,18.0,0.0,220.0,19.0,,249.0,134.0,33.0,3.0,35.0,,3.0,317.0,25.0,24.0,14.0,,,186.0,15.0,0.0,753.0,6.0,2.0,235.0,47.0,7.0,,217.0,31.0,24.0,11.0,52.0,153.0,1088.0,5.0,5.0,3.0,33.0,303.0,22.0,0.5253,9.0,71.0,56.0,1.0,,,,5.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,
