playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,totalRedCards,shotsOnTargetIncGoals,totalShots,unsuccessfulShortPasses,gamesPlayed,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,offsides,substituteOn,aerialDuels,timePlayed,aerialDuelsLost,duelsWon,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,penaltyGoalsConceded,keyPassesAttemptAssists,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,successfulDribbles,leftsidePasses,totalFoulsConceded,successfulLongPasses,backwardPasses,touches,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,yellowCards,unsuccessfulLongPasses,successfulCrossesOpenPlay,blockedShots,overruns,totalTackles,unsuccessfulCrossesOpenPlay,cornersTakenInclShortCorners,successfulCrossesAndCorners,unsuccessfulLayoffs,goalsConcededOutsideBox,penaltiesConceded,successfulCornersIntoBox,throwInsToOppositionPlayer,successfulLaunches,tacklesLost,unsuccessfulCrossesAndCorners,tacklesWon,attemptsFromSetPieces,interceptions,unsuccessfulCornersIntoBox,unsuccessfulPassesOwnHalf,goalAssists,goals,awayGoals,cleanSheets,homeGoals,lastPlayerTackle,headedGoals,blocks,clearancesOffTheLine,throwInsToOwnPlayer,handballsConceded,leftFootGoals,hitWoodwork,throughBalls,foulWonPenalty,rightFootGoals,ownGoalScored,setPiecesGoals,penaltiesTaken,penaltyGoals,goalKicks,gkSuccessfulDistribution,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox
1409,Aaron Wilbraham,Forward,C Palace,31,England,2013-14,12.0,0.0,2.0,3.0,12.0,4.0,2.0,1.0,13.0,36.0,3.0,3.0,11.0,81.0,4.0,9.0,1.0,2.0,22.0,4.0,1.0,1.0,3.0,1.0,8.0,6.0,1.0,0.0,21.0,1.0,10.0,4.0,4.0,1.0,14.0,1.0,5.0,10.0,7.0,0.0,36.0,1.0,1.0,20.0,2.0,8.0,3.0,1.0,12.0,54.0,1.0,1.0,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44302,Adlène Guédioura,Midfielder,C Palace,31,Algeria,2013-14,41.0,0.0,3.0,8.0,29.0,8.0,10.0,4.0,38.0,149.0,,4.0,14.0,317.0,10.0,20.0,6.0,16.0,105.0,3.0,1.0,4.0,5.0,5.0,31.0,50.0,4.0,0.0,61.0,4.0,53.0,23.0,8.0,8.0,77.0,4.0,19.0,47.0,4.0,0.0,146.0,5.0,1.0,72.0,5.0,32.0,10.0,6.0,14.0,236.0,3.0,3.0,37.0,2.0,0.0,9.0,1.0,5.0,1.0,7.0,5.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,5.0,2.0,8.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20145,Adrian Mariappa,Defender,C Palace,31,Jamaica,2013-14,89.0,0.0,1.0,4.0,105.0,24.0,2.0,23.0,149.0,585.0,1.0,1.0,85.0,2113.0,33.0,120.0,24.0,68.0,411.0,13.0,3.0,6.0,112.0,31.0,56.0,34.0,17.0,0.0,209.0,11.0,334.0,82.0,24.0,15.0,246.0,25.0,20.0,124.0,52.0,0.0,580.0,3.0,6.0,312.0,6.0,153.0,16.0,25.0,64.0,1164.0,1.0,46.0,198.0,4.0,6.0,44.0,8.0,1.0,3.0,49.0,38.0,,8.0,1.0,6.0,,,87.0,18.0,13.0,38.0,36.0,,57.0,,33.0,1.0,1.0,0.0,8.0,1.0,1.0,1.0,8.0,1.0,115.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
59013,Barry Bannan,Midfielder,C Palace,31,Scotland,2013-14,36.0,0.0,4.0,11.0,76.0,15.0,20.0,13.0,105.0,400.0,1.0,2.0,9.0,1005.0,6.0,26.0,24.0,23.0,271.0,7.0,1.0,21.0,8.0,14.0,30.0,92.0,1.0,1.0,62.0,12.0,146.0,57.0,15.0,7.0,210.0,12.0,12.0,53.0,3.0,0.0,372.0,7.0,4.0,191.0,6.0,85.0,7.0,24.0,77.0,601.0,11.0,12.0,113.0,2.0,1.0,29.0,10.0,3.0,4.0,16.0,18.0,38.0,28.0,,2.0,,11.0,2.0,5.0,6.0,52.0,10.0,1.0,12.0,25.0,19.0,1.0,1.0,1.0,2.0,0.0,,,4.0,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
18804,Cameron Jerome,Forward,C Palace,31,England,2013-14,202.0,0.0,16.0,32.0,163.0,29.0,56.0,20.0,172.0,463.0,26.0,9.0,193.0,1759.0,115.0,127.0,25.0,49.0,282.0,86.0,1.0,26.0,26.0,18.0,87.0,144.0,19.0,2.0,329.0,14.0,109.0,44.0,29.0,26.0,231.0,15.0,50.0,136.0,78.0,0.0,450.0,16.0,24.0,282.0,14.0,100.0,40.0,9.0,110.0,743.0,15.0,2.0,64.0,5.0,4.0,9.0,4.0,9.0,10.0,19.0,10.0,,4.0,17.0,3.0,,,,,4.0,10.0,15.0,,9.0,,19.0,1.0,2.0,1.0,3.0,1.0,,1.0,3.0,1.0,2.0,3.0,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
7906,Damien Delaney,Defender,C Palace,31,Ireland,2013-14,111.0,0.0,6.0,14.0,141.0,37.0,1.0,37.0,300.0,803.0,1.0,,153.0,3285.0,50.0,184.0,21.0,81.0,410.0,26.0,6.0,4.0,337.0,45.0,61.0,148.0,13.0,0.0,295.0,10.0,520.0,115.0,37.0,8.0,194.0,39.0,11.0,142.0,103.0,0.0,735.0,8.0,2.0,333.0,,92.0,27.0,93.0,43.0,1431.0,1.0,169.0,311.0,15.0,9.0,159.0,2.0,,2.0,70.0,3.0,,2.0,,6.0,,,,78.0,23.0,3.0,47.0,,85.0,,62.0,1.0,1.0,0.0,12.0,1.0,1.0,,35.0,,3.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,
1059,Danny Gabbidon,Defender,C Palace,31,Wales,2013-14,53.0,0.0,1.0,2.0,55.0,23.0,,22.0,112.0,464.0,,1.0,95.0,1974.0,31.0,105.0,15.0,41.0,306.0,3.0,4.0,1.0,200.0,26.0,22.0,62.0,5.0,0.0,158.0,8.0,205.0,87.0,23.0,2.0,62.0,22.0,4.0,63.0,64.0,0.0,443.0,1.0,,127.0,4.0,131.0,10.0,46.0,66.0,808.0,1.0,56.0,290.0,2.0,0.0,57.0,,1.0,,33.0,,,,,4.0,,,,37.0,9.0,,24.0,,39.0,,35.0,,1.0,0.0,6.0,1.0,2.0,,16.0,1.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,
19635,Dean Moxey,Defender,C Palace,31,England,2013-14,41.0,0.0,2.0,7.0,93.0,20.0,2.0,18.0,146.0,454.0,2.0,2.0,20.0,1518.0,5.0,86.0,32.0,71.0,286.0,10.0,4.0,5.0,63.0,25.0,36.0,138.0,12.0,0.0,127.0,15.0,236.0,81.0,20.0,8.0,159.0,21.0,13.0,107.0,15.0,0.0,448.0,5.0,5.0,255.0,10.0,24.0,12.0,22.0,56.0,920.0,2.0,54.0,151.0,5.0,2.0,53.0,2.0,2.0,5.0,51.0,19.0,,2.0,,4.0,2.0,,63.0,19.0,11.0,19.0,40.0,,29.0,,38.0,1.0,,,4.0,,1.0,,3.0,,127.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
104547,Dwight Gayle,Forward,C Palace,31,England,2013-14,70.0,0.0,9.0,20.0,57.0,23.0,24.0,8.0,63.0,208.0,2.0,15.0,41.0,882.0,33.0,35.0,13.0,27.0,139.0,36.0,3.0,7.0,3.0,17.0,37.0,54.0,16.0,2.0,105.0,5.0,57.0,26.0,23.0,8.0,96.0,14.0,23.0,64.0,8.0,0.0,201.0,11.0,8.0,121.0,2.0,41.0,10.0,6.0,56.0,342.0,5.0,2.0,50.0,,1.0,6.0,1.0,8.0,1.0,10.0,9.0,,1.0,3.0,3.0,,,,1.0,2.0,9.0,8.0,2.0,3.0,,14.0,,7.0,4.0,,3.0,,1.0,,,,1.0,2.0,,,1.0,4.0,,1.0,1.0,1.0,,,,,,,,,,,,,,
20529,Glenn Murray,Forward,C Palace,31,England,2013-14,68.0,0.0,3.0,7.0,58.0,14.0,30.0,3.0,58.0,142.0,6.0,11.0,51.0,394.0,30.0,41.0,13.0,20.0,84.0,23.0,1.0,4.0,6.0,5.0,38.0,38.0,11.0,0.0,109.0,6.0,45.0,12.0,14.0,9.0,70.0,3.0,20.0,58.0,21.0,0.0,139.0,4.0,4.0,99.0,3.0,31.0,15.0,,28.0,242.0,2.0,,14.0,2.0,1.0,,,6.0,1.0,8.0,,,,5.0,2.0,,,,,1.0,,7.0,,4.0,,4.0,1.0,1.0,1.0,,0.0,,,,,,1.0,,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,
