playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,awayGoals,oboxBlocked,substituteOn,cornersTakenInclShortCorners,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,penaltiesConceded,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,successfulCornersIntoBox,totalTouchesInOppositionBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,oboxTarget,tacklesLost,leftFootGoals,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,redCards2ndYellow,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,touches,substituteOff,hitWoodwork,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,throwInsToOppositionPlayer,throwInsToOwnPlayer,offsides,rightFootGoals,lastPlayerTackle,attemptsFromSetPieces,goalKicks,gkSuccessfulDistribution,headedGoals,clearancesOffTheLine,foulWonPenalty,secondGoalAssists,penaltiesSaved,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,savesFromPenalty,punches,savesMade,goalkeeperSmother,drops,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,penaltiesTaken,penaltyGoals,ownGoalScored,expectedGoalsFreekick,freekickTotal
496221,Adam Wharton,Midfielder,C Palace,31,England,2025-26,148.0,12.0,7.376,1.0,15.0,6.0,1.0,0.411,70.0,17.0,21.0,182.0,34.0,5.0,33.0,29.0,255.0,22.0,1232.0,1.0,1.0,14.0,5.0,43.0,55.0,4.0,1.0,28.0,4.0,2562.0,4.0,2.0,31.0,140.0,4.0,1.0,38.0,116.0,909.0,16.0,29.0,4.0,43.1997,39.0,7.0,42.0,43.0,1.0,117.0,226.0,31.0,0.0,288.0,23.0,0.0,454.0,165.0,34.0,1.0,33.0,1.0,14.0,587.0,39.0,1.0,61.0,41.0,1.0,233.0,24.0,0.0,1197.0,11.0,5.0,398.0,37.0,15.0,3.0,424.0,35.0,27.0,26.0,68.0,128.0,1700.0,14.0,2.0,14.0,29.0,418.0,25.0,2.0,1.5212,4.0,73.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631106,Ben Casey,Forward,C Palace,31,England,2025-26,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218364,Borna Sosa,Defender,C Palace,31,Croatia,2025-26,6.0,,0.0669,0.0,,,,,3.0,1.0,1.0,9.0,7.0,,1.0,,15.0,3.0,41.0,,,,7.0,3.0,4.0,,,,,99.0,,1.0,1.0,6.0,1.0,,1.0,3.0,24.0,,3.0,,1.1279,2.0,2.0,4.0,2.0,,5.0,10.0,,0.0,12.0,1.0,,18.0,3.0,7.0,,3.0,,1.0,15.0,1.0,,6.0,1.0,,8.0,3.0,0.0,41.0,1.0,1.0,26.0,,,,7.0,4.0,2.0,3.0,2.0,6.0,73.0,,,,4.0,11.0,4.0,,0.0405,1.0,6.0,1.0,1.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242898,Brennan Johnson,Forward,C Palace,31,Wales,2025-26,81.0,8.0,0.2905,0.0,7.0,5.0,4.0,1.0731,29.0,16.0,2.0,97.0,34.0,1.0,9.0,19.0,130.0,37.0,382.0,2.0,1.0,,15.0,23.0,32.0,1.0,,18.0,,1722.0,,1.0,16.0,67.0,,,44.0,51.0,242.0,8.0,59.0,3.0,9.5975,18.0,2.0,32.0,24.0,1.0,65.0,85.0,15.0,1.0,148.0,24.0,1.0,115.0,56.0,34.0,,11.0,,20.0,175.0,24.0,,51.0,32.0,1.0,116.0,16.0,0.0,360.0,11.0,18.0,251.0,18.0,9.0,1.0,79.0,20.0,4.0,12.0,10.0,103.0,702.0,14.0,,,17.0,95.0,15.0,,1.0206,6.0,33.0,31.0,1.0,8.0,14.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
590012,Caleb Kporha,Defender,C Palace,31,England,2025-26,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515621,Chadi Riad,Defender,C Palace,31,Morocco,2025-26,29.0,,0.1314,0.0,,2.0,,0.1609,8.0,4.0,,28.0,9.0,1.0,,6.0,51.0,6.0,374.0,,,,3.0,,28.0,,,,2.0,554.0,2.0,,15.0,25.0,,,13.0,12.0,300.0,,10.0,1.0,8.1052,,4.0,28.0,8.0,,14.0,162.0,3.0,0.0,54.0,7.0,,131.0,32.0,9.0,,4.0,,,122.0,8.0,,6.0,3.0,,26.0,13.0,0.0,358.0,2.0,,62.0,4.0,1.0,3.0,48.0,5.0,6.0,,23.0,33.0,460.0,4.0,,,14.0,201.0,1.0,,0.326,2.0,23.0,21.0,,1.0,,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,
438464,Cheick Doucouré,Midfielder,C Palace,31,Mali,2025-26,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427623,Chris Richards,Defender,C Palace,31,United States,2025-26,131.0,5.0,1.3815,0.0,7.0,2.0,,1.6209,55.0,8.0,3.0,129.0,33.0,,,31.0,237.0,8.0,1479.0,1.0,0.0,,2.0,,189.0,10.0,,5.0,1.0,2826.0,1.0,,82.0,170.0,3.0,,32.0,63.0,1176.0,,44.0,4.0,43.2964,9.0,17.0,196.0,42.0,7.0,49.0,250.0,5.0,0.0,301.0,24.0,1.0,514.0,65.0,33.0,,20.0,,2.0,420.0,39.0,,8.0,13.0,7.0,112.0,107.0,0.0,1450.0,6.0,10.0,361.0,35.0,4.0,19.0,610.0,18.0,43.0,,66.0,105.0,2081.0,1.0,,,52.0,827.0,7.0,,2.356,4.0,108.0,82.0,79.0,49.0,,,3.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
660392,Christantus Uche,Midfielder,C Palace,31,Nigeria,2025-26,32.0,,0.0255,0.0,2.0,2.0,,0.3556,1.0,4.0,,22.0,14.0,,2.0,,24.0,6.0,59.0,,,,14.0,,21.0,,,,2.0,159.0,2.0,,13.0,16.0,1.0,,4.0,8.0,34.0,,16.0,1.0,4.495,,,3.0,4.0,2.0,19.0,16.0,7.0,0.0,48.0,1.0,,20.0,9.0,14.0,,,,4.0,25.0,3.0,,6.0,11.0,2.0,27.0,8.0,0.0,58.0,2.0,2.0,52.0,1.0,,,9.0,4.0,,,1.0,14.0,113.0,,,,1.0,10.0,2.0,,0.492,0.0,2.0,1.0,,,3.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
209400,Daichi Kamada,Midfielder,C Palace,31,Japan,2025-26,95.0,6.0,3.2418,0.0,7.0,4.0,1.0,1.0723,63.0,12.0,9.0,106.0,28.0,,26.0,22.0,132.0,8.0,825.0,,,4.0,6.0,22.0,29.0,1.0,2.0,11.0,2.0,1908.0,2.0,,15.0,116.0,1.0,,28.0,102.0,662.0,3.0,37.0,3.0,29.0155,20.0,3.0,23.0,28.0,3.0,80.0,235.0,28.0,0.0,211.0,18.0,,259.0,108.0,28.0,2.0,26.0,,12.0,373.0,27.0,,31.0,28.0,3.0,182.0,14.0,0.0,806.0,8.0,8.0,234.0,37.0,12.0,1.0,158.0,30.0,14.0,16.0,31.0,173.0,1154.0,14.0,,4.0,12.0,331.0,20.0,1.0,1.6516,3.0,26.0,35.0,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
