playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,fiftyFifty,totalRedCards,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,successfulLayoffs,successfulFiftyFifty,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,substituteOn,aerialDuels,cleanSheets,iboxTarget,timePlayed,shotsOnTargetInBox,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,blockedShots,overruns,goalAssists,unsuccessfulCrossesOpenPlay,oboxBlocked,shotsOnTargetOutsideBox,successfulCrossesAndCorners,unsuccessfulLayoffs,successfulLaunches,shotsBlockedInBox,oboxTarget,redCards2ndYellow,unsuccessfulCrossesAndCorners,iboxBlocked,cornersWon,clearancesOffTheLine,hitWoodwork,shotsBlockedOutsideBox,handballsConceded,offsides,throwInsToOppositionPlayer,goals,awayGoals,successfulCornersIntoBox,rightFootGoals,leftFootGoals,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,expectedGoalsFreekick,foulWonPenalty,cornersTakenInclShortCorners,homeGoals,penaltiesTaken,headedGoals,penaltyGoals,goalKicks,gkSuccessfulDistribution,ownGoalScored,catches,savesMade,goalkeeperSmother,savesMadeFromOutsideBox,gkUnsuccessfulDistribution,savesMadeFromInsideBox,lastPlayerTackle,setPiecesGoals,penaltiesConceded,savesMadeCaught,penaltiesFaced,punches,savesMadeParried,drops,crossesNotClaimed,secondGoalAssists,otherGoals
437742,Albert Sambi Lokonga,Midfielder,C Palace,31,Belgium,2022-23,36.0,0.1025,15.0,0.0,1.0,0.1325,14.0,2.0,3.0,25.0,15.0,3.0,10.0,8.0,40.0,399.0,7.0,21.0,1.0,1.0,732.0,1.0,13.0,41.0,2.0,9.0,33.0,342.0,2.0,1.0,4.8147,2.0,11.0,8.0,23.0,124.0,17.0,0.0,77.0,6.0,107.0,48.0,15.0,3.0,2.0,175.0,6.0,9.0,56.0,8.0,0.0,385.0,1.0,57.0,11.0,2.0,3.0,108.0,8.0,12.0,17.0,60.0,501.0,1.0,4.0,4.0,184.0,6.0,0.1592,2.0,15.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438464,Cheick Doucouré,Midfielder,C Palace,31,Mali,2022-23,117.0,1.2125,89.0,1.0,7.0,1.1256,77.0,24.0,3.0,163.0,34.0,7.0,50.0,34.0,203.0,1239.0,,59.0,4.0,1.0,2784.0,1.0,29.0,137.0,3.0,64.0,107.0,987.0,15.0,2.0,36.9663,23.0,47.0,41.0,88.0,324.0,13.0,0.0,254.0,34.0,395.0,220.0,34.0,31.0,6.0,517.0,38.0,26.0,195.0,30.0,0.0,1223.0,17.0,266.0,46.0,17.0,13.0,318.0,38.0,56.0,49.0,202.0,1649.0,,17.0,27.0,521.0,33.0,1.4357,9.0,40.0,70.0,2.0,12.0,3.0,3.0,4.0,8.0,6.0,2.0,1.0,8.0,4.0,6.0,1.0,4.0,4.0,5.0,1.0,1.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427623,Chris Richards,Defender,C Palace,31,United States,2022-23,10.0,0.0302,14.0,0.0,,,9.0,3.0,,21.0,9.0,,6.0,4.0,31.0,195.0,5.0,18.0,1.0,,443.0,,4.0,24.0,,10.0,10.0,153.0,7.0,2.0,10.5358,1.0,30.0,11.0,6.0,27.0,1.0,0.0,34.0,9.0,74.0,15.0,9.0,3.0,,51.0,11.0,2.0,16.0,14.0,0.0,190.0,3.0,39.0,6.0,,1.0,63.0,2.0,8.0,11.0,31.0,279.0,5.0,,5.0,113.0,1.0,0.7146,0.0,10.0,12.0,,1.0,,,,,,,,,1.0,,,,1.0,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531989,David Ozoh,Midfielder,C Palace,31,England,2022-23,,0.0018,,0.0,,,,,,,1.0,,,,,3.0,1.0,,,,1.0,,,,,,,3.0,,,,,,,,2.0,,0.0,,,,,1.0,,,3.0,,,,,0.0,3.0,,1.0,,,,,,,,1.0,4.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232413,Eberechi Eze,Midfielder,C Palace,31,England,2022-23,175.0,3.0989,68.0,0.0,26.0,9.9676,42.0,52.0,11.0,154.0,38.0,31.0,34.0,30.0,191.0,1083.0,8.0,51.0,4.0,5.0,2642.0,5.0,32.0,191.0,3.0,37.0,172.0,858.0,96.0,2.0,29.2709,53.0,8.0,35.0,143.0,282.0,57.0,4.0,366.0,22.0,320.0,180.0,38.0,18.0,41.0,581.0,32.0,95.0,315.0,19.0,0.0,1009.0,26.0,423.0,24.0,73.0,,186.0,27.0,13.0,34.0,295.0,1701.0,7.0,15.0,9.0,335.0,17.0,7.2533,3.0,37.0,51.0,2.0,19.0,2.0,4.0,8.0,11.0,11.0,24.0,,,8.0,11.0,,54.0,8.0,25.0,,1.0,11.0,,4.0,,10.0,5.0,13.0,6.0,2.0,14.0,14.0,22.0,0.6485,1.0,51.0,5.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,
515503,Jack Wells-Morrison,Midfielder,C Palace,31,England,2022-23,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173954,Jairo Riedewald,Midfielder,C Palace,31,Netherlands,2022-23,3.0,0.0091,3.0,0.0,,,2.0,1.0,,7.0,6.0,,2.0,,9.0,41.0,6.0,3.0,,,60.0,,1.0,5.0,,4.0,3.0,32.0,1.0,,0.3737,,4.0,,2.0,15.0,1.0,0.0,8.0,2.0,17.0,8.0,6.0,1.0,,17.0,,,5.0,2.0,0.0,38.0,1.0,11.0,1.0,,,2.0,2.0,,,7.0,56.0,2.0,,,15.0,1.0,0.0721,0.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
50471,James McArthur,Midfielder,C Palace,31,Scotland,2022-23,3.0,0.0067,5.0,0.0,,,1.0,,1.0,9.0,4.0,,2.0,,11.0,52.0,4.0,,,,51.0,,,3.0,,2.0,3.0,40.0,,,0.4171,,1.0,,3.0,16.0,1.0,0.0,6.0,1.0,13.0,5.0,4.0,,,13.0,,3.0,6.0,,0.0,49.0,,15.0,1.0,1.0,1.0,14.0,,1.0,1.0,9.0,65.0,,,,28.0,,,0.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49413,James Tomkins,Defender,C Palace,31,England,2022-23,12.0,0.0053,7.0,1.0,2.0,0.846,4.0,2.0,,15.0,6.0,,5.0,3.0,33.0,171.0,3.0,12.0,,1.0,337.0,1.0,6.0,12.0,1.0,4.0,6.0,130.0,3.0,,6.1125,,19.0,8.0,6.0,41.0,1.0,0.0,24.0,1.0,61.0,21.0,6.0,2.0,,19.0,7.0,1.0,12.0,6.0,0.0,164.0,,36.0,2.0,1.0,2.0,45.0,3.0,5.0,8.0,24.0,212.0,,,8.0,119.0,1.0,1.0069,1.0,18.0,15.0,,1.0,,,,1.0,,,,1.0,,,1.0,,,,,,1.0,,1.0,,1.0,0.0,,,,,,,,,,1.0,,1.0,,2.0,2.0,,,,,,,,,,,,,,,,,,
231747,Jean-Philippe Mateta,Forward,C Palace,31,France,2022-23,83.0,0.1642,26.0,0.0,7.0,2.1528,7.0,19.0,,41.0,29.0,4.0,9.0,6.0,43.0,146.0,23.0,70.0,,4.0,754.0,4.0,44.0,44.0,1.0,11.0,18.0,103.0,40.0,1.0,11.472,5.0,18.0,10.0,39.0,38.0,8.0,1.0,127.0,2.0,28.0,23.0,29.0,6.0,5.0,69.0,9.0,23.0,57.0,26.0,0.0,140.0,12.0,95.0,1.0,3.0,1.0,24.0,16.0,3.0,,56.0,293.0,,6.0,2.0,35.0,9.0,3.3535,3.0,2.0,10.0,1.0,8.0,,,2.0,1.0,1.0,1.0,2.0,,7.0,1.0,,2.0,7.0,10.0,,1.0,1.0,2.0,8.0,,2.0,0.0,,1.0,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
