playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,successfulLayoffs,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,substituteOn,cornersTakenInclShortCorners,aerialDuels,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,overruns,starts,offsides,cleanSheets,successfulCrossesAndCorners,goalsConcededOutsideBox,throwInsToOppositionPlayer,successfulLaunches,tacklesLost,throwInsToOwnPlayer,substituteOff,shotsOnTargetOutsideBox,successfulCornersIntoBox,oboxTarget,goalAssists,goals,awayGoals,homeGoals,rightFootGoals,headedGoals,oboxBlocked,lastPlayerTackle,redCards2ndYellow,shotsBlockedOutsideBox,secondGoalAssists,leftFootGoals,freekickTotal,attemptsFromSetPieces,hitWoodwork,expectedGoalsFreekick,penaltiesTaken,penaltyGoals,foulWonPenalty,penaltiesConceded,clearancesOffTheLine,setPiecesGoals,penaltiesSaved,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,savesFromPenalty,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox
44302,Adlène Guédioura,Midfielder,C Palace,31,Algeria,2014-15,12.0,0.069,0.0,1.0,1.0,0.0637,3.0,4.0,1.0,19.0,7.0,2.0,26.0,3.0,74.0,7.0,2.0,8.0,1.0,122.0,1.0,1.0,3.0,18.0,9.0,13.0,46.0,6.0,1.0,2.7832,1.0,6.0,2.0,1.0,9.0,10.0,5.0,0.0,30.0,4.0,34.0,12.0,7.0,2.0,31.0,2.0,4.0,3.0,1.0,22.0,5.0,0.0,72.0,3.0,1.0,40.0,3.0,5.0,1.0,16.0,6.0,1.0,1.0,2.0,14.0,119.0,2.0,17.0,3.0,1.0,0.2848,1.0,7.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20145,Adrian Mariappa,Defender,C Palace,31,Jamaica,2014-15,35.0,0.1623,0.0,,,,18.0,,,44.0,12.0,1.0,73.0,14.0,240.0,4.0,,25.0,,840.0,,,6.0,43.0,9.0,24.0,152.0,1.0,1.0,13.6106,3.0,38.0,13.0,,29.0,20.0,4.0,0.0,78.0,2.0,127.0,45.0,12.0,7.0,88.0,11.0,14.0,11.0,,53.0,19.0,0.0,240.0,,5.0,146.0,14.0,3.0,4.0,68.0,12.0,14.0,,15.0,25.0,454.0,19.0,83.0,7.0,,,3.0,29.0,21.0,4.0,2.0,8.0,1.0,3.0,4.0,2.0,40.0,8.0,4.0,47.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59013,Barry Bannan,Midfielder,C Palace,31,Scotland,2014-15,13.0,0.2782,0.0,,1.0,0.0663,4.0,2.0,,20.0,7.0,3.0,26.0,7.0,76.0,5.0,4.0,3.0,,136.0,,,3.0,6.0,3.0,6.0,45.0,2.0,,1.8824,3.0,,3.0,,10.0,12.0,,0.0,19.0,,30.0,18.0,7.0,2.0,32.0,1.0,8.0,4.0,,16.0,,0.0,73.0,1.0,2.0,41.0,3.0,2.0,,22.0,2.0,2.0,1.0,5.0,12.0,109.0,2.0,23.0,1.0,,0.0446,1.0,6.0,5.0,2.0,1.0,2.0,,,5.0,2.0,,,1.0,,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15284,Brede Hangeland,Defender,C Palace,31,Norway,2014-15,31.0,0.494,0.0,1.0,3.0,1.9877,15.0,3.0,1.0,37.0,14.0,2.0,70.0,,325.0,2.0,,63.0,1.0,1173.0,1.0,,16.0,68.0,3.0,21.0,229.0,11.0,1.0,15.0293,3.0,78.0,18.0,1.0,15.0,87.0,5.0,0.0,99.0,1.0,168.0,57.0,14.0,3.0,87.0,13.0,,3.0,1.0,36.0,47.0,0.0,313.0,,2.0,80.0,9.0,2.0,5.0,43.0,8.0,31.0,,26.0,27.0,485.0,22.0,168.0,2.0,,1.0922,2.0,33.0,15.0,,1.0,12.0,1.0,2.0,,5.0,,14.0,6.0,,1.0,,,,1.0,2.0,2.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7906,Damien Delaney,Defender,C Palace,31,Ireland,2014-15,87.0,0.7097,1.0,3.0,3.0,0.5608,42.0,10.0,,61.0,29.0,1.0,244.0,1.0,741.0,1.0,,134.0,2.0,2434.0,2.0,,53.0,135.0,26.0,54.0,389.0,28.0,3.0,35.4614,8.0,239.0,37.0,2.0,34.0,141.0,10.0,0.0,222.0,16.0,458.0,106.0,29.0,,193.0,29.0,1.0,2.0,2.0,88.0,81.0,0.0,685.0,7.0,3.0,266.0,34.0,4.0,21.0,78.0,15.0,50.0,,108.0,64.0,1184.0,122.0,305.0,8.0,,0.8386,6.0,183.0,36.0,1.0,,28.0,1.0,5.0,1.0,8.0,,44.0,8.0,2.0,1.0,1.0,,1.0,,,,,,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
104547,Dwight Gayle,Forward,C Palace,31,England,2014-15,85.0,0.5372,0.0,10.0,10.0,3.0051,16.0,20.0,,75.0,25.0,20.0,83.0,17.0,271.0,14.0,7.0,71.0,3.0,1090.0,3.0,7.0,42.0,73.0,24.0,44.0,181.0,45.0,1.0,14.6873,15.0,9.0,18.0,9.0,43.0,85.0,25.0,1.0,158.0,10.0,79.0,51.0,25.0,8.0,142.0,15.0,30.0,21.0,9.0,87.0,29.0,0.0,260.0,10.0,9.0,168.0,13.0,3.0,,42.0,18.0,12.0,4.0,7.0,65.0,481.0,6.0,53.0,6.0,,5.0065,1.0,8.0,18.0,4.0,,11.0,6.0,,7.0,3.0,3.0,2.0,3.0,3.0,7.0,2.0,3.0,2.0,1.0,5.0,3.0,2.0,3.0,,1.0,,,1.0,1.0,2.0,2.0,2.0,1.0,0.1222,1.0,1.0,,,,,,,,,,,,,,,,,,,,
106603,Ezekiel Fryers,Defender,C Palace,31,England,2014-15,,,0.0,,,,,,,,1.0,,,,2.0,1.0,,,,3.0,,,,,,,2.0,,,,,,,,,1.0,,0.0,,,1.0,,1.0,,2.0,,,,,,,0.0,2.0,,,1.0,,,,,,,,,,3.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28541,Fraizer Campbell,Forward,C Palace,31,England,2014-15,112.0,0.2128,0.0,4.0,9.0,4.4554,9.0,21.0,,68.0,20.0,23.0,70.0,5.0,240.0,7.0,,85.0,4.0,1175.0,4.0,7.0,54.0,77.0,13.0,46.0,168.0,57.0,3.0,18.5724,8.0,2.0,24.0,3.0,58.0,47.0,23.0,1.0,189.0,9.0,84.0,51.0,20.0,20.0,125.0,19.0,5.0,33.0,3.0,104.0,31.0,0.0,216.0,12.0,5.0,145.0,7.0,15.0,1.0,58.0,18.0,6.0,,2.0,51.0,417.0,1.0,46.0,9.0,1.0,4.724,5.0,2.0,8.0,1.0,5.0,13.0,10.0,,1.0,5.0,,,2.0,1.0,10.0,1.0,,1.0,,4.0,1.0,3.0,2.0,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
20529,Glenn Murray,Forward,C Palace,31,England,2014-15,109.0,0.4282,1.0,7.0,18.0,8.7919,9.0,31.0,,79.0,17.0,25.0,79.0,6.0,184.0,8.0,,113.0,11.0,866.0,11.0,7.0,64.0,88.0,8.0,39.0,103.0,63.0,1.0,10.553,4.0,17.0,10.0,6.0,45.0,33.0,28.0,0.0,197.0,3.0,77.0,18.0,17.0,11.0,90.0,8.0,6.0,18.0,6.0,84.0,49.0,0.0,176.0,13.0,5.0,137.0,5.0,4.0,2.0,34.0,29.0,3.0,,2.0,40.0,364.0,,16.0,10.0,,9.0071,3.0,,10.0,1.0,2.0,9.0,15.0,,1.0,2.0,,,4.0,,5.0,,,,3.0,7.0,5.0,2.0,3.0,3.0,1.0,,1.0,1.0,,1.0,,,2.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,
130103,Hiram Boateng,Midfielder,C Palace,31,England,2014-15,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
