playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,totalTackles,unsuccessfulShortPasses,gamesPlayed,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,aerialDuels,cleanSheets,successfulCrossesAndCorners,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,clearancesOffTheLine,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalShots,offsides,iboxTarget,shotsOnTargetInBox,unsuccessfulLayoffs,shotsBlockedInBox,iboxBlocked,shotsOffTargetIncWoodwork,hitWoodwork,expectedGoals,expectedGoalsFreekick,throughBalls,goalAssists,foulWonPenalty,goals,oboxBlocked,substituteOn,cornersTakenInclShortCorners,shotsOnTargetOutsideBox,successfulCornersIntoBox,penaltyGoalsConceded,oboxTarget,leftFootGoals,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,shotsBlockedOutsideBox,secondGoalAssists,rightFootGoals,penaltiesTaken,headedGoals,penaltyGoals,handballsConceded,penaltiesConceded,ownGoalScored,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,setPiecesGoals,drops,crossesNotClaimed
214590,Aaron Wan-Bissaka,Defender,C Palace,31,DR Congo,2017-18,24.0,4.0,0.3583,0.0,30.0,32.0,7.0,1.0,7.0,55.0,16.0,203.0,19.0,2.0,4.0,628.0,10.0,55.0,3.0,23.0,46.0,143.0,1.0,26.0,8.9186,3.0,3.0,33.0,10.0,14.0,14.0,3.0,79.0,11.0,114.0,38.0,7.0,11.0,2.0,93.0,7.0,16.0,60.0,9.0,0.0,202.0,3.0,114.0,19.0,13.0,7.0,50.0,2.0,15.0,1.0,5.0,25.0,444.0,44.0,1.0,17.0,59.0,2.0,1.0,23.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143877,Alexander Sørloth,Forward,C Palace,31,Norway,2017-18,45.0,,0.4609,0.0,6.0,38.0,4.0,5.0,4.0,42.0,7.0,107.0,41.0,,,360.0,21.0,39.0,3.0,15.0,19.0,62.0,18.0,,7.3303,6.0,1.0,5.0,9.0,24.0,30.0,2.0,84.0,5.0,34.0,17.0,4.0,3.0,1.0,44.0,6.0,7.0,43.0,20.0,0.0,104.0,1.0,68.0,3.0,11.0,,22.0,6.0,2.0,,3.0,21.0,179.0,,,1.0,21.0,1.0,0.0,4.0,12.0,1.0,3.0,0.636,6.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,0.5249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60252,Andros Townsend,Midfielder,C Palace,31,England,2017-18,185.0,16.0,5.412,0.0,60.0,174.0,36.0,53.0,35.0,219.0,94.0,1023.0,17.0,5.0,45.0,3129.0,13.0,193.0,12.0,97.0,189.0,771.0,93.0,2.0,47.6894,59.0,4.0,21.0,48.0,172.0,152.0,46.0,378.0,48.0,288.0,182.0,36.0,26.0,38.0,653.0,36.0,131.0,361.0,4.0,0.0,978.0,41.0,575.0,34.0,84.0,1.0,330.0,10.0,35.0,1.0,33.0,253.0,1851.0,21.0,9.0,30.0,196.0,3.0,3.0,45.0,48.0,21.0,14.0,3.4253,41.0,6.0,2.0,2.0,6.0,7.0,7.0,27.0,,3.1881,0.1246,2.0,7.0,2.0,2.0,14.0,1.0,49.0,10.0,20.0,2.0,10.0,2.0,2.0,2.0,24.0,14.0,2.0,,,,,,,,,,,,,,,,,,,,,
44343,Bakary Sako,Midfielder,C Palace,31,Mali,2017-18,49.0,5.0,0.6467,0.0,7.0,38.0,16.0,7.0,4.0,44.0,18.0,131.0,27.0,1.0,6.0,468.0,16.0,32.0,2.0,11.0,21.0,81.0,29.0,,8.504,6.0,1.0,,10.0,33.0,20.0,7.0,81.0,2.0,38.0,27.0,16.0,1.0,6.0,67.0,8.0,21.0,54.0,11.0,0.0,127.0,11.0,105.0,6.0,7.0,,37.0,8.0,1.0,,6.0,36.0,246.0,1.0,2.0,4.0,26.0,4.0,0.0,6.0,7.0,5.0,6.0,2.3324,12.0,4.0,3.0,3.0,2.0,2.0,2.0,6.0,,1.9849,,,,,3.0,3.0,12.0,4.0,,1.0,,,2.0,,,2.0,3.0,,1.0,,,,,,,,,,,,,,,,,,,,
54861,Christian Benteke,Forward,C Palace,31,Belgium,2017-18,279.0,,1.7493,0.0,11.0,284.0,31.0,68.0,24.0,293.0,3.0,672.0,427.0,5.0,,2236.0,185.0,290.0,6.0,26.0,48.0,366.0,137.0,,37.4525,23.0,,43.0,36.0,94.0,174.0,27.0,569.0,12.0,206.0,50.0,31.0,7.0,10.0,254.0,30.0,3.0,142.0,242.0,0.0,636.0,15.0,428.0,4.0,16.0,3.0,131.0,48.0,3.0,1.0,13.0,161.0,1027.0,,3.0,4.0,125.0,8.0,6.0,9.0,39.0,11.0,21.0,7.9019,49.0,12.0,17.0,17.0,23.0,8.0,8.0,28.0,,10.2018,,3.0,5.0,2.0,3.0,3.0,7.0,,1.0,,1.0,1.0,,,,,3.0,,1.0,2.0,2.0,1.0,5.0,,,,,,,,,,,,,,,,
7906,Damien Delaney,Defender,C Palace,31,Ireland,2017-18,4.0,,0.0122,0.0,2.0,3.0,2.0,,1.0,8.0,,38.0,4.0,,,95.0,4.0,3.0,,2.0,3.0,27.0,,,3.6539,,1.0,7.0,5.0,,4.0,,7.0,1.0,27.0,6.0,2.0,1.0,,9.0,5.0,,3.0,,0.0,37.0,,9.0,1.0,1.0,4.0,6.0,,3.0,,3.0,1.0,60.0,,,4.0,21.0,,0.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51917,Diego Cavalieri,Goalkeeper,C Palace,31,Brazil,2017-18,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199806,Dion Henry,Goalkeeper,C Palace,31,England,2017-18,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163776,Erdal Rakip,Midfielder,C Palace,31,North Macedonia,2017-18,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173954,Jairo Riedewald,Midfielder,C Palace,31,Netherlands,2017-18,11.0,2.0,0.1132,0.0,11.0,19.0,12.0,2.0,4.0,32.0,,155.0,7.0,2.0,2.0,435.0,3.0,18.0,1.0,9.0,14.0,110.0,5.0,,5.4747,,2.0,12.0,6.0,8.0,36.0,,29.0,6.0,69.0,23.0,12.0,3.0,,73.0,5.0,,22.0,4.0,0.0,154.0,2.0,42.0,8.0,3.0,1.0,23.0,3.0,12.0,,13.0,27.0,222.0,1.0,,8.0,52.0,2.0,0.0,13.0,6.0,,,,1.0,,,,,,,1.0,,0.0397,,,,,,,8.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
