playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,oboxBlocked,substituteOn,cornersTakenInclShortCorners,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,oboxTarget,rightFootGoals,tacklesLost,leftFootGoals,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,throwInsToOppositionPlayer,lastPlayerTackle,redCards2ndYellow,clearancesOffTheLine,successfulLaunches,secondGoalAssists,setPiecesGoals,freekickTotal,attemptsFromSetPieces,hitWoodwork,expectedGoalsFreekick,foulWonPenalty,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,successfulCornersIntoBox,unsuccessfulCornersIntoBox,penaltiesConceded,headedGoals,ownGoalScored,otherGoals,penaltiesTaken,penaltyGoals
101184,Calum Chambers,Defender,Arsenal,3,England,2018-19,154.0,,0.7733,0.0,11.0,11.0,,1.627,63.0,24.0,2.0,195.0,31.0,,8.0,29.0,311.0,14.0,1484.0,2.0,,,6.0,2.0,,119.0,5.0,4.0,,5.0,2586.0,5.0,,55.0,154.0,7.0,52.0,90.0,1084.0,39.0,3.0,47.1953,16.0,107.0,52.0,5.0,99.0,357.0,4.0,,308.0,25.0,,547.0,233.0,31.0,4.0,2.0,27.0,,10.0,520.0,45.0,14.0,,5.0,189.0,64.0,0.0,1462.0,13.0,8.0,405.0,36.0,23.0,12.0,392.0,34.0,69.0,89.0,188.0,1983.0,2.0,1.0,6.0,42.0,653.0,11.0,2.0,2.2819,9.0,116.0,85.0,1.0,,,,9.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
80254,Carl Jenkinson,Defender,Arsenal,3,England,2018-19,6.0,,0.0598,0.0,,,1.0,,3.0,,,13.0,3.0,,,2.0,17.0,3.0,75.0,,,,,1.0,,3.0,,,,,165.0,,,2.0,4.0,,6.0,3.0,58.0,4.0,,2.1091,1.0,2.0,3.0,,4.0,7.0,,0.0,10.0,1.0,,23.0,8.0,3.0,,,1.0,,,35.0,3.0,3.0,3.0,,7.0,1.0,0.0,75.0,,2.0,29.0,2.0,,3.0,22.0,1.0,,,23.0,111.0,13.0,1.0,,2.0,23.0,,1.0,,0.0,4.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98745,Héctor Bellerín,Defender,Arsenal,3,Spain,2018-19,69.0,9.0,2.4761,0.0,8.0,4.0,1.0,0.2232,15.0,10.0,6.0,108.0,19.0,5.0,1.0,18.0,124.0,30.0,785.0,,1.0,,3.0,1.0,,45.0,3.0,2.0,9.0,2.0,1533.0,2.0,,24.0,57.0,2.0,38.0,36.0,636.0,53.0,2.0,21.236,3.0,33.0,21.0,5.0,45.0,34.0,6.0,0.0,126.0,12.0,,225.0,79.0,19.0,2.0,,3.0,,8.0,352.0,19.0,30.0,23.0,5.0,81.0,21.0,0.0,776.0,6.0,15.0,209.0,12.0,15.0,5.0,332.0,16.0,20.0,25.0,194.0,1159.0,124.0,3.0,3.0,10.0,318.0,5.0,1.0,0.9365,3.0,16.0,44.0,8.0,,,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
233963,Konstantinos Mavropanos,Defender,Arsenal,3,Greece,2018-19,5.0,,0.0168,0.0,,,,,1.0,2.0,,9.0,4.0,,,3.0,10.0,,137.0,,,,,1.0,,5.0,,,,,149.0,,,3.0,5.0,,1.0,3.0,114.0,2.0,,1.8344,1.0,5.0,1.0,,2.0,54.0,,0.0,10.0,,,39.0,5.0,4.0,,,1.0,,,44.0,1.0,,,,5.0,2.0,0.0,135.0,2.0,,10.0,,2.0,1.0,39.0,2.0,7.0,13.0,5.0,158.0,,3.0,,,83.0,,,0.1232,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51507,Laurent Koscielny,Defender,Arsenal,3,France,2018-19,46.0,,0.1968,0.0,,4.0,,2.3137,20.0,5.0,,49.0,17.0,,,13.0,72.0,,891.0,3.0,,1.0,,4.0,,53.0,3.0,,,1.0,1330.0,1.0,,28.0,60.0,1.0,11.0,35.0,760.0,12.0,2.0,22.5085,2.0,70.0,23.0,,18.0,354.0,14.0,0.0,106.0,5.0,2.0,210.0,80.0,17.0,,1.0,9.0,,,215.0,22.0,,3.0,,53.0,25.0,0.0,860.0,1.0,2.0,82.0,11.0,1.0,15.0,285.0,9.0,30.0,59.0,42.0,1082.0,1.0,1.0,,9.0,604.0,4.0,,1.3798,1.0,23.0,32.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,
38411,Nacho Monreal,Defender,Arsenal,3,Spain,2018-19,71.0,4.0,1.2755,0.0,1.0,4.0,2.0,1.6606,35.0,6.0,,100.0,22.0,3.0,,21.0,145.0,24.0,1168.0,1.0,1.0,0.0,,1.0,,75.0,5.0,1.0,4.0,2.0,1861.0,2.0,1.0,39.0,99.0,2.0,48.0,63.0,993.0,37.0,2.0,27.8058,8.0,54.0,24.0,1.0,32.0,461.0,21.0,0.0,170.0,18.0,1.0,428.0,101.0,22.0,1.0,,18.0,1.0,6.0,509.0,22.0,24.0,9.0,1.0,95.0,36.0,0.0,1147.0,2.0,7.0,212.0,17.0,7.0,10.0,94.0,17.0,31.0,30.0,185.0,1580.0,119.0,1.0,,28.0,518.0,10.0,3.0,1.3217,5.0,45.0,70.0,22.0,,,1.0,9.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
156074,Rob Holding,Defender,Arsenal,3,England,2018-19,25.0,,0.1394,0.0,,,2.0,,11.0,2.0,,53.0,10.0,,,9.0,77.0,1.0,614.0,,,,,1.0,,30.0,1.0,,,,807.0,,,9.0,37.0,,4.0,16.0,503.0,4.0,3.0,12.4195,2.0,37.0,10.0,,16.0,242.0,2.0,0.0,62.0,2.0,,219.0,54.0,10.0,,,4.0,,2.0,141.0,10.0,1.0,4.0,,32.0,21.0,0.0,602.0,2.0,,88.0,7.0,3.0,7.0,123.0,6.0,12.0,34.0,30.0,724.0,3.0,1.0,,11.0,396.0,1.0,,0.1226,1.0,24.0,36.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
111457,Sead Kolasinac,Defender,Arsenal,3,Bosnia & Herzegovina,2018-19,89.0,12.0,4.6691,0.0,3.0,2.0,5.0,0.1608,34.0,6.0,3.0,185.0,24.0,5.0,,22.0,217.0,37.0,971.0,,10.0,,1.0,2.0,3.0,48.0,5.0,1.0,12.0,1.0,1890.0,1.0,1.0,28.0,76.0,,58.0,56.0,734.0,85.0,3.0,30.3032,26.0,25.0,29.0,2.0,61.0,322.0,10.0,0.0,165.0,9.0,,362.0,126.0,24.0,1.0,,13.0,,11.0,451.0,29.0,39.0,28.0,2.0,117.0,20.0,0.0,959.0,4.0,16.0,342.0,21.0,13.0,3.0,51.0,21.0,20.0,20.0,236.0,1469.0,185.0,6.0,1.0,16.0,315.0,10.0,2.0,0.3863,5.0,32.0,65.0,17.0,,,,4.0,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,1.0,,,,,
69140,Shkodran Mustafi,Defender,Arsenal,3,Germany,2018-19,119.0,1.0,0.5993,0.0,1.0,9.0,1.0,1.8539,62.0,17.0,4.0,181.0,31.0,,,31.0,320.0,10.0,1765.0,2.0,4.0,2.0,,,,185.0,5.0,,1.0,7.0,2615.0,7.0,,62.0,200.0,2.0,33.0,77.0,1347.0,39.0,6.0,44.2628,6.0,161.0,40.0,1.0,57.0,267.0,8.0,0.0,319.0,17.0,0.0,693.0,116.0,31.0,,,17.0,,5.0,429.0,38.0,10.0,11.0,1.0,134.0,123.0,0.0,1713.0,8.0,5.0,370.0,45.0,8.0,17.0,691.0,42.0,58.0,98.0,114.0,2223.0,19.0,6.0,,53.0,1017.0,25.0,,1.5031,9.0,139.0,111.0,10.0,,,1.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,
39476,Sokratis Papastathopoulos,Defender,Arsenal,3,Greece,2018-19,98.0,,0.5828,0.0,2.0,2.0,,0.1152,42.0,9.0,1.0,71.0,25.0,2.0,,25.0,147.0,,1387.0,1.0,,1.0,,,,101.0,5.0,,,1.0,2199.0,1.0,,45.0,127.0,3.0,21.0,71.0,1138.0,14.0,5.0,34.2632,3.0,108.0,33.0,2.0,53.0,414.0,25.0,0.0,225.0,17.0,0.0,473.0,102.0,25.0,,,17.0,,,265.0,30.0,,5.0,2.0,124.0,56.0,0.0,1343.0,7.0,1.0,164.0,25.0,6.0,17.0,414.0,37.0,26.0,102.0,86.0,1699.0,4.0,1.0,,41.0,975.0,13.0,,0.8069,12.0,76.0,64.0,,1.0,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
