playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,totalRedCards,blockedShots,shotsOnTargetIncGoals,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,awayGoals,substituteOn,cornersTakenInclShortCorners,aerialDuels,cleanSheets,successfulCrossesAndCorners,timePlayed,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,totalFoulsWon,winningGoal,duels,homeGoals,recoveries,appearances,rightFootGoals,tacklesLost,leftFootGoals,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,successfulLongPasses,touches,throwInsToOwnPlayer,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,offsides,goalsConcededOutsideBox,penaltyGoalsConceded,ownGoalScored,headedGoals,handballsConceded,penaltiesConceded,lastPlayerTackle,hitWoodwork,foulWonPenalty,successfulCornersIntoBox,throwInsToOppositionPlayer,attemptsFromSetPieces,setPiecesGoals,penaltiesTaken,penaltyGoals,clearancesOffTheLine,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,punches,savesMade,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,penaltiesSaved,penaltiesFaced,savesFromPenalty,forwardPasses
20488,Armand Traore,Defender,Arsenal,3,Senegal,2009-10,45.0,1.0,0.0,1.0,,23.0,,1.0,61.0,9.0,,2.0,9.0,73.0,24.0,448.0,,,,,29.0,2.0,1.0,805.0,,12.0,53.0,36.0,358.0,4.0,3.0,3.0,44.0,10.0,33.0,5.0,0.0,98.0,,55.0,9.0,,7.0,,10.0,195.0,8.0,24.0,20.0,69.0,17.0,0.0,444.0,,2.0,140.0,16.0,8.0,,6.0,26.0,,17.0,697.0,61.0,2.0,9.0,181.0,2.0,12.0,28.0,,2.0,,,,1.0,,1.0,,,,9.0,,,,,,,,,,,,,,,,,,,,,
37748,Bacary Sagna,Defender,Arsenal,3,France,2009-10,119.0,30.0,0.0,2.0,1.0,62.0,7.0,2.0,186.0,35.0,3.0,3.0,31.0,235.0,135.0,1605.0,,,4.0,5.0,90.0,10.0,30.0,2760.0,,34.0,168.0,112.0,1331.0,21.0,26.0,5.0,135.0,36.0,85.0,41.0,0.0,287.0,,144.0,35.0,,17.0,,15.0,840.0,32.0,139.0,52.0,197.0,56.0,0.0,1577.0,6.0,29.0,541.0,45.0,9.0,7.0,24.0,78.0,3.0,39.0,2569.0,288.0,4.0,52.0,560.0,3.0,49.0,61.0,,4.0,5.0,,,,,1.0,,,,51.0,,,,,,,,,,,,,,,,,,,,,
19701,Emmanuel Eboué,Defender,Arsenal,3,Cote d’Ivoire,2009-10,108.0,5.0,0.0,2.0,4.0,43.0,14.0,9.0,88.0,25.0,3.0,47.0,17.0,99.0,37.0,746.0,1.0,0.0,8.0,3.0,27.0,4.0,5.0,1493.0,4.0,21.0,132.0,126.0,620.0,71.0,22.0,2.0,16.0,18.0,87.0,41.0,0.0,240.0,1.0,83.0,25.0,1.0,13.0,,31.0,415.0,16.0,40.0,63.0,213.0,6.0,0.0,729.0,10.0,17.0,220.0,30.0,42.0,4.0,20.0,36.0,3.0,27.0,1200.0,63.0,10.0,6.0,237.0,4.0,11.0,21.0,4.0,2.0,3.0,,,1.0,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,
17336,Gaël Clichy,Defender,Arsenal,3,France,2009-10,97.0,13.0,0.0,1.0,4.0,73.0,7.0,4.0,183.0,24.0,1.0,4.0,23.0,244.0,64.0,1175.0,,,1.0,,52.0,9.0,13.0,2086.0,,23.0,150.0,121.0,874.0,8.0,11.0,14.0,87.0,27.0,74.0,25.0,0.0,247.0,,128.0,24.0,,19.0,,13.0,536.0,25.0,64.0,24.0,195.0,29.0,0.0,1154.0,3.0,7.0,420.0,54.0,23.0,5.0,24.0,82.0,,57.0,1856.0,171.0,,54.0,408.0,4.0,61.0,60.0,,2.0,4.0,,,,,4.0,,,,43.0,1.0,,,,,,,,,,,,,,,,,,,,
19160,Johan Djourou,Defender,Arsenal,3,Switzerland,2009-10,1.0,,0.0,,,1.0,,,2.0,1.0,,,,2.0,,19.0,,,1.0,,,,,28.0,,,4.0,4.0,13.0,,,,1.0,,1.0,3.0,0.0,5.0,,1.0,1.0,,1.0,,,3.0,,,,5.0,,0.0,18.0,,,2.0,,,,1.0,1.0,,4.0,25.0,,,,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42427,Kieran Gibbs,Defender,Arsenal,3,England,2009-10,16.0,2.0,0.0,1.0,,10.0,,1.0,32.0,3.0,,,3.0,37.0,9.0,165.0,,,,,13.0,,2.0,270.0,,8.0,20.0,15.0,124.0,6.0,1.0,,12.0,3.0,8.0,2.0,0.0,36.0,,16.0,3.0,,3.0,,3.0,71.0,3.0,9.0,4.0,23.0,5.0,0.0,161.0,,1.0,54.0,7.0,3.0,,1.0,11.0,,4.0,250.0,20.0,,7.0,59.0,1.0,5.0,12.0,1.0,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
1851,Mikael Silvestre,Defender,Arsenal,3,France,2009-10,36.0,,0.0,,2.0,15.0,6.0,,60.0,12.0,,1.0,9.0,81.0,14.0,443.0,1.0,1.0,3.0,,26.0,4.0,,857.0,,15.0,34.0,23.0,322.0,10.0,4.0,3.0,44.0,8.0,21.0,6.0,0.0,70.0,0.0,51.0,12.0,,4.0,,,119.0,7.0,14.0,2.0,44.0,11.0,0.0,435.0,4.0,1.0,121.0,11.0,2.0,6.0,14.0,27.0,,40.0,601.0,14.0,1.0,13.0,243.0,2.0,21.0,33.0,,1.0,1.0,,1.0,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
16854,Philippe Senderos,Defender,Arsenal,3,Switzerland,2009-10,,,0.0,,,2.0,1.0,1.0,4.0,2.0,,,1.0,8.0,,24.0,,,1.0,,1.0,1.0,,91.0,,,4.0,3.0,13.0,1.0,,2.0,11.0,,,1.0,0.0,4.0,,3.0,2.0,,,,,7.0,,,,3.0,1.0,0.0,23.0,1.0,,12.0,2.0,,,,5.0,,3.0,45.0,,,3.0,9.0,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1886,Sol Campbell,Defender,Arsenal,3,England,2009-10,29.0,,0.0,1.0,2.0,26.0,5.0,,47.0,11.0,,2.0,10.0,71.0,,381.0,,,1.0,,29.0,4.0,,955.0,,8.0,59.0,38.0,286.0,11.0,2.0,6.0,56.0,10.0,21.0,8.0,0.0,88.0,,46.0,11.0,,4.0,,1.0,82.0,8.0,,7.0,59.0,21.0,0.0,374.0,3.0,,108.0,22.0,4.0,8.0,11.0,27.0,,24.0,538.0,3.0,,21.0,228.0,3.0,24.0,18.0,,2.0,1.0,,,,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
15943,Thomas Vermaelen,Defender,Arsenal,3,Belgium,2009-10,115.0,1.0,1.0,10.0,13.0,64.0,28.0,1.0,134.0,33.0,1.0,4.0,33.0,189.0,6.0,1131.0,7.0,2.0,,,173.0,10.0,1.0,2799.0,,72.0,206.0,105.0,854.0,34.0,4.0,8.0,234.0,34.0,43.0,32.0,6.0,321.0,5.0,144.0,33.0,1.0,19.0,4.0,,256.0,31.0,6.0,10.0,148.0,101.0,1.0,1110.0,15.0,1.0,313.0,45.0,9.0,18.0,28.0,67.0,,88.0,1652.0,3.0,2.0,50.0,687.0,3.0,55.0,72.0,3.0,3.0,5.0,1.0,2.0,2.0,2.0,9.0,,,,1.0,8.0,,,,,,,,,,,,,,,,,,,,
