playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,totalRedCards,blockedShots,shotsOnTargetIncGoals,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,setPiecesGoals,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,substituteOn,cornersTakenInclShortCorners,aerialDuels,cleanSheets,successfulCrossesAndCorners,timePlayed,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,successfulCornersIntoBox,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,totalFoulsWon,winningGoal,duels,homeGoals,recoveries,appearances,penaltiesTaken,rightFootGoals,tacklesLost,leftFootGoals,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,attemptsFromSetPieces,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,penaltyGoals,successfulLongPasses,touches,throwInsToOwnPlayer,substituteOff,hitWoodwork,unsuccessfulLaunches,successfulPassesOwnHalf,handballsConceded,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,foulWonPenalty,ownGoalScored,headedGoals,blocks,lastPlayerTackle,clearancesOffTheLine,penaltiesConceded,forwardPasses,redCards2ndYellow,otherGoals,gkSuccessfulDistribution,gkUnsuccessfulDistribution,goalKicks,penaltiesSaved,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,savesFromPenalty,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,savesMadeParried,savesMadeFromInsideBox
58622,Bondz N'Gala,Defender,West Ham,21,England,2009-10,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1059,Danny Gabbidon,Defender,West Ham,21,Wales,2009-10,27.0,,0.0,,,13.0,2.0,,34.0,10.0,,1.0,1.0,8.0,49.0,4.0,248.0,,,,2.0,,36.0,,,715.0,1.0,14.0,43.0,3.0,21.0,178.0,,5.0,4.0,1.0,1.0,4.0,98.0,21.0,13.0,7.0,0.0,70.0,,25.0,10.0,,,7.0,,2.0,41.0,18.0,4.0,4.0,34.0,22.0,0.0,245.0,2.0,,101.0,6.0,1.0,,9.0,23.0,,,21.0,443.0,15.0,1.0,,14.0,158.0,,0.0,15.0,14.0,,,,14.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
49905,Fabio Daprelà,Defender,West Ham,21,Switzerland,2009-10,26.0,1.0,0.0,,,15.0,,,22.0,7.0,,,,4.0,25.0,2.0,141.0,,,,3.0,,8.0,,1.0,372.0,,4.0,31.0,2.0,27.0,111.0,,2.0,4.0,1.0,2.0,3.0,24.0,10.0,22.0,8.0,0.0,57.0,,5.0,7.0,,,4.0,,2.0,50.0,8.0,2.0,8.0,49.0,4.0,0.0,135.0,,,51.0,11.0,4.0,,10.0,4.0,,,5.0,250.0,30.0,,,4.0,67.0,,2.0,3.0,6.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
33305,Herita Ilunga,Defender,West Ham,21,DR Congo,2009-10,64.0,4.0,0.0,2.0,2.0,35.0,2.0,2.0,79.0,16.0,,1.0,6.0,16.0,100.0,12.0,545.0,,1.0,,,,36.0,1.0,4.0,1210.0,1.0,21.0,75.0,4.0,60.0,435.0,,12.0,16.0,3.0,7.0,3.0,61.0,27.0,43.0,19.0,0.0,139.0,,56.0,16.0,,,5.0,,12.0,232.0,23.0,13.0,21.0,103.0,15.0,0.0,529.0,,4.0,183.0,30.0,6.0,,15.0,15.0,,,10.0,893.0,113.0,5.0,,17.0,217.0,,2.0,21.0,20.0,,,,7.0,,,,,,,,,,,,,,,,,,,,,,
49413,James Tomkins,Defender,West Ham,21,England,2009-10,91.0,2.0,0.0,3.0,2.0,29.0,14.0,2.0,94.0,23.0,,,,22.0,143.0,3.0,744.0,,1.0,,1.0,,139.0,5.0,2.0,1996.0,,62.0,122.0,6.0,45.0,531.0,,25.0,,4.0,4.0,19.0,270.0,37.0,29.0,15.0,0.0,213.0,,81.0,23.0,,,4.0,,1.0,154.0,31.0,3.0,5.0,74.0,77.0,0.0,704.0,12.0,2.0,275.0,25.0,1.0,1.0,11.0,55.0,,,70.0,1195.0,4.0,2.0,,43.0,449.0,,0.0,49.0,42.0,,,,18.0,1.0,,,,,,,,,,,,,,,,,,,,,
18005,Jonathan Spector,Defender,West Ham,21,United States,2009-10,92.0,3.0,0.0,2.0,,73.0,3.0,5.0,162.0,27.0,,,5.0,22.0,216.0,30.0,839.0,,,,5.0,,38.0,5.0,3.0,2238.0,,18.0,137.0,8.0,117.0,567.0,,14.0,44.0,1.0,15.0,19.0,148.0,44.0,74.0,29.0,0.0,229.0,,96.0,27.0,,,14.0,,18.0,280.0,36.0,30.0,34.0,191.0,20.0,0.0,826.0,3.0,3.0,393.0,59.0,15.0,,23.0,51.0,,,56.0,1522.0,187.0,1.0,,39.0,346.0,,2.0,54.0,66.0,1.0,1.0,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,
51933,Jordan Spence,Defender,West Ham,21,England,2009-10,,,0.0,,,1.0,,,,1.0,,,,,,,1.0,,,,1.0,,,,,2.0,,,1.0,,1.0,1.0,,,,,,,,,,,0.0,1.0,,,1.0,,,,,,1.0,,,,1.0,,0.0,1.0,,,,1.0,,,,,,,,2.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37753,Julien Faubert,Defender,West Ham,21,France,2009-10,131.0,24.0,0.0,1.0,1.0,49.0,6.0,6.0,205.0,33.0,,3.0,8.0,32.0,301.0,131.0,1090.0,1.0,,0.0,1.0,,63.0,8.0,24.0,2820.0,1.0,35.0,120.0,6.0,92.0,718.0,,11.0,33.0,4.0,25.0,20.0,120.0,49.0,96.0,21.0,0.0,251.0,1.0,168.0,33.0,,1.0,9.0,,25.0,410.0,43.0,132.0,49.0,188.0,28.0,0.0,1071.0,5.0,23.0,578.0,40.0,22.0,,32.0,56.0,,,71.0,1987.0,297.0,2.0,,69.0,403.0,2.0,6.0,96.0,102.0,,,,9.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
37863,Manuel da Costa,Defender,West Ham,21,Morocco,2009-10,54.0,,0.0,,3.0,28.0,9.0,1.0,64.0,15.0,,,1.0,12.0,133.0,,413.0,2.0,,2.0,3.0,,75.0,1.0,,1094.0,,24.0,96.0,4.0,45.0,246.0,,14.0,,1.0,1.0,13.0,154.0,25.0,30.0,10.0,0.0,150.0,0.0,58.0,15.0,,1.0,9.0,1.0,3.0,78.0,21.0,,10.0,75.0,51.0,0.0,396.0,6.0,4.0,220.0,19.0,7.0,2.0,13.0,33.0,,,34.0,709.0,2.0,,,55.0,202.0,1.0,0.0,69.0,27.0,,,,12.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,
1640,Matt Upson,Defender,West Ham,21,England,2009-10,99.0,,0.0,4.0,7.0,54.0,15.0,1.0,176.0,33.0,,,2.0,33.0,242.0,1.0,1133.0,3.0,,3.0,,,142.0,8.0,,2905.0,,64.0,146.0,7.0,68.0,763.0,,31.0,1.0,5.0,12.0,37.0,387.0,50.0,35.0,13.0,0.0,245.0,0.0,77.0,33.0,,,10.0,,,292.0,43.0,1.0,2.0,103.0,78.0,0.0,1099.0,8.0,4.0,426.0,44.0,1.0,,28.0,60.0,,,128.0,1734.0,,1.0,,58.0,599.0,1.0,3.0,66.0,75.0,,,2.0,27.0,3.0,2.0,3.0,,,1.0,,,,,,,,,,,,,,,,
17526,Radoslav Kovác,Defender,West Ham,21,Czech Republic,2009-10,156.0,1.0,1.0,5.0,5.0,89.0,17.0,7.0,207.0,31.0,,2.0,100.0,27.0,237.0,3.0,1182.0,2.0,1.0,0.0,4.0,,107.0,4.0,1.0,2268.0,1.0,51.0,179.0,5.0,123.0,881.0,,20.0,1.0,2.0,9.0,3.0,74.0,46.0,105.0,27.0,0.0,335.0,2.0,122.0,31.0,,,33.0,,9.0,440.0,41.0,3.0,35.0,228.0,56.0,0.0,1171.0,12.0,4.0,314.0,56.0,7.0,,36.0,66.0,,,64.0,1577.0,1.0,10.0,1.0,22.0,506.0,2.0,7.0,30.0,65.0,,,2.0,10.0,,,,,1.0,,,,,,,,,,,,,,,,,
