playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,totalRedCards,blockedShots,shotsOnTargetIncGoals,overruns,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,foulWonPenalty,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,substituteOn,aerialDuels,cleanSheets,successfulCrossesAndCorners,timePlayed,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,keyPassesAttemptAssists,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,homeGoals,forwardPasses,recoveries,appearances,penaltiesTaken,rightFootGoals,tacklesLost,leftFootGoals,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,headedGoals,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,clearancesOffTheLine,successfulLongPasses,backwardPasses,touches,substituteOff,hitWoodwork,unsuccessfulLaunches,successfulPassesOwnHalf,handballsConceded,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,penaltiesConceded,successfulLaunches,lastPlayerTackle,throwInsToOwnPlayer,cornersTakenInclShortCorners,attemptsFromSetPieces,redCards2ndYellow,penaltyGoals,successfulCornersIntoBox,unsuccessfulCornersIntoBox,ownGoalScored,penaltiesSaved,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,savesFromPenalty,punches,savesMade,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox
1059,Danny Gabbidon,Defender,West Ham,21,Wales,2010-11,79.0,1.0,0.0,2.0,1.0,1.0,50.0,5.0,,97.0,26.0,,,,24.0,145.0,17.0,807.0,,,,2.0,83.0,3.0,1.0,2181.0,,33.0,115.0,4.0,65.0,573.0,17.0,24.0,3.0,9.0,148.0,42.0,46.0,215.0,4.0,0.0,194.0,,376.0,119.0,26.0,,,11.0,,5.0,228.0,38.0,,17.0,15.0,111.0,50.0,0.0,795.0,4.0,2.0,216.0,39.0,11.0,26.0,143.0,18.0,35.0,2.0,89.0,73.0,1272.0,1.0,,44.0,435.0,1.0,3.0,48.0,40.0,2.0,21.0,4.0,72.0,,,,,,,,,,,,,,,,,,,,,,
33305,Herita Ilunga,Defender,West Ham,21,DR Congo,2010-11,30.0,7.0,0.0,,,,22.0,,,65.0,11.0,,3.0,,10.0,76.0,12.0,333.0,,,,1.0,27.0,1.0,7.0,867.0,,10.0,46.0,,29.0,243.0,2.0,16.0,3.0,9.0,30.0,21.0,20.0,113.0,5.0,0.0,76.0,,169.0,43.0,11.0,,,6.0,,1.0,120.0,21.0,,12.0,7.0,49.0,17.0,0.0,328.0,,3.0,123.0,16.0,2.0,2.0,14.0,9.0,7.0,1.0,14.0,37.0,537.0,2.0,,6.0,144.0,,1.0,11.0,23.0,,1.0,,63.0,,,,,,,,,,,,,,,,,,,,,,
49413,James Tomkins,Defender,West Ham,21,England,2010-11,77.0,,0.0,4.0,4.0,1.0,49.0,10.0,,78.0,19.0,1.0,,,18.0,109.0,2.0,520.0,1.0,,0.0,1.0,95.0,2.0,,1582.0,,40.0,119.0,5.0,64.0,365.0,22.0,2.0,1.0,5.0,162.0,33.0,37.0,93.0,13.0,0.0,196.0,1.0,230.0,76.0,19.0,,,14.0,,2.0,118.0,28.0,1.0,2.0,5.0,101.0,55.0,0.0,502.0,6.0,1.0,127.0,35.0,2.0,22.0,141.0,18.0,45.0,2.0,46.0,56.0,884.0,2.0,1.0,34.0,293.0,1.0,3.0,31.0,34.0,,21.0,6.0,17.0,,1.0,,,,,,,,,,,,,,,,,,,,
18005,Jonathan Spector,Defender,West Ham,21,United States,2010-11,39.0,3.0,0.0,1.0,3.0,,23.0,8.0,5.0,64.0,14.0,,6.0,,10.0,76.0,4.0,265.0,1.0,,,4.0,18.0,,3.0,928.0,,7.0,54.0,3.0,43.0,181.0,,4.0,,6.0,23.0,22.0,32.0,,15.0,,93.0,,,35.0,14.0,,1.0,6.0,,5.0,103.0,19.0,,4.0,,75.0,11.0,0.0,,5.0,4.0,,17.0,5.0,2.0,,7.0,12.0,,8.0,,428.0,2.0,,11.0,89.0,,2.0,12.0,20.0,1.0,2.0,,18.0,,,,,,,,,,,,,,,,,,,,,,
51933,Jordan Spence,Defender,West Ham,21,England,2010-11,4.0,,0.0,,,,6.0,,,12.0,2.0,,,,2.0,17.0,1.0,69.0,,,,,1.0,,,180.0,,,8.0,2.0,7.0,46.0,,4.0,,2.0,9.0,6.0,4.0,7.0,,0.0,12.0,,37.0,5.0,2.0,,,1.0,,1.0,27.0,4.0,,1.0,1.0,11.0,1.0,0.0,69.0,,,25.0,5.0,1.0,2.0,19.0,2.0,2.0,,6.0,6.0,116.0,,,6.0,25.0,,0.0,5.0,4.0,,2.0,1.0,15.0,,,,,,,,,,,,,,,,,,,,,,
37753,Julien Faubert,Defender,West Ham,21,France,2010-11,25.0,3.0,0.0,1.0,1.0,,8.0,2.0,,50.0,9.0,,1.0,,7.0,66.0,16.0,188.0,,2.0,,2.0,9.0,,4.0,612.0,,7.0,17.0,,15.0,112.0,4.0,18.0,2.0,6.0,17.0,18.0,18.0,9.0,3.0,0.0,42.0,,114.0,24.0,9.0,,,,,3.0,75.0,18.0,,18.0,8.0,33.0,2.0,0.0,184.0,1.0,3.0,117.0,8.0,4.0,1.0,53.0,7.0,17.0,,10.0,12.0,364.0,1.0,,13.0,51.0,,2.0,16.0,19.0,,1.0,,45.0,,,,,,,,,,,,,,,,,,,,,,
12207,Lars Jacobsen,Defender,West Ham,21,Denmark,2010-11,47.0,7.0,0.0,1.0,,3.0,33.0,3.0,,104.0,24.0,,,,22.0,173.0,48.0,714.0,,,,2.0,32.0,3.0,7.0,1995.0,,23.0,50.0,6.0,41.0,489.0,7.0,68.0,3.0,8.0,86.0,36.0,24.0,27.0,4.0,0.0,97.0,,326.0,63.0,24.0,,,4.0,,7.0,283.0,30.0,,49.0,13.0,65.0,9.0,0.0,705.0,3.0,4.0,314.0,29.0,4.0,11.0,242.0,6.0,24.0,,52.0,119.0,1225.0,2.0,,75.0,265.0,,0.0,69.0,44.0,,27.0,,165.0,,,,,,,,,,,,,,,,,,,,,,
37863,Manuel da Costa,Defender,West Ham,21,Morocco,2010-11,74.0,,0.0,7.0,10.0,,34.0,20.0,2.0,68.0,16.0,,1.0,,14.0,127.0,3.0,437.0,1.0,,0.0,2.0,88.0,3.0,,1293.0,,23.0,122.0,4.0,57.0,255.0,32.0,,1.0,5.0,138.0,21.0,51.0,57.0,13.0,0.0,196.0,1.0,247.0,69.0,16.0,,,7.0,,1.0,91.0,17.0,1.0,3.0,14.0,108.0,65.0,0.0,430.0,10.0,1.0,159.0,27.0,10.0,15.0,104.0,27.0,38.0,,55.0,29.0,761.0,1.0,,46.0,219.0,2.0,3.0,59.0,34.0,,12.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
1640,Matt Upson,Defender,West Ham,21,England,2010-11,87.0,1.0,0.0,,2.0,,48.0,8.0,2.0,109.0,30.0,,,,30.0,163.0,,751.0,,1.0,,,130.0,5.0,1.0,2473.0,,46.0,144.0,2.0,60.0,512.0,24.0,,5.0,4.0,270.0,49.0,41.0,177.0,12.0,0.0,231.0,,396.0,61.0,30.0,,,16.0,,1.0,197.0,47.0,,,5.0,101.0,84.0,0.0,732.0,6.0,1.0,178.0,32.0,,26.0,138.0,25.0,63.0,,76.0,40.0,1225.0,5.0,2.0,51.0,392.0,1.0,4.0,54.0,41.0,1.0,27.0,1.0,2.0,,,,,,,1.0,,,,,,,,,,,,,,,
17526,Radoslav Kovác,Defender,West Ham,21,Czech Republic,2010-11,39.0,,0.0,2.0,,,25.0,1.0,1.0,51.0,13.0,,11.0,,7.0,60.0,1.0,264.0,,,,6.0,17.0,1.0,,628.0,,9.0,41.0,,33.0,182.0,2.0,,2.0,1.0,25.0,15.0,30.0,71.0,6.0,0.0,80.0,,91.0,36.0,13.0,,,9.0,,1.0,91.0,15.0,,1.0,6.0,63.0,8.0,0.0,261.0,1.0,1.0,71.0,16.0,2.0,4.0,62.0,9.0,20.0,1.0,22.0,40.0,371.0,2.0,,7.0,113.0,,4.0,9.0,16.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
