playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,expectedGoalsFreekick,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,offsides,oboxBlocked,substituteOn,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,oboxTarget,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,redCards2ndYellow,unsuccessfulCrossesAndCorners,timesTackled,freekickTotal,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,attemptsFromSetPieces,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,goals,awayGoals,homeGoals,rightFootGoals,leftFootGoals,headedGoals,hitWoodwork,handballsConceded,throughBalls,cornersTakenInclShortCorners,penaltiesConceded,penaltiesSaved,savesFromPenalty,clearancesOffTheLine,foulWonPenalty,successfulCornersIntoBox,unsuccessfulCornersIntoBox,setPiecesGoals,secondGoalAssists,penaltiesTaken,penaltyGoals
55459,Aaron Cresswell,Defender,West Ham,21,England,2016-17,88.0,17.0,1.7167,1.0,0.0868,4.0,2.0,0.1533,21.0,7.0,97.0,26.0,2.0,1.0,24.0,186.0,79.0,758.0,4.0,2.0,2.0,69.0,4.0,1.0,17.0,1.0,2117.0,1.0,1.0,33.0,74.0,2.0,38.0,38.0,515.0,23.0,37.0,3.0,37.4128,15.0,14.0,61.0,35.0,2.0,55.0,246.0,8.0,0.0,162.0,17.0,323.0,102.0,26.0,1.0,6.0,12.0,326.0,33.0,1.0,80.0,31.0,1.0,2.0,93.0,36.0,0.0,739.0,5.0,17.0,352.0,15.0,9.0,6.0,1.0,38.0,11.0,25.0,57.0,151.0,1313.0,167.0,3.0,2.0,51.0,263.0,4.0,0.555,2.0,89.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40669,Angelo Ogbonna,Defender,West Ham,21,Italy,2016-17,39.0,1.0,0.1896,0.0,,2.0,1.0,0.0401,27.0,1.0,75.0,20.0,,,20.0,151.0,3.0,805.0,,1.0,,62.0,4.0,,1.0,1.0,1755.0,1.0,,18.0,79.0,2.0,17.0,35.0,603.0,5.0,5.0,2.0,33.2853,6.0,14.0,96.0,31.0,1.0,21.0,221.0,4.0,0.0,118.0,3.0,350.0,91.0,20.0,,5.0,2.0,261.0,29.0,,3.0,7.0,,1.0,56.0,44.0,0.0,785.0,,1.0,178.0,22.0,4.0,14.0,,163.0,13.0,37.0,51.0,71.0,1054.0,14.0,1.0,1.0,49.0,394.0,4.0,0.1146,2.0,76.0,58.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,
105717,Arthur Masuaku,Defender,West Ham,21,DR Congo,2016-17,71.0,7.0,1.0294,0.0,,1.0,,,40.0,3.0,33.0,13.0,1.0,1.0,11.0,58.0,23.0,468.0,,1.0,2.0,31.0,3.0,,7.0,,971.0,,,15.0,96.0,6.0,23.0,80.0,378.0,4.0,29.0,2.0,19.873,6.0,7.0,27.0,24.0,,56.0,170.0,10.0,0.0,167.0,15.0,173.0,89.0,13.0,,9.0,13.0,225.0,18.0,,23.0,28.0,,,136.0,16.0,0.0,460.0,3.0,2.0,148.0,31.0,30.0,1.0,,44.0,16.0,26.0,32.0,81.0,802.0,62.0,2.0,1.0,17.0,192.0,7.0,0.062,1.0,25.0,18.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,
43626,Håvard Nordtveit,Defender,West Ham,21,Norway,2016-17,35.0,1.0,0.3396,0.0,,4.0,1.0,0.1345,18.0,3.0,53.0,16.0,1.0,2.0,11.0,92.0,8.0,413.0,,4.0,5.0,26.0,2.0,1.0,1.0,,956.0,,1.0,7.0,49.0,1.0,16.0,30.0,278.0,1.0,15.0,3.0,20.5174,3.0,6.0,25.0,20.0,,28.0,63.0,8.0,0.0,84.0,7.0,160.0,61.0,16.0,1.0,4.0,3.0,153.0,19.0,,8.0,7.0,,,58.0,19.0,0.0,396.0,2.0,1.0,128.0,14.0,4.0,4.0,,144.0,11.0,24.0,43.0,46.0,605.0,42.0,3.0,4.0,16.0,169.0,8.0,0.1494,2.0,39.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
8380,James Collins,Defender,West Ham,21,Wales,2016-17,49.0,,0.1779,0.0,,1.0,4.0,1.5548,21.0,10.0,48.0,22.0,,,19.0,125.0,,580.0,1.0,,3.0,86.0,6.0,,,2.0,1654.0,2.0,,28.0,85.0,5.0,10.0,27.0,405.0,19.0,,2.0,26.4446,4.0,12.0,147.0,29.0,1.0,21.0,137.0,7.0,0.0,134.0,6.0,268.0,60.0,22.0,,4.0,,103.0,24.0,,,,,1.0,48.0,58.0,0.0,554.0,6.0,1.0,130.0,17.0,1.0,18.0,,146.0,7.0,38.0,50.0,29.0,848.0,,1.0,,46.0,352.0,5.0,0.9579,3.0,77.0,38.0,,,,,,,,,,,,,,,2.0,2.0,0.0,,1.0,1.0,,,,,,,,,,,,,,,
38580,José Fonte,Defender,West Ham,21,Portugal,2016-17,89.0,1.0,0.7544,0.0,,4.0,3.0,0.815,48.0,13.0,132.0,33.0,,1.0,33.0,287.0,4.0,1630.0,,1.0,,126.0,11.0,,1.0,2.0,2935.0,2.0,,46.0,147.0,4.0,44.0,67.0,1234.0,31.0,,7.0,23.8097,9.0,33.0,191.0,46.0,1.0,43.0,261.0,17.0,0.0,236.0,22.0,713.0,161.0,33.0,,15.0,1.0,463.0,42.0,,4.0,2.0,,1.0,110.0,80.0,0.0,1569.0,10.0,2.0,313.0,33.0,6.0,23.0,,536.0,28.0,75.0,109.0,120.0,2093.0,2.0,1.0,1.0,104.0,881.0,17.0,0.4779,4.0,155.0,84.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,1.0,,,,,,,
156658,Reece Burke,Defender,West Ham,21,England,2016-17,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173792,Reece Oxford,Defender,West Ham,21,England,2016-17,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113564,Sam Byram,Defender,West Ham,21,England,2016-17,65.0,4.0,1.2231,1.0,,2.0,,,24.0,6.0,72.0,18.0,1.0,2.0,13.0,131.0,23.0,435.0,2.0,1.0,5.0,45.0,3.0,,4.0,,1247.0,,,22.0,63.0,6.0,28.0,40.0,284.0,18.0,39.0,1.0,21.5755,6.0,5.0,59.0,27.0,1.0,43.0,16.0,13.0,0.0,128.0,20.0,212.0,69.0,18.0,,6.0,1.0,177.0,21.0,1.0,23.0,9.0,,1.0,83.0,23.0,0.0,429.0,6.0,3.0,214.0,18.0,4.0,4.0,,131.0,21.0,42.0,20.0,76.0,822.0,106.0,2.0,1.0,30.0,131.0,12.0,0.2822,5.0,59.0,34.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
48717,Winston Reid,Defender,West Ham,21,New Zealand,2016-17,83.0,1.0,0.5221,1.0,,2.0,2.0,0.9076,32.0,9.0,88.0,30.0,2.0,5.0,30.0,190.0,2.0,983.0,1.0,,,91.0,9.0,,1.0,,2589.0,,,37.0,131.0,6.0,33.0,77.0,688.0,22.0,1.0,4.0,48.1914,6.0,19.0,244.0,48.0,2.0,46.0,258.0,36.0,2.0,214.0,26.0,387.0,162.0,30.0,,5.0,3.0,218.0,42.0,1.0,2.0,6.0,,2.0,123.0,54.0,0.0,952.0,7.0,1.0,212.0,27.0,10.0,23.0,,265.0,31.0,82.0,105.0,73.0,1502.0,3.0,3.0,,63.0,576.0,15.0,0.8174,8.0,102.0,58.0,,,,,,,,,,,,,,,2.0,1.0,1.0,,1.0,1.0,,6.0,1.0,,,,,1.0,2.0,,,,,,
