playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,totalRedCards,blockedShots,totalTackles,totalShots,unsuccessfulShortPasses,gamesPlayed,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,substituteOn,aerialDuels,timePlayed,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,expectedGoalsOnTargetConceded,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,forwardPasses,recoveries,appearances,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,shotsOnTargetIncGoals,expectedGoalsOnTarget,throughBalls,setPiecesGoals,goals,offsides,awayGoals,oboxBlocked,iboxTarget,shotsOnTargetInBox,aerialDuelsLost,penaltyGoalsConceded,keyPassesAttemptAssists,rightFootGoals,leftFootGoals,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,freekickTotal,attemptsFromSetPieces,throwInsToOwnPlayer,hitWoodwork,handballsConceded,expectedGoalsFreekick,overruns,goalAssists,foulWonPenalty,unsuccessfulCrossesOpenPlay,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,unsuccessfulLayoffs,homeGoals,penaltiesTaken,oboxTarget,headedGoals,cornersWon,penaltyGoals,substituteOff,shotsBlockedOutsideBox,successfulCrossesOpenPlay,throwInsToOppositionPlayer,successfulLaunches,cornersTakenInclShortCorners,successfulCornersIntoBox,unsuccessfulCornersIntoBox,clearancesOffTheLine,lastPlayerTackle,ownGoalScored,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,penaltiesConceded,secondGoalAssists
108411,Dan Potts,Defender,West Ham,21,England,2012-13,6.0,0.0155,0.0,,7.0,,8.0,2.0,,1.0,12.0,37.0,1.0,3.0,110.0,7.0,1.0,7.0,23.0,,3.0629,8.0,3.0,,3.0,12.0,,0.0,13.0,18.0,5.0,2.0,,17.0,2.0,2.0,,10.0,,0.0,37.0,,21.0,7.0,,1.0,,,1.0,2.0,7.0,77.0,3.0,8.0,,0.0,4.0,3.0,,,,,,,,,,,3.0,,,,,1.0,1.0,,,11.0,,,,,,,1.0,,,,,,,,,1.0,,,,,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,
10709,Emanuel Pogatetz,Defender,West Ham,21,Austria,2012-13,16.0,0.0074,0.0,1.0,8.0,,8.0,6.0,,1.0,12.0,36.0,5.0,4.0,149.0,11.0,2.0,9.0,21.0,,3.6408,18.0,4.0,,14.0,11.0,1.0,0.0,27.0,19.0,2.0,6.0,3.0,9.0,2.0,3.0,,23.0,2.0,0.0,34.0,,17.0,5.0,,,1.0,6.0,,3.0,5.0,85.0,6.0,15.0,0.0218,2.0,4.0,1.0,,,,,,,,2.0,,,2.0,1.0,,,,,2.0,,,10.0,,,,,,,2.0,,,,,,,,,1.0,,,2.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,
5609,George McCartney,Defender,West Ham,21,Northern Ireland,2012-13,30.0,1.124,0.0,,22.0,,37.0,12.0,,9.0,60.0,297.0,3.0,7.0,873.0,35.0,3.0,31.0,218.0,4.0,16.1037,38.0,16.0,,27.0,83.0,6.0,0.0,65.0,154.0,41.0,12.0,4.0,153.0,13.0,10.0,,58.0,4.0,0.0,295.0,,113.0,18.0,3.0,5.0,16.0,12.0,7.0,19.0,44.0,528.0,15.0,96.0,,2.0,23.0,13.0,,,,,,,,,,,3.0,,5.0,,,1.0,21.0,,,71.0,,,,,2.0,,21.0,1.0,,12.0,,,,,,6.0,,2.0,,12.0,16.0,11.0,,,,,,,,,,,,,,,,,,,,,,
10356,Guy Demel,Defender,West Ham,21,Cote d’Ivoire,2012-13,106.0,1.8413,0.0,2.0,44.0,2.0,127.0,31.0,2.0,28.0,175.0,831.0,3.0,44.0,2478.0,110.0,11.0,86.0,633.0,14.0,39.0171,104.0,35.0,2.0,86.0,22.0,17.0,0.0,216.0,388.0,108.0,31.0,10.0,419.0,24.0,57.0,2.0,172.0,24.0,0.0,829.0,2.0,372.0,34.0,25.0,12.0,290.0,20.0,38.0,23.0,131.0,1588.0,52.0,267.0,0.1705,2.0,48.0,33.0,,,,,,4.0,,3.0,,,20.0,1.0,17.0,,,21.0,53.0,,,249.0,,1.0,,14.0,2.0,,53.0,5.0,,30.0,,,,,,18.0,,8.0,3.0,30.0,52.0,17.0,,,,,,,,,,,,,,,,,,,,,,
8380,James Collins,Defender,West Ham,21,Wales,2012-13,94.0,1.2398,0.0,6.0,53.0,13.0,116.0,29.0,,29.0,245.0,706.0,,130.0,2496.0,150.0,10.0,66.0,359.0,30.0,40.8858,316.0,35.0,1.0,48.0,71.0,11.0,0.0,244.0,463.0,103.0,29.0,11.0,214.0,25.0,3.0,1.0,114.0,84.0,0.0,633.0,12.0,267.0,42.0,2.0,40.0,127.0,23.0,48.0,102.0,45.0,1235.0,113.0,247.0,1.1524,9.0,129.0,36.0,1.0,0.6221,,,,1.0,,9.0,2.0,2.0,46.0,1.0,6.0,,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0669,1.0,1.0,,2.0,7.0,1.0,,,,,1.0,,3.0,,4.0,9.0,,,68.0,,,,,1.0,,,,,,,,,,,,,,,,,
49413,James Tomkins,Defender,West Ham,21,England,2012-13,46.0,0.9204,0.0,7.0,33.0,13.0,100.0,26.0,2.0,18.0,158.0,634.0,8.0,97.0,1728.0,118.0,6.0,47.0,410.0,43.0,31.3576,183.0,34.0,10.0,20.0,81.0,13.0,0.0,164.0,321.0,68.0,26.0,7.0,200.0,28.0,3.0,10.0,67.0,71.0,0.0,617.0,8.0,187.0,26.0,1.0,17.0,161.0,10.0,29.0,66.0,71.0,1027.0,56.0,282.0,1.8264,5.0,58.0,19.0,5.0,1.3707,,,1.0,2.0,1.0,2.0,9.0,9.0,26.0,1.0,3.0,,,,8.0,,,29.0,1.0,,,,1.0,,8.0,2.0,,6.0,,0.0,,,1.0,6.0,,5.0,2.0,6.0,7.0,29.0,,,,1.0,,,,,,,,,,,,,,,,,,
19575,Joey O'Brien,Defender,West Ham,21,Ireland,2012-13,103.0,1.6011,0.0,,51.0,9.0,144.0,33.0,2.0,32.0,195.0,936.0,1.0,73.0,2724.0,130.0,9.0,91.0,689.0,20.0,40.991,165.0,36.0,,69.0,245.0,27.0,2.0,233.0,451.0,119.0,33.0,9.0,411.0,27.0,24.0,,160.0,39.0,0.0,924.0,6.0,302.0,42.0,13.0,18.0,82.0,27.0,30.0,52.0,158.0,1713.0,62.0,342.0,1.7528,6.0,51.0,46.0,3.0,1.3932,,,2.0,,0.0,1.0,,,34.0,1.0,15.0,2.0,,10.0,19.0,,,301.0,,1.0,,2.0,4.0,,19.0,10.0,2.0,12.0,,2.0,,2.0,,5.0,,7.0,1.0,12.0,43.0,15.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,
51933,Jordan Spence,Defender,West Ham,21,England,2012-13,5.0,0.0094,0.0,,,,4.0,4.0,,,6.0,12.0,4.0,3.0,22.0,1.0,,,6.0,,0.6353,1.0,1.0,,3.0,1.0,,0.0,6.0,8.0,1.0,4.0,,5.0,1.0,1.0,,3.0,1.0,0.0,12.0,,10.0,,,,2.0,1.0,,,1.0,23.0,,1.0,,0.0,2.0,,,,,,,1.0,,,,,2.0,,,,,1.0,,,,6.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
137951,Leo Chambers,Defender,West Ham,21,England,2012-13,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48717,Winston Reid,Defender,West Ham,21,New Zealand,2012-13,118.0,1.2842,0.0,2.0,70.0,13.0,146.0,36.0,1.0,36.0,218.0,860.0,,139.0,3145.0,196.0,13.0,110.0,556.0,30.0,52.8163,321.0,51.0,4.0,65.0,203.0,40.0,0.0,314.0,489.0,122.0,36.0,16.0,243.0,38.0,5.0,4.0,175.0,86.0,0.0,844.0,6.0,244.0,54.0,,24.0,123.0,41.0,73.0,86.0,45.0,1462.0,64.0,401.0,2.5307,8.0,72.0,50.0,7.0,1.7989,1.0,,1.0,,0.0,1.0,10.0,10.0,53.0,2.0,8.0,,,1.0,3.0,,,1.0,,2.0,,1.0,,1.0,3.0,10.0,,2.0,,1.0,,,1.0,3.0,,2.0,1.0,2.0,1.0,46.0,,,,1.0,3.0,,,,,,,,,,,,,,,,,
