playerId,playerName,position,team_name,team_id,nationality,season,straightRedCards,totalRedCards,yellowCards,duelsLost,expectedAssists,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,unsuccessfulShortPasses,gamesPlayed,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,oboxBlocked,substituteOn,aerialDuels,iboxTarget,timePlayed,shotsOnTargetInBox,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,aerialDuelsWon,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,overruns,throughBalls,goals,offsides,awayGoals,cleanSheets,successfulCrossesAndCorners,unsuccessfulLayoffs,throwInsToOppositionPlayer,successfulLaunches,shotsBlockedInBox,homeGoals,rightFootGoals,lastPlayerTackle,redCards2ndYellow,headedGoals,iboxBlocked,hitWoodwork,handballsConceded,shotsOnTargetOutsideBox,ownGoalScored,oboxTarget,goalKicks,penaltiesConceded,gkSuccessfulDistribution,clearancesOffTheLine,goalAssists,foulWonPenalty,cornersTakenInclShortCorners,penaltiesTaken,penaltyGoals,successfulCornersIntoBox,unsuccessfulCornersIntoBox,leftFootGoals,freekickTotal,attemptsFromSetPieces,secondGoalAssists,expectedGoalsFreekick,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,drops,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,crossesNotClaimed
487836,Antwoine Hackford,Forward,Sheffield Utd,49,England,2023-24,0.0,0.0,0.0,2.0,0.0002,,,,,,,2.0,,,,,2.0,,2.0,1.0,,11.0,,1.0,,,,,2.0,,,0.3998,,,1.0,1.0,,,0.0,2.0,,,,2.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,,,2.0,,,,,,,,2.0,4.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204814,Ben Brereton,Forward,Sheffield Utd,49,Chile,2023-24,0.0,0.0,3.0,73.0,1.0675,9.0,19.0,4.5161,9.0,26.0,52.0,14.0,10.0,14.0,58.0,7.0,254.0,1.0,,30.0,12.0,1110.0,12.0,23.0,45.0,4.0,14.0,38.0,191.0,60.0,2.0,28.7006,7.0,11.0,37.0,50.0,60.0,19.0,0.0,118.0,6.0,65.0,39.0,14.0,5.0,17.0,134.0,33.0,7.0,33.0,88.0,7.0,238.0,7.0,10.0,125.0,4.0,10.0,3.0,42.0,11.0,3.0,5.0,87.0,440.0,4.0,6.0,1.0,4.0,64.0,8.0,6.0682,6.0,11.0,2.0,4.0,,6.0,11.0,2.0,,2.0,4.0,,,8.0,4.0,5.0,,,1.0,8.0,1.0,,1.0,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
523957,Bénie Traoré,Forward,Sheffield Utd,49,Cote d’Ivoire,2023-24,0.0,0.0,0.0,54.0,0.4559,,1.0,0.6786,4.0,1.0,13.0,8.0,,3.0,13.0,2.0,67.0,,5.0,20.0,1.0,386.0,1.0,18.0,15.0,2.0,7.0,13.0,53.0,8.0,,14.3348,4.0,1.0,13.0,36.0,24.0,4.0,0.0,69.0,3.0,14.0,22.0,8.0,2.0,15.0,31.0,11.0,2.0,22.0,49.0,2.0,62.0,,,50.0,2.0,5.0,1.0,12.0,10.0,1.0,1.0,17.0,130.0,,2.0,,,24.0,5.0,0.2676,,4.0,1.0,2.0,2.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433979,Cameron Archer,Forward,Sheffield Utd,49,England,2023-24,0.0,0.0,2.0,140.0,0.0012,15.0,11.0,,18.0,27.0,60.0,30.0,13.0,21.0,64.0,3.0,332.0,,9.0,51.0,,1839.0,,44.0,75.0,2.0,34.0,68.0,265.0,82.0,5.0,,23.0,9.0,50.0,96.0,86.0,20.0,0.0,215.0,19.0,41.0,63.0,30.0,5.0,29.0,181.0,48.0,3.0,74.0,164.0,7.0,311.0,16.0,12.0,208.0,13.0,30.0,3.0,48.0,15.0,1.0,3.0,157.0,664.0,,12.0,,2.0,89.0,8.0,,4.0,17.0,2.0,5.0,3.0,4.0,13.0,2.0,1.0,2.0,5.0,,1.0,,2.0,4.0,,,,,1.0,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
523700,Daniel Jebbison,Forward,Sheffield Utd,49,Canada,2023-24,0.0,0.0,0.0,,0.0002,,,,,,2.0,1.0,,,2.0,,3.0,,1.0,,,20.0,,,,,3.0,,1.0,2.0,,0.0509,,,,,,,0.0,,1.0,1.0,1.0,1.0,,,1.0,,,,,,3.0,,,5.0,,,,,,,,2.0,9.0,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
532377,Louie Marsh,Forward,Sheffield Utd,49,England,2023-24,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169432,Oliver McBurnie,Forward,Sheffield Utd,49,Scotland,2023-24,0.0,2.0,3.0,167.0,1.9922,6.0,17.0,6.4406,17.0,27.0,154.0,21.0,36.0,15.0,158.0,3.0,398.0,,6.0,230.0,11.0,1283.0,11.0,116.0,160.0,3.0,30.0,46.0,239.0,76.0,1.0,30.2374,9.0,28.0,40.0,51.0,72.0,27.0,0.0,327.0,16.0,120.0,41.0,21.0,10.0,10.0,172.0,37.0,3.0,28.0,97.0,114.0,395.0,10.0,5.0,220.0,7.0,6.0,2.0,123.0,19.0,5.0,1.0,83.0,634.0,,7.0,,4.0,70.0,12.0,6.8908,4.0,16.0,2.0,1.0,1.0,6.0,4.0,0.0,,2.0,6.0,,,6.0,6.0,4.0,,2.0,1.0,6.0,2.0,,,,,,,,,3.0,1.0,,2.0,2.0,,,1.0,,,,,,,,,,,,,,,,
195473,Rhian Brewster,Forward,Sheffield Utd,49,England,2023-24,1.0,1.0,0.0,37.0,0.0802,1.0,3.0,0.1904,5.0,6.0,18.0,13.0,1.0,3.0,21.0,3.0,73.0,,10.0,23.0,2.0,339.0,2.0,19.0,14.0,2.0,3.0,10.0,51.0,20.0,,5.8851,2.0,2.0,8.0,18.0,11.0,5.0,0.0,51.0,2.0,17.0,9.0,13.0,4.0,4.0,37.0,6.0,3.0,12.0,28.0,4.0,70.0,3.0,1.0,44.0,1.0,,,25.0,5.0,1.0,1.0,20.0,124.0,,3.0,,1.0,15.0,4.0,0.3662,3.0,4.0,,,,,1.0,,,,1.0,,,1.0,,,,,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
585472,Ryan Oné,Forward,Sheffield Utd,49,Scotland,2023-24,0.0,0.0,0.0,,0.0005,,,,,,,1.0,,,,,1.0,,1.0,,,7.0,,,,,,,1.0,,1.0,1.4367,,,2.0,,,,0.0,,,,1.0,1.0,,,1.0,2.0,,,,,1.0,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538207,William Osula,Forward,Sheffield Utd,49,Denmark,2023-24,0.0,0.0,4.0,112.0,0.1567,6.0,8.0,0.518,2.0,15.0,42.0,21.0,4.0,9.0,42.0,1.0,90.0,2.0,12.0,95.0,7.0,782.0,7.0,71.0,41.0,4.0,3.0,17.0,48.0,28.0,,22.7883,1.0,9.0,23.0,41.0,19.0,12.0,0.0,153.0,2.0,27.0,12.0,21.0,,12.0,32.0,19.0,1.0,27.0,58.0,24.0,88.0,7.0,7.0,105.0,2.0,3.0,1.0,14.0,15.0,2.0,,30.0,225.0,,8.0,2.0,,17.0,9.0,1.6517,,5.0,1.0,2.0,,,6.0,,,1.0,5.0,,,4.0,,,,,,4.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
