playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,fiftyFifty,totalRedCards,catches,totalTackles,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,successfulFiftyFifty,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,awayGoals,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,penaltiesConceded,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,homeGoals,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,tacklesWon,successfulDribbles,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalShots,throughBalls,goalAssists,successfulLayoffs,unsuccessfulCrossesOpenPlay,offsides,oboxBlocked,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,throwInsToOppositionPlayer,shotsBlockedInBox,putthroughBlockedDistributionWon,tacklesLost,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,shotsOffTargetIncWoodwork,cornersWon,blocks,clearancesOffTheLine,backwardPasses,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,expectedGoals,shotsOnTargetOutsideBox,oboxTarget,handballsConceded,foulWonPenalty,hitWoodwork,substituteOn,ownGoalScored,goals,leftFootGoals,cornersTakenInclShortCorners,successfulCornersIntoBox,unsuccessfulCornersIntoBox,headedGoals,freekickTotal,attemptsFromSetPieces,expectedGoalsFreekick,penaltiesTaken,rightFootGoals,penaltyGoals
197937,Oliver Burke,Forward,Birmingham City,41,Scotland,2020-21,129.0,1.5355,53.0,0.0,,16.0,,75.0,25.0,25.0,14.0,75.0,252.0,1.0,,78.0,,,1270.0,6.0,48.0,68.0,6.0,,32.0,38.0,174.0,67.0,,1.0,17.0306,14.0,,4.0,21.0,81.0,74.0,,6.0,1.0,197.0,0.0,,36.0,29.0,25.0,,,125.0,15.0,119.0,30.0,0.0,,239.0,173.0,8.0,16.0,,,51.0,23.0,2.0,3.0,484.0,,53.0,14.0,,2.0,,16.0,1.0,9.0,6.0,1.5263,16.0,1.0,1.0,10.0,9.0,3.0,2.0,1.0,4.0,4.0,,7.0,24.0,8.0,14.0,9.0,42.0,7.0,10.0,8.0,,,91.0,,14.0,2.0,2.0976,1.0,1.0,1.0,,,11.0,,1.0,,,,,,,,,,1.0,
440993,Iliman Ndiaye,Forward,Everton,11,Senegal,2020-21,,0.0006,,0.0,,1.0,,,1.0,,,,3.0,0.0,,,,,11.0,,,1.0,,,,1.0,3.0,,,,0.3476,,,,1.0,,,,,0.0,1.0,0.0,,,1.0,1.0,,,2.0,1.0,1.0,,0.0,,3.0,1.0,1.0,,,,2.0,,,,7.0,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,
169432,Oliver McBurnie,Forward,Hull City,88,Scotland,2020-21,182.0,0.9752,53.0,0.0,,15.0,,184.0,23.0,28.0,12.0,187.0,440.0,0.0,,262.0,,,1319.0,6.0,123.0,184.0,4.0,,21.0,45.0,247.0,58.0,,1.0,25.0904,15.0,2.0,29.0,27.0,59.0,100.0,,26.0,0.0,366.0,1.0,,161.0,32.0,23.0,,,209.0,23.0,104.0,139.0,0.0,,438.0,243.0,7.0,4.0,,,110.0,24.0,6.0,6.0,660.0,1.0,44.0,10.0,,2.0,3.0,24.0,,6.0,13.0,2.4589,24.0,1.0,,15.0,4.0,4.0,2.0,,11.0,11.0,,4.0,7.0,8.0,9.0,4.0,26.0,4.0,11.0,10.0,3.0,,69.0,,3.0,2.0,3.876,1.0,1.0,,1.0,1.0,11.0,,1.0,,,,,1.0,,,,,,
18867,Billy Sharp,Forward,Doncaster Rovers,290,England,2020-21,72.0,0.5542,28.0,0.0,,5.0,,28.0,16.0,14.0,7.0,28.0,112.0,0.0,,40.0,,,730.0,1.0,28.0,35.0,2.0,,8.0,23.0,84.0,32.0,,1.0,14.0863,4.0,,2.0,15.0,44.0,17.0,,14.0,2.0,107.0,3.0,,23.0,14.0,16.0,,,65.0,13.0,67.0,12.0,0.0,,101.0,79.0,1.0,5.0,,,28.0,14.0,,,216.0,,20.0,9.0,,1.0,,3.0,1.0,,6.0,3.0398,9.0,1.0,,6.0,7.0,11.0,,1.0,3.0,3.0,,,2.0,4.0,7.0,7.0,23.0,,3.0,6.0,,,44.0,,3.0,,3.031,,,,,,9.0,,3.0,,,,,,,,,2.0,3.0,2.0
178304,Lys Mousset,Forward,Sheffield United,49,France,2020-21,37.0,0.0876,12.0,0.0,,1.0,,10.0,11.0,5.0,2.0,10.0,44.0,0.0,,15.0,,,289.0,1.0,11.0,11.0,3.0,,1.0,7.0,32.0,12.0,,,7.71,3.0,,1.0,10.0,26.0,11.0,,2.0,0.0,48.0,0.0,,9.0,5.0,11.0,,,22.0,7.0,33.0,4.0,0.0,,37.0,42.0,,4.0,,,7.0,7.0,,2.0,101.0,,12.0,3.0,,0.0,,3.0,,,2.0,0.1351,4.0,,,1.0,1.0,4.0,,,1.0,1.0,,,1.0,1.0,9.0,1.0,18.0,,2.0,1.0,,,17.0,,2.0,,0.954,1.0,1.0,,,,9.0,,,,,,,,,,,,,
27436,David McGoldrick,Forward,Barnsley,37,Ireland,2020-21,254.0,1.5083,106.0,0.0,,33.0,,208.0,35.0,52.0,28.0,230.0,909.0,2.0,,203.0,3.0,,2401.0,1.0,115.0,201.0,9.0,,34.0,113.0,655.0,95.0,,2.0,35.2102,16.0,,23.0,37.0,139.0,224.0,,33.0,3.0,455.0,6.0,,253.0,78.0,35.0,,,526.0,28.0,252.0,88.0,0.0,,898.0,424.0,21.0,47.0,,,194.0,45.0,2.0,24.0,1421.0,5.0,158.0,24.0,,7.0,22.0,45.0,5.0,20.0,24.0,6.7717,51.0,1.0,1.0,25.0,16.0,17.0,5.0,5.0,7.0,7.0,,15.0,16.0,12.0,34.0,16.0,78.0,15.0,27.0,20.0,3.0,,238.0,13.0,12.0,5.0,6.9108,9.0,9.0,2.0,,1.0,7.0,,8.0,2.0,,,,2.0,1.0,1.0,0.1546,,4.0,
195473,Rhian Brewster,Forward,Derby County,24,England,2020-21,105.0,0.5995,46.0,0.0,,8.0,,44.0,27.0,21.0,12.0,53.0,207.0,0.0,,64.0,,,1123.0,1.0,50.0,43.0,3.0,,19.0,29.0,147.0,30.0,,1.0,15.5648,11.0,,4.0,16.0,55.0,44.0,,13.0,0.0,148.0,0.0,,43.0,35.0,27.0,,,115.0,13.0,84.0,14.0,0.0,,196.0,114.0,5.0,8.0,,,46.0,18.0,5.0,7.0,374.0,6.0,42.0,8.0,,1.0,9.0,14.0,3.0,9.0,8.0,1.1074,15.0,2.0,,8.0,13.0,4.0,5.0,3.0,1.0,1.0,,4.0,13.0,3.0,7.0,13.0,25.0,4.0,7.0,6.0,2.0,,74.0,,10.0,5.0,1.7987,7.0,7.0,,,1.0,15.0,,,,,,,,1.0,1.0,0.0999,,,
487836,Antwoine Hackford,Forward,AFC Wimbledon,2623,England,2020-21,1.0,0.0001,,0.0,,,,,1.0,,,,1.0,0.0,,1.0,,,10.0,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,0.0,1.0,0.0,,,1.0,1.0,,,1.0,,,,0.0,,1.0,,,,,,,,,,3.0,,,,,0.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,1.0,,,,0.1022,,,,,,1.0,,,,,,,,,,,,,
523700,Daniel Jebbison,Forward,Bournemouth,91,Canada,2020-21,37.0,0.0593,11.0,0.0,,6.0,,11.0,4.0,4.0,3.0,11.0,35.0,1.0,,26.0,1.0,,284.0,1.0,21.0,17.0,,,6.0,12.0,23.0,5.0,,,3.257,1.0,,,2.0,16.0,10.0,,4.0,1.0,54.0,0.0,,3.0,15.0,4.0,,,16.0,2.0,28.0,5.0,0.0,,35.0,28.0,2.0,2.0,,,9.0,6.0,1.0,1.0,83.0,,8.0,2.0,,0.0,,1.0,,1.0,2.0,0.996,3.0,,,3.0,1.0,1.0,,,,,,1.0,5.0,4.0,2.0,1.0,7.0,1.0,1.0,1.0,1.0,,13.0,,1.0,,1.163,1.0,1.0,1.0,,,1.0,,1.0,,,,,,,,,,1.0,
538207,William Osula,Forward,Newcastle United,4,Denmark,2020-21,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
