season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2022-23,10385498,1,17,Nottingham_Forest,Away,16620,20066.0,Wayne Hennessey,wayne-hennessey,G,True,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385498,1,17,Nottingham_Forest,Away,40686,58771.0,Jack Colback,jack-colback,M,False,,,1.0,12.0,10.0,22.0,,1.0,4.0,,,,1.0,,1.0,3.0,7.0,,,0.0133965,0.0,0.0,1.0,,,,,,1.0,,,90.0,,,,,,,,6.0,,6.9,,,,1.0,,,,2.0,,15.0,10.0,25.0,0,5.0,36.0,2.0,1.0,,4.0
2022-23,10385498,1,17,Nottingham_Forest,Away,110956,166325.0,Cafú,cafu,M,True,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385498,1,17,Nottingham_Forest,Away,128868,57647.0,Lyle Taylor,lyle-taylor,F,True,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385498,1,17,Nottingham_Forest,Away,205508,109322.0,Jesse Lingard,jesse-lingard,F,False,1.0,,2.0,17.0,7.0,23.0,,,5.0,,,1.0,1.0,,2.0,6.0,,,,0.175143,0.0613,0.0,2.0,,,,,,2.0,1.0,,90.0,,,,,,,,9.0,,6.0,,,,,1.0,1.0,,2.0,,19.0,7.0,25.0,1,,39.0,4.0,,,
2022-23,10385498,1,17,Nottingham_Forest,Away,358108,168281.0,Scott McKenna,scott-mckenna,D,False,,,2.0,5.0,15.0,20.0,2.0,3.0,5.0,,,,,,1.0,5.0,5.0,,,0.00104724,0.0,0.0,1.0,,,,,,1.0,,,90.0,,3.0,,,,,,10.0,,6.8,,,,4.0,2.0,,,4.0,,10.0,15.0,25.0,0,,43.0,1.0,1.0,1.0,
2022-23,10385498,1,17,Nottingham_Forest,Away,358218,114241.0,Harry Toffolo,harry-toffolo,D,False,,,1.0,9.0,8.0,17.0,2.0,2.0,7.0,,,,1.0,,,3.0,4.0,,,0.00568493,0.0,0.0,,,,,,,1.0,,,90.0,,,,,,,,26.0,,6.4,,,,5.0,1.0,4.0,,8.0,,24.0,15.0,35.0,0,,65.0,1.0,1.0,1.0,
2022-23,10385498,1,17,Nottingham_Forest,Away,359664,210156.0,Taiwo Awoniyi,taiwo-awoniyi,F,True,,,,2.0,1.0,3.0,1.0,,1.0,,,,1.0,,,3.0,2.0,,,0.00060603,0.0,0.0,1.0,,,,,,,,,27.0,,,,,,,,3.0,,6.5,,,,,,,,,,3.0,1.0,4.0,0,2.0,8.0,2.0,,,2.0
2022-23,10385498,1,17,Nottingham_Forest,Away,758168,199170.0,Moussa Niakhaté,moussa-niakhate,D,False,,,2.0,2.0,19.0,21.0,2.0,4.0,5.0,,,,1.0,,1.0,8.0,4.0,,,0.00095623,0.0,0.0,1.0,,,,,,1.0,,,83.0,,,,,,,,9.0,,6.4,,,,11.0,3.0,,,4.0,,5.0,21.0,26.0,0,,44.0,,,,
2022-23,10385498,1,17,Nottingham_Forest,Away,788134,172649.0,Dean Henderson,dean-henderson,G,False,,1.0,5.0,2.0,12.0,14.0,,,16.0,,,,,,,,,,,0.00024215,0.0,0.0,,,,0.0713,1.0,,,,,90.0,,,,,,,,18.0,,7.6,4.0,7.0,,2.0,,,1.0,23.0,,18.0,14.0,32.0,0,,56.0,,,,
