season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2023-24,11352251,1,17,Nottingham_Forest,Away,45944,55037,Cheikhou Kouyaté,cheikhou-kouyate,M,True,,,,2.0,1.0,3.0,1.0,,,,,,,,,1.0,,,,0.0027858,0.0224,0.0,,,,,,,,,,9.0,,1.0,,,,,,,6.7,,,1.0,,,,,,,2.0,1.0,3.0,1,,5.0,,,,
2023-24,11352251,1,17,Nottingham_Forest,Away,50480,60689,Chris Wood,chris-wood,F,True,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,9.0,,,,,,,1.0,,6.5,,,,,,,,,,1.0,,1.0,0,,2.0,,,,
2023-24,11352251,1,17,Nottingham_Forest,Away,105697,80226,Serge Aurier,serge-aurier,D,False,,,,3.0,3.0,6.0,2.0,2.0,3.0,,,,1.0,,1.0,5.0,6.0,,,0.00068661,0.0,0.0,,,,,,,1.0,,1.0,90.0,,,,,,,10.0,,6.6,,,,1.0,1.0,1.0,,1.0,,9.0,3.0,11.0,0,2.0,23.0,2.0,2.0,,2.0
2023-24,11352251,1,17,Nottingham_Forest,Away,115516,89076,Remo Freuler,remo-freuler,M,True,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352251,1,17,Nottingham_Forest,Away,139310,90585,Willy Boly,willy-boly,D,False,,,,6.0,15.0,21.0,3.0,4.0,4.0,1.0,,,1.0,,,6.0,6.0,,,0.0348961,0.2137,0.0822,2.0,,,,,,,1.0,,90.0,1.0,1.0,,,,,8.0,,7.0,,,,2.0,,,,2.0,,10.0,17.0,27.0,1,2.0,40.0,,,,2.0
2023-24,11352251,1,17,Nottingham_Forest,Away,343013,,Ethan Horvath,ethan-horvath,G,True,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352251,1,17,Nottingham_Forest,Away,358108,168281,Scott McKenna,scott-mckenna,D,False,,,,4.0,7.0,11.0,,3.0,2.0,,,,,,,1.0,6.0,,,0.00175325,0.0,0.0,1.0,,,,,,2.0,,,90.0,,,,,,,8.0,,6.5,,,,4.0,,,,2.0,,9.0,8.0,17.0,0,2.0,33.0,,1.0,,
2023-24,11352251,1,17,Nottingham_Forest,Away,359664,210156,Taiwo Awoniyi,taiwo-awoniyi,F,True,,,,1.0,2.0,3.0,1.0,1.0,1.0,,,,,,1.0,2.0,1.0,,,0.00013696,0.574,0.866,,,1.0,,,,,,,19.0,1.0,,,,,,4.0,,7.2,,,,,,,,,,3.0,2.0,5.0,1,,11.0,1.0,,,
2023-24,11352251,1,17,Nottingham_Forest,Away,758168,199170,Moussa Niakhaté,moussa-niakhate,D,True,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352251,1,17,Nottingham_Forest,Away,793988,179519,Orel Mangala,orel-mangala,M,False,,,1.0,7.0,3.0,10.0,,,2.0,,,,,,3.0,7.0,2.0,,,0.003568,0.0,0.0,3.0,,,,,,1.0,1.0,,89.0,,1.0,,,,,8.0,,6.2,,,,,1.0,,,1.0,,8.0,5.0,13.0,0,1.0,24.0,1.0,1.0,,
2023-24,11352251,1,17,Nottingham_Forest,Away,800417,159506,Ola Aina,ola-aina,D,False,,,3.0,4.0,5.0,9.0,,1.0,1.0,,,1.0,,,1.0,2.0,5.0,,,0.00339447,0.0196,0.0,1.0,,,,,,,,,72.0,,,,,,,6.0,,6.9,,,,2.0,1.0,,,3.0,,7.0,6.0,13.0,1,3.0,25.0,,,1.0,3.0
2023-24,11352251,1,17,Nottingham_Forest,Away,833943,224068,Matt Turner,matt-turner,G,False,,,8.0,7.0,3.0,10.0,,,14.0,,,,,,,,,,,0.00145462,0.0,0.0,,,,-0.0174,,,,,,90.0,,,,,,,11.0,,7.2,2.0,5.0,,,,,,18.0,,17.0,4.0,21.0,0,,38.0,,,,
2023-24,11352251,1,17,Nottingham_Forest,Away,838399,208912,Joe Worrall,joe-worrall,D,False,,,1.0,1.0,9.0,10.0,2.0,4.0,1.0,,,,,,,3.0,5.0,,,0.00020629,0.0,0.0,1.0,,,,,,1.0,,,89.0,,1.0,,,,,6.0,,6.7,,,,5.0,,,,5.0,,7.0,9.0,16.0,0,1.0,24.0,,,,1.0
2023-24,11352251,1,17,Nottingham_Forest,Away,846252,204968,Ryan Yates,ryan-yates,M,False,,,1.0,12.0,9.0,21.0,,2.0,4.0,,,,,,1.0,4.0,6.0,,,0.00954463,0.0,0.0,2.0,,,,,,,,,90.0,,1.0,,,,,10.0,,6.5,,,,,1.0,,,3.0,1.0,17.0,9.0,26.0,0,1.0,40.0,2.0,3.0,,
2023-24,11352251,1,17,Nottingham_Forest,Away,865912,222531,Morgan Gibbs-White,morgan-gibbs-white,M,False,1.0,,4.0,8.0,4.0,11.0,,2.0,4.0,,,,,,,5.0,7.0,,,0.211484,0.0747,0.0,1.0,,,,,,1.0,1.0,,90.0,,,,,,,15.0,,6.9,,,1.0,1.0,7.0,4.0,,5.0,,15.0,5.0,16.0,1,1.0,38.0,2.0,1.0,3.0,1.0
2023-24,11352251,1,17,Nottingham_Forest,Away,920936,243345,Lewis O'Brien,lewis-obrien,M,True,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352251,1,17,Nottingham_Forest,Away,927356,215136,Neco Williams,neco-williams,D,True,,,,1.0,2.0,3.0,,,3.0,,,,,,2.0,2.0,2.0,,,0.00083022,0.0,0.0,,,,,,,2.0,,,18.0,,,,,,,5.0,,6.7,,,,,1.0,,,1.0,,3.0,2.0,5.0,0,,13.0,1.0,1.0,1.0,
2023-24,11352251,1,17,Nottingham_Forest,Away,979232,449434,Anthony Elanga,anthony-elanga,F,True,,,,2.0,,2.0,1.0,,1.0,1.0,,,,,,1.0,1.0,,,0.605406,0.0,0.0,,1.0,,,,,,2.0,,10.0,,,,,,,1.0,,7.4,,,,,,,,,,3.0,,3.0,0,,4.0,,1.0,,
2023-24,11352251,1,17,Nottingham_Forest,Away,1064039,513046,Danilo Santos,danilo-oliveira,M,False,,,1.0,7.0,4.0,11.0,1.0,1.0,4.0,,,,1.0,,1.0,3.0,6.0,,,0.00953809,0.0,0.0,,,,,,,,,,71.0,,,,,,,10.0,,6.8,,,,1.0,2.0,1.0,,2.0,,11.0,7.0,17.0,0,3.0,28.0,1.0,,2.0,1.0
2023-24,11352251,1,17,Nottingham_Forest,Away,1085180,242898,Brennan Johnson,brennan-johnson,F,False,,,,1.0,5.0,6.0,1.0,,4.0,,1.0,,1.0,,1.0,5.0,3.0,,,0.00023173,0.2778,0.0,1.0,,,,,,,,,80.0,,,,,,,3.0,,6.2,,,1.0,,1.0,,,,,1.0,5.0,6.0,1,1.0,17.0,1.0,2.0,,
