season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2024-25,12436875,1,17,Nottingham_Forest,Home,50480,60689,Chris Wood,chris-wood,F,False,,,1.0,11.0,5.0,16.0,4.0,7.0,2.0,,,,,,,5.0,7.0,,,0.0225409,0.7061,0.9484,1.0,0.0,1.0,,,,,,,72.0,1.0,,,,,13.0,,7.2,,,,,,,,3.0,1.0,19.0,7.0,26.0,1,,32.0,3.0,,,
2024-25,12436875,1,17,Nottingham_Forest,Home,78152,85633,Matz Sels,matz-sels,G,False,,,15.0,13.0,20.0,33.0,,,5.0,,,,,,,,1.0,,,0.00361557,,,,0.0,,0.1878,,,,,,90.0,,,,,,12.0,1.0,7.3,1.0,3.0,,1.0,,,,26.0,,24.0,20.0,44.0,0,1.0,53.0,,,,1.0
2024-25,12436875,1,17,Nottingham_Forest,Home,139310,90585,Willy Boly,willy-boly,D,False,,,4.0,9.0,33.0,42.0,,4.0,1.0,,,,,,,1.0,8.0,,,0.00366368,0.0721,0.2515,1.0,0.0,,,,,1.0,,,90.0,1.0,1.0,,,,12.0,,7.2,,,,8.0,,,,11.0,,17.0,36.0,53.0,1,4.0,71.0,1.0,,,
2024-25,12436875,1,17,Nottingham_Forest,Home,358218,114241,Harry Toffolo,harry-toffolo,D,True,,,,14.0,1.0,15.0,,,,,,1.0,,,,,2.0,,,0.0132157,0.0172,,,0.0,,,,,,,,36.0,,,,,,8.0,,6.7,,,,3.0,,3.0,,,,19.0,1.0,17.0,1,2.0,36.0,,,,
2024-25,12436875,1,17,Nottingham_Forest,Home,359664,210156,Taiwo Awoniyi,taiwo-awoniyi,F,True,,,,4.0,,4.0,1.0,,1.0,,,,,,,2.0,2.0,,,0.0282416,0.1151,0.0411,1.0,0.0,,,,,,,,18.0,1.0,,,,,1.0,,6.9,,,,,1.0,,,,,5.0,,5.0,1,,9.0,,1.0,1.0,
2024-25,12436875,1,17,Nottingham_Forest,Home,800417,159506,Ola Aina,ola-aina,D,False,,,,16.0,4.0,20.0,,,2.0,,,,,,,3.0,2.0,,,0.0209659,0.021,,2.0,0.0,,,,,1.0,,,54.0,,,,,,13.0,,6.8,,,1.0,2.0,1.0,1.0,,1.0,,20.0,6.0,25.0,1,2.0,42.0,,,,2.0
2024-25,12436875,1,17,Nottingham_Forest,Home,843754,210462,Ibrahim Sangaré,ibrahim-sangare,M,False,,,,17.0,21.0,38.0,2.0,2.0,10.0,,,,,,,2.0,7.0,,,0.0073066,,,,0.0,,,,,1.0,,,90.0,,,,,,16.0,,7.1,,,,,,,,1.0,,27.0,27.0,54.0,0,5.0,64.0,,,,3.0
2024-25,12436875,1,17,Nottingham_Forest,Home,846252,204968,Ryan Yates,ryan-yates,M,True,,,,28.0,7.0,35.0,1.0,1.0,4.0,,,1.0,,,1.0,6.0,7.0,,,0.0349069,0.243,0.2115,3.0,0.0,,,,,,1.0,,75.0,2.0,,,,,6.0,,7.2,,,,,2.0,,,1.0,,30.0,7.0,37.0,3,1.0,58.0,2.0,4.0,1.0,1.0
2024-25,12436875,1,17,Nottingham_Forest,Home,865912,222531,Morgan Gibbs-White,morgan-gibbs-white,M,False,,,1.0,35.0,11.0,46.0,4.0,1.0,6.0,,,1.0,,,1.0,10.0,4.0,,,0.0715257,0.1028,,3.0,0.0,,,,,1.0,3.0,,90.0,,,,,,23.0,,7.1,,,1.0,,3.0,2.0,,2.0,,50.0,13.0,61.0,2,1.0,77.0,2.0,1.0,1.0,
2024-25,12436875,1,17,Nottingham_Forest,Home,867442,209046,Callum Hudson Odoi,callum-hudson-odoi,M,False,1.0,,,28.0,5.0,32.0,,,2.0,,,,,,1.0,4.0,,,,0.204266,0.0657,0.3263,1.0,0.0,,,,,,3.0,,72.0,2.0,,,,,9.0,,7.1,,,,1.0,2.0,3.0,,,,33.0,6.0,36.0,2,,46.0,,,,
2024-25,12436875,1,17,Nottingham_Forest,Home,871765,250199,Nicolás Domínguez,nicolas-dominguez,M,True,,,,19.0,5.0,24.0,1.0,2.0,1.0,,,,2.0,,,3.0,4.0,,,0.0894707,,,,0.0,,,,,,,,36.0,,,,,,6.0,,6.7,,,,,,,,,,21.0,8.0,29.0,0,2.0,32.0,1.0,,,1.0
2024-25,12436875,1,17,Nottingham_Forest,Home,927356,215136,Neco Williams,neco-williams,D,False,2.0,,,12.0,16.0,26.0,,2.0,4.0,,,,2.0,,,5.0,9.0,,,0.126703,0.0347,,2.0,0.0,,,,,2.0,2.0,,90.0,,,,,,10.0,,7.3,,,1.0,1.0,3.0,2.0,,3.0,,15.0,19.0,32.0,1,5.0,60.0,,,2.0,3.0
2024-25,12436875,1,17,Nottingham_Forest,Home,973738,475123,Carlos Miguel,carlos-miguel,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436875,1,17,Nottingham_Forest,Home,979232,449434,Anthony Elanga,anthony-elanga,F,False,,,,14.0,12.0,26.0,,1.0,6.0,,,,,,4.0,4.0,5.0,,,0.163622,0.0183,0.0723,,0.0,,,,,,2.0,,54.0,1.0,,,,,10.0,,7.1,,,,,2.0,1.0,,1.0,,18.0,13.0,30.0,1,,44.0,,2.0,2.0,
2024-25,12436875,1,17,Nottingham_Forest,Home,983066,466404,Andrew Omobamidele,andrew-omobamidele,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436875,1,17,Nottingham_Forest,Home,994546,215379,Elliot Anderson,elliot-anderson,M,True,,,,6.0,,6.0,1.0,4.0,1.0,,,,,,,2.0,4.0,,,0.00737711,,,,0.0,,,,,1.0,,,18.0,,,,,,10.0,,6.6,,,,3.0,1.0,1.0,,1.0,,13.0,,12.0,0,,23.0,2.0,,,
2024-25,12436875,1,17,Nottingham_Forest,Home,1011895,510500,Jota Silva,jota-silva,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436875,1,17,Nottingham_Forest,Home,1064039,513046,Danilo Santos,danilo-oliveira,M,False,,,,,3.0,3.0,,,1.0,,,,,,,3.0,1.0,,,0.00010642,,,1.0,0.0,,,,,,,,15.0,,,,,,3.0,,6.3,,,,,3.0,,,,,,3.0,3.0,0,,7.0,1.0,,1.0,
2024-25,12436875,1,17,Nottingham_Forest,Home,1199282,575476,Murillo,murillo,D,False,,,1.0,8.0,28.0,36.0,1.0,1.0,7.0,,,,1.0,,1.0,5.0,3.0,,,0.00219675,,,2.0,0.0,,,,,,,,90.0,,2.0,,,,4.0,,6.9,,,,6.0,1.0,,,1.0,,9.0,30.0,39.0,0,1.0,51.0,,,1.0,1.0
2024-25,12436875,1,17,Nottingham_Forest,Home,1418646,569014,Eric da Silva Moreira,eric-da-silva-moreira,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
