playerId,playerName,position,team_name,team_id,nationality,season,expectedAssists,totalRedCards,catches,savesMadeFromOutsideBox,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,successfulLaunches,totalClearances,goalsConceded,rightsidePasses,savesMade,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,successfulDribbles,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,interceptions,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,unsuccessfulShortPasses,putthroughBlockedDistribution,keyPassesAttemptAssists,totalFoulsWon,putthroughBlockedDistributionWon,drops,crossesNotClaimed,duelsLost,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,goalAssists,successfulLayoffs,unsuccessfulCrossesOpenPlay,offsides,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,aerialDuelsLost,totalTouchesInOppositionBox,throwInsToOppositionPlayer,ownGoalScored,shotsBlockedInBox,groundDuelsLost,tacklesLost,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,iboxBlocked,shotsOffTargetIncWoodwork,cornersWon,tacklesWon,blocks,totalFoulsConceded,clearancesOffTheLine,backwardPasses,throwInsToOwnPlayer,substituteOff,foulAttemptedTackle,expectedGoals,expectedGoalsFreekick,throughBalls,goals,oboxBlocked,substituteOn,cornersTakenInclShortCorners,shotsOnTargetOutsideBox,successfulCornersIntoBox,oboxTarget,rightFootGoals,leftFootGoals,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,shotsBlockedOutsideBox,handballsConceded,penaltiesConceded,headedGoals,hitWoodwork,setPiecesGoals,unsuccessfulLayoffs,penaltiesTaken,penaltyGoals,foulWonPenalty,secondGoalAssists
86417,Jeffrey Schlupp,Midfielder,Crystal Palace,31,Ghana,2017-18,0.7484,0.0,,,24.0,21.0,169.0,654.0,,90.0,3.0,,1748.0,116.0,7.0,77.0,458.0,,1.0,28.0083,7.0,54.0,30.0,178.0,,243.0,,291.0,113.0,24.0,290.0,23.0,153.0,39.0,0.0,,644.0,293.0,13.0,,,56.0,24.0,27.0,1146.0,40.0,198.0,,3.0,58.0,59.0,111.0,56.0,11.0,8.0,26.0,,,127.0,3.0,3.0,2.0,0.3789,57.0,12.0,1.0,12.0,28.0,,3.0,2.0,2.0,51.0,23.0,28.0,,1.0,76.0,21.0,10.0,28.0,1.0,10.0,13.0,36.0,8.0,18.0,,129.0,113.0,6.0,14.0,1.2395,,,,2.0,3.0,,,,,,,,,,2.0,,,,,,,,,,
66975,Luka Milivojevic,Midfielder,Crystal Palace,31,Serbia,2017-18,1.4679,0.0,,,36.0,35.0,327.0,1652.0,,94.0,8.0,,3081.0,194.0,11.0,145.0,1203.0,,2.0,49.9386,12.0,74.0,52.0,497.0,,391.0,,591.0,274.0,36.0,710.0,41.0,297.0,49.0,0.0,,1601.0,426.0,28.0,,,350.0,71.0,122.0,2198.0,34.0,628.0,,8.0,97.0,95.0,230.0,70.0,20.0,33.0,38.0,,,197.0,4.0,11.0,17.0,10.2089,85.0,31.0,1.0,28.0,8.0,1.0,13.0,4.0,4.0,45.0,25.0,,,3.0,152.0,33.0,9.0,26.0,3.0,14.0,9.0,52.0,12.0,69.0,,214.0,5.0,3.0,47.0,8.2114,0.6856,3.0,10.0,8.0,1.0,24.0,3.0,6.0,3.0,10.0,,9.0,9.0,11.0,8.0,3.0,,,1.0,1.0,2.0,8.0,7.0,,
27341,Yohan Cabaye,Midfielder,St Etienne,152,France,2017-18,3.7812,0.0,,,31.0,28.0,228.0,1293.0,,20.0,3.0,,2386.0,108.0,7.0,102.0,1003.0,,2.0,34.5898,7.0,28.0,36.0,308.0,,271.0,,514.0,183.0,31.0,643.0,29.0,251.0,6.0,0.0,,1240.0,403.0,9.0,,,297.0,79.0,62.0,1855.0,22.0,470.0,,7.0,79.0,48.0,149.0,62.0,41.0,23.0,43.0,,,163.0,1.0,14.0,12.0,1.6599,70.0,24.0,1.0,46.0,13.0,1.0,48.0,5.0,5.0,14.0,33.0,,,2.0,149.0,26.0,13.0,88.0,2.0,12.0,15.0,44.0,4.0,35.0,,174.0,5.0,15.0,30.0,2.351,0.2895,6.0,,12.0,3.0,104.0,7.0,40.0,7.0,,,4.0,4.0,61.0,12.0,1.0,,,2.0,,1.0,,,,
126187,Ruben Loftus-Cheek,Midfielder,Milan,120,England,2017-18,2.5615,0.0,,,24.0,21.0,127.0,723.0,,87.0,5.0,,1875.0,187.0,7.0,155.0,572.0,,1.0,30.1801,1.0,26.0,30.0,180.0,,367.0,,236.0,130.0,24.0,467.0,23.0,280.0,32.0,0.0,,713.0,282.0,72.0,,,153.0,22.0,24.0,1182.0,1.0,132.0,,1.0,12.0,26.0,115.0,41.0,23.0,62.0,17.0,,,180.0,3.0,13.0,7.0,2.6353,21.0,19.0,3.0,26.0,9.0,3.0,3.0,3.0,3.0,55.0,83.0,,,9.0,125.0,6.0,38.0,9.0,9.0,12.0,9.0,15.0,2.0,17.0,,154.0,4.0,4.0,6.0,3.4738,,1.0,2.0,4.0,3.0,,2.0,,2.0,2.0,,,,,4.0,1.0,,,1.0,,5.0,,,1.0,
60252,Andros Townsend,Midfielder,Luton Town U21,20354,England,2017-18,5.412,0.0,,,36.0,35.0,219.0,1023.0,,17.0,5.0,,3129.0,193.0,12.0,189.0,771.0,,2.0,47.6894,4.0,21.0,48.0,152.0,,378.0,,288.0,182.0,36.0,653.0,36.0,361.0,4.0,0.0,,978.0,575.0,84.0,,,330.0,35.0,33.0,1851.0,30.0,196.0,,3.0,45.0,48.0,174.0,97.0,59.0,46.0,48.0,,,185.0,16.0,21.0,14.0,3.4253,60.0,41.0,7.0,53.0,94.0,6.0,45.0,2.0,2.0,13.0,93.0,2.0,,7.0,172.0,26.0,38.0,131.0,7.0,27.0,41.0,34.0,1.0,10.0,1.0,253.0,21.0,9.0,3.0,3.1881,0.1246,2.0,2.0,14.0,1.0,49.0,10.0,20.0,10.0,,2.0,2.0,2.0,24.0,14.0,,,,,,6.0,,,2.0,2.0
75773,Lee Chung-yong,Midfielder,Crystal Palace,31,South Korea,2017-18,0.0655,0.0,,,7.0,1.0,12.0,67.0,,6.0,,,132.0,8.0,2.0,6.0,55.0,,,0.5484,,,3.0,23.0,,16.0,,13.0,7.0,7.0,42.0,1.0,10.0,2.0,0.0,,67.0,26.0,2.0,,,16.0,2.0,,97.0,2.0,13.0,,0.0,3.0,4.0,9.0,6.0,2.0,2.0,3.0,,,8.0,,,,,2.0,1.0,,4.0,6.0,,,,,4.0,4.0,,,,4.0,2.0,,7.0,,1.0,1.0,,,1.0,,15.0,3.0,1.0,1.0,0.0317,,,,,6.0,1.0,,,,,,,,1.0,,,,,,,,,,,
50471,James McArthur,Midfielder,Crystal Palace,31,Scotland,2017-18,1.5801,0.0,,,33.0,27.0,224.0,1070.0,,91.0,4.0,,2433.0,151.0,8.0,112.0,809.0,,2.0,34.757,8.0,37.0,35.0,260.0,,336.0,,349.0,177.0,33.0,531.0,27.0,245.0,39.0,0.0,,1056.0,344.0,27.0,,,265.0,36.0,37.0,1511.0,40.0,317.0,,5.0,62.0,65.0,162.0,59.0,20.0,28.0,37.0,,,185.0,2.0,9.0,11.0,3.8011,58.0,21.0,1.0,36.0,9.0,,2.0,6.0,6.0,52.0,75.0,1.0,,6.0,133.0,14.0,11.0,9.0,6.0,10.0,9.0,44.0,2.0,45.0,,196.0,6.0,9.0,27.0,3.7624,,3.0,5.0,3.0,6.0,,,,,2.0,3.0,,,,3.0,,,,,,1.0,,,,
163776,Erdal Rakip,Midfielder,Malmö FF,993,North Macedonia,2017-18,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209043,Nya Kirby,Midfielder,Crystal Palace U21,18257,England,2017-18,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19197,Jason Puncheon,Midfielder,Huddersfield Town,38,England,2017-18,0.4227,0.0,,,10.0,6.0,38.0,238.0,,12.0,,,569.0,24.0,3.0,20.0,190.0,,,12.1289,2.0,4.0,14.0,58.0,,65.0,,68.0,27.0,10.0,125.0,11.0,53.0,4.0,0.0,,231.0,77.0,4.0,,,67.0,5.0,10.0,337.0,2.0,80.0,,5.0,10.0,8.0,28.0,5.0,5.0,3.0,3.0,,,41.0,1.0,5.0,2.0,0.7672,13.0,5.0,,5.0,2.0,,5.0,2.0,2.0,8.0,10.0,,,1.0,33.0,9.0,1.0,15.0,1.0,3.0,3.0,4.0,,14.0,,45.0,2.0,3.0,10.0,1.508,0.0602,,,4.0,4.0,15.0,,3.0,,,,1.0,1.0,11.0,4.0,1.0,,,,,,,,,
