matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
987597,1.0,2018-08-10 20:00:00,1,Man Utd,Home,197.0,30.0,1.0,1.0,,2.0,,203.0,2.0,,1.0,3.0,17.0,32.0,399.0,,,17.0,13.0,10.0,6.0,,,,,,,,,,,,1.0,7.0,1.0,,,,,10.0,5.0,8.0,5.0,3.0,,88.0,68.0,1.0,1.0,1.0,1.0,17.0,1.0,9.0,,,2.0,3.0,7.0,1.0,11.0,3.0,47.0,53.0,1.0,37.0,21.0,,,48.0,11.0,7.0,,,1.0,,,159.0,1.0,,1.0,1.0,,,5.0,,,1.0,,,,,,21.0,,17.0,17.0,1.0,1.0,127.0,69.0,41.0,5.0,1.0,1.0,6.0,6.0,467.0,,,5.0,4.0,,97.0,43.0,16.0,,,,1.0,139.0,139.0,5.0,36.0,23.0,46.3,,,,2.0,17.0,0.0,,,,111.0,2.0,1.0,3.0,,3.0,,1.0,,3.0,73.0,389.0,10.0,7.0,218.0,44.0,37.0,14.0,2.0,12.0,10.0,,99.0,6.0,279.0,,,17.0,20.0,57.0,4.0,485.0,,0.0,8.0,26.0,1.0,20.0,2.0,697.0,10.0,17.0,11.0,2.0,13.0,0.0
987602,2.0,2018-08-19 16:00:00,1,Man Utd,Away,288.0,28.0,2.0,2.0,,1.0,,199.0,4.0,,3.0,2.0,9.0,28.0,485.0,,,25.0,12.0,23.0,3.0,1.0,,,,,,,,,,,,5.0,1.0,,,,,9.0,5.0,1.0,6.0,3.0,,74.0,54.0,,,2.0,1.0,19.0,2.0,3.0,,,5.0,7.0,5.0,,16.0,,56.0,58.0,1.0,18.0,6.0,,,55.0,13.0,16.0,1.0,,1.0,,,164.0,,,,,,,4.0,,,,2.0,,,,,6.0,,4.0,4.0,,3.0,160.0,79.0,53.0,3.0,1.0,3.0,1.0,3.0,545.0,,,,3.0,,51.0,71.0,27.0,1.0,1.0,1.0,1.0,159.0,159.0,2.0,23.0,24.0,66.6,,,,,19.0,0.0,,,,174.0,,,,,1.0,,4.0,,3.0,63.0,465.0,7.0,4.0,310.0,52.0,18.0,20.0,5.0,17.0,12.0,,103.0,6.0,279.0,2.0,,13.0,10.0,56.0,2.0,572.0,,0.0,9.0,12.0,,27.0,1.0,771.0,15.0,22.0,8.0,5.0,5.0,0.0
987617,3.0,2018-08-27 20:00:00,1,Man Utd,Home,185.0,33.0,1.0,9.0,8.0,5.0,2.0,199.0,1.0,1.0,4.0,9.0,8.0,45.0,375.0,1.0,1.0,25.0,13.0,24.0,16.0,1.0,1.0,,,,,1.0,1.0,,,,1.0,20.0,,,,,1.0,7.0,8.0,1.0,16.0,7.0,,74.0,76.0,,1.0,,,24.0,6.0,5.0,,,5.0,11.0,7.0,,19.0,1.0,51.0,58.0,,14.0,4.0,,1.0,62.0,11.0,16.0,,,4.0,3.0,1.0,167.0,,,,,,,4.0,,,,,,,,1.0,4.0,,10.0,10.0,1.0,4.0,117.0,87.0,46.0,2.0,,8.0,9.0,5.0,465.0,,,2.0,,,64.0,69.0,38.0,,,,,176.0,176.0,3.0,32.0,34.0,57.0,,,,,24.0,0.0,,,,130.0,2.0,,2.0,,,,12.0,,3.0,97.0,359.0,13.0,17.0,210.0,58.0,14.0,11.0,5.0,26.0,21.0,,138.0,10.0,304.0,,1.0,27.0,11.0,79.0,2.0,488.0,1.0,0.0,23.0,11.0,3.0,29.0,2.0,699.0,32.0,17.0,7.0,5.0,6.0,0.0
987623,4.0,2018-09-02 16:00:00,1,Man Utd,Away,201.0,25.0,,5.0,5.0,1.0,,242.0,2.0,,5.0,1.0,12.0,38.0,438.0,,2.0,16.0,21.0,19.0,15.0,,,1.0,,,,,,,,,1.0,16.0,,1.0,,,1.0,4.0,5.0,4.0,13.0,8.0,,74.0,55.0,3.0,3.0,1.0,2.0,7.0,6.0,4.0,,2.0,5.0,9.0,4.0,,8.0,3.0,48.0,38.0,2.0,32.0,21.0,,,57.0,13.0,7.0,2.0,,2.0,,,149.0,1.0,,1.0,1.0,,,10.0,,,2.0,1.0,,,,1.0,21.0,,6.0,6.0,,5.0,151.0,74.0,39.0,2.0,,4.0,12.0,9.0,488.0,,,1.0,1.0,,74.0,68.0,40.0,,,,1.0,113.0,113.0,,24.0,19.0,53.4,,,,1.0,7.0,0.0,,,,139.0,2.0,,2.0,,1.0,1.0,6.0,1.0,3.0,119.0,429.0,5.0,17.0,214.0,42.0,32.0,10.0,5.0,18.0,13.0,1.0,158.0,5.0,317.0,1.0,,13.0,12.0,71.0,1.0,513.0,1.0,1.0,21.0,6.0,2.0,18.0,3.0,682.0,42.0,9.0,6.0,5.0,3.0,0.0
987640,5.0,2018-09-15 17:30:00,1,Man Utd,Away,183.0,29.0,3.0,5.0,2.0,1.0,,241.0,4.0,,1.0,4.0,6.0,45.0,419.0,,1.0,15.0,18.0,22.0,4.0,1.0,,,,,,,,,,,,7.0,,,,,,5.0,6.0,8.0,6.0,3.0,,61.0,62.0,1.0,1.0,1.0,1.0,16.0,2.0,7.0,,,8.0,2.0,12.0,1.0,16.0,4.0,60.0,44.0,1.0,31.0,18.0,,1.0,56.0,11.0,8.0,1.0,,1.0,,,165.0,1.0,,1.0,,1.0,,9.0,,,1.0,,,,,1.0,18.0,,11.0,11.0,,1.0,141.0,77.0,50.0,6.0,,1.0,5.0,6.0,494.0,,,6.0,,,74.0,72.0,30.0,,,,,157.0,157.0,1.0,35.0,22.0,57.1,,,,,16.0,0.0,,,,153.0,2.0,2.0,4.0,1.0,,,1.0,,3.0,102.0,403.0,8.0,6.0,215.0,54.0,31.0,13.0,7.0,21.0,14.0,,145.0,7.0,326.0,,,16.0,7.0,76.0,4.0,520.0,,1.0,9.0,11.0,1.0,16.0,1.0,700.0,22.0,10.0,4.0,8.0,6.0,0.0
987650,6.0,2018-09-22 15:00:00,1,Man Utd,Home,248.0,35.0,2.0,4.0,2.0,1.0,1.0,339.0,3.0,,3.0,3.0,6.0,33.0,583.0,,,27.0,24.0,17.0,8.0,,,,,,,2.0,3.0,,,,,10.0,,,,,1.0,3.0,5.0,6.0,5.0,10.0,,89.0,64.0,,,,1.0,17.0,6.0,7.0,,,5.0,8.0,8.0,,10.0,5.0,48.0,57.0,1.0,13.0,4.0,,,72.0,5.0,16.0,,,7.0,3.0,3.0,209.0,1.0,,,1.0,,,8.0,,,1.0,,,,,,4.0,1.0,5.0,5.0,1.0,3.0,201.0,89.0,61.0,4.0,1.0,3.0,6.0,6.0,656.0,,,,1.0,,113.0,76.0,43.0,,,,,151.0,151.0,5.0,23.0,29.0,64.5,,2.0,,,17.0,0.0,,,,185.0,4.0,3.0,7.0,,1.0,,3.0,,3.0,138.0,564.0,6.0,9.0,265.0,55.0,13.0,11.0,4.0,23.0,19.0,,192.0,8.0,442.0,,,14.0,8.0,68.0,3.0,684.0,1.0,0.0,15.0,16.0,1.0,27.0,1.0,865.0,25.0,14.0,8.0,5.0,11.0,0.0
987660,7.0,2018-09-29 12:30:00,1,Man Utd,Away,160.0,13.0,5.0,8.0,3.0,3.0,,240.0,6.0,,3.0,5.0,6.0,26.0,392.0,,,24.0,11.0,19.0,5.0,1.0,2.0,,,,,,1.0,1.0,,,,6.0,,,,1.0,,6.0,6.0,3.0,5.0,4.0,,52.0,59.0,1.0,1.0,,3.0,17.0,4.0,4.0,,,9.0,21.0,6.0,,11.0,,51.0,47.0,3.0,16.0,7.0,,,51.0,12.0,12.0,,,3.0,1.0,1.0,141.0,1.0,1.0,1.0,,1.0,,7.0,,,,,,,,1.0,7.0,1.0,9.0,9.0,,3.0,117.0,60.0,37.0,4.0,,1.0,6.0,4.0,431.0,,,1.0,1.0,1.0,62.0,76.0,42.0,,,,,139.0,139.0,1.0,25.0,30.0,51.0,1.0,,,1.0,17.0,0.0,,,,147.0,,1.0,1.0,,,,1.0,,3.0,93.0,369.0,7.0,7.0,170.0,30.0,16.0,21.0,8.0,35.0,28.0,,127.0,5.0,322.0,,,14.0,7.0,51.0,4.0,457.0,,0.0,9.0,9.0,1.0,26.0,1.0,658.0,21.0,15.0,7.0,9.0,7.0,0.0
987668,8.0,2018-10-06 17:30:00,1,Man Utd,Home,212.0,20.0,5.0,12.0,7.0,3.0,,309.0,5.0,,6.0,4.0,10.0,31.0,509.0,,1.0,31.0,16.0,19.0,9.0,2.0,,,1.0,,,,1.0,,,,,11.0,,,,,,9.0,8.0,5.0,10.0,8.0,,71.0,62.0,4.0,4.0,1.0,3.0,20.0,3.0,4.0,,1.0,10.0,17.0,18.0,,13.0,3.0,54.0,45.0,3.0,19.0,10.0,,,78.0,16.0,8.0,1.0,,2.0,1.0,1.0,195.0,2.0,,1.0,2.0,,,5.0,,,2.0,,,,,,10.0,,4.0,4.0,,7.0,180.0,81.0,57.0,6.0,,3.0,10.0,10.0,592.0,,,,,,129.0,76.0,49.0,,,,,173.0,173.0,2.0,20.0,30.0,73.0,,,3.0,,20.0,0.0,,,,164.0,2.0,4.0,6.0,,1.0,,5.0,,3.0,131.0,495.0,5.0,13.0,236.0,39.0,19.0,12.0,8.0,44.0,36.0,,187.0,7.0,418.0,,,14.0,10.0,56.0,1.0,610.0,,0.0,18.0,11.0,1.0,32.0,2.0,836.0,42.0,19.0,7.0,10.0,8.0,0.0
987675,9.0,2018-10-20 12:30:00,1,Man Utd,Away,151.0,8.0,,1.0,1.0,2.0,,132.0,7.0,,4.0,7.0,13.0,26.0,282.0,,,14.0,13.0,15.0,3.0,,,,,,,,,,,,,6.0,,,,,1.0,7.0,14.0,7.0,6.0,1.0,,62.0,64.0,1.0,1.0,1.0,1.0,11.0,,5.0,,,3.0,1.0,4.0,,9.0,3.0,43.0,54.0,1.0,29.0,14.0,,,44.0,17.0,9.0,,1.0,2.0,1.0,,135.0,1.0,,,1.0,,,12.0,,,2.0,,,,,2.0,14.0,,14.0,14.0,,4.0,90.0,65.0,32.0,5.0,2.0,2.0,2.0,4.0,345.0,,,7.0,4.0,,64.0,28.0,24.0,,,,,132.0,132.0,3.0,26.0,29.0,37.7,,2.0,1.0,,11.0,0.0,,,,84.0,3.0,1.0,4.0,,1.0,,3.0,,3.0,57.0,263.0,2.0,4.0,166.0,28.0,29.0,13.0,3.0,9.0,6.0,,104.0,6.0,214.0,,,21.0,13.0,62.0,1.0,371.0,1.0,0.0,7.0,21.0,1.0,18.0,5.0,547.0,25.0,13.0,10.0,3.0,14.0,0.0
987688,10.0,2018-10-28 16:00:00,1,Man Utd,Home,171.0,18.0,,2.0,2.0,2.0,,222.0,5.0,,6.0,2.0,8.0,30.0,391.0,,1.0,18.0,8.0,15.0,11.0,,,2.0,,,,,,,,,1.0,11.0,,1.0,,,2.0,6.0,9.0,5.0,8.0,6.0,,79.0,60.0,2.0,3.0,1.0,3.0,20.0,1.0,11.0,,,8.0,4.0,6.0,,12.0,1.0,50.0,46.0,3.0,10.0,4.0,,,58.0,15.0,12.0,1.0,,2.0,,,151.0,1.0,,,1.0,,,10.0,,,1.0,2.0,,,,,4.0,,7.0,7.0,,6.0,119.0,76.0,43.0,4.0,1.0,3.0,9.0,10.0,459.0,,,1.0,1.0,,95.0,45.0,28.0,1.0,1.0,1.0,1.0,147.0,147.0,1.0,18.0,29.0,53.7,,,,,20.0,0.0,,,,137.0,3.0,2.0,5.0,,1.0,2.0,3.0,,3.0,92.0,374.0,7.0,12.0,194.0,38.0,10.0,8.0,7.0,17.0,10.0,2.0,130.0,6.0,309.0,2.0,,15.0,8.0,59.0,7.0,486.0,,0.0,14.0,15.0,1.0,22.0,2.0,654.0,29.0,9.0,4.0,8.0,9.0,0.0
