matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPenPost,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
1059710,1.0,2019-08-11 16:30:00,1,Man Utd,Home,233.0,14.0,1.0,4.0,3.0,1.0,,134.0,5.0,,5.0,3.0,5.0,28.0,363.0,,1.0,14.0,9.0,13.0,6.0,,,2.0,,,,,,,,,,,10.0,1.0,,,,,,,8.0,9.0,9.0,7.0,4.0,,60.0,59.0,2.0,,3.0,1.0,25.0,4.0,13.0,2.0,3.0,9.0,2.0,,15.0,3.0,58.0,55.0,1.0,19.0,10.0,,,31.0,15.0,12.0,1.0,,4.0,1.0,,142.0,3.0,,3.0,3.0,,1.0,7.0,,,3.0,,,,,,10.0,,12.0,12.0,2.0,5.0,120.0,43.0,24.0,5.0,2.0,2.0,7.0,5.0,428.0,,,4.0,2.0,,61.0,34.0,18.0,,,,1.0,140.0,140.0,4.0,23.0,24.0,46.2,,,,,25.0,0.0,,,,127.0,3.0,4.0,7.0,,2.0,2.0,,3.0,73.0,348.0,10.0,9.0,269.0,23.0,19.0,20.0,3.0,14.0,12.0,3.0,100.0,3.0,194.0,1.0,,14.0,6.0,53.0,2.0,449.0,,0.0,11.0,16.0,2.0,16.0,3.0,649.0,28.0,17.0,14.0,3.0,10.0,0.0
1059721,2.0,2019-08-19 20:00:00,1,Man Utd,Away,278.0,24.0,3.0,4.0,1.0,,,305.0,3.0,,8.0,1.0,9.0,37.0,579.0,,,15.0,10.0,20.0,3.0,1.0,3.0,,,1.0,,,1.0,,,,,,4.0,,,1.0,,,,,4.0,5.0,1.0,5.0,4.0,,102.0,65.0,,1.0,,1.0,15.0,3.0,9.0,,6.0,6.0,5.0,,9.0,,42.0,67.0,1.0,15.0,6.0,,,64.0,8.0,17.0,1.0,,3.0,1.0,1.0,191.0,1.0,,1.0,1.0,,,3.0,,,1.0,,,,,1.0,6.0,,5.0,5.0,,8.0,177.0,71.0,52.0,4.0,,3.0,2.0,2.0,647.0,,,1.0,3.0,,94.0,122.0,33.0,,,,1.0,142.0,142.0,,13.0,44.0,65.6,,2.0,,,15.0,0.0,,,,198.0,1.0,,1.0,,,4.0,,3.0,129.0,560.0,4.0,5.0,297.0,40.0,15.0,15.0,5.0,17.0,12.0,,173.0,1.0,388.0,,,9.0,9.0,61.0,1.0,668.0,,0.0,9.0,23.0,,17.0,2.0,845.0,21.0,17.0,7.0,6.0,15.0,0.0
1059726,3.0,2019-08-24 15:00:00,1,Man Utd,Home,191.0,19.0,5.0,9.0,4.0,,2.0,299.0,5.0,,2.0,3.0,2.0,31.0,481.0,,2.0,20.0,15.0,23.0,8.0,5.0,3.0,,,3.0,,,3.0,,,,,,12.0,,1.0,,,1.0,,3.0,3.0,5.0,,14.0,8.0,,71.0,49.0,1.0,3.0,,2.0,14.0,6.0,9.0,2.0,8.0,15.0,,,16.0,,56.0,57.0,2.0,6.0,2.0,,,73.0,8.0,18.0,,,9.0,4.0,3.0,166.0,1.0,,1.0,1.0,,,5.0,,,1.0,1.0,,,,,2.0,1.0,6.0,6.0,1.0,3.0,169.0,49.0,29.0,1.0,1.0,7.0,7.0,3.0,543.0,,,1.0,,,95.0,91.0,41.0,,,,1.0,139.0,139.0,2.0,16.0,27.0,71.3,1.0,,,,14.0,0.0,,,,156.0,1.0,,1.0,,,13.0,2.0,3.0,166.0,464.0,4.0,15.0,210.0,38.0,6.0,16.0,8.0,27.0,19.0,,213.0,1.0,379.0,1.0,,8.0,2.0,49.0,,562.0,,0.0,22.0,9.0,2.0,21.0,2.0,748.0,37.0,13.0,7.0,8.0,4.0,0.0
1059740,4.0,2019-08-31 12:30:00,1,Man Utd,Away,191.0,21.0,,4.0,4.0,2.0,,240.0,6.0,,5.0,,4.0,21.0,427.0,,1.0,31.0,18.0,27.0,17.0,,1.0,,,,,,,,,,,,20.0,,,,,,,,5.0,5.0,5.0,13.0,8.0,,72.0,62.0,2.0,2.0,,2.0,22.0,4.0,6.0,1.0,3.0,14.0,5.0,,16.0,1.0,55.0,70.0,2.0,16.0,8.0,,,56.0,7.0,15.0,,,1.0,1.0,,190.0,1.0,,,1.0,,,10.0,,,1.0,,,,,1.0,8.0,,7.0,7.0,,5.0,148.0,67.0,35.0,2.0,1.0,7.0,11.0,8.0,508.0,,,3.0,4.0,,95.0,61.0,38.0,,,,,183.0,183.0,3.0,32.0,21.0,58.6,,2.0,,1.0,22.0,0.0,,,,127.0,1.0,,1.0,3.0,,9.0,1.0,3.0,125.0,404.0,6.0,18.0,230.0,48.0,16.0,19.0,3.0,22.0,20.0,,168.0,3.0,329.0,,,7.0,4.0,45.0,1.0,537.0,,0.0,21.0,19.0,1.0,38.0,2.0,771.0,39.0,18.0,10.0,3.0,11.0,0.0
1059746,5.0,2019-09-14 15:00:00,1,Man Utd,Home,126.0,7.0,2.0,2.0,,1.0,,134.0,6.0,,2.0,3.0,3.0,15.0,258.0,,,26.0,16.0,11.0,4.0,2.0,2.0,,,,1.0,1.0,2.0,,,,,,5.0,1.0,,,1.0,,,,8.0,3.0,6.0,4.0,6.0,,51.0,60.0,,,1.0,5.0,15.0,,12.0,,3.0,5.0,,,14.0,,72.0,57.0,5.0,30.0,16.0,,1.0,45.0,14.0,14.0,1.0,,4.0,1.0,2.0,138.0,,,,,,,7.0,,,,,,,,,16.0,1.0,12.0,12.0,1.0,2.0,82.0,62.0,36.0,9.0,,3.0,3.0,5.0,322.0,,,1.0,2.0,,76.0,54.0,13.0,,,,1.0,145.0,145.0,4.0,26.0,24.0,41.7,1.0,,,,15.0,0.0,,,,74.0,2.0,1.0,3.0,,,5.0,,3.0,58.0,243.0,2.0,6.0,144.0,16.0,30.0,29.0,3.0,9.0,6.0,,97.0,4.0,210.0,,,20.0,4.0,41.0,,345.0,,0.0,10.0,19.0,1.0,28.0,1.0,566.0,13.0,17.0,13.0,3.0,11.0,0.0
1059761,6.0,2019-09-22 14:00:00,1,Man Utd,Away,223.0,14.0,2.0,4.0,2.0,1.0,,180.0,10.0,,5.0,3.0,5.0,20.0,399.0,,,17.0,21.0,13.0,8.0,,1.0,1.0,,,,,,,,,,,8.0,,,,,,,,5.0,3.0,5.0,5.0,4.0,,64.0,55.0,2.0,2.0,,3.0,15.0,4.0,4.0,,7.0,13.0,,,13.0,2.0,50.0,45.0,3.0,18.0,11.0,,,57.0,9.0,8.0,,,,1.0,,173.0,,,,,,,10.0,,,,,,,,,11.0,,5.0,5.0,1.0,5.0,114.0,61.0,33.0,3.0,,2.0,6.0,3.0,456.0,,,1.0,3.0,,68.0,66.0,30.0,,,,,135.0,135.0,6.0,18.0,25.0,53.5,,,,,15.0,0.0,,,,128.0,2.0,2.0,4.0,1.0,1.0,2.0,,3.0,88.0,376.0,5.0,8.0,244.0,33.0,18.0,14.0,6.0,20.0,14.0,1.0,125.0,3.0,255.0,,,10.0,5.0,43.0,1.0,479.0,,0.0,9.0,13.0,,21.0,2.0,661.0,21.0,15.0,11.0,7.0,9.0,0.0
1059768,7.0,2019-09-30 20:00:00,1,Man Utd,Home,174.0,13.0,3.0,4.0,1.0,1.0,1.0,180.0,7.0,,7.0,2.0,5.0,29.0,350.0,,1.0,20.0,11.0,10.0,9.0,1.0,4.0,1.0,,,,1.0,1.0,,,,,,11.0,,,,,,,,11.0,7.0,3.0,4.0,12.0,,68.0,58.0,1.0,1.0,,1.0,18.0,6.0,8.0,,8.0,5.0,7.0,,10.0,4.0,54.0,45.0,1.0,7.0,6.0,1.0,,51.0,18.0,12.0,,,2.0,1.0,1.0,148.0,1.0,,1.0,1.0,,,8.0,,,1.0,1.0,,,,1.0,6.0,,11.0,11.0,2.0,7.0,106.0,60.0,36.0,7.0,1.0,4.0,7.0,4.0,413.0,,,2.0,3.0,,74.0,65.0,23.0,,,,,142.0,142.0,5.0,13.0,31.0,54.8,,2.0,,,18.0,0.0,,,,118.0,3.0,1.0,4.0,1.0,1.0,6.0,,2.0,89.0,327.0,6.0,11.0,197.0,30.0,7.0,17.0,6.0,19.0,13.0,1.0,130.0,3.0,262.0,1.0,,9.0,5.0,50.0,2.0,440.0,1.0,0.0,16.0,15.0,1.0,22.0,4.0,631.0,26.0,11.0,8.0,8.0,6.0,0.0
1059777,8.0,2019-10-06 16:30:00,1,Man Utd,Away,222.0,11.0,3.0,5.0,2.0,,1.0,295.0,8.0,,5.0,1.0,9.0,27.0,512.0,,,27.0,23.0,18.0,6.0,5.0,4.0,,,,,,1.0,,,,,,5.0,,,,,,,1.0,5.0,4.0,8.0,7.0,5.0,,77.0,56.0,1.0,1.0,,,13.0,4.0,11.0,1.0,6.0,8.0,6.0,,5.0,1.0,53.0,41.0,,7.0,7.0,,,66.0,10.0,9.0,,,5.0,5.0,1.0,145.0,,,,,,,8.0,,,,,,,,1.0,7.0,,8.0,8.0,,5.0,196.0,68.0,45.0,4.0,,5.0,6.0,3.0,577.0,,,5.0,1.0,,122.0,81.0,31.0,,,,,133.0,133.0,3.0,18.0,30.0,68.1,,,,,13.0,0.0,,,,176.0,,1.0,1.0,1.0,,5.0,,3.0,120.0,495.0,5.0,11.0,238.0,31.0,7.0,10.0,6.0,25.0,19.0,,157.0,2.0,381.0,,,8.0,9.0,51.0,2.0,594.0,,0.0,12.0,11.0,,27.0,3.0,757.0,16.0,16.0,3.0,6.0,6.0,0.0
1059788,9.0,2019-10-20 16:30:00,1,Man Utd,Home,108.0,17.0,,2.0,2.0,3.0,,93.0,2.0,,7.0,1.0,1.0,16.0,199.0,,,23.0,26.0,10.0,6.0,,,1.0,,,,,,,,,,,7.0,,,,,,,,4.0,6.0,4.0,3.0,4.0,,32.0,70.0,1.0,,1.0,1.0,16.0,1.0,5.0,1.0,3.0,9.0,2.0,,10.0,1.0,54.0,41.0,1.0,29.0,16.0,,,51.0,6.0,13.0,1.0,,1.0,1.0,,135.0,1.0,,1.0,1.0,,1.0,8.0,,,1.0,,,,,,16.0,,11.0,11.0,,7.0,70.0,71.0,23.0,1.0,,4.0,3.0,2.0,274.0,,,1.0,2.0,,54.0,52.0,18.0,,,,,163.0,163.0,9.0,25.0,26.0,32.0,,2.0,,,16.0,0.0,,,,62.0,2.0,1.0,3.0,,1.0,4.0,,2.0,52.0,189.0,5.0,7.0,131.0,44.0,29.0,16.0,3.0,15.0,12.0,2.0,96.0,8.0,183.0,,,17.0,2.0,62.0,4.0,299.0,1.0,0.0,7.0,10.0,,33.0,0.0,509.0,12.0,16.0,8.0,3.0,3.0,0.0
1059798,10.0,2019-10-27 16:30:00,1,Man Utd,Away,142.0,15.0,3.0,4.0,1.0,2.0,,268.0,2.0,,1.0,3.0,6.0,37.0,406.0,,,17.0,4.0,6.0,7.0,3.0,7.0,2.0,,1.0,,,1.0,,,,,1.0,11.0,,,2.0,,,,,8.0,6.0,4.0,13.0,8.0,,70.0,67.0,4.0,5.0,2.0,2.0,20.0,3.0,13.0,2.0,10.0,7.0,2.0,,15.0,1.0,53.0,61.0,2.0,13.0,5.0,1.0,,56.0,10.0,12.0,1.0,,3.0,,1.0,150.0,2.0,,2.0,2.0,,1.0,5.0,,,2.0,,,,,,5.0,,6.0,6.0,,1.0,152.0,52.0,35.0,1.0,2.0,4.0,8.0,11.0,460.0,,,2.0,4.0,,104.0,88.0,29.0,,,,2.0,137.0,137.0,7.0,21.0,36.0,53.9,,,,,20.0,0.0,,,,108.0,1.0,1.0,2.0,,2.0,7.0,,3.0,143.0,392.0,9.0,12.0,162.0,20.0,13.0,30.0,10.0,19.0,9.0,3.0,182.0,5.0,337.0,,,12.0,6.0,56.0,,480.0,,0.0,21.0,24.0,,22.0,2.0,692.0,27.0,13.0,19.0,10.0,13.0,0.0
