matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attLgRight,attObxdLeft,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPenMiss,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,expectedGoalsFreekick,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperGoals,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalDistance,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,winningGoal,wonContest,wonCorners,wonTackle,yellowCard
2561903,1,2025-08-17 16:30:00,1,Man Utd,Home,196.0,23.0,,3.0,3.0,1.0,,200.0,5.0,,3.0,4.0,7.0,41.0,393.0,,2.0,19.0,16.0,23.0,16.0,1.0,1.0,3.0,0.0,,,1.0,,1.0,,,,,19.0,0.0,,,,,1.0,1.0,5.0,5.0,4.0,15.0,7.0,76.0,47.0,,,,,6.0,8.0,9.0,,,3.0,5.0,5.0,0.0,14.0,,53.0,70.0,,23.0,10.0,1.0,,0.94507,1.524,0.0956,0.7494,1.2134,54.0,10.0,19.0,,,3.0,2.0,1.0,170.0,,,,,,,5.0,0.0,1.0,,10.0,1.0,4.0,4.0,1.0,0.0,3.0,121.0,65.0,40.0,4.0,0.0,7.0,10.0,7.0,450.0,3.0,,0.0,61.0,73.0,32.0,,,,,128.0,128.0,4.0,17.0,18.0,61.1,1.0,,,,10.0,0.0,108.0,1.0,1.0,2.0,,,3.0,7.0,,0.0,4.0,95.0,372.0,6.0,17.0,226.0,40.0,23.0,13.0,3.0,15.0,12.0,106365.32,3.0,128.0,4.0,264.0,2.0,,18.0,9.0,67.0,1.0,475.0,1.0,0.0,22.0,22.0,4.0,20.0,1.0,672.0,36.0,14.0,0.0,9.0,3.0,11.0,0.0
2561911,2,2025-08-24 16:30:00,1,Man Utd,Away,178.0,15.0,3.0,4.0,1.0,2.0,,154.0,7.0,,4.0,3.0,13.0,22.0,328.0,,,12.0,20.0,23.0,7.0,2.0,3.0,2.0,0.0,,,,,,,,,,5.0,0.0,1.0,,,,1.0,1.0,6.0,10.0,3.0,8.0,2.0,70.0,31.0,1.0,2.0,1.0,3.0,10.0,1.0,2.0,1.0,1.0,6.0,5.0,2.0,0.0,5.0,1.0,41.0,53.0,3.0,27.0,16.0,1.0,,0.740445,1.7648,,0.5612,1.374,50.0,10.0,11.0,,,2.0,1.0,,123.0,1.0,1.0,1.0,,1.0,,9.0,0.0,1.0,,16.0,1.0,5.0,5.0,1.0,0.0,4.0,103.0,59.0,32.0,9.0,0.0,5.0,4.0,3.0,374.0,5.0,2.0,0.0,54.0,41.0,25.0,,,,1.0,112.0,112.0,4.0,8.0,13.0,47.6,1.0,2.0,,,15.0,0.0,101.0,2.0,1.0,2.0,,1.0,2.0,6.0,,0.0,5.0,81.0,311.0,10.0,9.0,200.0,30.0,27.0,7.0,6.0,14.0,8.0,103693.56,2.0,110.0,4.0,211.0,1.0,,21.0,13.0,56.0,1.0,397.0,1.0,0.0,10.0,17.0,1.0,17.0,1.0,575.0,25.0,15.0,0.0,2.0,6.0,11.0,0.0
2561920,3,2025-08-30 15:00:00,1,Man Utd,Home,212.0,24.0,4.0,13.0,9.0,1.0,1.0,219.0,3.0,,2.0,7.0,12.0,32.0,418.0,1.0,1.0,16.0,22.0,21.0,13.0,5.0,4.0,3.0,0.0,,,,,,,,,,18.0,1.0,,,2.0,,,2.0,6.0,5.0,1.0,19.0,7.0,74.0,54.0,2.0,2.0,2.0,3.0,10.0,7.0,3.0,,2.0,7.0,8.0,11.0,0.0,14.0,1.0,53.0,50.0,3.0,17.0,9.0,,,1.85288,3.6274,,2.1783,1.6582,59.0,9.0,8.0,1.0,,2.0,1.0,,168.0,1.0,,1.0,1.0,,,4.0,1.0,1.0,,9.0,2.0,3.0,3.0,1.0,0.0,2.0,128.0,65.0,40.0,1.0,1.0,13.0,6.0,6.0,491.0,2.0,1.0,0.0,82.0,56.0,39.0,,,,1.0,145.0,145.0,4.0,19.0,25.0,61.8,2.0,,,,19.0,0.0,138.0,1.0,,1.0,,,3.0,13.0,1.0,0.0,4.0,134.0,404.0,10.0,19.0,240.0,38.0,17.0,11.0,6.0,26.0,20.0,111789.77,3.0,175.0,7.0,294.0,2.0,,19.0,14.0,55.0,1.0,508.0,1.0,0.0,26.0,16.0,5.0,21.0,1.0,706.0,38.0,15.0,0.0,5.0,7.0,9.0,0.0
2561932,4,2025-09-14 16:30:00,1,Man Utd,Away,189.0,32.0,,6.0,6.0,2.0,,237.0,3.0,1.0,2.0,5.0,12.0,36.0,420.0,,1.0,14.0,18.0,11.0,9.0,,2.0,,0.0,,,,,,,,,,10.0,0.0,,,,,,,5.0,12.0,1.0,7.0,5.0,86.0,47.0,2.0,2.0,,,7.0,2.0,7.0,,,4.0,10.0,6.0,0.0,5.0,,45.0,48.0,,10.0,3.0,1.0,2.0,1.30473,1.5166,,0.1434,2.2965,66.0,8.0,8.0,,,3.0,3.0,,167.0,,,,,,,5.0,0.0,,1.0,3.0,,13.0,13.0,1.0,0.0,2.0,128.0,69.0,46.0,2.0,0.0,6.0,3.0,2.0,485.0,,2.0,0.0,71.0,83.0,38.0,,,,,139.0,139.0,3.0,14.0,27.0,54.7,,,,,15.0,0.0,120.0,3.0,,3.0,,1.0,,8.0,,0.0,4.0,130.0,406.0,7.0,9.0,211.0,42.0,10.0,14.0,4.0,23.0,19.0,107139.63,,169.0,4.0,313.0,,1.0,19.0,14.0,58.0,3.0,501.0,,0.0,12.0,23.0,5.0,21.0,0.0,679.0,29.0,16.0,0.0,6.0,4.0,15.0,0.0
2561941,5,2025-09-20 17:30:00,1,Man Utd,Home,137.0,10.0,1.0,8.0,7.0,5.0,,163.0,1.0,1.0,,3.0,6.0,13.0,292.0,,1.0,20.0,16.0,12.0,4.0,1.0,4.0,,0.0,,,1.0,,,,,,,4.0,0.0,,,,,,2.0,6.0,4.0,1.0,6.0,5.0,53.0,47.0,3.0,1.0,2.0,3.0,8.0,4.0,8.0,,,5.0,10.0,9.0,0.0,8.0,,53.0,51.0,3.0,19.0,7.0,,,1.14415,1.8377,0.1352,1.8708,0.5938,49.0,13.0,14.0,,,6.0,4.0,1.0,126.0,2.0,,1.0,2.0,,,2.0,1.0,,,7.0,,10.0,10.0,,0.0,,91.0,62.0,30.0,5.0,2.0,3.0,3.0,4.0,355.0,2.0,3.0,0.0,52.0,59.0,36.0,,,,,132.0,132.0,6.0,16.0,23.0,41.2,,,,1.0,18.0,0.0,101.0,,,,1.0,1.0,,3.0,1.0,0.0,5.0,78.0,280.0,8.0,6.0,153.0,30.0,19.0,13.0,3.0,26.0,23.0,110824.32,,115.0,9.0,244.0,,1.0,25.0,6.0,55.0,3.0,371.0,,1.0,11.0,21.0,3.0,23.0,0.0,569.0,21.0,10.0,0.0,5.0,5.0,16.0,0.0
2561946,6,2025-09-27 12:30:00,1,Man Utd,Away,217.0,19.0,2.0,4.0,2.0,4.0,,157.0,2.0,,4.0,6.0,4.0,18.0,370.0,,1.0,8.0,22.0,19.0,7.0,2.0,2.0,1.0,0.0,,,,,,,,,,8.0,0.0,,1.0,,,,1.0,7.0,7.0,3.0,9.0,5.0,74.0,43.0,,3.0,1.0,1.0,2.0,4.0,6.0,,,2.0,6.0,5.0,0.0,6.0,2.0,52.0,51.0,1.0,29.0,18.0,,1.0,0.528403,2.0824,,2.4251,3.0263,44.0,10.0,14.0,1.0,,2.0,1.0,,147.0,,,,,,,3.0,1.0,1.0,,18.0,,4.0,4.0,1.0,0.0,4.0,105.0,67.0,41.0,4.0,0.0,3.0,6.0,6.0,437.0,1.0,2.0,0.0,48.0,63.0,21.0,,,,1.0,139.0,139.0,,20.0,18.0,55.8,,,,,17.0,0.0,132.0,5.0,,5.0,,,1.0,4.0,1.0,0.0,4.0,56.0,353.0,2.0,9.0,249.0,33.0,29.0,10.0,2.0,14.0,12.0,104916.7,1.0,85.0,10.0,223.0,1.0,,23.0,5.0,41.0,1.0,458.0,,0.0,14.0,16.0,2.0,17.0,2.0,631.0,17.0,15.0,0.0,2.0,2.0,9.0,0.0
2561962,7,2025-10-04 15:00:00,1,Man Utd,Home,197.0,13.0,2.0,5.0,3.0,2.0,,159.0,4.0,1.0,2.0,7.0,4.0,19.0,351.0,,,12.0,20.0,14.0,8.0,2.0,1.0,,0.0,,,,,,,,,,11.0,0.0,,,,,,1.0,7.0,5.0,3.0,11.0,4.0,80.0,53.0,,1.0,1.0,,8.0,2.0,11.0,,,2.0,2.0,3.0,0.0,5.0,1.0,61.0,48.0,,24.0,9.0,,,0.690013,1.8411,,2.0742,0.9379,55.0,10.0,10.0,2.0,,1.0,,,168.0,1.0,,1.0,1.0,,,8.0,1.0,2.0,1.0,9.0,1.0,10.0,10.0,1.0,0.0,2.0,97.0,84.0,37.0,3.0,0.0,4.0,7.0,6.0,422.0,1.0,,0.0,49.0,57.0,19.0,,1.0,,,151.0,151.0,1.0,13.0,29.0,50.2,,,,,17.0,0.0,103.0,2.0,1.0,3.0,,1.0,,7.0,,0.0,5.0,78.0,336.0,8.0,11.0,213.0,27.0,24.0,23.0,2.0,7.0,5.0,117463.59,,119.0,9.0,242.0,2.0,1.0,29.0,5.0,59.0,1.0,448.0,,0.0,15.0,17.0,,23.0,1.0,636.0,32.0,19.0,0.0,7.0,2.0,10.0,0.0
2561969,8,2025-10-19 16:30:00,1,Man Utd,Away,79.0,9.0,1.0,4.0,3.0,1.0,1.0,125.0,6.0,,1.0,3.0,5.0,18.0,200.0,,1.0,13.0,21.0,18.0,5.0,2.0,3.0,1.0,0.0,,,,,,,,,,8.0,0.0,,,,,1.0,1.0,8.0,16.0,3.0,10.0,2.0,52.0,41.0,3.0,3.0,2.0,4.0,6.0,3.0,4.0,,,4.0,4.0,3.0,1.0,9.0,2.0,51.0,45.0,4.0,46.0,19.0,,1.0,0.752187,1.3355,,1.0572,2.3296,63.0,14.0,8.0,1.0,,1.0,2.0,,138.0,2.0,,2.0,1.0,1.0,,18.0,1.0,2.0,1.0,19.0,1.0,6.0,6.0,1.0,0.0,1.0,50.0,78.0,23.0,9.0,0.0,4.0,5.0,4.0,257.0,2.0,2.0,0.0,62.0,35.0,24.0,,,,,143.0,143.0,,17.0,13.0,36.5,1.0,,,1.0,11.0,0.0,54.0,4.0,1.0,5.0,,2.0,1.0,5.0,,0.0,5.0,58.0,189.0,6.0,9.0,92.0,19.0,46.0,8.0,3.0,12.0,9.0,112795.44,1.0,104.0,6.0,214.0,2.0,,26.0,5.0,75.0,1.0,294.0,,0.0,12.0,15.0,2.0,17.0,2.0,494.0,16.0,21.0,0.0,4.0,4.0,9.0,0.0
2561982,9,2025-10-25 17:30:00,1,Man Utd,Home,164.0,18.0,,1.0,1.0,6.0,,198.0,6.0,,3.0,9.0,13.0,27.0,361.0,,3.0,14.0,18.0,15.0,8.0,,,,0.0,,,,,,,,,1.0,12.0,0.0,,,,,,1.0,2.0,10.0,7.0,7.0,6.0,74.0,63.0,4.0,3.0,1.0,1.0,14.0,1.0,17.0,,,1.0,4.0,3.0,0.0,9.0,3.0,57.0,61.0,1.0,15.0,9.0,,1.0,0.97899,1.2921,,3.0443,1.7011,46.0,4.0,12.0,3.0,,2.0,1.0,,155.0,4.0,,1.0,4.0,,,12.0,4.0,1.0,,9.0,1.0,14.0,14.0,1.0,0.0,3.0,113.0,66.0,41.0,6.0,1.0,3.0,9.0,9.0,411.0,4.0,2.0,0.0,61.0,67.0,24.0,,,,,139.0,139.0,8.0,16.0,29.0,43.6,,,,,18.0,0.0,100.0,1.0,2.0,3.0,,2.0,,3.0,,0.0,5.0,108.0,340.0,14.0,12.0,185.0,31.0,15.0,22.0,1.0,9.0,8.0,115165.41,,142.0,6.0,266.0,1.0,,20.0,14.0,56.0,2.0,442.0,,0.0,13.0,21.0,6.0,16.0,2.0,650.0,21.0,26.0,0.0,13.0,1.0,13.0,0.0
2561991,10,2025-11-01 15:00:00,1,Man Utd,Away,264.0,19.0,2.0,5.0,3.0,1.0,,183.0,7.0,,3.0,6.0,16.0,31.0,442.0,,2.0,7.0,17.0,29.0,14.0,,4.0,,0.0,,,,,,,1.0,,,14.0,0.0,,,,1.0,,,3.0,11.0,6.0,8.0,10.0,87.0,53.0,,,,,3.0,5.0,5.0,,,5.0,8.0,1.0,0.0,6.0,,45.0,59.0,,22.0,14.0,,1.0,1.13458,1.1168,,1.4196,1.5565,63.0,7.0,10.0,,,,,,177.0,1.0,1.0,1.0,,1.0,,9.0,0.0,,1.0,14.0,1.0,10.0,10.0,1.0,0.0,3.0,127.0,90.0,53.0,8.0,2.0,5.0,10.0,7.0,500.0,6.0,2.0,0.0,46.0,48.0,21.0,,,,,137.0,137.0,3.0,21.0,26.0,58.8,1.0,2.0,1.0,1.0,8.0,0.0,134.0,,1.0,1.0,,1.0,,6.0,,0.0,2.0,85.0,422.0,3.0,15.0,285.0,33.0,22.0,19.0,4.0,13.0,9.0,108023.32,,117.0,5.0,253.0,,,26.0,17.0,62.0,1.0,525.0,,0.0,18.0,12.0,3.0,12.0,1.0,711.0,17.0,21.0,0.0,8.0,5.0,10.0,0.0
