matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attObxdLeft,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,fiftyFifty,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperGoals,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFiftyFifty,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,winningGoal,wonContest,wonCorners,wonTackle,yellowCard
2128286,1.0,2021-01-12 20:15:00,1,Man Utd,Away,210.0,17.0,,5.0,5.0,,,270.0,3.0,,5.0,1.0,5.0,23.0,475.0,,,12.0,12.0,22.0,10.0,,1.0,1.0,,,,,,,,12.0,,,,,,6.0,6.0,5.0,9.0,4.0,,96.0,66.0,1.0,1.0,,,17.0,4.0,2.0,1.0,4.0,7.0,12.0,,2.0,,32.0,54.0,,19.0,13.0,,,33.0,48.0,13.0,14.0,,,,1.0,,177.0,1.0,,1.0,1.0,,,7.0,,,1.0,,,,,,13.0,,10.0,10.0,1.0,,5.0,155.0,61.0,36.0,3.0,1.0,1.0,10.0,7.0,537.0,,,5.0,3.0,,86.0,77.0,37.0,,,,,135.0,135.0,3.0,33.0,24.0,62.7,,,,,17.0,0.0,,,,138.0,,,,,1.0,2.0,,,3.0,18.0,155.0,457.0,9.0,11.0,246.0,40.0,19.0,9.0,1.0,21.0,20.0,1.0,191.0,1.0,341.0,,,16.0,5.0,54.0,2.0,566.0,,0.0,13.0,12.0,,14.0,2.0,753.0,29.0,16.0,,6.0,4.0,8.0,0.0
2128302,2.0,2020-09-19 17:30:00,1,Man Utd,Home,197.0,20.0,3.0,5.0,2.0,,,414.0,4.0,3.0,2.0,4.0,10.0,33.0,606.0,,,21.0,16.0,11.0,10.0,2.0,4.0,,,,,1.0,,,,12.0,,,,,,9.0,9.0,5.0,7.0,10.0,,102.0,58.0,1.0,1.0,1.0,,33.0,9.0,9.0,1.0,9.0,12.0,8.0,,16.0,1.0,61.0,48.0,,14.0,8.0,,,16.0,84.0,13.0,10.0,,,2.0,1.0,1.0,190.0,,,,,,,4.0,,,1.0,,,,,1.0,8.0,,9.0,9.0,,,2.0,204.0,62.0,46.0,3.0,,4.0,8.0,4.0,684.0,,,3.0,1.0,,143.0,122.0,43.0,1.0,1.0,1.0,,166.0,166.0,3.0,30.0,23.0,75.8,,,,,33.0,0.0,,,,209.0,1.0,1.0,2.0,1.0,,4.0,,,3.0,10.0,230.0,585.0,10.0,12.0,215.0,38.0,14.0,21.0,6.0,27.0,21.0,,294.0,1.0,517.0,,3.0,9.0,11.0,50.0,1.0,705.0,2.0,0.0,17.0,14.0,,24.0,2.0,912.0,38.0,16.0,,13.0,9.0,9.0,0.0
2128306,3.0,2020-09-26 12:30:00,1,Man Utd,Away,188.0,15.0,1.0,2.0,1.0,1.0,1.0,186.0,6.0,,2.0,2.0,8.0,19.0,372.0,,1.0,10.0,10.0,11.0,2.0,1.0,1.0,1.0,,,,,,,,3.0,1.0,,,,2.0,12.0,12.0,6.0,6.0,1.0,,67.0,54.0,1.0,,2.0,3.0,21.0,3.0,20.0,2.0,1.0,4.0,,,4.0,,58.0,56.0,3.0,21.0,8.0,,,19.0,34.0,16.0,17.0,,,3.0,3.0,,152.0,1.0,,1.0,1.0,,1.0,9.0,,,1.0,,,,,,8.0,,11.0,11.0,2.0,,2.0,113.0,52.0,35.0,7.0,2.0,,4.0,3.0,418.0,,,4.0,2.0,,86.0,42.0,13.0,1.0,1.0,1.0,1.0,113.0,113.0,4.0,26.0,21.0,46.7,,,3.0,1.0,21.0,0.0,,,,113.0,3.0,,3.0,,1.0,1.0,,,3.0,11.0,60.0,350.0,13.0,4.0,210.0,34.0,21.0,22.0,1.0,8.0,7.0,2.0,86.0,2.0,243.0,,,9.0,9.0,40.0,4.0,445.0,2.0,0.0,7.0,15.0,1.0,11.0,2.0,622.0,18.0,15.0,,14.0,1.0,10.0,0.0
2128322,4.0,2020-10-04 16:30:00,1,Man Utd,Home,177.0,10.0,1.0,2.0,1.0,1.0,1.0,173.0,5.0,,4.0,2.0,5.0,15.0,348.0,,,17.0,3.0,10.0,3.0,1.0,,,,,,,,,,3.0,1.0,,,,1.0,6.0,16.0,6.0,2.0,3.0,,67.0,44.0,,,1.0,,19.0,1.0,11.0,,2.0,2.0,3.0,,16.0,1.0,50.0,53.0,,11.0,3.0,2.0,,25.0,34.0,14.0,11.0,,,4.0,2.0,,125.0,,,,,,,6.0,,,,,,,,1.0,3.0,,11.0,11.0,2.0,,4.0,117.0,55.0,37.0,4.0,1.0,2.0,2.0,2.0,395.0,,,8.0,1.0,,53.0,47.0,20.0,1.0,1.0,1.0,1.0,118.0,118.0,1.0,20.0,19.0,38.4,,3.0,,,19.0,0.0,,,,107.0,2.0,,2.0,,,2.0,,,3.0,13.0,82.0,328.0,7.0,4.0,193.0,20.0,11.0,24.0,2.0,9.0,7.0,,115.0,5.0,232.0,,,3.0,5.0,25.0,1.0,416.0,1.0,1.0,5.0,15.0,,20.0,2.0,598.0,15.0,15.0,,17.0,2.0,5.0,0.0
2128332,5.0,2020-10-17 20:00:00,1,Man Utd,Away,245.0,18.0,4.0,4.0,,1.0,,300.0,1.0,,3.0,4.0,4.0,25.0,541.0,,1.0,17.0,19.0,21.0,19.0,1.0,5.0,2.0,,,,,1.0,,,21.0,,1.0,,,,4.0,4.0,4.0,15.0,13.0,,98.0,71.0,1.0,1.0,1.0,,22.0,8.0,15.0,2.0,7.0,6.0,5.0,2.0,8.0,4.0,62.0,55.0,,13.0,7.0,,,34.0,75.0,12.0,9.0,1.0,1.0,2.0,1.0,,185.0,4.0,1.0,4.0,3.0,1.0,1.0,1.0,,,3.0,,,,,,7.0,,16.0,16.0,,,3.0,173.0,68.0,44.0,,1.0,5.0,19.0,14.0,620.0,,,1.0,1.0,1.0,119.0,51.0,35.0,,,,1.0,138.0,138.0,5.0,27.0,36.0,63.6,,,3.0,,22.0,0.0,,,,173.0,2.0,2.0,4.0,,2.0,6.0,,,3.0,17.0,157.0,532.0,15.0,24.0,266.0,40.0,13.0,21.0,7.0,19.0,12.0,3.0,204.0,2.0,382.0,,,9.0,4.0,47.0,2.0,629.0,,0.0,28.0,14.0,1.0,20.0,1.0,823.0,42.0,10.0,,11.0,7.0,10.0,0.0
2128342,6.0,2020-10-24 17:30:00,1,Man Utd,Home,230.0,23.0,2.0,5.0,3.0,1.0,,259.0,5.0,,5.0,,14.0,28.0,484.0,1.0,,21.0,8.0,11.0,10.0,2.0,5.0,,,,,,,,,9.0,,,,,,6.0,4.0,2.0,7.0,7.0,,79.0,58.0,,,,3.0,32.0,5.0,6.0,1.0,9.0,6.0,7.0,,9.0,,38.0,38.0,3.0,20.0,7.0,,1.0,33.0,54.0,8.0,6.0,,,,,,167.0,,,,,,,6.0,,,,,,,,,7.0,,12.0,12.0,,,5.0,168.0,50.0,29.0,6.0,,3.0,9.0,4.0,566.0,,,3.0,3.0,,106.0,76.0,27.0,,,,,153.0,153.0,2.0,21.0,29.0,50.2,,,,,32.0,0.0,,,,168.0,1.0,,1.0,1.0,,5.0,1.0,,3.0,19.0,118.0,470.0,14.0,12.0,261.0,45.0,20.0,16.0,7.0,20.0,13.0,,161.0,6.0,341.0,,,6.0,15.0,49.0,2.0,582.0,1.0,0.0,14.0,13.0,,26.0,3.0,785.0,20.0,13.0,,8.0,9.0,7.0,0.0
2128351,7.0,2020-11-01 16:30:00,1,Man Utd,Home,260.0,11.0,2.0,4.0,2.0,,1.0,229.0,8.0,,2.0,1.0,10.0,18.0,485.0,,1.0,21.0,9.0,18.0,6.0,2.0,1.0,,,,,,,,,6.0,,,,,1.0,6.0,3.0,4.0,4.0,4.0,,80.0,57.0,,,,1.0,15.0,3.0,6.0,,6.0,5.0,4.0,,12.0,,46.0,45.0,1.0,12.0,8.0,,,24.0,49.0,12.0,12.0,,1.0,4.0,3.0,,147.0,,,,,,,9.0,,,,,,,,1.0,8.0,1.0,8.0,8.0,2.0,,2.0,162.0,48.0,28.0,3.0,,3.0,5.0,2.0,548.0,,,,2.0,,55.0,58.0,34.0,1.0,1.0,1.0,,137.0,137.0,4.0,24.0,26.0,53.3,,,,1.0,15.0,0.0,,,,181.0,,1.0,1.0,1.0,,3.0,,,3.0,8.0,94.0,466.0,9.0,8.0,291.0,30.0,12.0,13.0,6.0,18.0,12.0,,128.0,1.0,297.0,,,8.0,12.0,43.0,4.0,570.0,,0.0,8.0,10.0,1.0,21.0,3.0,731.0,25.0,11.0,,5.0,6.0,7.0,0.0
2128360,8.0,2020-11-07 12:30:00,1,Man Utd,Away,174.0,15.0,,4.0,4.0,,,199.0,6.0,,4.0,,8.0,17.0,369.0,,1.0,17.0,19.0,14.0,6.0,,1.0,1.0,,1.0,1.0,2.0,,,1.0,9.0,,,,,1.0,10.0,5.0,2.0,7.0,6.0,,48.0,63.0,4.0,2.0,2.0,6.0,18.0,3.0,12.0,,2.0,3.0,2.0,,18.0,,74.0,45.0,6.0,22.0,14.0,,,27.0,50.0,19.0,12.0,,,4.0,1.0,2.0,158.0,3.0,,2.0,3.0,,1.0,10.0,,,3.0,,,,,,14.0,,9.0,9.0,,,4.0,120.0,62.0,38.0,5.0,2.0,2.0,7.0,5.0,429.0,,,1.0,1.0,,68.0,45.0,27.0,,,,,131.0,131.0,3.0,28.0,28.0,45.3,,,3.0,,18.0,0.0,,,,127.0,,,,,1.0,5.0,,,3.0,16.0,89.0,352.0,8.0,9.0,198.0,33.0,22.0,13.0,2.0,8.0,6.0,2.0,125.0,3.0,263.0,,,11.0,9.0,48.0,1.0,453.0,,0.0,13.0,13.0,1.0,19.0,2.0,641.0,20.0,14.0,,6.0,2.0,4.0,0.0
2128371,9.0,2020-11-21 20:00:00,1,Man Utd,Home,249.0,31.0,3.0,4.0,1.0,1.0,1.0,317.0,8.0,1.0,,1.0,3.0,36.0,562.0,,2.0,19.0,7.0,25.0,9.0,3.0,6.0,,,,1.0,1.0,,,,8.0,1.0,,,,1.0,9.0,6.0,1.0,11.0,6.0,,107.0,70.0,2.0,2.0,1.0,2.0,22.0,8.0,14.0,1.0,8.0,7.0,5.0,,7.0,1.0,46.0,71.0,2.0,7.0,3.0,,,37.0,80.0,12.0,16.0,,,4.0,2.0,1.0,209.0,,,,,,,8.0,,,,,,,,,3.0,,14.0,14.0,,,,189.0,73.0,45.0,2.0,1.0,2.0,10.0,7.0,638.0,,,1.0,3.0,,138.0,88.0,38.0,,,,1.0,152.0,152.0,4.0,28.0,38.0,63.1,,,,,22.0,0.0,,,,158.0,2.0,,2.0,,,2.0,2.0,,3.0,21.0,155.0,539.0,5.0,12.0,268.0,44.0,7.0,24.0,6.0,20.0,14.0,,204.0,4.0,415.0,,1.0,7.0,4.0,57.0,1.0,663.0,,0.0,17.0,13.0,2.0,21.0,1.0,842.0,31.0,16.0,,18.0,8.0,5.0,0.0
2128383,10.0,2020-11-29 14:00:00,1,Man Utd,Away,206.0,22.0,1.0,5.0,4.0,,,216.0,4.0,,5.0,5.0,1.0,28.0,417.0,,2.0,21.0,13.0,17.0,7.0,1.0,4.0,2.0,,,,,,,,10.0,,,,,1.0,8.0,5.0,5.0,10.0,5.0,,76.0,71.0,4.0,3.0,3.0,2.0,20.0,4.0,12.0,,9.0,7.0,5.0,,15.0,2.0,58.0,56.0,2.0,18.0,11.0,,,33.0,68.0,12.0,11.0,,,1.0,1.0,,194.0,2.0,,2.0,1.0,1.0,,4.0,,,1.0,,,,,,11.0,1.0,17.0,17.0,2.0,,5.0,129.0,60.0,38.0,5.0,1.0,5.0,5.0,6.0,500.0,,,2.0,1.0,,97.0,42.0,31.0,,,,,155.0,155.0,3.0,26.0,37.0,50.1,,,3.0,,20.0,0.0,,,,120.0,1.0,2.0,3.0,,2.0,5.0,,,3.0,14.0,100.0,399.0,9.0,10.0,240.0,40.0,18.0,16.0,8.0,21.0,13.0,2.0,148.0,2.0,300.0,,,16.0,2.0,50.0,,519.0,,0.0,15.0,19.0,3.0,21.0,0.0,726.0,28.0,14.0,,9.0,9.0,9.0,0.0
