matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attLgRight,attObxdLeft,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
694908,1.0,2013-08-17 17:30:00,1,Man Utd,Away,166.0,14.0,1.0,5.0,4.0,4.0,1.0,232.0,7.0,1.0,3.0,8.0,16.0,37.0,393.0,,1.0,11.0,13.0,18.0,4.0,2.0,,,,,,,,,,,,,,9.0,,,,,1.0,5.0,11.0,6.0,,,,85.0,50.0,2.0,1.0,2.0,1.0,19.0,3.0,5.0,,,4.0,4.0,3.0,,7.0,3.0,40.0,41.0,1.0,42.0,24.0,1.0,,58.0,10.0,13.0,4.0,3.0,2.0,,142.0,3.0,,2.0,3.0,,,16.0,,,4.0,1.0,,,,,24.0,,17.0,17.0,4.0,3.0,131.0,72.0,37.0,7.0,,1.0,8.0,8.0,450.0,,,1.0,2.0,,52.0,80.0,10.0,,,,,123.0,123.0,2.0,22.0,20.0,46.3,,1.0,19.0,0.0,,,,113.0,4.0,1.0,5.0,,,,3.0,,2.0,88.0,377.0,9.0,9.0,186.0,29.0,42.0,11.0,2.0,11.0,9.0,,123.0,13.0,296.0,1.0,1.0,16.0,17.0,53.0,5.0,471.0,,0.0,14.0,9.0,1.0,12.0,3.0,662.0,,8.0,4.0,4.0,7.0,0.0
694916,2.0,2013-08-26 20:00:00,1,Man Utd,Home,195.0,15.0,2.0,4.0,2.0,7.0,,272.0,3.0,,4.0,7.0,23.0,45.0,463.0,,,20.0,19.0,23.0,9.0,,,,,,,,,,,,,,,11.0,,,,,,4.0,2.0,6.0,,,,80.0,67.0,,,,,24.0,2.0,10.0,,,4.0,16.0,5.0,,10.0,1.0,49.0,60.0,,35.0,25.0,,,87.0,9.0,9.0,,,,,189.0,,,,,,,4.0,,,,,,,,,25.0,,16.0,16.0,1.0,4.0,143.0,77.0,56.0,1.0,,5.0,4.0,3.0,532.0,,,1.0,4.0,,76.0,110.0,19.0,,,,,137.0,137.0,5.0,26.0,24.0,55.2,,,24.0,0.0,,,,138.0,1.0,3.0,4.0,,,,7.0,,2.0,110.0,452.0,11.0,9.0,205.0,24.0,35.0,12.0,4.0,25.0,21.0,,163.0,11.0,370.0,,,20.0,24.0,66.0,3.0,550.0,,0.0,12.0,22.0,1.0,22.0,0.0,756.0,,4.0,7.0,4.0,19.0,0.0
694924,3.0,2013-09-01 13:30:00,1,Man Utd,Away,198.0,18.0,3.0,6.0,3.0,5.0,1.0,200.0,9.0,2.0,2.0,5.0,19.0,57.0,392.0,,1.0,20.0,13.0,21.0,6.0,1.0,,,,,,,,,,,,,,7.0,,,,,1.0,6.0,4.0,7.0,,,,72.0,59.0,,,,,14.0,4.0,11.0,,,7.0,11.0,11.0,,19.0,1.0,69.0,57.0,,32.0,24.0,,1.0,68.0,15.0,14.0,,4.0,3.0,,168.0,,,,,,,12.0,,,,,,,,,24.0,,20.0,20.0,1.0,2.0,117.0,79.0,52.0,2.0,,2.0,5.0,4.0,463.0,,,2.0,3.0,,71.0,89.0,26.0,,,,,167.0,167.0,4.0,23.0,28.0,57.0,,,14.0,0.0,,,,121.0,,4.0,4.0,,1.0,,2.0,1.0,3.0,93.0,378.0,7.0,7.0,219.0,29.0,32.0,19.0,7.0,32.0,25.0,,130.0,9.0,291.0,,2.0,13.0,20.0,73.0,,478.0,,0.0,10.0,17.0,2.0,22.0,4.0,715.0,,16.0,7.0,7.0,13.0,0.0
694935,4.0,2013-09-14 12:45:00,1,Man Utd,Home,207.0,21.0,,5.0,5.0,1.0,,269.0,4.0,1.0,4.0,2.0,19.0,46.0,471.0,,3.0,22.0,19.0,15.0,15.0,,,,1.0,,,,1.0,,,,,,1.0,14.0,1.0,1.0,,,,2.0,3.0,1.0,,,,78.0,64.0,1.0,1.0,1.0,,13.0,3.0,3.0,,,10.0,20.0,10.0,,13.0,,53.0,45.0,,22.0,12.0,,,79.0,10.0,11.0,2.0,5.0,2.0,1.0,176.0,,,,,,,5.0,,,,,,,,1.0,12.0,1.0,24.0,24.0,,4.0,153.0,71.0,43.0,1.0,,8.0,7.0,8.0,546.0,,,,3.0,,93.0,94.0,24.0,,,,1.0,163.0,163.0,6.0,15.0,39.0,60.4,1.0,,13.0,0.0,,,,149.0,,,,,,,9.0,,3.0,136.0,462.0,7.0,15.0,221.0,36.0,22.0,20.0,8.0,40.0,32.0,,183.0,5.0,375.0,,1.0,10.0,20.0,60.0,5.0,556.0,,0.0,20.0,13.0,4.0,25.0,1.0,783.0,,7.0,9.0,11.0,10.0,0.0
694945,5.0,2013-09-22 16:00:00,1,Man Utd,Away,123.0,13.0,,5.0,5.0,,,294.0,5.0,,5.0,7.0,25.0,29.0,412.0,,,19.0,11.0,13.0,9.0,,,,1.0,,,,2.0,,,,,,,11.0,,,,1.0,,4.0,7.0,11.0,,,,65.0,51.0,,,,4.0,25.0,2.0,3.0,,,4.0,12.0,7.0,,9.0,,46.0,43.0,4.0,38.0,22.0,,1.0,75.0,12.0,8.0,1.0,3.0,2.0,2.0,147.0,,,,,,,8.0,,,,,,,,,22.0,1.0,12.0,12.0,2.0,5.0,138.0,57.0,36.0,8.0,,7.0,2.0,3.0,466.0,,,7.0,1.0,,74.0,79.0,18.0,,,,,127.0,127.0,3.0,16.0,25.0,58.4,1.0,2.0,25.0,0.0,,,,128.0,,1.0,1.0,,1.0,,9.0,,1.0,148.0,402.0,12.0,9.0,133.0,24.0,38.0,23.0,4.0,25.0,21.0,,189.0,1.0,370.0,,,19.0,26.0,46.0,4.0,478.0,,0.0,14.0,14.0,,21.0,2.0,697.0,,9.0,10.0,4.0,9.0,0.0
694955,6.0,2013-09-28 15:00:00,1,Man Utd,Home,196.0,16.0,,5.0,5.0,2.0,1.0,263.0,8.0,,4.0,3.0,19.0,45.0,454.0,,,20.0,22.0,14.0,10.0,1.0,,1.0,1.0,,,,1.0,,,,,,,12.0,,,,,1.0,3.0,6.0,6.0,,,,56.0,51.0,,,,1.0,13.0,5.0,12.0,,,5.0,11.0,12.0,,13.0,2.0,58.0,63.0,1.0,32.0,17.0,,,68.0,10.0,14.0,1.0,5.0,2.0,1.0,157.0,,,,,,,10.0,,,,1.0,,,,,17.0,,15.0,15.0,1.0,4.0,167.0,81.0,61.0,8.0,,2.0,9.0,6.0,513.0,,,,2.0,,66.0,106.0,28.0,,,,,133.0,133.0,3.0,24.0,20.0,59.1,,,13.0,0.0,,,,147.0,1.0,1.0,2.0,,1.0,1.0,3.0,,3.0,136.0,445.0,6.0,11.0,206.0,28.0,32.0,17.0,5.0,30.0,25.0,1.0,182.0,7.0,351.0,1.0,,11.0,20.0,59.0,4.0,527.0,,0.0,14.0,21.0,1.0,20.0,3.0,756.0,,13.0,16.0,5.0,18.0,0.0
694968,7.0,2013-10-05 17:30:00,1,Man Utd,Away,171.0,19.0,,3.0,3.0,,,312.0,2.0,,4.0,6.0,31.0,46.0,480.0,,1.0,31.0,13.0,19.0,10.0,,,,,,,,,,,,,,1.0,13.0,,,,,,3.0,5.0,1.0,,,,86.0,53.0,1.0,1.0,,3.0,21.0,2.0,11.0,,,4.0,11.0,13.0,,13.0,1.0,57.0,65.0,3.0,52.0,35.0,1.0,,94.0,13.0,14.0,,4.0,2.0,,181.0,1.0,,1.0,1.0,,,5.0,,,2.0,,,,,1.0,35.0,,14.0,14.0,1.0,4.0,161.0,73.0,44.0,4.0,2.0,5.0,6.0,6.0,553.0,,,3.0,1.0,,90.0,127.0,30.0,,,,,158.0,158.0,3.0,17.0,26.0,62.5,,1.0,21.0,0.0,,,,143.0,1.0,,1.0,,1.0,,5.0,,3.0,149.0,465.0,7.0,11.0,185.0,38.0,52.0,25.0,4.0,30.0,26.0,2.0,205.0,4.0,416.0,,,17.0,33.0,61.0,3.0,571.0,3.0,0.0,13.0,20.0,2.0,33.0,4.0,831.0,,9.0,16.0,4.0,17.0,0.0
694975,8.0,2013-10-19 15:00:00,1,Man Utd,Home,147.0,22.0,1.0,3.0,2.0,2.0,,166.0,3.0,,5.0,5.0,17.0,40.0,310.0,,1.0,29.0,14.0,10.0,9.0,1.0,,,,,,,,,,,,,1.0,10.0,,2.0,,,,3.0,11.0,7.0,,,,66.0,67.0,1.0,1.0,1.0,3.0,14.0,2.0,5.0,,,4.0,7.0,4.0,,19.0,4.0,55.0,52.0,3.0,48.0,30.0,,1.0,65.0,10.0,18.0,1.0,3.0,2.0,,142.0,,,,,,,9.0,,,1.0,1.0,,,,1.0,30.0,2.0,22.0,22.0,,5.0,103.0,68.0,41.0,4.0,,4.0,6.0,5.0,369.0,,,2.0,4.0,,75.0,69.0,15.0,,,,,159.0,159.0,3.0,26.0,30.0,46.4,2.0,,14.0,0.0,,,,82.0,4.0,2.0,6.0,,1.0,,5.0,,3.0,77.0,290.0,6.0,10.0,168.0,33.0,48.0,14.0,4.0,17.0,13.0,1.0,114.0,5.0,242.0,1.0,,23.0,19.0,62.0,8.0,393.0,1.0,0.0,12.0,18.0,2.0,31.0,2.0,656.0,,15.0,6.0,4.0,16.0,0.0
694985,9.0,2013-10-26 15:00:00,1,Man Utd,Home,178.0,14.0,1.0,4.0,3.0,3.0,,326.0,2.0,1.0,5.0,3.0,27.0,33.0,500.0,,1.0,26.0,19.0,7.0,11.0,1.0,,,,,,,1.0,,,,,,,15.0,,,,,,,8.0,2.0,,,,87.0,53.0,2.0,1.0,2.0,2.0,11.0,6.0,7.0,,,12.0,20.0,6.0,,8.0,3.0,50.0,48.0,2.0,22.0,16.0,1.0,1.0,75.0,8.0,18.0,3.0,7.0,4.0,1.0,157.0,2.0,1.0,2.0,1.0,1.0,,4.0,,,2.0,1.0,,,,,16.0,,16.0,16.0,,5.0,172.0,54.0,35.0,2.0,,5.0,9.0,5.0,547.0,,,3.0,1.0,,87.0,103.0,20.0,,,,,144.0,144.0,6.0,25.0,16.0,66.7,,,11.0,0.0,,,,149.0,3.0,,3.0,,,,8.0,,3.0,179.0,483.0,6.0,14.0,190.0,28.0,22.0,22.0,10.0,40.0,30.0,1.0,223.0,4.0,415.0,1.0,1.0,15.0,28.0,54.0,2.0,565.0,1.0,0.0,19.0,11.0,2.0,31.0,2.0,800.0,,15.0,12.0,12.0,11.0,0.0
694993,10.0,2013-11-02 15:00:00,1,Man Utd,Away,219.0,11.0,1.0,4.0,3.0,,1.0,221.0,3.0,,5.0,3.0,30.0,36.0,436.0,,1.0,17.0,12.0,10.0,2.0,2.0,,,,,,,,,,1.0,,,1.0,8.0,,,,,1.0,3.0,9.0,6.0,,,,93.0,72.0,3.0,,3.0,3.0,15.0,1.0,8.0,,,4.0,6.0,6.0,,13.0,3.0,56.0,55.0,3.0,40.0,23.0,,,58.0,12.0,5.0,2.0,1.0,1.0,,148.0,3.0,,3.0,3.0,,,10.0,,,3.0,1.0,,,,,23.0,,16.0,16.0,1.0,5.0,146.0,68.0,42.0,4.0,1.0,3.0,4.0,4.0,503.0,,,3.0,2.0,,80.0,88.0,11.0,,,,,143.0,143.0,2.0,28.0,32.0,53.0,,1.0,15.0,0.0,,,,130.0,4.0,1.0,5.0,,2.0,,5.0,,3.0,88.0,426.0,4.0,7.0,242.0,19.0,40.0,27.0,3.0,16.0,13.0,2.0,121.0,3.0,291.0,1.0,,21.0,30.0,58.0,1.0,517.0,,0.0,10.0,25.0,2.0,23.0,1.0,743.0,,9.0,15.0,4.0,20.0,0.0
