matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,fiftyFifty,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFiftyFifty,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
2292818,1,2022-08-07 14:00:00,1,Man Utd,Home,208.0,27.0,2.0,7.0,5.0,1.0,,251.0,10.0,1.0,2.0,1.0,1.0,27.0,452.0,,,19.0,9.0,11.0,11.0,2.0,4.0,,,,,,,,,,13.0,,,,,,3.0,10.0,5.0,13.0,4.0,79.0,62.0,1.0,2.0,,1.0,20.0,7.0,6.0,,,6.0,12.0,6.0,,7.0,1.0,36.0,40.0,1.0,10.0,4.0,,1.0,21.0,63.0,7.0,12.0,,,1.0,1.0,,170.0,,,,,,,11.0,,,,4.0,,15.0,15.0,,2.0,136.0,63.0,35.0,2.0,,4.0,9.0,5.0,520.0,4.0,,,66.0,55.0,41.0,,,,,,148.0,148.0,3.0,39.0,17.0,62.9,,,,,20.0,0.0,163.0,2.0,,2.0,3.0,,5.0,2.0,,5.0,12.0,138.0,426.0,10.0,13.0,237.0,57.0,10.0,12.0,5.0,24.0,19.0,,184.0,2.0,335.0,,1.0,6.0,1.0,54.0,3.0,548.0,1.0,0.0,17.0,12.0,,22.0,4.0,732.0,34.0,15.0,5.0,6.0,8.0,0.0
2292822,2,2022-08-13 17:30:00,1,Man Utd,Away,133.0,18.0,,5.0,5.0,2.0,,316.0,4.0,,4.0,4.0,4.0,17.0,444.0,,,18.0,10.0,14.0,13.0,,,,,,,,,,,,15.0,,,,,,11.0,7.0,6.0,7.0,8.0,84.0,48.0,,1.0,,2.0,21.0,4.0,8.0,,,2.0,8.0,10.0,,5.0,2.0,38.0,42.0,2.0,22.0,12.0,2.0,,17.0,52.0,15.0,6.0,,,,1.0,,142.0,,,,,,,6.0,,,,12.0,,12.0,12.0,2.0,4.0,141.0,50.0,29.0,8.0,,5.0,8.0,4.0,507.0,3.0,,,60.0,71.0,32.0,,,,,,123.0,123.0,4.0,24.0,15.0,66.7,,,,1.0,21.0,0.0,158.0,2.0,1.0,3.0,1.0,,7.0,,,5.0,6.0,161.0,429.0,8.0,13.0,162.0,39.0,22.0,11.0,2.0,21.0,19.0,,190.0,4.0,384.0,,,8.0,4.0,36.0,2.0,525.0,,0.0,15.0,12.0,,23.0,4.0,699.0,24.0,13.0,10.0,2.0,7.0,0.0
2292836,3,2022-08-22 20:00:00,1,Man Utd,Home,92.0,11.0,1.0,1.0,,1.0,,89.0,3.0,1.0,3.0,2.0,1.0,16.0,180.0,,5.0,9.0,20.0,14.0,7.0,,1.0,2.0,,1.0,2.0,,,1.0,,1.0,10.0,,,,1.0,,7.0,15.0,2.0,8.0,5.0,34.0,60.0,4.0,2.0,2.0,1.0,21.0,4.0,10.0,,1.0,6.0,,2.0,,6.0,3.0,53.0,56.0,1.0,34.0,15.0,,,23.0,45.0,11.0,7.0,1.0,,3.0,,2.0,137.0,2.0,,2.0,2.0,,1.0,16.0,2.0,,,15.0,1.0,12.0,12.0,2.0,3.0,52.0,67.0,23.0,8.0,1.0,3.0,6.0,5.0,245.0,5.0,1.0,,43.0,25.0,18.0,,,,,,138.0,138.0,4.0,32.0,18.0,29.5,1.0,,,1.0,21.0,0.0,50.0,4.0,,5.0,2.0,2.0,4.0,,,5.0,15.0,49.0,173.0,14.0,9.0,115.0,43.0,34.0,18.0,5.0,7.0,2.0,3.0,83.0,7.0,165.0,,1.0,14.0,1.0,57.0,2.0,273.0,1.0,0.0,13.0,24.0,6.0,15.0,3.0,478.0,24.0,17.0,11.0,6.0,17.0,0.0
2292848,4,2022-08-27 12:30:00,1,Man Utd,Away,155.0,13.0,2.0,4.0,2.0,4.0,,148.0,11.0,,6.0,1.0,4.0,17.0,299.0,,,17.0,19.0,26.0,4.0,2.0,2.0,,,,1.0,,1.0,,,,8.0,,,,,,6.0,14.0,3.0,9.0,2.0,59.0,66.0,1.0,3.0,,4.0,11.0,3.0,6.0,1.0,,3.0,5.0,4.0,,10.0,2.0,56.0,50.0,4.0,36.0,23.0,,,29.0,42.0,14.0,3.0,,,1.0,,1.0,149.0,1.0,,1.0,1.0,,,13.0,1.0,2.0,,23.0,,10.0,10.0,1.0,7.0,88.0,79.0,38.0,5.0,1.0,2.0,5.0,6.0,384.0,3.0,,,54.0,52.0,21.0,,,,,,150.0,150.0,1.0,34.0,22.0,51.7,,,,1.0,11.0,0.0,108.0,5.0,,4.0,,,2.0,1.0,,3.0,16.0,76.0,284.0,3.0,7.0,189.0,34.0,36.0,14.0,3.0,12.0,9.0,,110.0,5.0,227.0,2.0,,24.0,5.0,61.0,1.0,404.0,,0.0,11.0,14.0,,20.0,3.0,594.0,27.0,15.0,7.0,3.0,8.0,0.0
2292855,5,2022-09-01 20:00:00,1,Man Utd,Away,199.0,28.0,,1.0,1.0,2.0,,202.0,4.0,,2.0,,2.0,30.0,400.0,1.0,1.0,19.0,18.0,16.0,7.0,,,1.0,,,,,,,,1.0,9.0,,,,,,6.0,2.0,8.0,7.0,2.0,86.0,75.0,1.0,,1.0,,12.0,2.0,5.0,,,3.0,7.0,3.0,,15.0,2.0,59.0,46.0,,10.0,7.0,,,32.0,61.0,15.0,7.0,,,,,,198.0,1.0,,1.0,1.0,,1.0,8.0,1.0,2.0,,7.0,,8.0,8.0,,2.0,115.0,84.0,38.0,1.0,1.0,4.0,4.0,2.0,495.0,3.0,1.0,,73.0,59.0,20.0,,,,,,165.0,165.0,8.0,36.0,28.0,46.1,,,,,22.0,0.0,114.0,,2.0,2.0,,1.0,5.0,,,3.0,13.0,94.0,388.0,12.0,8.0,229.0,54.0,10.0,14.0,2.0,12.0,10.0,2.0,146.0,7.0,296.0,2.0,,13.0,2.0,69.0,2.0,513.0,2.0,0.0,9.0,15.0,4.0,24.0,3.0,684.0,27.0,12.0,8.0,3.0,8.0,0.0
2292865,6,2022-09-04 16:30:00,1,Man Utd,Home,116.0,17.0,2.0,3.0,1.0,,,129.0,9.0,,3.0,4.0,,20.0,242.0,,2.0,13.0,3.0,10.0,5.0,2.0,2.0,,,,,,,,,1.0,8.0,,,,,,5.0,9.0,7.0,7.0,3.0,51.0,50.0,4.0,1.0,3.0,1.0,9.0,1.0,8.0,,,2.0,3.0,1.0,,6.0,1.0,38.0,38.0,1.0,24.0,10.0,,,26.0,43.0,13.0,8.0,2.0,,,,,120.0,3.0,,3.0,3.0,,,11.0,3.0,,,10.0,,7.0,7.0,1.0,3.0,67.0,65.0,34.0,5.0,1.0,3.0,7.0,6.0,287.0,5.0,1.0,,58.0,29.0,14.0,,,,,,107.0,107.0,3.0,28.0,13.0,39.5,,,,,15.0,0.0,72.0,1.0,1.0,2.0,1.0,,3.0,,,4.0,12.0,64.0,227.0,9.0,10.0,136.0,36.0,24.0,11.0,2.0,6.0,4.0,,92.0,2.0,180.0,,,13.0,,49.0,4.0,310.0,1.0,0.0,10.0,17.0,4.0,17.0,3.0,472.0,17.0,13.0,3.0,2.0,8.0,0.0
2292872,7,2023-01-18 20:00:00,1,Man Utd,Away,276.0,14.0,1.0,4.0,3.0,2.0,,237.0,3.0,,4.0,4.0,5.0,22.0,509.0,1.0,1.0,18.0,13.0,9.0,11.0,1.0,3.0,,1.0,,1.0,,,,,,11.0,,,,,,5.0,5.0,5.0,8.0,7.0,106.0,95.0,2.0,2.0,,,10.0,3.0,4.0,,,3.0,9.0,3.0,,14.0,2.0,51.0,51.0,,18.0,13.0,,,25.0,62.0,10.0,8.0,,,1.0,,1.0,215.0,1.0,,1.0,1.0,,,3.0,1.0,,,13.0,,12.0,12.0,,4.0,154.0,81.0,46.0,3.0,1.0,7.0,6.0,4.0,613.0,2.0,,,77.0,90.0,29.0,,,,,,166.0,166.0,5.0,35.0,51.0,60.6,,2.0,,,25.0,0.0,151.0,2.0,2.0,4.0,,,8.0,1.0,,3.0,12.0,104.0,497.0,10.0,13.0,302.0,38.0,18.0,12.0,3.0,15.0,12.0,,154.0,4.0,339.0,,,14.0,7.0,52.0,,626.0,1.0,0.0,15.0,32.0,1.0,18.0,2.0,831.0,29.0,14.0,2.0,3.0,18.0,0.0
2292885,8,2023-02-08 20:00:00,1,Man Utd,Home,239.0,28.0,,8.0,8.0,2.0,1.0,267.0,3.0,,3.0,1.0,5.0,21.0,498.0,1.0,1.0,34.0,14.0,14.0,16.0,,3.0,,,,,1.0,,,,,20.0,,,,,1.0,6.0,5.0,4.0,16.0,8.0,92.0,72.0,1.0,2.0,,2.0,16.0,8.0,7.0,,,6.0,11.0,10.0,,16.0,,58.0,60.0,2.0,14.0,2.0,,,29.0,76.0,7.0,11.0,,,5.0,5.0,,196.0,1.0,,1.0,1.0,,,4.0,2.0,,,2.0,,8.0,8.0,,3.0,139.0,75.0,44.0,5.0,1.0,7.0,10.0,7.0,600.0,2.0,1.0,1.0,94.0,81.0,45.0,,,,,,189.0,189.0,5.0,33.0,31.0,65.9,,,1.0,1.0,37.0,0.0,188.0,1.0,,1.0,3.0,,9.0,,1.0,4.0,14.0,135.0,485.0,16.0,17.0,274.0,58.0,14.0,31.0,4.0,30.0,26.0,,192.0,3.0,371.0,,,7.0,7.0,45.0,1.0,615.0,1.0,0.0,24.0,19.0,1.0,34.0,1.0,870.0,37.0,18.0,17.0,6.0,11.0,0.0
2292897,9,2022-10-02 14:00:00,1,Man Utd,Away,240.0,17.0,,,,,,168.0,5.0,,2.0,2.0,2.0,17.0,408.0,,,18.0,10.0,6.0,8.0,,,,,,,,,,,,11.0,1.0,,,,,5.0,17.0,5.0,6.0,6.0,85.0,44.0,,,2.0,,14.0,3.0,11.0,1.0,,1.0,2.0,2.0,,7.0,1.0,44.0,27.0,,10.0,4.0,,,20.0,42.0,9.0,3.0,,,2.0,,,123.0,1.0,,,1.0,,,8.0,2.0,,,4.0,,7.0,7.0,,2.0,124.0,45.0,25.0,5.0,1.0,1.0,8.0,8.0,457.0,7.0,,,59.0,45.0,16.0,,,,,1.0,94.0,94.0,7.0,21.0,14.0,46.1,,,,,14.0,0.0,144.0,3.0,1.0,3.0,,,1.0,,,5.0,11.0,75.0,392.0,7.0,9.0,265.0,41.0,10.0,11.0,,4.0,4.0,,104.0,1.0,215.0,,,8.0,2.0,43.0,,476.0,,0.0,12.0,14.0,,19.0,3.0,603.0,14.0,7.0,4.0,1.0,5.0,0.0
2292905,10,2022-10-09 19:00:00,1,Man Utd,Away,267.0,17.0,1.0,1.0,1.0,1.0,,244.0,10.0,1.0,3.0,1.0,7.0,26.0,510.0,1.0,2.0,19.0,13.0,17.0,9.0,,2.0,2.0,,,,,,,,1.0,10.0,,,,,,6.0,7.0,4.0,5.0,7.0,93.0,69.0,3.0,1.0,2.0,,20.0,3.0,8.0,,1.0,4.0,2.0,6.0,,4.0,1.0,41.0,46.0,,25.0,19.0,,,23.0,67.0,13.0,7.0,,,1.0,1.0,,199.0,2.0,,2.0,2.0,,2.0,13.0,2.0,1.0,2.0,19.0,,5.0,5.0,,3.0,158.0,69.0,41.0,5.0,1.0,5.0,6.0,4.0,582.0,6.0,2.0,,93.0,63.0,21.0,,,,,,132.0,132.0,9.0,26.0,29.0,60.3,,,3.0,,20.0,0.0,159.0,,1.0,1.0,4.0,2.0,5.0,,,3.0,13.0,120.0,488.0,7.0,11.0,297.0,34.0,25.0,12.0,1.0,9.0,9.0,4.0,165.0,6.0,321.0,1.0,1.0,6.0,8.0,52.0,4.0,609.0,1.0,0.0,12.0,15.0,4.0,20.0,1.0,765.0,16.0,9.0,7.0,4.0,6.0,0.0
