matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goals,totalScoringAtt,ontargetScoringAtt,shotOffTarget,blockedScoringAtt,hitWoodwork,goalAssist,totalAttAssist,ontargetAttAssist,penAreaEntries,finalThirdEntries,totalPass,accuratePass,possessionPercentage,touchesInOppBox,totalTackle,wonTackle,interception,totalClearance,effectiveClearance,outfielderBlock,errorLeadToShot,errorLeadToGoal,challengeLost,dispossessed,possLostAll,saves,goalsConceded,cleanSheet,duelWon,duelLost,aerialWon,aerialLost,cornerTaken,wonCorners,attSetpiece,fkFoulLost,fkFoulWon,yellowCard,redCard,penaltyWon,attPenGoal,totalOffside
284106,11,2009-10-31 17:30:00,"Old Trafford, Manchester",74658,Home,Man Utd,Blackburn,2,0,W,0,0,0,0,2.0,25.0,6.0,13.0,6.0,,2.0,21.0,12.0,21.0,93.0,553.0,452.0,65.6,,17.0,12.0,11.0,24.0,7.0,1.0,,,,8.0,168.0,,,1.0,55.0,52.0,15.0,25.0,7.0,7.0,1.0,11.0,20.0,0.0,0.0,,,3.0
284112,12,2009-11-08 16:00:00,"Stamford Bridge, London",41836,Away,Man Utd,Chelsea,0,1,L,0,0,0,0,,18.0,2.0,9.0,7.0,,,17.0,8.0,18.0,86.0,453.0,350.0,52.6,,17.0,14.0,11.0,26.0,9.0,3.0,,,8.0,6.0,154.0,,1.0,,50.0,43.0,15.0,8.0,7.0,7.0,,15.0,13.0,0.0,0.0,,,2.0
284126,13,2009-11-21 17:30:00,"Old Trafford, Manchester",75169,Home,Man Utd,Everton,3,0,W,1,0,0,0,3.0,18.0,5.0,7.0,6.0,1.0,3.0,16.0,10.0,28.0,93.0,674.0,583.0,65.8,,24.0,21.0,16.0,16.0,7.0,1.0,,,5.0,21.0,167.0,,,1.0,56.0,52.0,14.0,12.0,13.0,13.0,1.0,5.0,8.0,0.0,0.0,,,1.0
284136,14,2009-11-28 15:00:00,"Fratton Park, Portsmouth",20482,Away,Man Utd,Portsmouth,4,1,W,1,1,0,0,4.0,14.0,5.0,4.0,5.0,,1.0,11.0,7.0,17.0,53.0,472.0,403.0,59.5,,19.0,14.0,16.0,22.0,9.0,6.0,,,4.0,13.0,131.0,,1.0,,52.0,46.0,7.0,13.0,8.0,8.0,,13.0,16.0,0.0,0.0,2.0,2.0,2.0
284147,15,2009-12-05 15:00:00,"Boleyn Ground, London",34980,Away,Man Utd,West Ham,4,0,W,1,0,0,0,4.0,16.0,5.0,8.0,3.0,,3.0,13.0,7.0,19.0,80.0,526.0,449.0,57.8,,17.0,12.0,22.0,18.0,9.0,4.0,1.0,,5.0,9.0,135.0,,,1.0,47.0,45.0,11.0,10.0,7.0,8.0,,16.0,8.0,0.0,0.0,,,2.0
284156,16,2009-12-12 17:30:00,"Old Trafford, Manchester",75130,Home,Man Utd,Aston Villa,0,1,L,0,1,0,0,,19.0,5.0,7.0,7.0,1.0,,14.0,9.0,36.0,105.0,620.0,515.0,67.2,,25.0,20.0,19.0,22.0,14.0,2.0,,,6.0,22.0,178.0,,1.0,,70.0,51.0,14.0,11.0,9.0,9.0,1.0,6.0,15.0,0.0,0.0,,,
284164,17,2009-12-15 20:00:00,"Old Trafford, Manchester",73709,Home,Man Utd,Wolves,3,0,W,2,0,0,0,3.0,19.0,10.0,5.0,4.0,,2.0,16.0,11.0,21.0,96.0,598.0,500.0,58.3,,13.0,9.0,21.0,19.0,10.0,2.0,,,3.0,16.0,159.0,,,1.0,51.0,50.0,18.0,16.0,8.0,8.0,,11.0,13.0,0.0,0.0,1.0,1.0,
284174,18,2009-12-19 15:00:00,"Craven Cottage, London",25700,Away,Man Utd,Fulham,0,3,L,0,1,0,0,,16.0,2.0,12.0,2.0,,,13.0,3.0,29.0,113.0,620.0,490.0,58.4,,26.0,23.0,16.0,23.0,17.0,2.0,,1.0,2.0,17.0,190.0,,3.0,,54.0,44.0,10.0,13.0,2.0,2.0,,9.0,10.0,0.0,0.0,,,1.0
284184,19,2009-12-27 16:00:00,"The MKM Stadium, Hull",24627,Away,Man Utd,Hull,3,1,W,1,0,0,0,3.0,20.0,6.0,10.0,4.0,1.0,2.0,15.0,9.0,17.0,74.0,466.0,337.0,59.6,,23.0,20.0,19.0,37.0,21.0,3.0,,,8.0,16.0,184.0,,1.0,,58.0,53.0,16.0,12.0,7.0,7.0,,18.0,13.0,0.0,0.0,,,1.0
284195,20,2009-12-30 20:00:00,"Old Trafford, Manchester",74560,Home,Man Utd,Wigan,5,0,W,3,0,0,0,5.0,23.0,11.0,7.0,5.0,2.0,3.0,16.0,12.0,23.0,82.0,613.0,525.0,62.1,,20.0,15.0,17.0,15.0,6.0,3.0,,,6.0,21.0,151.0,,,1.0,47.0,45.0,6.0,6.0,7.0,7.0,1.0,7.0,13.0,0.0,0.0,,,3.0
