matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,expectedGoalsFreekick,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperGoals,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalDistance,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,winningGoal,wonContest,wonCorners,wonTackle,yellowCard
2444470,1,2024-08-16 20:00:00,1,Man Utd,Home,187.0,15.0,1.0,3.0,2.0,,,224.0,6.0,2.0,6.0,2.0,7.0,23.0,408.0,,1.0,13.0,16.0,19.0,8.0,1.0,3.0,1.0,,,,,,,,,2.0,11.0,,,,,,6.0,6.0,4.0,7.0,7.0,79.0,65.0,3.0,4.0,,2.0,8.0,2.0,8.0,,,7.0,6.0,7.0,,13.0,1.0,59.0,58.0,2.0,20.0,12.0,,,,,,,,46.0,12.0,10.0,,,3.0,,,145.0,1.0,,1.0,1.0,,,6.0,1.0,2.0,,12.0,,19.0,19.0,2.0,,6.0,136.0,50.0,33.0,8.0,,5.0,5.0,5.0,463.0,3.0,,,88.0,62.0,29.0,,,,,,128.0,128.0,10.0,23.0,25.0,55.4,,,,,15.0,0.0,122.0,1.0,1.0,2.0,,2.0,1.0,7.0,,1.0,5.0,114.0,391.0,8.0,10.0,207.0,28.0,20.0,19.0,5.0,18.0,13.0,,1.0,147.0,,293.0,2.0,2.0,13.0,8.0,40.0,3.0,482.0,,0.0,14.0,21.0,1.0,15.0,2.0,679.0,22.0,10.0,,8.0,7.0,14.0,0.0
2444482,2,2024-08-24 12:30:00,1,Man Utd,Away,300.0,28.0,,3.0,3.0,2.0,1.0,149.0,4.0,1.0,9.0,4.0,5.0,24.0,446.0,1.0,1.0,12.0,9.0,6.0,9.0,1.0,1.0,,,,,,,,,,,9.0,,,,,1.0,7.0,10.0,4.0,8.0,3.0,106.0,62.0,2.0,2.0,,,8.0,2.0,10.0,1.0,1.0,4.0,5.0,3.0,,8.0,,48.0,43.0,,10.0,4.0,,,,,,,,44.0,13.0,8.0,,,1.0,1.0,,164.0,1.0,,,1.0,,,4.0,1.0,,,4.0,,12.0,12.0,3.0,,9.0,122.0,52.0,35.0,4.0,1.0,5.0,6.0,4.0,495.0,4.0,1.0,,57.0,37.0,20.0,,,,,,107.0,107.0,6.0,31.0,13.0,51.8,,,,1.0,19.0,0.0,119.0,3.0,,2.0,,,,5.0,,,5.0,69.0,430.0,8.0,11.0,326.0,43.0,10.0,19.0,3.0,12.0,9.0,,,93.0,5.0,197.0,,1.0,10.0,6.0,38.0,6.0,511.0,1.0,0.0,11.0,19.0,4.0,14.0,2.0,675.0,28.0,7.0,,10.0,4.0,11.0,0.0
2444496,3,2024-09-01 16:00:00,1,Man Utd,Home,261.0,14.0,1.0,6.0,5.0,1.0,,166.0,6.0,1.0,4.0,4.0,5.0,15.0,421.0,,,22.0,13.0,5.0,7.0,,1.0,,,,,,,,,,,7.0,,,,,,5.0,10.0,1.0,5.0,3.0,72.0,55.0,3.0,3.0,,,5.0,,5.0,,,5.0,15.0,,,11.0,,49.0,52.0,,10.0,2.0,3.0,1.0,,,,,,44.0,7.0,7.0,,,1.0,,,165.0,,,,,,,8.0,,,,2.0,,7.0,7.0,1.0,,4.0,130.0,58.0,39.0,2.0,,5.0,2.0,3.0,485.0,1.0,1.0,,52.0,54.0,23.0,,,,,,147.0,147.0,3.0,29.0,19.0,52.8,,,,,19.0,0.0,140.0,,,,,,,5.0,,,4.0,77.0,402.0,5.0,7.0,295.0,24.0,10.0,21.0,4.0,19.0,15.0,108475.29,,106.0,5.0,231.0,,1.0,17.0,6.0,39.0,,507.0,1.0,0.0,8.0,32.0,1.0,26.0,4.0,695.0,31.0,19.0,,8.0,5.0,20.0,0.0
2444507,4,2024-09-14 12:30:00,1,Man Utd,Away,295.0,18.0,1.0,2.0,1.0,,,263.0,3.0,,3.0,3.0,11.0,18.0,556.0,1.0,4.0,15.0,4.0,7.0,14.0,,5.0,2.0,,,,,,,,,1.0,15.0,,,,,,7.0,6.0,,11.0,9.0,123.0,49.0,5.0,3.0,2.0,1.0,6.0,7.0,4.0,1.0,,7.0,2.0,2.0,1.0,14.0,2.0,41.0,54.0,1.0,11.0,4.0,,,,,,,,53.0,14.0,11.0,,,,,,164.0,3.0,,2.0,1.0,2.0,,3.0,1.0,,2.0,4.0,,12.0,12.0,,,3.0,161.0,53.0,40.0,,1.0,3.0,14.0,10.0,594.0,2.0,2.0,,49.0,94.0,25.0,,1.0,1.0,1.0,,97.0,97.0,5.0,16.0,24.0,55.8,,,,,14.0,0.0,163.0,4.0,,3.0,,1.0,2.0,3.0,1.0,1.0,5.0,117.0,541.0,6.0,17.0,309.0,29.0,11.0,21.0,5.0,9.0,4.0,109134.0,2.0,144.0,1.0,311.0,,,10.0,13.0,32.0,,611.0,4.0,0.0,20.0,22.0,5.0,17.0,4.0,786.0,38.0,10.0,,14.0,7.0,13.0,0.0
2444512,5,2024-09-21 17:30:00,1,Man Utd,Away,307.0,17.0,4.0,3.0,,1.0,,243.0,4.0,,5.0,3.0,13.0,14.0,547.0,,3.0,31.0,13.0,18.0,8.0,4.0,5.0,,,,,,,,,1.0,,9.0,,2.0,,,1.0,7.0,7.0,2.0,11.0,4.0,104.0,50.0,3.0,5.0,,1.0,6.0,4.0,4.0,,,11.0,9.0,5.0,,14.0,2.0,50.0,45.0,1.0,14.0,8.0,,,,,,,,72.0,12.0,6.0,,,2.0,2.0,,188.0,,,,,,,4.0,,,1.0,8.0,3.0,9.0,9.0,,,5.0,160.0,83.0,45.0,4.0,,4.0,8.0,6.0,624.0,2.0,4.0,,62.0,89.0,36.0,,,,,,153.0,153.0,3.0,16.0,25.0,66.8,2.0,,,,17.0,0.0,187.0,3.0,1.0,4.0,,,,5.0,,,3.0,125.0,533.0,6.0,12.0,325.0,35.0,14.0,15.0,8.0,23.0,16.0,104830.92,,172.0,3.0,337.0,,,16.0,13.0,47.0,,639.0,,0.0,15.0,14.0,5.0,31.0,2.0,845.0,33.0,15.0,,7.0,11.0,8.0,0.0
2444526,6,2024-09-29 16:30:00,1,Man Utd,Home,183.0,20.0,2.0,6.0,4.0,,,135.0,6.0,,9.0,4.0,2.0,28.0,312.0,,,9.0,8.0,6.0,7.0,2.0,3.0,,,,,,,,1.0,,,8.0,,,,1.0,,10.0,18.0,6.0,10.0,1.0,60.0,54.0,,,,,8.0,4.0,6.0,,,5.0,7.0,8.0,,1.0,2.0,36.0,46.0,,16.0,9.0,,,,,,,,54.0,16.0,11.0,,,2.0,1.0,,155.0,,,,,,,10.0,,1.0,1.0,9.0,1.0,17.0,17.0,5.0,,9.0,105.0,54.0,29.0,3.0,,4.0,5.0,2.0,366.0,6.0,1.0,,69.0,33.0,22.0,,,,,,122.0,122.0,4.0,26.0,13.0,39.2,1.0,,,,24.0,0.0,75.0,5.0,2.0,7.0,,1.0,,5.0,,,5.0,83.0,291.0,8.0,9.0,213.0,34.0,16.0,8.0,5.0,21.0,16.0,110923.31,,121.0,2.0,203.0,1.0,,17.0,2.0,61.0,2.0,395.0,1.0,1.0,11.0,27.0,4.0,9.0,5.0,580.0,25.0,14.0,,2.0,5.0,15.0,0.0
2444531,7,2024-10-06 14:00:00,1,Man Utd,Away,164.0,21.0,1.0,3.0,2.0,1.0,1.0,141.0,8.0,,3.0,3.0,8.0,20.0,302.0,,1.0,12.0,8.0,15.0,5.0,1.0,2.0,1.0,,,1.0,,1.0,,,,,6.0,,1.0,,,1.0,6.0,6.0,5.0,4.0,6.0,63.0,40.0,,,,1.0,9.0,2.0,7.0,,,3.0,2.0,3.0,,4.0,1.0,38.0,51.0,1.0,23.0,15.0,,,,,,,,54.0,11.0,12.0,,,1.0,1.0,1.0,124.0,,,,,,,11.0,,1.0,,15.0,2.0,12.0,12.0,1.0,,3.0,99.0,47.0,20.0,6.0,,1.0,5.0,4.0,347.0,3.0,1.0,,43.0,52.0,17.0,,,,,,104.0,104.0,5.0,16.0,16.0,46.5,1.0,,,,11.0,0.0,83.0,,1.0,1.0,,1.0,1.0,4.0,,,5.0,65.0,288.0,9.0,6.0,182.0,32.0,23.0,12.0,3.0,9.0,6.0,100541.86,1.0,97.0,3.0,196.0,1.0,,18.0,10.0,47.0,1.0,369.0,,0.0,10.0,21.0,2.0,14.0,5.0,535.0,11.0,15.0,,4.0,3.0,12.0,0.0
2444544,8,2024-10-19 15:00:00,1,Man Utd,Home,178.0,22.0,2.0,6.0,4.0,1.0,,237.0,5.0,1.0,4.0,5.0,15.0,29.0,409.0,,1.0,16.0,18.0,23.0,16.0,2.0,3.0,2.0,,,,,,,,,2.0,20.0,,,,,,3.0,6.0,2.0,13.0,10.0,90.0,53.0,3.0,1.0,2.0,1.0,4.0,6.0,12.0,,,9.0,8.0,3.0,,8.0,1.0,49.0,57.0,1.0,24.0,13.0,,,,,,,,65.0,4.0,5.0,1.0,,,,,167.0,2.0,,2.0,2.0,,,7.0,2.0,1.0,,13.0,,8.0,8.0,,,4.0,109.0,65.0,40.0,2.0,1.0,4.0,16.0,11.0,469.0,1.0,2.0,,63.0,62.0,31.0,,,,,,126.0,126.0,4.0,20.0,22.0,50.4,,,3.0,,12.0,0.0,122.0,,1.0,1.0,,1.0,2.0,6.0,,,4.0,108.0,395.0,4.0,20.0,200.0,40.0,24.0,12.0,8.0,19.0,11.0,,2.0,146.0,5.0,307.0,1.0,1.0,18.0,17.0,61.0,1.0,488.0,,0.0,23.0,25.0,1.0,18.0,2.0,668.0,35.0,14.0,,5.0,9.0,16.0,0.0
2444559,9,2024-10-27 14:00:00,1,Man Utd,Away,206.0,26.0,1.0,6.0,5.0,,1.0,251.0,6.0,,6.0,1.0,21.0,25.0,451.0,,3.0,23.0,13.0,15.0,12.0,1.0,3.0,3.0,,,,,1.0,,,,,13.0,,1.0,,,1.0,4.0,11.0,1.0,10.0,8.0,90.0,48.0,5.0,4.0,1.0,4.0,12.0,6.0,10.0,,,5.0,8.0,9.0,,4.0,,40.0,46.0,4.0,27.0,11.0,1.0,,,,,,,67.0,7.0,6.0,,,3.0,2.0,1.0,173.0,1.0,,,,1.0,,6.0,,1.0,1.0,11.0,1.0,6.0,6.0,2.0,,6.0,135.0,61.0,39.0,6.0,1.0,7.0,7.0,5.0,523.0,1.0,,,75.0,77.0,34.0,1.0,1.0,1.0,,,132.0,132.0,1.0,18.0,22.0,57.5,1.0,,,,21.0,0.0,140.0,1.0,,1.0,,,3.0,7.0,1.0,,3.0,120.0,436.0,12.0,14.0,232.0,54.0,27.0,14.0,5.0,24.0,19.0,,3.0,159.0,1.0,330.0,1.0,,13.0,22.0,48.0,3.0,538.0,,0.0,18.0,19.0,6.0,24.0,1.0,742.0,33.0,12.0,,7.0,5.0,11.0,0.0
2444564,10,2024-11-03 16:30:00,1,Man Utd,Home,201.0,10.0,,3.0,3.0,4.0,,124.0,5.0,,7.0,5.0,4.0,15.0,322.0,1.0,1.0,12.0,17.0,8.0,6.0,1.0,1.0,1.0,,,,,1.0,,,,,8.0,1.0,1.0,,,,11.0,8.0,4.0,8.0,3.0,58.0,51.0,2.0,3.0,1.0,4.0,10.0,3.0,15.0,,,4.0,4.0,6.0,,9.0,1.0,71.0,53.0,4.0,16.0,9.0,,3.0,,,,,,46.0,19.0,13.0,,,2.0,1.0,1.0,140.0,,,,,,,7.0,,,,9.0,1.0,11.0,11.0,,,7.0,97.0,53.0,29.0,8.0,1.0,2.0,5.0,4.0,383.0,5.0,,,43.0,31.0,19.0,,,,,1.0,122.0,122.0,3.0,15.0,23.0,46.0,1.0,2.0,,,19.0,0.0,110.0,1.0,1.0,2.0,,1.0,1.0,4.0,,,3.0,58.0,303.0,10.0,7.0,230.0,25.0,16.0,21.0,2.0,13.0,11.0,,1.0,94.0,7.0,188.0,1.0,,24.0,4.0,49.0,4.0,405.0,2.0,0.0,11.0,22.0,2.0,12.0,6.0,592.0,22.0,5.0,,10.0,4.0,13.0,0.0
