matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attObxdRight,attOpenplay,attPenGoal,attPenMiss,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
321663,1.0,2010-08-16 20:00:00,1,Man Utd,Home,210.0,15.0,,8.0,8.0,2.0,,319.0,7.0,,13.0,2.0,26.0,51.0,521.0,,3.0,15.0,22.0,10.0,13.0,,,,1.0,,3.0,,,15.0,,,,,,,1.0,6.0,3.0,,71.0,71.0,3.0,2.0,2.0,2.0,8.0,9.0,,5.0,20.0,11.0,,11.0,2.0,61.0,45.0,2.0,6.0,3.0,,1.0,89.0,9.0,6.0,1.0,,4.0,,3.0,193.0,2.0,,2.0,2.0,,,7.0,,,3.0,3.0,,,,,8.0,,19.0,18.0,,13.0,167.0,76.0,53.0,3.0,2.0,6.0,9.0,4.0,,,1.0,2.0,,70.0,77.0,32.0,,,,,162.0,153.0,7.0,23.0,22.0,65.6,,,0.0,,,,178.0,1.0,3.0,,,,7.0,,3.0,187.0,15.0,222.0,29.0,15.0,16.0,3.0,34.0,31.0,,245.0,6.0,421.0,3.0,,6.0,27.0,64.0,4.0,609.0,,0.0,19.0,23.0,14.0,15.0,2.0,820.0,12.0,6.0,5.0,17.0,0.0
321670,2.0,2010-08-22 16:00:00,1,Man Utd,Away,175.0,13.0,3.0,18.0,15.0,3.0,1.0,316.0,4.0,1.0,9.0,9.0,27.0,44.0,473.0,,1.0,20.0,14.0,12.0,14.0,3.0,1.0,,1.0,,1.0,,,16.0,,,1.0,,,,,10.0,10.0,,83.0,62.0,2.0,3.0,,2.0,6.0,2.0,,10.0,15.0,16.0,,8.0,3.0,36.0,28.0,2.0,7.0,3.0,,,87.0,7.0,7.0,,,4.0,1.0,1.0,183.0,1.0,,1.0,,1.0,,8.0,,,,1.0,,,,1.0,10.0,,21.0,16.0,2.0,9.0,136.0,83.0,55.0,5.0,1.0,6.0,12.0,8.0,,,3.0,2.0,,79.0,114.0,28.0,,,,1.0,165.0,147.0,2.0,20.0,22.0,57.2,,,0.0,,,,162.0,3.0,3.0,,,1.0,8.0,,3.0,167.0,18.0,185.0,35.0,25.0,9.0,8.0,40.0,32.0,1.0,226.0,13.0,419.0,1.0,1.0,18.0,27.0,69.0,2.0,564.0,1.0,0.0,22.0,6.0,4.0,21.0,2.0,776.0,11.0,3.0,11.0,4.0,0.0
321683,3.0,2010-08-28 17:30:00,1,Man Utd,Home,209.0,23.0,2.0,5.0,5.0,1.0,,305.0,5.0,,10.0,1.0,27.0,44.0,509.0,1.0,3.0,8.0,4.0,5.0,11.0,2.0,,,2.0,,2.0,,1.0,14.0,1.0,,,,,,1.0,3.0,5.0,,57.0,65.0,4.0,2.0,3.0,5.0,7.0,9.0,,9.0,18.0,7.0,,13.0,,43.0,55.0,5.0,12.0,4.0,,,83.0,6.0,10.0,2.0,,5.0,,2.0,168.0,2.0,,1.0,2.0,,,6.0,,,2.0,2.0,,,,,8.0,1.0,22.0,21.0,1.0,10.0,181.0,71.0,59.0,3.0,1.0,4.0,11.0,7.0,,,2.0,1.0,,71.0,63.0,25.0,,,,1.0,135.0,129.0,3.0,25.0,25.0,60.3,,1.0,0.0,,,,174.0,1.0,,,,,7.0,,3.0,174.0,15.0,220.0,42.0,18.0,20.0,7.0,30.0,25.0,,219.0,5.0,390.0,2.0,,6.0,27.0,62.0,1.0,580.0,2.0,0.0,21.0,31.0,10.0,8.0,1.0,784.0,6.0,9.0,9.0,24.0,0.0
321689,4.0,2010-09-11 12:45:00,1,Man Utd,Away,177.0,15.0,1.0,5.0,4.0,1.0,,160.0,7.0,,7.0,5.0,19.0,29.0,332.0,,,6.0,12.0,11.0,7.0,1.0,3.0,,,,,,,11.0,,,,,,1.0,1.0,16.0,10.0,,54.0,46.0,4.0,1.0,3.0,2.0,2.0,4.0,,5.0,13.0,2.0,1.0,9.0,2.0,51.0,46.0,1.0,21.0,13.0,,,56.0,19.0,11.0,1.0,,1.0,,,143.0,3.0,,2.0,2.0,1.0,1.0,13.0,,,2.0,4.0,,,,,30.0,1.0,10.0,7.0,1.0,7.0,101.0,82.0,45.0,7.0,1.0,4.0,7.0,6.0,,,9.0,,,52.0,50.0,11.0,,,,,156.0,129.0,3.0,23.0,8.0,47.7,1.0,1.0,0.0,,,,108.0,2.0,1.0,,,3.0,5.0,,1.0,85.0,11.0,198.0,24.0,47.0,11.0,4.0,19.0,15.0,4.0,118.0,4.0,227.0,4.0,,24.0,20.0,55.0,5.0,406.0,,0.0,13.0,20.0,1.0,8.0,1.0,606.0,12.0,4.0,5.0,14.0,0.0
321701,5.0,2010-09-19 13:30:00,1,Man Utd,Home,155.0,20.0,2.0,10.0,8.0,,,252.0,8.0,,4.0,1.0,16.0,45.0,397.0,,1.0,23.0,8.0,10.0,10.0,1.0,,,,,,,,13.0,,,,,,1.0,2.0,4.0,4.0,,60.0,52.0,1.0,1.0,1.0,,6.0,5.0,,6.0,22.0,15.0,,13.0,,47.0,44.0,,9.0,6.0,,,64.0,15.0,10.0,3.0,,3.0,,,150.0,3.0,1.0,3.0,2.0,1.0,,8.0,,,2.0,,,,,,15.0,1.0,16.0,12.0,,4.0,126.0,74.0,47.0,1.0,,5.0,9.0,5.0,,,,,,75.0,97.0,27.0,1.0,1.0,1.0,,147.0,131.0,3.0,17.0,27.0,49.5,1.0,,0.0,,,,134.0,,,,,,8.0,,3.0,132.0,14.0,163.0,37.0,25.0,16.0,6.0,43.0,37.0,,173.0,2.0,350.0,,,8.0,18.0,61.0,2.0,470.0,,0.0,19.0,14.0,4.0,24.0,4.0,664.0,3.0,10.0,6.0,10.0,0.0
321710,6.0,2010-09-26 12:00:00,1,Man Utd,Away,162.0,22.0,3.0,8.0,5.0,4.0,,253.0,3.0,,7.0,7.0,31.0,41.0,407.0,,3.0,25.0,14.0,21.0,9.0,2.0,,,,,,,,,,,,,,,1.0,9.0,6.0,,84.0,60.0,,,,1.0,1.0,4.0,,12.0,25.0,4.0,,12.0,,55.0,60.0,1.0,19.0,13.0,,1.0,78.0,18.0,16.0,1.0,1.0,,,,174.0,2.0,1.0,1.0,1.0,1.0,,9.0,,,,3.0,,,,,25.0,,13.0,12.0,1.0,7.0,124.0,93.0,53.0,7.0,1.0,6.0,7.0,6.0,,,5.0,1.0,,52.0,82.0,18.0,,,,,194.0,172.0,4.0,15.0,26.0,65.8,,,0.0,,,,120.0,,2.0,,,,6.0,,3.0,141.0,13.0,179.0,33.0,41.0,16.0,10.0,41.0,31.0,,187.0,10.0,364.0,3.0,,26.0,34.0,66.0,4.0,502.0,,0.0,13.0,14.0,8.0,28.0,2.0,740.0,10.0,9.0,12.0,11.0,0.0
321722,7.0,2010-10-02 15:00:00,1,Man Utd,Away,156.0,12.0,1.0,5.0,4.0,1.0,1.0,158.0,4.0,,9.0,6.0,12.0,25.0,309.0,,,20.0,10.0,19.0,8.0,,1.0,,1.0,,1.0,,,9.0,,,,,,,1.0,9.0,11.0,,73.0,64.0,,,,3.0,4.0,4.0,,4.0,6.0,10.0,,16.0,2.0,46.0,53.0,3.0,28.0,19.0,,,66.0,7.0,10.0,,,2.0,2.0,1.0,160.0,,,,,,,10.0,,,,1.0,,,,,34.0,,20.0,15.0,2.0,9.0,87.0,96.0,47.0,10.0,,3.0,5.0,1.0,,,9.0,,,58.0,52.0,18.0,,,,,190.0,168.0,2.0,26.0,23.0,52.0,,3.0,0.0,,,,88.0,2.0,1.0,,,1.0,7.0,,3.0,68.0,8.0,185.0,24.0,50.0,16.0,4.0,22.0,18.0,1.0,106.0,4.0,245.0,1.0,,31.0,12.0,55.0,3.0,408.0,,0.0,12.0,17.0,2.0,23.0,2.0,653.0,15.0,7.0,4.0,11.0,0.0
321734,8.0,2010-10-16 15:00:00,1,Man Utd,Home,147.0,17.0,1.0,7.0,6.0,1.0,,207.0,8.0,,7.0,2.0,6.0,39.0,347.0,,1.0,20.0,8.0,10.0,11.0,1.0,1.0,,1.0,2.0,4.0,1.0,,14.0,,,,,1.0,,1.0,5.0,5.0,,53.0,66.0,2.0,1.0,2.0,1.0,7.0,6.0,,3.0,15.0,6.0,,13.0,,52.0,44.0,1.0,14.0,5.0,1.0,,64.0,10.0,9.0,1.0,,6.0,1.0,4.0,149.0,1.0,,1.0,1.0,,1.0,10.0,,,1.0,,,,,,12.0,1.0,31.0,26.0,2.0,7.0,110.0,67.0,43.0,2.0,1.0,5.0,8.0,6.0,,,1.0,2.0,1.0,66.0,61.0,19.0,,,,,150.0,140.0,4.0,22.0,33.0,56.0,1.0,1.0,0.0,,,,110.0,,1.0,,,1.0,7.0,,3.0,99.0,13.0,164.0,28.0,24.0,23.0,3.0,25.0,22.0,2.0,129.0,5.0,283.0,1.0,,14.0,11.0,53.0,3.0,422.0,,0.0,20.0,17.0,3.0,21.0,1.0,649.0,11.0,8.0,3.0,14.0,0.0
321741,9.0,2010-10-24 13:30:00,1,Man Utd,Away,199.0,21.0,1.0,6.0,5.0,5.0,,204.0,6.0,1.0,4.0,4.0,24.0,44.0,397.0,1.0,,22.0,17.0,19.0,8.0,1.0,1.0,,,,1.0,,,10.0,,,,,,,,6.0,5.0,,78.0,62.0,2.0,1.0,1.0,5.0,4.0,6.0,,6.0,11.0,5.0,,7.0,,53.0,39.0,5.0,27.0,18.0,,,58.0,14.0,7.0,2.0,,2.0,,1.0,177.0,1.0,,1.0,,1.0,,7.0,,,1.0,3.0,,,,,38.0,,14.0,12.0,2.0,4.0,119.0,102.0,59.0,5.0,,6.0,4.0,3.0,,,2.0,,,71.0,73.0,17.0,,,,,187.0,162.0,,25.0,28.0,62.3,,1.0,0.0,,,,137.0,,,,,1.0,7.0,,3.0,82.0,10.0,234.0,37.0,52.0,13.0,1.0,17.0,16.0,1.0,118.0,11.0,294.0,3.0,1.0,30.0,26.0,76.0,1.0,511.0,1.0,0.0,14.0,9.0,4.0,29.0,2.0,708.0,12.0,4.0,6.0,7.0,0.0
321754,10.0,2010-10-30 17:30:00,1,Man Utd,Home,178.0,15.0,,1.0,1.0,,,241.0,3.0,,4.0,6.0,19.0,30.0,418.0,,4.0,14.0,13.0,12.0,16.0,,1.0,,,1.0,1.0,,,,,,,1.0,1.0,,1.0,5.0,8.0,,70.0,72.0,,,1.0,2.0,1.0,9.0,,1.0,4.0,2.0,1.0,11.0,1.0,49.0,47.0,2.0,15.0,9.0,,,60.0,12.0,10.0,,,,,1.0,182.0,1.0,1.0,1.0,,1.0,,6.0,,,,,,,,,16.0,2.0,26.0,23.0,,4.0,129.0,97.0,54.0,4.0,1.0,8.0,9.0,10.0,,,4.0,2.0,,53.0,76.0,18.0,,,,,139.0,127.0,6.0,27.0,34.0,51.3,2.0,,0.0,,,,128.0,1.0,1.0,,,1.0,8.0,,3.0,127.0,17.0,193.0,20.0,27.0,9.0,,7.0,7.0,,170.0,8.0,323.0,,,33.0,20.0,55.0,3.0,509.0,,0.0,19.0,20.0,7.0,15.0,0.0,682.0,6.0,5.0,1.0,18.0,0.0
