playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,aerialDuels,cleanSheets,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,headedGoals,unsuccessfulCrossesAndCorners,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,gkUnsuccessfulDistribution,leftsidePasses,totalFoulsConceded,interceptions,clearancesOffTheLine,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,blockedShots,goalAssists,oboxBlocked,substituteOn,penaltiesConceded,throwInsToOppositionPlayer,shotsBlockedOutsideBox,secondGoalAssists,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,savesMadeParried,savesMadeFromInsideBox,expectedGoalsFreekick,cornersTakenInclShortCorners,shotsOnTargetOutsideBox,unsuccessfulLayoffs,successfulCornersIntoBox,shotsBlockedInBox,oboxTarget,freekickTotal,iboxBlocked,attemptsFromSetPieces,unsuccessfulCornersIntoBox,handballsConceded,leftFootGoals,hitWoodwork,rightFootGoals,ownGoalScored,penaltiesTaken,penaltyGoals,setPiecesGoals,otherGoals
77777,Ahmed Hegazy,Defender,West Brom,35,Egypt,2017-18,145.0,3.0,1.4288,0.0,4.0,0.641,58.0,14.0,1.0,167.0,38.0,2.0,38.0,319.0,7.0,1186.0,2.0,2.0,187.0,10.0,3.0,2.0,3387.0,2.0,84.0,192.0,9.0,28.0,89.0,732.0,36.0,1.0,46.4515,7.0,42.0,270.0,55.0,61.0,257.0,12.0,337.0,18.0,584.0,183.0,38.0,20.0,7.0,279.0,46.0,2.0,7.0,150.0,103.0,0.0,1.0,1151.0,10.0,3.0,363.0,38.0,22.0,37.0,1.0,269.0,24.0,60.0,1.0,135.0,76.0,1768.0,2.0,1.0,97.0,591.0,11.0,1.6544,4.0,152.0,108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112520,Alex Palmer,Goalkeeper,West Brom,35,England,2017-18,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185431,Ali Gabr,Defender,West Brom,35,Egypt,2017-18,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67527,Allan Nyom,Defender,West Brom,35,Cameroon,2017-18,90.0,23.0,1.477,0.0,,,64.0,2.0,,89.0,29.0,,25.0,179.0,65.0,753.0,,,41.0,7.0,23.0,,2308.0,,19.0,115.0,8.0,56.0,93.0,537.0,6.0,1.0,31.544,13.0,11.0,83.0,40.0,71.0,72.0,20.0,205.0,11.0,298.0,147.0,29.0,25.0,16.0,292.0,32.0,,65.0,164.0,22.0,0.0,,749.0,2.0,11.0,367.0,39.0,10.0,9.0,,223.0,20.0,27.0,,37.0,160.0,1433.0,201.0,2.0,69.0,305.0,10.0,0.065,7.0,90.0,75.0,1.0,1.0,1.0,4.0,1.0,56.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9089,Ben Foster,Goalkeeper,West Brom,35,England,2017-18,8.0,,0.1185,0.0,,,1.0,,,2.0,37.0,,37.0,582.0,,1079.0,,,5.0,10.0,,,3330.0,,,11.0,9.0,,6.0,130.0,,1.0,46.2246,2.0,197.0,17.0,55.0,8.0,33.0,3.0,19.0,,999.0,329.0,37.0,1.0,,316.0,46.0,,,14.0,5.0,0.0,207.0,514.0,,1.0,593.0,,2.0,,201.0,47.0,1.0,1.0,,367.0,,1325.0,,,323.0,181.0,1.0,,2.0,580.0,53.0,,,,,,,,,34.0,44.0,11.0,1.0,5.0,100.0,3.0,3.0,1.0,30.0,54.0,,,,,,,,,,,,,,,,,,,,
12086,Boaz Myhill,Goalkeeper,West Brom,35,Wales,2017-18,1.0,,0.0005,0.0,,,,,,,1.0,,1.0,9.0,,19.0,,,,,,,90.0,,,,,,,2.0,,,0.3478,,4.0,1.0,1.0,1.0,2.0,,1.0,,17.0,4.0,1.0,,,6.0,1.0,,,1.0,,0.0,4.0,5.0,,,9.0,,,,3.0,,1.0,,,8.0,,25.0,,,3.0,4.0,1.0,,1.0,9.0,3.0,,,,,,,,,3.0,1.0,,,,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
19151,Chris Brunt,Midfielder,West Brom,35,Northern Ireland,2017-18,65.0,12.0,4.4668,0.0,5.0,1.5381,41.0,19.0,6.0,116.0,26.0,13.0,22.0,233.0,27.0,882.0,,,31.0,6.0,51.0,,1921.0,,15.0,77.0,4.0,36.0,61.0,557.0,13.0,,23.5172,30.0,17.0,39.0,23.0,50.0,244.0,6.0,142.0,24.0,373.0,148.0,26.0,17.0,,402.0,19.0,,88.0,111.0,16.0,0.0,,840.0,14.0,14.0,379.0,24.0,15.0,4.0,,132.0,15.0,22.0,,92.0,133.0,1323.0,33.0,7.0,64.0,298.0,12.0,1.8324,5.0,117.0,52.0,6.0,7.0,4.0,4.0,,19.0,4.0,,,,,,,,,,,,,0.5791,85.0,5.0,2.0,33.0,2.0,5.0,8.0,2.0,8.0,49.0,,,,,,,,,
55829,Claudio Yacob,Midfielder,West Brom,35,Argentina,2017-18,72.0,,0.0936,0.0,1.0,0.0701,36.0,7.0,,44.0,16.0,4.0,9.0,62.0,,374.0,,,46.0,2.0,,1.0,900.0,1.0,28.0,68.0,5.0,11.0,50.0,293.0,6.0,,13.2071,1.0,4.0,25.0,17.0,44.0,102.0,12.0,140.0,8.0,118.0,75.0,16.0,9.0,,134.0,12.0,,,94.0,18.0,0.0,,369.0,6.0,1.0,78.0,27.0,2.0,6.0,,100.0,25.0,16.0,,19.0,54.0,517.0,,3.0,9.0,178.0,15.0,0.4785,5.0,18.0,17.0,1.0,,,7.0,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,
60232,Craig Dawson,Defender,West Brom,35,England,2017-18,132.0,14.0,1.0858,0.0,4.0,1.1423,38.0,11.0,,149.0,28.0,2.0,28.0,276.0,28.0,906.0,2.0,4.0,185.0,7.0,14.0,2.0,2509.0,2.0,68.0,183.0,6.0,41.0,66.0,569.0,49.0,1.0,35.7781,10.0,15.0,132.0,39.0,64.0,85.0,22.0,315.0,13.0,480.0,133.0,28.0,10.0,5.0,295.0,33.0,2.0,28.0,130.0,117.0,0.0,,896.0,7.0,10.0,374.0,28.0,8.0,26.0,,254.0,35.0,52.0,,61.0,87.0,1495.0,121.0,1.0,73.0,349.0,14.0,2.3247,6.0,127.0,67.0,5.0,,1.0,,,37.0,1.0,,,,,,,,,,,,,,,,,,4.0,,,4.0,,,1.0,,,,,,,,
40755,Daniel Sturridge,Forward,West Brom,35,England,2017-18,21.0,1.0,0.046,0.0,8.0,,,17.0,1.0,33.0,15.0,14.0,7.0,33.0,3.0,158.0,2.0,3.0,9.0,,1.0,,547.0,,6.0,26.0,2.0,4.0,23.0,120.0,40.0,,4.3903,15.0,,1.0,8.0,15.0,32.0,10.0,47.0,1.0,42.0,14.0,15.0,,3.0,99.0,6.0,1.0,3.0,38.0,3.0,0.0,,149.0,9.0,5.0,71.0,,13.0,,,40.0,1.0,,,5.0,44.0,253.0,,6.0,,27.0,,0.1376,0.0,,1.0,7.0,1.0,1.0,8.0,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,1.0,1.0,,,,,,,
