playerId,playerName,position,team,nationality,season,duelsLost,penaltiesSaved,expectedAssists,totalRedCards,catches,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,savesFromPenalty,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,blocks,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,successfulLongPasses,backwardPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,expectedGoalsFreekick,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,successfulLayoffs,unsuccessfulCrossesOpenPlay,oboxBlocked,shotsOnTargetOutsideBox,successfulCrossesAndCorners,penaltiesConceded,totalTouchesInOppositionBox,throwInsToOppositionPlayer,groundDuelsLost,oboxTarget,tacklesLost,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,freekickTotal,shotsOffTargetIncWoodwork,cornersWon,tacklesWon,successfulDribbles,attemptsFromSetPieces,totalFoulsConceded,interceptions,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,expectedGoals,overruns,throughBalls,offsides,iboxTarget,shotsOnTargetInBox,ownGoalScored,hitWoodwork,handballsConceded,goalAssists,substituteOn,foulWonPenalty,clearancesOffTheLine,goals,awayGoals,shotsBlockedInBox,homeGoals,lastPlayerTackle,headedGoals,iboxBlocked,leftFootGoals,successfulCornersIntoBox,rightFootGoals,unsuccessfulCornersIntoBox,secondGoalAssists,cornersTakenInclShortCorners,unsuccessfulLayoffs,penaltiesTaken,penaltyGoals,otherGoals
60232,Craig Dawson,Defender,Wolverhampton Wanderers,England,2012-13,2.0,,0.0061,0.0,,,5.0,1.0,1.0,7.0,27.0,,,5.0,,,90.0,1.0,4.0,,,17.0,,,,0.9211,,,4.0,1.0,8.0,,,0.0,6.0,,11.0,3.0,1.0,,,5.0,1.0,1.0,4.0,0.0,,27.0,8.0,5.0,,,6.0,3.0,2.0,37.0,3.0,15.0,,0.0,2.0,1.0,,,,,,,,1.0,,,,,,4.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11467,Billy Jones,Defender,Crewe Alexandra,England,2012-13,91.0,,1.1954,0.0,,,140.0,27.0,24.0,179.0,676.0,,,66.0,4.0,,2208.0,36.0,125.0,7.0,95.0,472.0,,,3.0,35.9166,11.0,8.0,88.0,42.0,36.0,,19.0,0.0,216.0,,306.0,78.0,27.0,,,261.0,35.0,150.0,30.0,0.0,,665.0,313.0,9.0,,,223.0,25.0,111.0,1275.0,51.0,243.0,,8.0,39.0,53.0,7.0,,3.0,6.0,1.9795,53.0,7.0,10.0,40.0,1.0,1.0,7.0,1.0,45.0,53.0,55.0,1.0,11.0,9.0,40.0,18.0,1.0,1.0,12.0,42.0,23.0,,26.0,28.0,166.0,1.0,1.0,1.1161,5.0,,2.0,11.0,11.0,,1.0,,2.0,3.0,,1.0,1.0,0.0,6.0,1.0,,,6.0,1.0,,,,,,,,,
27348,Gabriel Tamas,Defender,FCSB,Romania,2012-13,28.0,,0.238,0.0,,,41.0,11.0,7.0,66.0,241.0,,,15.0,,,631.0,8.0,27.0,3.0,20.0,148.0,,,,8.7759,4.0,5.0,45.0,12.0,38.0,,5.0,0.0,55.0,,120.0,22.0,11.0,,,64.0,9.0,40.0,7.0,0.0,,233.0,88.0,6.0,,,62.0,27.0,21.0,381.0,20.0,114.0,,3.0,25.0,16.0,3.0,,1.0,,,15.0,1.0,3.0,6.0,1.0,1.0,3.0,,3.0,6.0,20.0,1.0,4.0,,6.0,2.0,,1.0,1.0,11.0,,,10.0,5.0,32.0,2.0,1.0,0.1101,1.0,1.0,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,
55829,Claudio Yacob,Midfielder,Nottingham Forest,Argentina,2012-13,136.0,,0.5718,0.0,,,128.0,30.0,29.0,156.0,1244.0,,,72.0,7.0,,2483.0,33.0,177.0,8.0,138.0,1017.0,,,2.0,40.2722,7.0,9.0,80.0,41.0,373.0,,26.0,0.0,313.0,,381.0,117.0,30.0,,,524.0,33.0,241.0,39.0,0.0,,1213.0,186.0,15.0,,,356.0,71.0,134.0,1599.0,15.0,564.0,,7.0,28.0,44.0,,,2.0,4.0,0.5828,109.0,12.0,38.0,,3.0,4.0,,1.0,7.0,,103.0,4.0,19.0,1.0,,14.0,,8.0,,90.0,3.0,,60.0,45.0,1.0,8.0,3.0,0.7322,,1.0,,3.0,3.0,,,1.0,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,
18008,James Morrison,Midfielder,West Bromwich Albion U23,Scotland,2012-13,153.0,,4.4171,0.0,,,195.0,35.0,33.0,248.0,1346.0,,,37.0,3.0,,2849.0,21.0,120.0,9.0,104.0,1007.0,,,5.0,45.9422,60.0,5.0,15.0,48.0,332.0,,30.0,0.0,273.0,,391.0,176.0,35.0,,,690.0,39.0,236.0,16.0,0.0,,1331.0,507.0,2.0,,,350.0,91.0,273.0,1882.0,26.0,438.0,,4.0,53.0,44.0,11.0,,10.0,17.0,4.6418,54.0,42.0,81.0,30.0,7.0,13.0,30.0,,71.0,1.0,132.0,13.0,12.0,32.0,68.0,95.0,,25.0,25.0,42.0,20.0,,16.0,33.0,8.0,13.0,7.0,5.1603,13.0,7.0,1.0,12.0,12.0,,1.0,1.0,5.0,2.0,1.0,,5.0,2.0,9.0,3.0,,2.0,9.0,,15.0,3.0,29.0,2.0,46.0,3.0,1.0,1.0,
19151,Chris Brunt,Midfielder,West Bromwich Albion U23,Northern Ireland,2012-13,97.0,,5.8683,0.0,,,193.0,31.0,23.0,246.0,1156.0,,,33.0,4.0,,2179.0,19.0,81.0,7.0,67.0,834.0,,,4.0,35.7642,54.0,7.0,28.0,38.0,279.0,,9.0,0.0,178.0,,456.0,130.0,31.0,,,621.0,31.0,145.0,14.0,0.0,,1128.0,424.0,3.0,,,230.0,76.0,191.0,1604.0,22.0,344.0,,4.0,53.0,36.0,11.0,0.3458,14.0,11.0,1.9163,52.0,27.0,54.0,40.0,24.0,11.0,55.0,1.0,13.0,2.0,78.0,11.0,9.0,3.0,126.0,19.0,10.0,16.0,20.0,43.0,6.0,5.0,27.0,35.0,11.0,4.0,24.0,1.7254,1.0,3.0,3.0,5.0,5.0,,1.0,1.0,3.0,8.0,,,2.0,1.0,2.0,1.0,,,2.0,2.0,35.0,,63.0,1.0,99.0,1.0,,,
12765,Jerome Thomas,Midfielder,Port Vale,England,2012-13,19.0,,0.3957,0.0,,,18.0,10.0,4.0,21.0,127.0,,,4.0,,,402.0,3.0,23.0,,22.0,106.0,,,2.0,10.1208,7.0,1.0,,8.0,35.0,,9.0,0.0,42.0,,38.0,23.0,10.0,,,85.0,8.0,38.0,1.0,0.0,,126.0,64.0,,,,20.0,,34.0,217.0,1.0,26.0,,0.0,3.0,3.0,5.0,,1.0,,,8.0,2.0,3.0,22.0,2.0,,5.0,,7.0,,16.0,,2.0,3.0,22.0,10.0,,2.0,5.0,6.0,5.0,,5.0,6.0,3.0,3.0,2.0,0.076,3.0,,1.0,,,,,1.0,,6.0,,,,,,,,,,,,,,,1.0,,,,
79843,George Thorne,Midfielder,Oxford United,England,2012-13,12.0,,0.2688,0.0,,,22.0,5.0,3.0,27.0,130.0,,,10.0,,,230.0,6.0,17.0,1.0,13.0,97.0,,,1.0,4.3308,2.0,,13.0,6.0,28.0,,3.0,0.0,29.0,,49.0,14.0,5.0,,,62.0,5.0,19.0,4.0,0.0,,128.0,35.0,2.0,,,32.0,6.0,21.0,174.0,3.0,43.0,,0.0,5.0,6.0,2.0,,,,,8.0,1.0,6.0,,,,2.0,,,,6.0,,5.0,1.0,1.0,5.0,,1.0,,3.0,2.0,,1.0,1.0,,1.0,,0.031,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,1.0,,,,
20141,Graham Dorrans,Midfielder,Rangers,Scotland,2012-13,87.0,,2.6422,0.0,,,121.0,26.0,21.0,141.0,807.0,,,20.0,1.0,,1762.0,12.0,68.0,5.0,60.0,607.0,,,1.0,27.6591,28.0,3.0,8.0,28.0,161.0,,12.0,0.0,155.0,,249.0,112.0,26.0,,,420.0,23.0,135.0,8.0,0.0,,796.0,277.0,3.0,,,226.0,59.0,171.0,1126.0,10.0,263.0,,3.0,20.0,26.0,4.0,0.4653,15.0,10.0,2.6108,37.0,25.0,35.0,24.0,25.0,13.0,17.0,,16.0,2.0,75.0,13.0,8.0,15.0,50.0,46.0,13.0,15.0,10.0,29.0,11.0,7.0,12.0,22.0,11.0,15.0,25.0,2.5784,3.0,3.0,1.0,5.0,5.0,,1.0,1.0,3.0,5.0,,,1.0,1.0,2.0,0.0,,,2.0,,9.0,1.0,21.0,,32.0,1.0,1.0,1.0,
39895,Youssouf Mulumbu,Midfielder,Celtic,DR Congo,2012-13,170.0,,2.3529,1.0,,,183.0,28.0,28.0,219.0,1529.0,,,37.0,7.0,,2515.0,24.0,155.0,6.0,142.0,1212.0,,,3.0,35.5572,29.0,9.0,12.0,41.0,380.0,,47.0,2.0,325.0,,522.0,245.0,28.0,,,710.0,35.0,288.0,13.0,1.0,,1510.0,385.0,7.0,,,457.0,98.0,170.0,1982.0,29.0,602.0,,4.0,36.0,65.0,2.0,,15.0,5.0,2.1161,65.0,23.0,73.0,17.0,20.0,6.0,2.0,,41.0,,146.0,6.0,18.0,17.0,17.0,87.0,,18.0,10.0,47.0,30.0,,41.0,42.0,9.0,1.0,20.0,2.2306,6.0,4.0,,,,,,3.0,2.0,,,1.0,2.0,0.0,5.0,2.0,,,5.0,,,2.0,,,,,,,
18430,Zoltán Gera,Midfielder,West Bromwich Albion,Hungary,2012-13,91.0,,1.3736,0.0,,,86.0,16.0,14.0,108.0,512.0,,,47.0,1.0,,1129.0,23.0,86.0,5.0,62.0,390.0,,,2.0,12.4651,13.0,2.0,17.0,15.0,120.0,,17.0,2.0,177.0,,171.0,65.0,16.0,,,269.0,10.0,130.0,24.0,0.0,,506.0,204.0,1.0,,,123.0,14.0,98.0,757.0,12.0,147.0,,1.0,22.0,30.0,3.0,0.1739,3.0,8.0,3.2913,43.0,16.0,42.0,15.0,4.0,6.0,12.0,,20.0,,68.0,6.0,10.0,5.0,31.0,38.0,4.0,8.0,10.0,33.0,2.0,2.0,17.0,12.0,1.0,9.0,4.0,2.5673,,2.0,1.0,3.0,3.0,,1.0,2.0,1.0,2.0,,,4.0,1.0,1.0,3.0,,,1.0,2.0,9.0,2.0,10.0,,20.0,1.0,,,
98760,Kemar Roofe,Forward,Walsall,Jamaica,2012-13,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112516,Isaiah Brown,Midfielder,Preston North End,England,2012-13,1.0,,0.0003,0.0,,,1.0,1.0,,1.0,2.0,,,1.0,,,4.0,,1.0,,,1.0,,,,,,,,,1.0,,,0.0,2.0,,,,1.0,,,1.0,,1.0,1.0,0.0,,2.0,1.0,,,,1.0,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
26806,Markus Rosenberg,Forward,Malmö FF,Sweden,2012-13,69.0,,1.3787,0.0,,,36.0,24.0,5.0,37.0,134.0,,,33.0,,,539.0,25.0,31.0,1.0,23.0,91.0,,,1.0,9.1028,6.0,,2.0,12.0,34.0,,8.0,0.0,100.0,,35.0,16.0,24.0,,,68.0,11.0,67.0,8.0,0.0,,133.0,81.0,,,,40.0,6.0,25.0,242.0,2.0,30.0,,0.0,1.0,3.0,1.0,0.0752,7.0,6.0,0.5053,13.0,12.0,5.0,4.0,9.0,5.0,1.0,,22.0,,44.0,5.0,3.0,4.0,5.0,23.0,2.0,6.0,5.0,10.0,2.0,1.0,12.0,4.0,2.0,5.0,9.0,0.7863,1.0,1.0,7.0,6.0,6.0,,1.0,2.0,2.0,19.0,,,,,3.0,,,,3.0,,,,1.0,,1.0,1.0,,,
20452,Shane Long,Forward,Reading,Ireland,2012-13,209.0,,1.2417,0.0,,,154.0,34.0,25.0,161.0,531.0,,,151.0,,,2167.0,89.0,172.0,4.0,110.0,347.0,,,3.0,31.0631,23.0,,18.0,30.0,153.0,,59.0,2.0,381.0,,102.0,67.0,34.0,,,295.0,26.0,230.0,62.0,0.0,,531.0,327.0,5.0,,,123.0,23.0,153.0,915.0,5.0,82.0,,3.0,7.0,19.0,7.0,,4.0,20.0,11.6972,39.0,44.0,58.0,26.0,3.0,7.0,7.0,,95.0,,120.0,7.0,11.0,20.0,26.0,69.0,,24.0,14.0,28.0,12.0,,45.0,8.0,5.0,17.0,3.0,11.0667,2.0,3.0,21.0,17.0,17.0,,1.0,2.0,4.0,9.0,3.0,,8.0,4.0,3.0,4.0,,2.0,3.0,3.0,,3.0,,,,9.0,1.0,,
66749,Romelu Lukaku,Forward,Napoli,Belgium,2012-13,199.0,,2.0617,0.0,,,158.0,35.0,20.0,159.0,570.0,,,162.0,,,2003.0,94.0,116.0,9.0,48.0,405.0,,,3.0,34.191,32.0,,9.0,40.0,136.0,,10.0,8.0,315.0,,113.0,43.0,35.0,,,343.0,31.0,153.0,68.0,0.0,,570.0,344.0,2.0,,,153.0,6.0,168.0,937.0,1.0,75.0,,3.0,1.0,21.0,7.0,0.169,18.0,47.0,16.1705,7.0,79.0,49.0,52.0,11.0,8.0,7.0,,174.0,,105.0,8.0,1.0,28.0,52.0,75.0,5.0,32.0,35.0,6.0,31.0,3.0,22.0,3.0,1.0,13.0,11.0,15.1456,5.0,,42.0,50.0,50.0,,6.0,1.0,4.0,15.0,1.0,,17.0,7.0,22.0,10.0,,4.0,22.0,7.0,,5.0,,1.0,,12.0,3.0,2.0,1.0
26900,Peter Odemwingie,Forward,Rotherham United,Nigeria,2012-13,83.0,,1.5591,1.0,,,84.0,25.0,13.0,94.0,510.0,,,19.0,2.0,,1270.0,11.0,85.0,5.0,77.0,400.0,,,1.0,16.8551,22.0,1.0,7.0,19.0,98.0,,20.0,4.0,168.0,,121.0,86.0,25.0,,,289.0,14.0,149.0,8.0,1.0,,507.0,217.0,1.0,,,172.0,16.0,119.0,819.0,5.0,132.0,,1.0,10.0,19.0,5.0,0.1466,14.0,15.0,4.7878,27.0,37.0,51.0,35.0,18.0,14.0,5.0,,52.0,1.0,72.0,14.0,5.0,25.0,37.0,52.0,3.0,22.0,18.0,22.0,30.0,2.0,14.0,20.0,5.0,4.0,18.0,4.4001,6.0,2.0,8.0,6.0,6.0,,,1.0,3.0,12.0,,,5.0,0.0,8.0,5.0,,2.0,8.0,2.0,,1.0,1.0,,2.0,2.0,1.0,1.0,
14279,Marc-Antoine Fortuné,Forward,Southend United,France,2012-13,83.0,,0.2804,1.0,,,55.0,21.0,9.0,58.0,231.0,,,28.0,1.0,,818.0,17.0,65.0,5.0,54.0,171.0,,,1.0,13.2937,2.0,,2.0,13.0,37.0,,25.0,2.0,148.0,,68.0,45.0,21.0,,,111.0,8.0,120.0,11.0,1.0,,231.0,147.0,,,,76.0,2.0,50.0,408.0,4.0,65.0,,2.0,3.0,11.0,3.0,,4.0,7.0,4.132,18.0,10.0,13.0,18.0,3.0,3.0,3.0,,33.0,,66.0,3.0,1.0,18.0,18.0,45.0,,3.0,8.0,17.0,11.0,,18.0,4.0,,5.0,3.0,3.3767,2.0,1.0,7.0,6.0,6.0,,,1.0,2.0,12.0,,,2.0,2.0,4.0,0.0,,,4.0,,,2.0,,,,1.0,,,
151069,Adil Nabi,Forward,OFI,England,2012-13,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
