playerId,playerName,position,team_name,team_id,nationality,season,straightRedCards,totalRedCards,yellowCards,duelsLost,expectedAssists,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,successfulLayoffs,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,substituteOn,cornersTakenInclShortCorners,timePlayed,duelsWon,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,expectedGoalsOnTargetConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,attemptsFromSetPieces,leftsidePasses,totalFoulsConceded,unsuccessfulCornersIntoBox,backwardPasses,touches,throwInsToOwnPlayer,successfulPassesOwnHalf,foulAttemptedTackle,catches,savesMadeFromOutsideBox,starts,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,goalsConcededOutsideBox,punches,penaltyGoalsConceded,successfulLaunches,totalClearances,goalsConceded,savesMade,goalkeeperSmother,drops,crossesNotClaimed,goalsConcededInsideBox,aerialDuelsWon,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,interceptions,successfulLongPasses,unsuccessfulLaunches,savesMadeFromInsideBox,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,goalAssists,foulWonPenalty,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,aerialDuelsLost,keyPassesAttemptAssists,shotsBlockedInBox,iboxBlocked,substituteOff,expectedGoals,expectedGoalsFreekick,offsides,oboxBlocked,shotsOnTargetOutsideBox,penaltiesConceded,successfulCornersIntoBox,throwInsToOppositionPlayer,oboxTarget,freekickTotal,blocks,shotsBlockedOutsideBox,clearancesOffTheLine,hitWoodwork,handballsConceded,goals,ownGoalScored,leftFootGoals,headedGoals,setPiecesGoals,rightFootGoals,unsuccessfulLayoffs,penaltiesTaken,secondGoalAssists,penaltyGoals,otherGoals
112520,Alex Palmer,Goalkeeper,West Brom,35,England,2015-16,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106450,Alex Pritchard,Midfielder,West Brom,35,England,2015-16,0.0,0.0,0.0,7.0,0.0042,4.0,2.0,1.0,4.0,3.0,2.0,4.0,1.0,25.0,3.0,2.0,67.0,7.0,1.0,7.0,21.0,1.0,0.067,7.0,5.0,1.0,0.0,14.0,1.0,6.0,9.0,3.0,1.0,2.0,14.0,3.0,4.0,14.0,25.0,2.0,1.0,11.0,3.0,2.0,1.0,7.0,2.0,2.0,7.0,45.0,2.0,7.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39725,Anders Lindegaard,Goalkeeper,West Brom,35,Denmark,2015-16,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9089,Ben Foster,Goalkeeper,West Brom,35,England,2015-16,0.0,0.0,1.0,1.0,0.0289,,,,,15.0,,214.0,,369.0,,,1350.0,3.0,1.0,1.0,24.0,,15.0459,1.0,4.0,,,4.0,1.0,354.0,131.0,15.0,,,120.0,,,2.0,140.0,,,218.0,,,,11.0,,,,490.0,,35.0,,21.0,18.0,15.0,12.0,2.0,4.0,1.0,3.0,2.0,1.0,61.0,6.0,17.0,44.0,1.0,2.0,1.0,14.0,2.0,100.0,81.0,11.0,2.0,131.0,113.0,25.0,214.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12086,Boaz Myhill,Goalkeeper,West Brom,35,Wales,2015-16,0.0,0.0,2.0,1.0,0.0757,,,,,23.0,,350.0,,604.0,,,2070.0,7.0,,2.0,49.0,,28.1006,1.0,12.0,4.0,,8.0,,578.0,210.0,23.0,,,186.0,,,3.0,236.0,,,352.0,,,,14.0,,,,791.0,,68.0,,30.0,36.0,23.0,11.0,5.0,7.0,5.0,6.0,12.0,4.0,118.0,19.0,31.0,65.0,2.0,1.0,2.0,25.0,5.0,132.0,131.0,16.0,,205.0,174.0,29.0,350.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61538,Callum McManaman,Midfielder,West Brom,35,England,2015-16,0.0,0.0,2.0,17.0,0.4975,6.0,6.0,,8.0,12.0,,9.0,10.0,77.0,10.0,1.0,276.0,31.0,8.0,28.0,68.0,2.0,5.6151,16.0,26.0,8.0,,48.0,6.0,15.0,11.0,12.0,,5.0,55.0,11.0,,44.0,76.0,5.0,6.0,44.0,6.0,14.0,,21.0,2.0,1.0,15.0,163.0,,17.0,1.0,,,2.0,,4.0,,,,,2.0,,,5.0,,,,,5.0,3.0,,,,2.0,,1.0,,1.0,2.0,4.0,2.0,1.0,0.1428,1.0,2.0,4.0,1.0,1.0,1.0,7.0,2.0,2.0,2.0,0.5508,,,,,,,,,,,,,,,,,,,,,,,,,
19151,Chris Brunt,Midfielder,West Brom,35,Northern Ireland,2015-16,0.0,0.0,7.0,64.0,3.1219,28.0,14.0,2.0,82.0,22.0,3.0,188.0,39.0,622.0,2.0,50.0,1803.0,75.0,30.0,50.0,375.0,,22.2609,48.0,189.0,8.0,,139.0,20.0,326.0,94.0,22.0,6.0,1.0,281.0,75.0,,98.0,587.0,10.0,12.0,356.0,22.0,14.0,5.0,28.0,18.0,32.0,79.0,1120.0,101.0,180.0,15.0,,,20.0,,41.0,6.0,,4.0,,1.0,30.0,68.0,25.0,,,,,21.0,25.0,,,,37.0,59.0,74.0,,106.0,44.0,9.0,3.0,4.0,0.9352,3.0,,27.0,,,16.0,18.0,,,4.0,0.717,0.315,1.0,3.0,4.0,2.0,15.0,45.0,4.0,5.0,10.0,3.0,,,,,,,,,,,,,,
55829,Claudio Yacob,Midfielder,West Brom,35,Argentina,2015-16,0.0,0.0,8.0,188.0,0.5406,108.0,4.0,,166.0,34.0,4.0,236.0,6.0,1092.0,1.0,,2854.0,201.0,65.0,154.0,793.0,,32.5577,149.0,333.0,41.0,,389.0,49.0,372.0,202.0,34.0,36.0,1.0,441.0,6.0,,303.0,1070.0,4.0,2.0,290.0,72.0,9.0,,288.0,62.0,,99.0,1593.0,2.0,417.0,46.0,,,33.0,,86.0,10.0,,6.0,,3.0,15.0,66.0,36.0,,,,,30.0,47.0,,,,118.0,63.0,36.0,,70.0,72.0,2.0,5.0,,,1.0,,2.0,,,39.0,7.0,,,8.0,0.2218,,,5.0,,,,,,,15.0,5.0,1.0,1.0,2.0,,,,,,,,,,,
60232,Craig Dawson,Defender,West Brom,35,England,2015-16,0.0,0.0,3.0,164.0,2.5491,59.0,27.0,,246.0,38.0,4.0,421.0,102.0,1115.0,,,3385.0,212.0,87.0,93.0,613.0,,43.1465,91.0,53.0,28.0,,376.0,38.0,628.0,153.0,38.0,18.0,7.0,415.0,102.0,,184.0,1098.0,19.0,27.0,734.0,41.0,8.0,,324.0,28.0,,110.0,2244.0,323.0,307.0,17.0,,,38.0,,192.0,10.0,,9.0,,5.0,34.0,162.0,48.0,,,,,39.0,119.0,,,,86.0,81.0,126.0,,175.0,83.0,28.0,11.0,8.0,2.6064,,1.0,28.0,3.0,3.0,73.0,28.0,8.0,8.0,1.0,4.7602,,3.0,3.0,1.0,1.0,,115.0,1.0,,26.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,3.0,,,,,,,
28468,Craig Gardner,Midfielder,West Brom,35,England,2015-16,0.0,0.0,5.0,142.0,2.839,51.0,36.0,2.0,157.0,34.0,28.0,221.0,28.0,616.0,14.0,53.0,2033.0,118.0,55.0,85.0,369.0,2.0,26.937,97.0,124.0,28.0,,260.0,34.0,260.0,111.0,34.0,12.0,8.0,294.0,89.0,,182.0,584.0,24.0,23.0,397.0,39.0,7.0,8.0,132.0,38.0,39.0,100.0,1073.0,7.0,125.0,21.0,,,20.0,,78.0,2.0,,5.0,,3.0,5.0,24.0,30.0,,,,,25.0,33.0,,,,30.0,26.0,37.0,,64.0,45.0,8.0,10.0,12.0,4.0335,3.0,,24.0,5.0,5.0,45.0,21.0,3.0,3.0,11.0,4.3863,0.6598,8.0,7.0,4.0,,10.0,1.0,4.0,8.0,2.0,7.0,,2.0,4.0,3.0,,1.0,,1.0,2.0,1.0,1.0,,,
