playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,totalRedCards,catches,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,duelsWon,goalsConcededOutsideBox,penaltiesConceded,groundDuelsWon,successfulShortPasses,punches,penaltyGoalsConceded,ownGoalScored,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,successfulDribbles,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,totalFoulsConceded,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,totalTackles,totalShots,throughBalls,goalAssists,successfulLayoffs,foulWonPenalty,unsuccessfulCrossesOpenPlay,goals,awayGoals,substituteOn,cornersTakenInclShortCorners,successfulCrossesAndCorners,aerialDuelsLost,totalTouchesInOppositionBox,throwInsToOppositionPlayer,homeGoals,tacklesLost,lastPlayerTackle,unsuccessfulDribbles,headedGoals,unsuccessfulCrossesAndCorners,timesTackled,shotsOffTargetIncWoodwork,cornersWon,tacklesWon,blocks,attemptsFromSetPieces,interceptions,backwardPasses,throwInsToOwnPlayer,substituteOff,offsides,overruns,handballsConceded,unsuccessfulLayoffs,rightFootGoals,unsuccessfulCornersIntoBox,clearancesOffTheLine,leftFootGoals,hitWoodwork,successfulCornersIntoBox,setPiecesGoals,penaltiesTaken,penaltyGoals,redCards2ndYellow
17601,Scott Carson,Goalkeeper,Manchester City,43,England,2010-11,4.0,0.0,33.0,41.0,8.0,32.0,32.0,470.0,916.0,315.0,22.0,2.0,2.0,4.0,2880.0,8.0,9.0,1.0,6.0,152.0,19.0,4.0,1.0,1.0,101.0,29.0,58.0,4.0,66.0,88.0,4.0,0.0,12.0,1.0,800.0,318.0,32.0,2.0,3.0,224.0,49.0,10.0,2.0,0.0,262.0,396.0,478.0,1.0,160.0,25.0,50.0,2.0,294.0,1190.0,196.0,222.0,47.0,1.0,462.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12086,Boaz Myhill,Goalkeeper,West Bromwich Albion U23,7595,Wales,2010-11,,0.0,3.0,4.0,3.0,6.0,6.0,74.0,125.0,52.0,1.0,,,2.0,540.0,1.0,5.0,,1.0,14.0,4.0,2.0,,,18.0,8.0,13.0,,5.0,18.0,,0.0,1.0,,115.0,38.0,6.0,,,27.0,8.0,1.0,,0.0,46.0,54.0,76.0,1.0,30.0,9.0,5.0,,37.0,181.0,31.0,24.0,14.0,0.0,71.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1369,Dean Kiely,Goalkeeper,West Bromwich Albion,35,Ireland,2010-11,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3332,Steven Reid,Defender,Burnley,90,Ireland,2010-11,57.0,0.0,,,72.0,23.0,13.0,120.0,542.0,,,37.0,1.0,,1274.0,86.0,3.0,1.0,64.0,379.0,,3.0,,10.0,4.0,61.0,25.0,42.0,40.0,,21.0,0.0,143.0,,250.0,60.0,23.0,,,205.0,22.0,106.0,22.0,0.0,,527.0,192.0,8.0,,,184.0,19.0,43.0,922.0,36.0,223.0,,3.0,48.0,27.0,6.0,3.0,2.0,35.0,6.0,1.0,5.0,3.0,1.0,14.0,1.0,0.0,10.0,1.0,6.0,15.0,15.0,38.0,1.0,9.0,1.0,4.0,1.0,14.0,10.0,4.0,2.0,26.0,8.0,1.0,27.0,68.0,99.0,2.0,,,,,,,,,,,,,,
39253,Jonas Olsson,Defender,Wigan Athletic,111,Sweden,2010-11,74.0,0.0,,,97.0,24.0,24.0,161.0,716.0,,,109.0,2.0,,2125.0,108.0,9.0,,40.0,497.0,,2.0,1.0,5.0,16.0,229.0,39.0,33.0,165.0,,13.0,0.0,182.0,,394.0,72.0,24.0,,,185.0,30.0,73.0,68.0,0.0,,695.0,179.0,1.0,,,130.0,19.0,58.0,1091.0,53.0,371.0,,2.0,64.0,44.0,1.0,2.0,9.0,26.0,18.0,,3.0,1.0,,3.0,1.0,0.0,,,1.0,41.0,32.0,,1.0,10.0,,2.0,1.0,3.0,7.0,9.0,4.0,16.0,23.0,,26.0,27.0,3.0,1.0,1.0,,,,,,,,,,,,,
18639,Marek Cech,Defender,Trabzonspor,383,Slovakia,2010-11,54.0,0.0,,,92.0,15.0,14.0,126.0,540.0,,,26.0,1.0,,1219.0,65.0,7.0,,52.0,389.0,,3.0,,9.0,7.0,32.0,29.0,41.0,163.0,,12.0,0.0,119.0,,281.0,72.0,15.0,,,238.0,22.0,93.0,13.0,0.0,,521.0,206.0,7.0,,,28.0,13.0,25.0,873.0,37.0,182.0,,1.0,34.0,49.0,6.0,2.0,1.0,33.0,7.0,2.0,1.0,5.0,,22.0,,,1.0,,6.0,13.0,10.0,18.0,,11.0,,4.0,,23.0,19.0,6.0,3.0,22.0,1.0,,25.0,68.0,106.0,2.0,1.0,2.0,1.0,,,,,,,,,,,
15935,Pablo Ibáñez,Defender,West Bromwich Albion,35,Spain,2010-11,25.0,1.0,,,30.0,10.0,8.0,40.0,182.0,,,28.0,,,702.0,32.0,3.0,1.0,18.0,129.0,,3.0,,4.0,2.0,75.0,18.0,11.0,40.0,,2.0,0.0,57.0,,86.0,16.0,10.0,,,24.0,15.0,29.0,14.0,1.0,,176.0,43.0,1.0,,,47.0,7.0,13.0,318.0,17.0,118.0,,1.0,10.0,14.0,,,2.0,15.0,8.0,,,,,,1.0,1.0,2.0,,,14.0,11.0,,0.0,5.0,1.0,,1.0,,,6.0,,10.0,4.0,,20.0,9.0,1.0,1.0,,,,,,,,,,,,,,
37269,Gonzalo Jara,Defender,West Bromwich Albion,35,Chile,2010-11,109.0,1.0,,,175.0,29.0,24.0,253.0,1069.0,,,38.0,1.0,,2107.0,113.0,11.0,,102.0,703.0,,3.0,,22.0,17.0,66.0,46.0,82.0,41.0,,10.0,0.0,222.0,,510.0,179.0,29.0,,,394.0,35.0,184.0,11.0,1.0,,1041.0,354.0,16.0,,,422.0,28.0,113.0,1663.0,60.0,424.0,,6.0,78.0,88.0,2.0,2.0,3.0,76.0,6.0,5.0,,3.0,,17.0,1.0,1.0,5.0,,2.0,27.0,11.0,21.0,0.0,16.0,1.0,10.0,,17.0,33.0,3.0,4.0,60.0,6.0,,62.0,96.0,200.0,6.0,,4.0,1.0,1.0,1.0,,,,,,,,,
5750,Nicky Shorey,Defender,Colchester United,99,England,2010-11,49.0,0.0,,,183.0,28.0,25.0,253.0,1130.0,,,18.0,1.0,,2311.0,64.0,7.0,,58.0,800.0,,3.0,1.0,35.0,19.0,57.0,46.0,37.0,405.0,,8.0,0.0,113.0,,561.0,155.0,28.0,,,465.0,39.0,95.0,6.0,0.0,,1104.0,401.0,15.0,,,64.0,8.0,77.0,1702.0,55.0,422.0,,1.0,70.0,61.0,10.0,2.0,1.0,35.0,3.0,2.0,1.0,3.0,,44.0,,,3.0,5.0,10.0,12.0,6.0,48.0,,10.0,,6.0,,50.0,23.0,2.0,7.0,25.0,12.0,4.0,32.0,100.0,215.0,,1.0,5.0,2.0,2.0,,3.0,3.0,,,,,,,
39233,Gianni Zuiverloon,Defender,West Bromwich Albion,35,Netherlands,2010-11,7.0,0.0,,,,2.0,1.0,3.0,39.0,,,8.0,,,116.0,11.0,1.0,,8.0,35.0,,,,,1.0,10.0,4.0,2.0,8.0,,,0.0,18.0,,17.0,5.0,2.0,,,10.0,3.0,10.0,3.0,0.0,,38.0,5.0,,,,10.0,2.0,1.0,64.0,1.0,26.0,,0.0,3.0,,,1.0,,8.0,,,,2.0,,,,,1.0,,,5.0,,,,1.0,,,,,,,,7.0,1.0,,3.0,4.0,,,,,,,,,,,,,,,,
6251,Abdoulaye Méité,Defender,Newport County,437,Cote d’Ivoire,2010-11,29.0,0.0,,,28.0,10.0,10.0,37.0,200.0,,,31.0,,,855.0,27.0,4.0,,14.0,150.0,,,1.0,,7.0,88.0,18.0,11.0,32.0,,2.0,0.0,56.0,,99.0,24.0,10.0,,,31.0,14.0,25.0,13.0,0.0,,195.0,44.0,2.0,,,41.0,5.0,13.0,347.0,10.0,132.0,,2.0,9.0,19.0,,,,10.0,,,,,,,,,,,,18.0,,,,1.0,1.0,1.0,,,3.0,,,9.0,7.0,,16.0,28.0,1.0,1.0,,,1.0,,,,1.0,,,,,,,
76358,James Hurst,Defender,Buxton,3145,England,2010-11,5.0,0.0,,,8.0,1.0,1.0,13.0,40.0,,,1.0,,,90.0,8.0,1.0,,7.0,25.0,,,,2.0,1.0,9.0,3.0,5.0,2.0,,,0.0,13.0,,26.0,4.0,1.0,,,19.0,2.0,12.0,1.0,0.0,,39.0,21.0,,,,12.0,1.0,2.0,77.0,7.0,9.0,,0.0,5.0,5.0,1.0,,,7.0,2.0,,,,,1.0,,,,,1.0,,,3.0,,3.0,1.0,1.0,,1.0,3.0,2.0,,4.0,,,2.0,,8.0,,,,,,,,,,,,,,,
27348,Gabriel Tamas,Defender,FCSB,265,Romania,2010-11,76.0,1.0,,,81.0,26.0,22.0,163.0,777.0,,,61.0,2.0,,2037.0,91.0,7.0,1.0,61.0,521.0,,4.0,1.0,8.0,21.0,153.0,38.0,45.0,209.0,,13.0,0.0,167.0,,338.0,88.0,26.0,,,186.0,31.0,106.0,30.0,1.0,,758.0,203.0,6.0,,,161.0,24.0,93.0,1147.0,65.0,429.0,,4.0,82.0,39.0,1.0,7.0,1.0,42.0,12.0,4.0,,1.0,,9.0,,,4.0,,1.0,31.0,22.0,3.0,,10.0,2.0,3.0,,9.0,9.0,11.0,3.0,32.0,21.0,1.0,41.0,69.0,8.0,,,1.0,,,,,2.0,,,,,,,
57069,Somen Tchoyi,Midfielder,West Bromwich Albion,35,Cameroon,2010-11,92.0,0.0,,,57.0,23.0,7.0,65.0,239.0,,,20.0,,,814.0,55.0,1.0,,45.0,160.0,,1.0,,14.0,,6.0,20.0,82.0,44.0,,13.0,0.0,147.0,,76.0,44.0,23.0,,,137.0,19.0,127.0,10.0,0.0,,238.0,212.0,23.0,,,58.0,23.0,14.0,492.0,4.0,41.0,,0.0,8.0,10.0,4.0,7.0,13.0,9.0,20.0,4.0,1.0,7.0,,39.0,6.0,5.0,16.0,1.0,4.0,10.0,52.0,1.0,1.0,2.0,,27.0,1.0,39.0,55.0,7.0,22.0,7.0,1.0,,8.0,61.0,2.0,1.0,5.0,11.0,,1.0,4.0,,,1.0,1.0,,,,,
18008,James Morrison,Midfielder,West Bromwich Albion U23,7595,Scotland,2010-11,154.0,1.0,,,151.0,31.0,26.0,186.0,977.0,,,33.0,1.0,,2281.0,95.0,8.0,,87.0,708.0,,4.0,,39.0,3.0,20.0,49.0,129.0,252.0,,18.0,2.0,249.0,,306.0,121.0,31.0,,,540.0,41.0,216.0,8.0,1.0,,965.0,358.0,21.0,,,260.0,20.0,83.0,1423.0,21.0,264.0,,2.0,35.0,36.0,11.0,9.0,14.0,48.0,47.0,12.0,3.0,58.0,,24.0,4.0,1.0,5.0,14.0,13.0,25.0,52.0,3.0,3.0,14.0,,29.0,1.0,34.0,84.0,33.0,11.0,34.0,5.0,1.0,45.0,159.0,11.0,14.0,3.0,4.0,2.0,1.0,2.0,8.0,,1.0,,2.0,,,,
20568,Giles Barnes,Midfielder,West Bromwich Albion,35,Jamaica,2010-11,24.0,0.0,,,17.0,14.0,1.0,20.0,75.0,,,16.0,,,307.0,25.0,,,18.0,53.0,,1.0,,10.0,,4.0,6.0,15.0,6.0,,9.0,0.0,49.0,,24.0,12.0,14.0,,,44.0,6.0,33.0,7.0,0.0,,74.0,68.0,6.0,,,23.0,2.0,2.0,173.0,2.0,23.0,,0.0,3.0,5.0,10.0,1.0,3.0,3.0,4.0,,,3.0,,20.0,,,13.0,5.0,12.0,9.0,8.0,1.0,,1.0,,7.0,,22.0,13.0,1.0,3.0,2.0,1.0,,3.0,22.0,5.0,1.0,,2.0,,,,2.0,,,,2.0,,,,
