playerId,playerName,position,team,nationality,season,duelsLost,penaltiesSaved,expectedAssists,totalRedCards,catches,totalTackles,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goalKicks,savesMadeCaught,cleanSheets,penaltiesFaced,timePlayed,duelsWon,goalsConcededOutsideBox,penaltiesConceded,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,savesFromPenalty,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,groundDuels,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,tacklesWon,successfulDribbles,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,touches,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,aerialDuels,tacklesLost,aerialDuelsWon,substituteOn,successfulCrossesOpenPlay,expectedGoalsFreekick,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalShots,throughBalls,successfulLayoffs,oboxBlocked,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,aerialDuelsLost,totalTouchesInOppositionBox,throwInsToOppositionPlayer,keyPassesAttemptAssists,shotsBlockedInBox,putthroughBlockedDistributionWon,oboxTarget,timesTackled,freekickTotal,iboxBlocked,shotsOffTargetIncWoodwork,cornersWon,blocks,attemptsFromSetPieces,backwardPasses,throwInsToOwnPlayer,shotsBlockedOutsideBox,expectedGoals,overruns,goals,offsides,awayGoals,ownGoalScored,homeGoals,leftFootGoals,unsuccessfulDribbles,hitWoodwork,goalAssists,headedGoals,unsuccessfulLayoffs,lastPlayerTackle,foulWonPenalty,successfulCornersIntoBox,rightFootGoals,unsuccessfulCornersIntoBox,handballsConceded,cornersTakenInclShortCorners,penaltiesTaken,penaltyGoals,secondGoalAssists
19272,Gareth McAuley,Defender,Rangers,Northern Ireland,2013-14,118.0,,0.4919,0.0,,41.0,,129.0,32.0,32.0,199.0,1.0,910.0,,,6.0,,2860.0,201.0,9.0,,17.0,75.0,656.0,,,4.0,44.3789,17.0,248.0,49.0,52.0,125.0,,30.0,0.0,319.0,,448.0,144.0,32.0,,,179.0,40.0,1.0,127.0,0.0,,889.0,235.0,28.0,10.0,,,274.0,21.0,58.0,55.0,1414.0,2.0,70.0,533.0,4.0,,4.0,70.0,42.0,192.0,13.0,126.0,,1.0,,2.0,7.0,0.9109,17.0,,2.0,,,1.0,5.0,5.0,66.0,43.0,,6.0,2.0,7.0,,20.0,,2.0,10.0,3.0,23.0,,63.0,7.0,,2.1984,2.0,2.0,3.0,1.0,1.0,1.0,,5.0,,,2.0,1.0,1.0,,,,,,,,,
60232,Craig Dawson,Defender,Wolverhampton Wanderers,England,2013-14,30.0,,0.3515,0.0,,21.0,,41.0,12.0,10.0,63.0,7.0,263.0,,,1.0,,950.0,52.0,3.0,1.0,8.0,26.0,187.0,,,1.0,14.6763,4.0,69.0,17.0,17.0,54.0,,6.0,0.0,82.0,,109.0,53.0,12.0,,,68.0,14.0,7.0,43.0,0.0,,261.0,87.0,16.0,,,,72.0,10.0,32.0,13.0,479.0,1.0,18.0,133.0,3.0,,1.0,22.0,26.0,39.0,5.0,26.0,2.0,1.0,,3.0,1.0,,11.0,,3.0,1.0,,1.0,1.0,1.0,13.0,21.0,9.0,2.0,2.0,4.0,,2.0,,2.0,10.0,3.0,13.0,,28.0,21.0,1.0,1.4939,,,1.0,,,,,,,2.0,,,,,,,,,,,,
11467,Billy Jones,Defender,Crewe Alexandra,England,2013-14,74.0,,0.9827,0.0,,42.0,,93.0,21.0,21.0,125.0,36.0,676.0,,,4.0,,1740.0,112.0,7.0,,30.0,78.0,523.0,,,2.0,22.083,10.0,74.0,27.0,51.0,28.0,,17.0,0.0,186.0,,285.0,71.0,21.0,,,316.0,20.0,36.0,129.0,0.0,,658.0,241.0,36.0,22.0,,,257.0,17.0,26.0,28.0,1189.0,3.0,32.0,245.0,6.0,,5.0,32.0,28.0,57.0,6.0,34.0,,10.0,,5.0,6.0,0.8632,8.0,,11.0,1.0,3.0,10.0,3.0,3.0,23.0,32.0,37.0,8.0,4.0,15.0,3.0,25.0,,4.0,2.0,16.0,11.0,,106.0,140.0,1.0,0.8516,3.0,,2.0,,,,,14.0,,,,,,1.0,,,,,,,,
55829,Claudio Yacob,Midfielder,Nottingham Forest,Argentina,2013-14,134.0,,0.6216,0.0,,102.0,,107.0,27.0,22.0,122.0,2.0,951.0,,,3.0,,1843.0,160.0,5.0,1.0,35.0,133.0,777.0,,,5.0,30.1716,7.0,50.0,34.0,100.0,285.0,,24.0,0.0,294.0,,319.0,154.0,27.0,,,406.0,29.0,2.0,233.0,0.0,,932.0,159.0,84.0,9.0,,,267.0,39.0,46.0,52.0,1279.0,8.0,16.0,423.0,15.0,,7.0,15.0,38.0,61.0,18.0,27.0,5.0,,,,4.0,0.749,11.0,,23.0,,1.0,,2.0,2.0,34.0,15.0,,9.0,,26.0,1.0,19.0,,,7.0,1.0,11.0,,80.0,,,0.9796,,1.0,,0.0,,1.0,,1.0,,,1.0,,,,,,,,,,,
18008,James Morrison,Midfielder,West Bromwich Albion U23,Scotland,2013-14,140.0,,2.3935,0.0,,82.0,,166.0,32.0,23.0,205.0,22.0,1204.0,,,3.0,,2209.0,141.0,7.0,,47.0,125.0,913.0,,,4.0,34.1369,5.0,28.0,39.0,106.0,344.0,,18.0,0.0,281.0,,383.0,151.0,32.0,,,652.0,32.0,27.0,231.0,0.0,,1181.0,325.0,59.0,25.0,,,282.0,27.0,39.0,86.0,1647.0,4.0,24.0,359.0,15.0,,1.0,39.0,43.0,50.0,23.0,16.0,9.0,8.0,0.2033,13.0,11.0,2.8191,34.0,10.0,56.0,9.0,7.0,12.0,3.0,3.0,34.0,47.0,,31.0,4.0,33.0,7.0,46.0,3.0,4.0,23.0,13.0,5.0,3.0,195.0,13.0,9.0,3.5855,5.0,1.0,2.0,1.0,,0.0,,8.0,,3.0,,,,,3.0,1.0,5.0,2.0,9.0,1.0,1.0,
19688,Scott Sinclair,Midfielder,Bristol Rovers,England,2013-14,15.0,,0.2729,0.0,,2.0,,13.0,8.0,4.0,13.0,1.0,77.0,,,,,301.0,11.0,,,2.0,8.0,64.0,,,1.0,1.9473,,1.0,3.0,14.0,26.0,,5.0,0.0,26.0,,10.0,18.0,8.0,,,46.0,3.0,3.0,22.0,0.0,,77.0,34.0,2.0,3.0,,,12.0,,,,121.0,4.0,,21.0,,,0.0,,2.0,4.0,,3.0,4.0,1.0,,,2.0,0.817,5.0,,5.0,,,3.0,2.0,2.0,1.0,5.0,,4.0,,,,12.0,,,3.0,,,,29.0,,,0.8731,,,,,,,,2.0,,,,,,,1.0,,,,1.0,,,
19151,Chris Brunt,Midfielder,West Bromwich Albion U23,Northern Ireland,2013-14,118.0,,5.224,0.0,,43.0,,212.0,28.0,25.0,283.0,76.0,1022.0,,,3.0,,2243.0,105.0,7.0,,40.0,63.0,664.0,,,4.0,35.0424,20.0,41.0,43.0,72.0,314.0,,10.0,0.0,223.0,,437.0,109.0,28.0,,,501.0,36.0,139.0,135.0,0.0,,986.0,491.0,31.0,12.0,,,132.0,26.0,51.0,75.0,1586.0,2.0,63.0,292.0,12.0,,7.0,71.0,42.0,88.0,12.0,42.0,3.0,16.0,0.5792,10.0,10.0,2.4096,39.0,4.0,26.0,7.0,4.0,54.0,3.0,3.0,46.0,28.0,17.0,36.0,3.0,25.0,4.0,21.0,11.0,3.0,29.0,24.0,7.0,11.0,139.0,42.0,7.0,2.4084,1.0,3.0,5.0,2.0,,1.0,3.0,2.0,,5.0,,3.0,,,31.0,,44.0,1.0,76.0,,,
20141,Graham Dorrans,Midfielder,Rangers,Scotland,2013-14,60.0,,2.1616,0.0,,27.0,,63.0,14.0,12.0,83.0,14.0,486.0,,,2.0,,1106.0,55.0,3.0,,20.0,48.0,376.0,,,1.0,19.0381,3.0,7.0,18.0,53.0,128.0,,12.0,0.0,115.0,,179.0,67.0,14.0,,,293.0,15.0,61.0,101.0,0.0,,478.0,181.0,20.0,9.0,,,99.0,10.0,18.0,27.0,724.0,3.0,8.0,131.0,7.0,,4.0,20.0,12.0,14.0,7.0,7.0,2.0,2.0,0.2535,4.0,7.0,1.4275,14.0,3.0,16.0,4.0,3.0,21.0,2.0,2.0,7.0,15.0,,32.0,,11.0,3.0,24.0,4.0,,7.0,3.0,2.0,4.0,80.0,6.0,4.0,1.2821,2.0,2.0,,1.0,,1.0,1.0,6.0,,,,,,,16.0,1.0,27.0,,43.0,,,
37962,Morgan Amalfitano,Midfielder,Rennes,France,2013-14,169.0,,4.5454,0.0,,38.0,,129.0,28.0,26.0,153.0,91.0,712.0,,,5.0,,2151.0,110.0,8.0,1.0,59.0,106.0,542.0,,,2.0,26.7147,5.0,17.0,33.0,142.0,98.0,,27.0,1.0,279.0,,229.0,118.0,28.0,,,397.0,25.0,132.0,248.0,0.0,,695.0,445.0,25.0,42.0,,,222.0,34.0,31.0,17.0,1309.0,15.0,25.0,208.0,6.0,,3.0,24.0,26.0,31.0,13.0,4.0,2.0,29.0,0.0741,5.0,12.0,4.3107,22.0,4.0,49.0,,4.0,46.0,4.0,4.0,27.0,59.0,6.0,42.0,5.0,30.0,4.0,97.0,1.0,5.0,10.0,32.0,2.0,1.0,163.0,23.0,,2.4257,15.0,4.0,11.0,2.0,,2.0,,47.0,1.0,3.0,,2.0,,,13.0,4.0,35.0,,54.0,,,1.0
39895,Youssouf Mulumbu,Midfielder,Celtic,DR Congo,2013-14,229.0,,1.3727,0.0,,87.0,,244.0,37.0,33.0,296.0,16.0,1947.0,,,7.0,,3079.0,202.0,10.0,1.0,90.0,171.0,1523.0,,,4.0,45.2268,12.0,29.0,51.0,185.0,529.0,,41.0,1.0,431.0,,636.0,380.0,37.0,,,876.0,41.0,16.0,356.0,0.0,,1923.0,463.0,73.0,47.0,,,607.0,56.0,115.0,128.0,2590.0,3.0,38.0,778.0,22.0,,7.0,52.0,93.0,75.0,14.0,31.0,4.0,3.0,,18.0,6.0,1.0775,18.0,5.0,42.0,14.0,3.0,3.0,1.0,1.0,44.0,25.0,,18.0,4.0,54.0,3.0,97.0,,4.0,12.0,11.0,11.0,,175.0,10.0,14.0,1.5691,4.0,2.0,,2.0,,0.0,,14.0,1.0,2.0,,3.0,,,,2.0,,4.0,,,,
18430,Zoltán Gera,Midfielder,West Bromwich Albion,Hungary,2013-14,38.0,,0.8907,0.0,,12.0,,55.0,14.0,5.0,59.0,10.0,239.0,,,,,483.0,36.0,1.0,,13.0,22.0,168.0,,,1.0,9.2608,1.0,4.0,10.0,26.0,42.0,,8.0,0.0,74.0,,69.0,26.0,14.0,,,133.0,9.0,11.0,48.0,0.0,,235.0,96.0,11.0,4.0,,,92.0,7.0,3.0,12.0,339.0,4.0,1.0,51.0,2.0,,1.0,4.0,16.0,26.0,1.0,14.0,9.0,2.0,,2.0,4.0,0.9131,8.0,2.0,16.0,1.0,1.0,4.0,3.0,3.0,12.0,17.0,1.0,8.0,1.0,6.0,1.0,14.0,,1.0,4.0,4.0,3.0,,36.0,3.0,1.0,1.0098,,,,,,,,3.0,,1.0,,,,,1.0,,1.0,1.0,2.0,,,
34392,Stéphane Sessegnon,Midfielder,West Bromwich Albion,Benin,2013-14,161.0,,0.0917,0.0,,26.0,,105.0,28.0,25.0,113.0,17.0,851.0,,,2.0,,2078.0,132.0,8.0,,33.0,116.0,703.0,,,,0.6498,,2.0,32.0,122.0,336.0,,42.0,1.0,293.0,,183.0,98.0,28.0,,,556.0,24.0,17.0,238.0,0.0,,830.0,308.0,18.0,49.0,,,137.0,20.0,5.0,35.0,1269.0,15.0,1.0,187.0,3.0,,0.0,8.0,12.0,55.0,8.0,16.0,3.0,5.0,,18.0,13.0,,36.0,5.0,74.0,,,5.0,,,39.0,94.0,2.0,42.0,,19.0,,100.0,,,23.0,18.0,1.0,,195.0,4.0,,0.0298,17.0,5.0,8.0,2.0,,3.0,2.0,47.0,,1.0,,3.0,,,,3.0,,2.0,1.0,,,
98760,Kemar Roofe,Forward,Walsall,Jamaica,2013-14,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28593,Victor Anichebe,Forward,Sunderland,Nigeria,2013-14,109.0,,1.1826,0.0,,10.0,,121.0,25.0,11.0,121.0,20.0,379.0,,,,,1216.0,96.0,4.0,,18.0,42.0,251.0,,,4.0,22.4592,,7.0,25.0,59.0,86.0,,29.0,0.0,205.0,,99.0,22.0,25.0,,,225.0,21.0,20.0,101.0,0.0,,361.0,214.0,10.0,7.0,,,91.0,19.0,4.0,7.0,597.0,7.0,,39.0,2.0,,3.0,,10.0,104.0,,54.0,14.0,6.0,,13.0,11.0,2.4223,26.0,1.0,34.0,2.0,,6.0,8.0,8.0,50.0,105.0,,22.0,11.0,12.0,,41.0,,11.0,15.0,10.0,1.0,,103.0,,2.0,3.2464,2.0,3.0,8.0,0.0,,3.0,,4.0,,3.0,1.0,10.0,,,,2.0,,,,,,1.0
91972,Saido Berahino,Forward,Sheffield Wednesday,Burundi,2013-14,111.0,,2.0914,0.0,,16.0,,71.0,32.0,11.0,76.0,30.0,521.0,,,,,1405.0,60.0,4.0,,27.0,50.0,426.0,,,1.0,20.2439,2.0,9.0,22.0,87.0,143.0,,17.0,4.0,171.0,,94.0,80.0,32.0,,,334.0,18.0,30.0,137.0,0.0,,511.0,220.0,15.0,18.0,,,121.0,19.0,8.0,19.0,832.0,6.0,6.0,116.0,2.0,,0.0,5.0,12.0,34.0,1.0,10.0,21.0,5.0,0.1695,16.0,17.0,5.7764,41.0,2.0,41.0,10.0,4.0,5.0,8.0,8.0,24.0,72.0,1.0,18.0,6.0,14.0,4.0,61.0,2.0,6.0,24.0,16.0,,2.0,163.0,5.0,10.0,4.6739,5.0,5.0,11.0,2.0,,3.0,4.0,14.0,1.0,1.0,,3.0,,,,1.0,,1.0,,1.0,1.0,
81183,Matej Vydra,Forward,Viktoria Plzen,Czech Republic,2013-14,51.0,,1.0574,0.0,,4.0,,44.0,23.0,7.0,45.0,6.0,143.0,,,,,667.0,27.0,3.0,,4.0,23.0,98.0,,,1.0,11.6873,,1.0,12.0,31.0,55.0,,15.0,0.0,78.0,,36.0,11.0,23.0,,,83.0,9.0,6.0,54.0,0.0,,131.0,104.0,1.0,4.0,,,23.0,1.0,3.0,,248.0,7.0,,16.0,,,0.0,1.0,1.0,24.0,3.0,4.0,16.0,1.0,,2.0,7.0,2.6346,9.0,1.0,18.0,,,1.0,4.0,4.0,20.0,37.0,,6.0,2.0,2.0,,27.0,,2.0,2.0,6.0,,,29.0,,,2.0306,2.0,3.0,5.0,0.0,,3.0,,7.0,,3.0,,1.0,,1.0,,3.0,,,1.0,,,
95461,Thievy Bifouma,Forward,Persepolis FC,Congo,2013-14,41.0,,0.2024,0.0,,4.0,,19.0,6.0,3.0,19.0,4.0,83.0,,,,,252.0,20.0,,,9.0,16.0,64.0,,,1.0,5.2927,,,6.0,25.0,16.0,,5.0,0.0,61.0,,19.0,14.0,6.0,,,46.0,6.0,4.0,41.0,0.0,,81.0,53.0,4.0,7.0,,,20.0,6.0,,,147.0,3.0,,18.0,3.0,,0.0,,2.0,20.0,,4.0,3.0,,,2.0,3.0,0.521,3.0,,7.0,,1.0,,,,16.0,18.0,,4.0,2.0,5.0,1.0,16.0,,2.0,,3.0,,,28.0,,,0.4582,,2.0,1.0,1.0,,1.0,2.0,3.0,,,,,,,,,,,,,,
