playerId,playerName,position,team_name,team_id,nationality,season,straightRedCards,totalRedCards,yellowCards,duelsLost,successfulCrossesOpenPlay,expectedAssists,blockedShots,overruns,totalTackles,totalShots,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,offsides,oboxBlocked,substituteOn,aerialDuels,cleanSheets,successfulCrossesAndCorners,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,aerialDuelsWon,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,clearancesOffTheLine,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,penaltiesConceded,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,penaltiesSaved,savesFromPenalty,shotsOnTargetIncGoals,expectedGoalsOnTarget,throughBalls,goals,awayGoals,shotsOnTargetOutsideBox,iboxTarget,shotsOnTargetInBox,unsuccessfulLayoffs,shotsBlockedInBox,homeGoals,oboxTarget,rightFootGoals,headedGoals,iboxBlocked,cornersTakenInclShortCorners,successfulCornersIntoBox,unsuccessfulCornersIntoBox,leftFootGoals,freekickTotal,attemptsFromSetPieces,hitWoodwork,secondGoalAssists,expectedGoalsFreekick,lastPlayerTackle,penaltiesTaken,foulWonPenalty,penaltyGoals
151069,Adil Nabi,Forward,West Brom,35,England,2014-15,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112520,Alex Palmer,Goalkeeper,West Brom,35,England,2014-15,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89088,Andre Wisdom,Defender,West Brom,35,England,2014-15,0.0,0.0,1.0,58.0,10.0,0.6558,1.0,4.0,26.0,2.0,135.0,24.0,1.0,4.0,22.0,188.0,38.0,888.0,2.0,1.0,2.0,32.0,8.0,10.0,1971.0,14.0,63.0,6.0,60.0,45.0,663.0,17.0,49.0,3.0,28.3042,8.0,14.0,67.0,29.0,44.0,95.0,6.0,0.0,121.0,17.0,398.0,131.0,24.0,6.0,3.0,378.0,23.0,38.0,22.0,89.0,18.0,877.0,2.0,8.0,313.0,20.0,13.0,6.0,260.0,13.0,30.0,1.0,37.0,135.0,1395.0,180.0,1.0,1.0,39.0,332.0,6.0,1.0,0.3589,53.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9089,Ben Foster,Goalkeeper,West Brom,35,England,2014-15,0.0,0.0,2.0,4.0,,0.0681,,,,,1.0,28.0,,,28.0,509.0,,859.0,,,,7.0,11.0,,2486.0,1.0,7.0,5.0,1.0,1.0,110.0,,,5.0,34.7606,,144.0,17.0,34.0,3.0,40.0,2.0,0.0,11.0,1.0,788.0,284.0,28.0,,1.0,192.0,29.0,,1.0,4.0,6.0,439.0,,,519.0,,,,31.0,2.0,,,240.0,,1127.0,,1.0,,346.0,158.0,1.0,,,508.0,38.0,46.0,32.0,223.0,9.0,6.0,1.0,7.0,75.0,1.0,5.0,2.0,193.0,135.0,13.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12086,Boaz Myhill,Goalkeeper,West Brom,35,Wales,2014-15,0.0,0.0,1.0,1.0,,0.0215,,,,,1.0,11.0,,,10.0,198.0,,333.0,,,1.0,2.0,4.0,,934.0,,2.0,3.0,,,27.0,,,,21.2483,,54.0,10.0,17.0,1.0,9.0,,0.0,3.0,,312.0,116.0,11.0,,,90.0,14.0,,,1.0,2.0,123.0,,,200.0,,,,12.0,1.0,,,108.0,,459.0,,,,105.0,45.0,1.0,,,197.0,17.0,25.0,21.0,117.0,9.0,1.0,,6.0,56.0,1.0,,,79.0,69.0,10.0,35.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49958,Brown Ideye,Forward,West Brom,35,Nigeria,2014-15,0.0,0.0,2.0,160.0,,0.714,7.0,3.0,6.0,23.0,67.0,24.0,2.0,27.0,13.0,69.0,7.0,295.0,17.0,3.0,11.0,118.0,3.0,,1296.0,89.0,63.0,4.0,16.0,34.0,225.0,67.0,,3.0,15.2169,9.0,,16.0,17.0,71.0,70.0,23.0,2.0,223.0,4.0,49.0,22.0,24.0,,10.0,180.0,13.0,7.0,51.0,105.0,29.0,282.0,10.0,11.0,175.0,6.0,8.0,1.0,72.0,25.0,5.0,,1.0,104.0,510.0,,6.0,3.0,1.0,46.0,6.0,4.0,3.9912,2.0,14.0,,,,,,,,,,,,,,,,,,13.0,5.3064,1.0,4.0,1.0,4.0,5.0,5.0,3.0,4.0,3.0,4.0,1.0,3.0,4.0,,,,,,,,,,,,,
61538,Callum McManaman,Midfielder,West Brom,35,England,2014-15,0.0,0.0,1.0,27.0,1.0,0.2512,1.0,4.0,2.0,3.0,12.0,8.0,1.0,,5.0,15.0,15.0,78.0,1.0,1.0,3.0,6.0,,2.0,347.0,5.0,26.0,2.0,8.0,25.0,62.0,12.0,,,8.0746,6.0,,5.0,8.0,22.0,9.0,12.0,0.0,53.0,4.0,17.0,12.0,8.0,1.0,7.0,43.0,6.0,16.0,17.0,47.0,1.0,77.0,1.0,3.0,56.0,1.0,11.0,,20.0,5.0,3.0,,1.0,32.0,167.0,,5.0,1.0,3.0,22.0,3.0,,0.2776,3.0,6.0,,,,,,,,,,,,,,,,,,2.0,0.2313,,,,,2.0,2.0,,,,,,,,2.0,1.0,1.0,,,,,,,,,,
15968,Chris Baird,Defender,West Brom,35,Northern Ireland,2014-15,0.0,0.0,2.0,21.0,1.0,0.5856,,,16.0,4.0,40.0,19.0,,3.0,9.0,79.0,8.0,330.0,,,10.0,25.0,2.0,3.0,801.0,8.0,37.0,1.0,11.0,20.0,222.0,3.0,14.0,1.0,19.782,5.0,13.0,44.0,17.0,13.0,114.0,3.0,0.0,58.0,5.0,135.0,47.0,19.0,3.0,,110.0,16.0,8.0,3.0,33.0,17.0,315.0,2.0,2.0,108.0,13.0,3.0,6.0,39.0,9.0,17.0,,29.0,42.0,526.0,51.0,4.0,,32.0,144.0,3.0,1.0,0.1599,39.0,22.0,,,,,,,,,,,,,,,,,,2.0,0.3441,1.0,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,
19151,Chris Brunt,Midfielder,West Brom,35,Northern Ireland,2014-15,0.0,0.0,5.0,166.0,22.0,4.736,11.0,1.0,76.0,23.0,180.0,34.0,10.0,29.0,33.0,323.0,79.0,1181.0,2.0,9.0,1.0,107.0,14.0,56.0,2895.0,56.0,160.0,8.0,61.0,109.0,785.0,33.0,40.0,3.0,42.4279,40.0,23.0,86.0,40.0,110.0,349.0,15.0,0.0,326.0,36.0,520.0,172.0,34.0,21.0,9.0,568.0,32.0,136.0,35.0,219.0,51.0,1132.0,18.0,20.0,571.0,55.0,19.0,3.0,151.0,30.0,68.0,,73.0,161.0,1932.0,75.0,5.0,9.0,111.0,346.0,23.0,1.0,1.7929,143.0,53.0,,,1.0,,,,,,,,,,1.0,,,,,5.0,0.7589,10.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,,1.0,2.0,82.0,27.0,48.0,1.0,4.0,4.0,1.0,3.0,0.2065,,,,
55829,Claudio Yacob,Midfielder,West Brom,35,Argentina,2014-15,1.0,1.0,5.0,104.0,1.0,0.2956,2.0,,69.0,6.0,84.0,20.0,,5.0,16.0,111.0,1.0,534.0,1.0,2.0,4.0,47.0,9.0,1.0,1390.0,23.0,108.0,2.0,28.0,84.0,401.0,2.0,,2.0,22.1183,4.0,2.0,41.0,18.0,81.0,145.0,16.0,0.0,212.0,24.0,198.0,109.0,20.0,18.0,,193.0,16.0,1.0,13.0,165.0,24.0,527.0,5.0,1.0,132.0,51.0,3.0,12.0,140.0,28.0,39.0,,22.0,51.0,782.0,,1.0,2.0,19.0,231.0,20.0,,0.4523,27.0,32.0,,,,,,,,,,,,,,,,,,1.0,0.6981,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
