playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalTackles,totalShots,unsuccessfulShortPasses,gamesPlayed,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,substituteOn,aerialDuels,iboxTarget,timePlayed,shotsOnTargetInBox,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,penaltiesSaved,catches,savesMadeFromOutsideBox,throughBalls,goalKicks,savesMadeCaught,cleanSheets,penaltiesFaced,penaltiesConceded,savesFromPenalty,punches,penaltyGoalsConceded,savesMade,goalkeeperSmother,drops,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,secondGoalAssists,goals,offsides,awayGoals,oboxBlocked,successfulCornersIntoBox,leftFootGoals,unsuccessfulCornersIntoBox,hitWoodwork,successfulCrossesOpenPlay,goalAssists,foulWonPenalty,cornersTakenInclShortCorners,shotsOnTargetOutsideBox,successfulCrossesAndCorners,unsuccessfulLayoffs,homeGoals,oboxTarget,headedGoals,shotsBlockedOutsideBox,ownGoalScored,lastPlayerTackle,rightFootGoals,penaltiesTaken,clearancesOffTheLine,penaltyGoals,handballsConceded,freekickTotal,attemptsFromSetPieces,expectedGoalsFreekick
472713,Aaron Hickey,Defender,Brentford,94,Scotland,2025-26,33.0,0.1384,0.0,1.0,1.0,1.0,0.2445,15.0,5.0,35.0,21.0,2.0,8.0,47.0,4.0,286.0,13.0,18.0,1.0,685.0,1.0,9.0,33.0,2.0,14.0,24.0,228.0,10.0,9.0,8.969,1.0,3.0,23.0,9.0,1.0,24.0,115.0,9.0,0.0,66.0,6.0,78.0,35.0,21.0,8.0,7.0,104.0,7.0,4.0,12.0,1.0,48.0,9.0,0.0,279.0,4.0,1.0,81.0,7.0,1.0,6.0,27.0,7.0,8.0,11.0,66.0,447.0,39.0,7.0,8.0,135.0,4.0,0.4549,1.0,12.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543295,Antoni Milambo,Midfielder,Brentford,94,Netherlands,2025-26,1.0,0.0116,0.0,,,,,3.0,,3.0,1.0,1.0,1.0,3.0,,11.0,,3.0,,45.0,,1.0,5.0,,2.0,3.0,8.0,,,2.3906,,,,3.0,,,,,0.0,6.0,2.0,5.0,2.0,1.0,2.0,,5.0,3.0,,,,3.0,2.0,0.0,11.0,,,4.0,1.0,,,4.0,,,,2.0,19.0,,1.0,,3.0,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200720,Caoimhín Kelleher,Goalkeeper,Brentford,94,Ireland,2025-26,6.0,0.2554,0.0,,,,,1.0,,2.0,37.0,,37.0,450.0,,1295.0,,9.0,,3330.0,,2.0,16.0,4.0,,9.0,597.0,,,49.0624,2.0,118.0,47.0,49.0,,4.0,223.0,6.0,0.0,22.0,,795.0,300.0,37.0,1.0,,173.0,45.0,,,,13.0,7.0,0.0,945.0,,,460.0,,3.0,,277.0,3.0,1.0,248.0,,1674.0,,,275.0,672.0,3.0,,1.0,448.0,61.0,3.0,23.0,38.0,1.0,199.0,1.0,10.0,8.0,3.0,3.0,31.0,5.0,110.0,10.0,4.0,249.0,115.0,29.0,69.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587433,Conor McManus,Defender,Brentford,94,Ireland,2025-26,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533463,Dango Ouattara,Forward,Brentford,94,Burkina Faso,2025-26,187.0,4.3238,0.0,14.0,20.0,9.0,6.8412,24.0,42.0,158.0,32.0,18.0,25.0,179.0,71.0,485.0,7.0,107.0,10.0,2279.0,10.0,55.0,138.0,3.0,61.0,86.0,288.0,119.0,1.0,32.5666,24.0,4.0,52.0,35.0,10.0,132.0,47.0,39.0,3.0,325.0,32.0,149.0,85.0,32.0,11.0,57.0,241.0,32.0,89.0,88.0,10.0,218.0,52.0,0.0,473.0,22.0,29.0,438.0,13.0,23.0,,166.0,27.0,24.0,18.0,123.0,1075.0,3.0,13.0,12.0,84.0,17.0,7.7177,5.0,21.0,34.0,,,,5.0,,,1.0,,,,,4.0,,,,,,,,,7.0,9.0,2.0,4.0,7.0,5.0,18.0,1.0,11.0,3.0,5.0,28.0,3.0,19.0,2.0,5.0,3.0,2.0,4.0,,,,,,,,,,
235448,Ellery Balcombe,Goalkeeper,Brentford,94,England,2025-26,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231065,Ethan Pinnock,Defender,Brentford,94,Jamaica,2025-26,14.0,0.0603,0.0,,1.0,,0.1209,5.0,1.0,14.0,4.0,,4.0,23.0,,133.0,,23.0,1.0,321.0,1.0,10.0,20.0,,3.0,7.0,101.0,9.0,2.0,3.885,,4.0,27.0,5.0,,4.0,29.0,2.0,0.0,34.0,2.0,55.0,11.0,4.0,1.0,,23.0,5.0,,1.0,,11.0,13.0,0.0,132.0,,1.0,27.0,4.0,1.0,5.0,33.0,,5.0,9.0,16.0,196.0,,3.0,4.0,87.0,,0.0106,1.0,9.0,6.0,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,
244858,Fábio Carvalho,Midfielder,Brentford,94,Portugal,2025-26,6.0,0.0312,0.0,,1.0,,0.6839,3.0,2.0,5.0,6.0,1.0,1.0,5.0,3.0,25.0,5.0,4.0,,100.0,,3.0,5.0,,1.0,4.0,18.0,2.0,,2.77,,,,4.0,,3.0,6.0,,0.0,11.0,1.0,7.0,5.0,6.0,1.0,2.0,11.0,4.0,4.0,3.0,,7.0,1.0,0.0,22.0,1.0,1.0,14.0,2.0,1.0,,7.0,,,2.0,5.0,45.0,,,,10.0,,0.6992,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,1.0,,1.0,,,,,3.0,,1.0,,1.0,,,,,,1.0,,,,,,,
507433,Hákon Valdimarsson,Goalkeeper,Brentford,94,Iceland,2025-26,,0.0011,0.0,,,,,,,,1.0,,1.0,11.0,,41.0,,,,90.0,,,,,,,18.0,,,1.2825,,4.0,,3.0,,,10.0,,0.0,,,21.0,7.0,1.0,,,7.0,3.0,,,,,,0.0,31.0,,,11.0,,,,10.0,,,12.0,,48.0,,,8.0,23.0,,,0.0,11.0,3.0,,,,,6.0,,,,,,,,1.0,,,9.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502500,Igor Thiago,Forward,Brentford,94,Brazil,2025-26,322.0,1.8834,0.0,17.0,43.0,8.0,20.0216,38.0,67.0,182.0,38.0,56.0,37.0,194.0,12.0,630.0,1.0,291.0,21.0,3284.0,21.0,179.0,203.0,3.0,38.0,91.0,423.0,169.0,,49.2128,23.0,1.0,64.0,50.0,15.0,143.0,136.0,26.0,7.0,525.0,23.0,142.0,93.0,38.0,16.0,24.0,268.0,47.0,12.0,66.0,15.0,234.0,112.0,0.0,610.0,24.0,19.0,387.0,22.0,29.0,8.0,154.0,73.0,12.0,13.0,198.0,1215.0,,7.0,3.0,175.0,15.0,20.584,7.0,12.0,43.0,,,,4.0,,,9.0,,,,,5.0,,,,,,,,,22.0,23.0,9.0,2.0,,6.0,,3.0,7.0,1.0,,,,7.0,19.0,13.0,,2.0,2.0,,,14.0,9.0,1.0,8.0,4.0,,,
