playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,fiftyFifty,totalRedCards,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulFiftyFifty,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,offsides,oboxBlocked,substituteOn,aerialDuels,cleanSheets,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,penaltiesConceded,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,goals,awayGoals,goalKicks,successfulLaunches,homeGoals,leftFootGoals,lastPlayerTackle,headedGoals,gkSuccessfulDistribution,clearancesOffTheLine,hitWoodwork,successfulCornersIntoBox,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,secondGoalAssists,expectedGoalsFreekick,successfulLayoffs,cornersTakenInclShortCorners,shotsOnTargetOutsideBox,penaltiesTaken,oboxTarget,penaltyGoals,foulWonPenalty,rightFootGoals,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,punches,ownGoalScored,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,setPiecesGoals,redCards2ndYellow
472713,Aaron Hickey,Defender,Brentford,94,Scotland,2022-23,85.0,4.0,0.5781,44.0,0.0,4.0,2.0,1.0,0.2083,38.0,7.0,2.0,88.0,26.0,1.0,18.0,23.0,111.0,23.0,727.0,1.0,2.0,3.0,36.0,1.0,4.0,2.0,1929.0,2.0,1.0,22.0,104.0,8.0,1.0,28.0,90.0,589.0,21.0,7.0,1.0,27.1742,5.0,21.0,30.0,2.0,63.0,62.0,35.0,0.0,189.0,11.0,289.0,111.0,26.0,12.0,18.0,277.0,22.0,23.0,31.0,2.0,153.0,14.0,0.0,716.0,5.0,8.0,191.0,26.0,17.0,7.0,215.0,20.0,17.0,27.0,161.0,1088.0,75.0,15.0,2.0,4.0,343.0,7.0,2.0,0.3867,7.0,23.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51927,Ben Mee,Defender,Brentford,94,England,2022-23,131.0,1.0,0.7874,55.0,0.0,3.0,7.0,,2.4981,45.0,25.0,,233.0,37.0,2.0,36.0,37.0,380.0,6.0,1658.0,1.0,,,230.0,12.0,1.0,4.0,3272.0,4.0,,98.0,203.0,10.0,,32.0,71.0,1169.0,71.0,21.0,1.0,43.5706,6.0,116.0,40.0,3.0,33.0,481.0,15.0,1.0,334.0,12.0,714.0,199.0,37.0,21.0,1.0,399.0,30.0,6.0,3.0,3.0,104.0,132.0,0.0,1618.0,18.0,4.0,434.0,24.0,12.0,42.0,339.0,14.0,48.0,109.0,124.0,2163.0,69.0,3.0,,46.0,880.0,7.0,1.0,3.1975,2.0,147.0,125.0,3.0,0.0,2.0,6.0,3.0,1.0,1.0,2.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446008,Bryan Mbeumo,Forward,Brentford,94,Cameroon,2022-23,213.0,15.0,5.5831,61.0,0.0,12.0,33.0,7.0,6.651,26.0,59.0,7.0,192.0,38.0,8.0,14.0,36.0,213.0,62.0,809.0,6.0,1.0,2.0,99.0,1.0,41.0,15.0,2929.0,15.0,4.0,64.0,129.0,9.0,,65.0,94.0,566.0,132.0,1.0,1.0,42.219,43.0,17.0,39.0,11.0,149.0,99.0,23.0,2.0,342.0,23.0,211.0,135.0,38.0,8.0,37.0,462.0,30.0,115.0,91.0,11.0,243.0,35.0,0.0,768.0,26.0,28.0,506.0,18.0,45.0,1.0,255.0,27.0,13.0,30.0,244.0,1451.0,18.0,26.0,1.0,4.0,175.0,13.0,1.0,9.6283,5.0,21.0,44.0,9.0,4.0,,,5.0,9.0,,,,,2.0,18.0,1.0,1.0,36.0,2.0,0.1073,22.0,71.0,9.0,1.0,9.0,1.0,,,,,,,,,,,,,,,,,
213687,Charlie Goode,Defender,Brentford,94,England,2022-23,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128295,Christian Nørgaard,Midfielder,Brentford,94,Denmark,2022-23,106.0,2.0,1.7669,63.0,0.0,4.0,10.0,1.0,1.2699,52.0,15.0,2.0,146.0,22.0,3.0,35.0,21.0,188.0,9.0,793.0,,1.0,1.0,38.0,5.0,2.0,7.0,1770.0,7.0,,20.0,98.0,3.0,,34.0,80.0,575.0,47.0,1.0,1.0,27.0536,9.0,40.0,23.0,3.0,86.0,208.0,20.0,0.0,204.0,23.0,286.0,165.0,22.0,22.0,10.0,292.0,20.0,9.0,20.0,3.0,166.0,18.0,0.0,776.0,5.0,1.0,239.0,30.0,8.0,9.0,198.0,35.0,34.0,30.0,101.0,1102.0,1.0,9.0,1.0,22.0,315.0,28.0,,1.5692,6.0,42.0,52.0,1.0,1.0,,4.0,0.0,,,,,,1.0,,,,,,,5.0,,2.0,,2.0,,1.0,1.0,,,,,,,,,,,,,,,
154561,David Raya,Goalkeeper,Brentford,94,Spain,2022-23,4.0,,0.1762,1.0,0.0,,,,,,1.0,,15.0,38.0,,,38.0,579.0,,1475.0,,,,15.0,12.0,,,3420.0,,,2.0,19.0,10.0,,2.0,6.0,486.0,1.0,,2.0,48.8073,2.0,20.0,46.0,,2.0,181.0,6.0,0.0,23.0,1.0,1047.0,383.0,38.0,,,292.0,36.0,,,,8.0,13.0,0.0,904.0,1.0,1.0,586.0,,1.0,,247.0,,1.0,410.0,,1883.0,1.0,,,145.0,604.0,,,0.1115,1.0,564.0,94.0,,,269.0,63.0,,,,,321.0,,,,,,,,,,,,,,,,,51.0,64.0,9.0,2.0,10.0,1.0,154.0,2.0,2.0,2.0,108.0,40.0,90.0,,
231065,Ethan Pinnock,Defender,Brentford,94,Jamaica,2022-23,72.0,3.0,1.1257,45.0,0.0,3.0,9.0,1.0,2.1796,52.0,12.0,,137.0,30.0,,28.0,30.0,216.0,7.0,1092.0,,1.0,,159.0,10.0,3.0,6.0,2700.0,6.0,,54.0,170.0,6.0,,15.0,65.0,828.0,57.0,8.0,2.0,38.6758,8.0,214.0,34.0,2.0,18.0,316.0,10.0,1.0,242.0,10.0,444.0,123.0,30.0,24.0,1.0,216.0,28.0,7.0,8.0,2.0,83.0,105.0,0.0,1078.0,3.0,4.0,250.0,28.0,3.0,31.0,226.0,6.0,35.0,48.0,106.0,1581.0,35.0,,1.0,29.0,663.0,3.0,1.0,2.9929,0.0,79.0,73.0,3.0,1.0,,12.0,2.0,3.0,2.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,
450550,Fin Stevens,Defender,Brentford,94,Wales,2022-23,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428580,Frank Onyeka,Midfielder,Brentford,94,Nigeria,2022-23,65.0,,0.8032,32.0,0.0,2.0,4.0,1.0,0.5307,19.0,7.0,,47.0,21.0,2.0,18.0,8.0,61.0,2.0,253.0,2.0,1.0,13.0,22.0,,,2.0,843.0,2.0,,15.0,63.0,1.0,,22.0,56.0,185.0,22.0,,1.0,10.641,5.0,16.0,11.0,1.0,50.0,59.0,26.0,0.0,128.0,13.0,80.0,50.0,21.0,5.0,11.0,122.0,10.0,2.0,21.0,1.0,106.0,7.0,0.0,253.0,3.0,1.0,97.0,14.0,11.0,3.0,61.0,15.0,10.0,7.0,53.0,425.0,1.0,8.0,1.0,9.0,70.0,9.0,,0.9957,0.0,14.0,19.0,,,,1.0,,,,,,,,,,,,,,4.0,,2.0,,2.0,,,,,,,,,,,,,,,,,,
434662,Halil Dervisoglu,Forward,Brentford,94,Turkey,2022-23,2.0,,,,0.0,1.0,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,7.0,,,,,,,,,,1.0,,,,,,,,2.0,,,0.0,2.0,,,,1.0,,,,,,1.0,,2.0,,0.0,,,,1.0,,,,,,,,,2.0,,,1.0,,,,,0.0271,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
