playerId,playerName,position,team,nationality,season,duelsLost,expectedAssists,totalRedCards,catches,totalTackles,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,awayGoals,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,duelsWon,goalsConcededOutsideBox,penaltiesConceded,groundDuelsWon,successfulShortPasses,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,ownGoalScored,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,homeGoals,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,cornersWon,totalLossesOfPossession,tacklesWon,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,totalFoulsConceded,successfulLongPasses,touches,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,substituteOn,penaltiesSaved,savesFromPenalty,keyPassesAttemptAssists,successfulCrossesOpenPlay,blockedShots,totalShots,successfulLayoffs,unsuccessfulCrossesOpenPlay,successfulCrossesAndCorners,aerialDuelsLost,putthroughBlockedDistribution,totalTouchesInOppositionBox,throwInsToOppositionPlayer,shotsBlockedInBox,putthroughBlockedDistributionWon,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,shotsOffTargetIncWoodwork,successfulDribbles,blocks,interceptions,backwardPasses,throwInsToOwnPlayer,expectedGoals,shotsOnTargetIncGoals,expectedGoalsOnTarget,goalAssists,goals,offsides,iboxTarget,shotsOnTargetInBox,rightFootGoals,unsuccessfulDribbles,leftFootGoals,clearancesOffTheLine,handballsConceded,expectedGoalsFreekick,throughBalls,cornersTakenInclShortCorners,successfulCornersIntoBox,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,headedGoals,oboxBlocked,shotsOnTargetOutsideBox,unsuccessfulLayoffs,oboxTarget,shotsBlockedOutsideBox,hitWoodwork,penaltiesTaken,setPiecesGoals,secondGoalAssists,foulWonPenalty,redCards2ndYellow,penaltyGoals
21205,Tom Heaton,Goalkeeper,Manchester United,England,2019-20,2.0,0.0259,0.0,10.0,3.0,22.0,5.0,20.0,20.0,253.0,527.0,0.0,7.0,7.0,4.0,3.0,1795.0,11.0,4.0,1.0,4.0,155.0,6.0,3.0,28.8174,1.0,55.0,12.0,35.0,2.0,61.0,68.0,2.0,0.0,13.0,0.0,2.0,398.0,155.0,20.0,1.0,1.0,99.0,31.0,6.0,7.0,0.0,198.0,241.0,1.0,259.0,2.0,96.0,15.0,68.0,1.0,119.0,733.0,1.0,134.0,175.0,1.0,46.0,0.0,248.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79852,Jed Steer,Goalkeeper,Peterborough United,England,2019-20,,,0.0,,,,,1.0,1.0,1.0,2.0,0.0,,,,,8.0,,,,,1.0,,,,,,,,,1.0,,,0.0,,0.0,,1.0,,1.0,,,,,,,0.0,,1.0,,1.0,,1.0,,,,,2.0,1.0,,1.0,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98770,Ørjan Nyland,Goalkeeper,Sevilla,Norway,2019-20,,0.0132,0.0,3.0,,8.0,1.0,7.0,5.0,72.0,152.0,0.0,2.0,,1.0,,537.0,,2.0,,,45.0,1.0,,8.5385,,10.0,2.0,12.0,,20.0,15.0,,0.0,,0.0,,122.0,40.0,7.0,1.0,,26.0,10.0,,,0.0,47.0,75.0,1.0,78.0,,35.0,2.0,10.0,,35.0,204.0,,33.0,54.0,,7.0,0.0,71.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88175,Lovre Kalinic,Goalkeeper,Hajduk Split,Croatia,2019-20,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8432,Pepe Reina,Goalkeeper,Villarreal,Spain,2019-20,3.0,0.0149,0.0,5.0,,9.0,3.0,12.0,12.0,114.0,345.0,0.0,2.0,7.0,2.0,3.0,1080.0,9.0,5.0,,2.0,130.0,3.0,2.0,15.0151,,28.0,12.0,20.0,3.0,46.0,33.0,4.0,0.0,12.0,0.0,,237.0,89.0,12.0,3.0,,59.0,15.0,5.0,7.0,0.0,115.0,181.0,,119.0,,30.0,8.0,62.0,1.0,101.0,458.0,,44.0,172.0,,24.0,1.0,111.0,31.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47390,Neil Taylor,Defender,Middlesbrough,Wales,2019-20,34.0,0.2018,0.0,,16.0,,62.0,14.0,11.0,89.0,419.0,0.0,,24.0,2.0,,1089.0,33.0,7.0,,24.0,315.0,,3.0,18.0437,,10.0,27.0,25.0,19.0,136.0,,6.0,0.0,67.0,0.0,,193.0,56.0,14.0,,5.0,181.0,18.0,43.0,9.0,0.0,,414.0,2.0,120.0,11.0,,,23.0,8.0,15.0,650.0,1.0,17.0,150.0,5.0,,2.0,27.0,35.0,3.0,,,5.0,1.0,1.0,2.0,1.0,8.0,1.0,15.0,23.0,5.0,13.0,1.0,10.0,8.0,2.0,1.0,2.0,2.0,5.0,20.0,67.0,79.0,0.1722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199798,Ezri Konsa,Defender,Aston Villa,England,2019-20,79.0,0.2947,0.0,,18.0,,89.0,25.0,24.0,169.0,773.0,1.0,,95.0,4.0,,2042.0,104.0,5.0,1.0,55.0,570.0,,2.0,33.8136,,11.0,66.0,39.0,33.0,108.0,,32.0,0.0,183.0,0.0,,334.0,100.0,25.0,,9.0,219.0,34.0,88.0,49.0,0.0,,756.0,3.0,216.0,9.0,,,252.0,17.0,34.0,1133.0,5.0,40.0,391.0,8.0,,3.0,80.0,57.0,1.0,,,9.0,6.0,3.0,8.0,,7.0,6.0,46.0,18.0,21.0,23.0,3.0,10.0,7.0,8.0,3.0,4.0,7.0,24.0,25.0,79.0,67.0,1.4513,4.0,1.5849,2.0,1.0,1.0,3.0,3.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
149484,Tyrone Mings,Defender,Aston Villa U21,England,2019-20,70.0,0.4225,0.0,,15.0,,109.0,33.0,33.0,304.0,1385.0,1.0,,113.0,6.0,,2903.0,105.0,11.0,1.0,38.0,964.0,,4.0,40.8367,,27.0,189.0,53.0,24.0,388.0,,11.0,1.0,175.0,1.0,,577.0,202.0,33.0,,4.0,287.0,42.0,62.0,67.0,0.0,,1336.0,5.0,329.0,11.0,,,312.0,20.0,117.0,1798.0,1.0,84.0,795.0,4.0,,7.0,195.0,88.0,,,,5.0,1.0,,9.0,,6.0,1.0,46.0,21.0,24.0,,,8.0,6.0,5.0,,5.0,12.0,48.0,30.0,108.0,5.0,0.8659,4.0,0.7674,2.0,2.0,2.0,2.0,2.0,,,2.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,
43252,James Chester,Defender,Salford City,Wales,2019-20,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169359,Matt Targett,Defender,Newcastle United U21,England,2019-20,121.0,2.9031,0.0,,52.0,,165.0,28.0,27.0,260.0,949.0,0.0,,75.0,4.0,,2295.0,113.0,4.0,,76.0,640.0,,1.0,31.9119,,5.0,67.0,40.0,83.0,300.0,,17.0,1.0,234.0,1.0,,445.0,122.0,28.0,,23.0,429.0,36.0,159.0,37.0,0.0,,930.0,17.0,391.0,29.0,,,55.0,27.0,49.0,1570.0,5.0,39.0,283.0,17.0,,4.0,95.0,80.0,1.0,,,27.0,15.0,1.0,6.0,2.0,45.0,23.0,38.0,45.0,26.0,23.0,1.0,20.0,58.0,27.0,1.0,2.0,8.0,8.0,56.0,149.0,172.0,0.4215,4.0,0.222,2.0,1.0,,3.0,3.0,,13.0,1.0,,1.0,0.1102,3.0,10.0,2.0,1.0,1.0,7.0,,,,,,,,,,,,,
