playerId,playerName,position,team_name,team_id,nationality,season,straightRedCards,totalRedCards,yellowCards,duelsLost,penaltiesSaved,expectedAssists,fiftyFifty,catches,totalTackles,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,successfulFiftyFifty,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,awayGoals,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,savesFromPenalty,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,homeGoals,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,tacklesWon,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,handballsConceded,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalShots,goalAssists,unsuccessfulCrossesOpenPlay,offsides,oboxBlocked,shotsOnTargetOutsideBox,successfulCrossesAndCorners,penaltiesConceded,putthroughBlockedDistribution,totalTouchesInOppositionBox,throwInsToOppositionPlayer,shotsBlockedInBox,putthroughBlockedDistributionWon,oboxTarget,tacklesLost,unsuccessfulDribbles,redCards2ndYellow,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,shotsOffTargetIncWoodwork,cornersWon,successfulDribbles,blocks,clearancesOffTheLine,backwardPasses,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,foulAttemptedTackle,expectedGoals,substituteOn,goals,iboxTarget,shotsOnTargetInBox,rightFootGoals,headedGoals,hitWoodwork,successfulLayoffs,ownGoalScored,leftFootGoals,lastPlayerTackle,throughBalls,successfulCornersIntoBox,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,secondGoalAssists,expectedGoalsFreekick,cornersTakenInclShortCorners,unsuccessfulLayoffs,foulWonPenalty,penaltiesTaken,penaltyGoals
21205,Tom Heaton,Goalkeeper,Manchester United,1,England,2020-21,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79852,Jed Steer,Goalkeeper,Peterborough United,73,England,2020-21,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98980,Emiliano Martínez,Goalkeeper,Aston Villa,7,Argentina,2020-21,0.0,0.0,1.0,3.0,1.0,0.0492,3.0,39.0,3.0,60.0,4.0,38.0,1.0,38.0,425.0,1135.0,0.0,254.0,17.0,13.0,15.0,6.0,3420.0,2.0,22.0,8.0,11.0,445.0,1.0,4.0,5.0,49.7234,2.0,65.0,14.0,46.0,1.0,129.0,142.0,8.0,0.0,25.0,0.0,5.0,770.0,356.0,38.0,3.0,1.0,175.0,38.0,12.0,11.0,322.0,617.0,440.0,3.0,109.0,35.0,236.0,1.0,2.0,265.0,1542.0,159.0,535.0,81.0,1.0,421.0,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199796,Matty Cash,Defender,Aston Villa,7,Poland,2020-21,0.0,1.0,6.0,124.0,,1.7215,89.0,,71.0,,138.0,28.0,45.0,28.0,245.0,1008.0,0.0,,,74.0,10.0,,2378.0,39.0,139.0,7.0,104.0,706.0,,,4.0,36.0282,19.0,12.0,82.0,35.0,85.0,77.0,,22.0,0.0,263.0,0.0,,444.0,134.0,28.0,,,409.0,28.0,189.0,35.0,,979.0,401.0,40.0,,,306.0,35.0,60.0,57.0,1729.0,46.0,376.0,,2.0,107.0,74.0,20.0,4.0,2.0,1.0,0.15,5.0,2.0,56.0,2.0,3.0,2.0,22.0,2.0,55.0,25.0,53.0,1.0,39.0,2.0,31.0,6.0,1.0,59.0,19.0,1.0,3.0,11.0,12.0,11.0,2.0,181.0,174.0,5.0,3.0,21.0,0.2991,,,,,,,,,,,,,,,,,,,,,,,
47390,Neil Taylor,Defender,Middlesbrough,25,Wales,2020-21,0.0,0.0,1.0,1.0,,0.0019,2.0,,1.0,,,1.0,,,,9.0,0.0,,,,,,15.0,,1.0,1.0,1.0,9.0,,,1.0,1.5782,,,,2.0,1.0,4.0,,,0.0,2.0,0.0,,3.0,2.0,1.0,,,5.0,1.0,2.0,,,9.0,1.0,1.0,,,1.0,1.0,,,13.0,,4.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
199798,Ezri Konsa,Defender,Aston Villa,7,England,2020-21,0.0,0.0,3.0,83.0,,0.1376,52.0,,25.0,,107.0,36.0,25.0,35.0,197.0,1287.0,0.0,1.0,,152.0,12.0,,3195.0,56.0,178.0,8.0,82.0,1014.0,,,5.0,48.3572,2.0,14.0,158.0,46.0,27.0,284.0,,54.0,1.0,261.0,2.0,,391.0,156.0,36.0,,,224.0,38.0,109.0,96.0,1.0,1248.0,229.0,13.0,,,487.0,19.0,29.0,76.0,1729.0,56.0,866.0,,1.0,90.0,87.0,,4.0,7.0,1.0,1.5968,18.0,,3.0,1.0,,1.0,,1.0,12.0,34.0,2.0,4.0,6.0,1.0,12.0,,,3.0,7.0,4.0,11.0,4.0,6.0,47.0,,125.0,12.0,,,4.0,2.4498,1.0,2.0,4.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
149484,Tyrone Mings,Defender,Aston Villa U21,15986,England,2020-21,0.0,1.0,4.0,70.0,,0.509,71.0,,32.0,,138.0,36.0,43.0,36.0,371.0,1680.0,1.0,1.0,,126.0,14.0,,3195.0,35.0,146.0,8.0,55.0,1177.0,,,5.0,46.5683,5.0,27.0,170.0,42.0,35.0,448.0,,18.0,0.0,216.0,1.0,,814.0,209.0,36.0,,,429.0,34.0,90.0,91.0,1.0,1626.0,408.0,16.0,,,295.0,21.0,41.0,132.0,2116.0,93.0,881.0,,,233.0,123.0,1.0,4.0,7.0,1.0,2.372,15.0,2.0,4.0,3.0,,,1.0,,31.0,38.0,,4.0,19.0,,16.0,2.0,1.0,4.0,6.0,4.0,8.0,9.0,6.0,40.0,1.0,123.0,5.0,,,6.0,1.9467,,2.0,5.0,5.0,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,
169359,Matt Targett,Defender,Newcastle United U21,12970,England,2020-21,0.0,0.0,7.0,125.0,,3.0639,83.0,,83.0,,257.0,38.0,42.0,38.0,370.0,1684.0,0.0,,,121.0,15.0,,3405.0,50.0,191.0,7.0,120.0,1197.0,,,4.0,48.1452,36.0,8.0,87.0,44.0,75.0,538.0,,22.0,0.0,316.0,0.0,,803.0,177.0,38.0,,,787.0,37.0,195.0,71.0,,1645.0,583.0,39.0,,,91.0,28.0,55.0,117.0,2614.0,52.0,554.0,,1.0,113.0,114.0,16.0,2.0,2.0,1.0,0.097,4.0,2.0,94.0,,1.0,1.0,27.0,1.0,70.0,37.0,41.0,1.0,26.0,1.0,44.0,10.0,,119.0,16.0,1.0,2.0,33.0,15.0,14.0,,252.0,306.0,1.0,1.0,16.0,0.256,,,1.0,1.0,,,,2.0,,,,1.0,4.0,1.0,1.0,9.0,1.0,0.0684,14.0,,,,
108156,Björn Engels,Defender,Antwerp,849,Belgium,2020-21,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37339,Ahmed El Mohamady,Defender,Aston Villa,7,Egypt,2020-21,0.0,0.0,2.0,24.0,,1.1734,33.0,,17.0,,68.0,14.0,20.0,8.0,103.0,470.0,0.0,,,27.0,3.0,,833.0,9.0,40.0,1.0,22.0,337.0,,,1.0,10.891,13.0,6.0,22.0,9.0,15.0,27.0,,3.0,0.0,64.0,0.0,,184.0,63.0,14.0,,,211.0,8.0,37.0,18.0,,452.0,160.0,13.0,,,203.0,6.0,17.0,30.0,714.0,15.0,166.0,,,35.0,29.0,10.0,1.0,1.0,,0.2121,8.0,,29.0,,1.0,1.0,10.0,,9.0,13.0,17.0,,3.0,1.0,4.0,1.0,,29.0,4.0,,7.0,1.0,2.0,3.0,,56.0,91.0,,1.0,6.0,0.4275,6.0,,,,,,,,,,,,,,,,,,,,,,
