playerId,playerName,position,team,nationality,season,duelsLost,expectedAssists,totalRedCards,catches,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,awayGoals,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,penaltiesConceded,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,homeGoals,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,cornersWon,totalLossesOfPossession,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,totalTackles,totalShots,substituteOn,totalTouchesInOppositionBox,throwInsToOppositionPlayer,keyPassesAttemptAssists,putthroughBlockedDistributionWon,tacklesLost,timesTackled,shotsOffTargetIncWoodwork,tacklesWon,blocks,backwardPasses,throwInsToOwnPlayer,substituteOff,expectedGoals,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,goalAssists,unsuccessfulCrossesOpenPlay,oboxBlocked,shotsOnTargetOutsideBox,iboxTarget,shotsOnTargetInBox,oboxTarget,unsuccessfulDribbles,redCards2ndYellow,unsuccessfulCrossesAndCorners,successfulDribbles,shotsBlockedOutsideBox,successfulCrossesOpenPlay,overruns,goals,successfulCrossesAndCorners,shotsBlockedInBox,headedGoals,iboxBlocked,handballsConceded,successfulLayoffs,offsides,lastPlayerTackle,clearancesOffTheLine,expectedGoalsFreekick,cornersTakenInclShortCorners,unsuccessfulLayoffs,successfulCornersIntoBox,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,throughBalls,rightFootGoals,ownGoalScored,foulWonPenalty,secondGoalAssists,hitWoodwork,leftFootGoals,setPiecesGoals,penaltiesTaken,penaltyGoals
41705,Brad Guzan,Goalkeeper,Middlesbrough,United States,2014-15,2.0,0.0753,0.0,69.0,38.0,2.0,34.0,34.0,431.0,954.0,0.0,282.0,15.0,10.0,9.0,3.0,3060.0,1.0,13.0,7.0,1.0,2.0,4.0,200.0,16.0,3.0,44.1513,154.0,26.0,48.0,1.0,113.0,101.0,7.0,0.0,15.0,0.0,5.0,775.0,356.0,34.0,3.0,6.0,214.0,41.0,5.0,9.0,0.0,291.0,468.0,2.0,446.0,140.0,20.0,66.0,1.0,3.0,323.0,1327.0,248.0,309.0,1.0,63.0,2.0,429.0,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79852,Jed Steer,Goalkeeper,Peterborough United,England,2014-15,,0.0016,0.0,1.0,1.0,,1.0,1.0,13.0,30.0,0.0,4.0,,,,,90.0,,,,,,,11.0,,,0.6502,3.0,,1.0,,7.0,2.0,,0.0,,0.0,,17.0,14.0,1.0,,,4.0,1.0,,,0.0,9.0,25.0,,14.0,3.0,,6.0,,,6.0,42.0,10.0,13.0,,1.0,0.0,13.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1822,Shay Given,Goalkeeper,Stoke City,Ireland,2014-15,,0.0094,0.0,4.0,2.0,,3.0,3.0,36.0,75.0,0.0,18.0,1.0,,1.0,1.0,270.0,,2.0,1.0,,,2.0,17.0,2.0,1.0,6.8392,13.0,3.0,8.0,,2.0,9.0,2.0,0.0,2.0,0.0,1.0,65.0,27.0,3.0,,,19.0,7.0,2.0,,0.0,15.0,39.0,,37.0,10.0,1.0,8.0,,1.0,22.0,104.0,23.0,20.0,,7.0,1.0,36.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52477,Nathan Baker,Defender,Bristol City,England,2014-15,43.0,0.1105,0.0,,,18.0,11.0,8.0,44.0,192.0,0.0,,,63.0,1.0,,763.0,26.0,52.0,3.0,,5.0,15.0,137.0,,,12.5906,3.0,102.0,13.0,17.0,47.0,,1.0,0.0,95.0,0.0,,96.0,18.0,11.0,,,33.0,10.0,32.0,37.0,0.0,,184.0,,50.0,,,35.0,7.0,18.0,11.0,363.0,21.0,115.0,3.0,,0.0,26.0,8.0,14.0,6.0,3.0,9.0,2.0,4.0,5.0,4.0,1.0,6.0,10.0,8.0,14.0,1.0,2.0,0.6385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21095,Ron Vlaar,Defender,AZ,Netherlands,2014-15,38.0,0.7555,1.0,,,47.0,20.0,19.0,115.0,630.0,0.0,,,46.0,6.0,,1646.0,22.0,47.0,5.0,2.0,10.0,23.0,439.0,,1.0,22.1491,19.0,116.0,26.0,16.0,158.0,,3.0,0.0,85.0,0.0,,256.0,58.0,20.0,,,135.0,21.0,39.0,24.0,0.0,,601.0,3.0,123.0,,,176.0,9.0,41.0,76.0,862.0,45.0,380.0,8.0,,3.0,68.0,37.0,17.0,13.0,1.0,22.0,,1.0,6.0,6.0,4.0,11.0,11.0,9.0,40.0,1.0,1.0,1.1113,1.0,2.0,0.2252,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80502,Jores Okore,Defender,FC København,Denmark,2014-15,84.0,0.6465,0.0,,,57.0,23.0,22.0,123.0,894.0,0.0,,,87.0,4.0,,2009.0,37.0,144.0,4.0,1.0,24.0,94.0,702.0,,3.0,33.8736,11.0,149.0,35.0,47.0,152.0,,35.0,0.0,228.0,1.0,,377.0,126.0,23.0,,,214.0,31.0,141.0,50.0,0.0,,871.0,1.0,145.0,,,299.0,21.0,65.0,69.0,1279.0,50.0,558.0,9.0,,6.0,66.0,56.0,51.0,5.0,1.0,19.0,,6.0,13.0,13.0,12.0,3.0,38.0,16.0,66.0,1.0,,0.8686,1.0,2.0,0.4981,,3.0,,,1.0,1.0,,2.0,,3.0,10.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
58845,Ciaran Clark,Defender,Stoke City,Ireland,2014-15,64.0,0.5121,1.0,,,80.0,25.0,22.0,191.0,906.0,0.0,,,117.0,1.0,,1991.0,40.0,138.0,3.0,,14.0,61.0,639.0,,3.0,30.1803,30.0,200.0,34.0,24.0,267.0,,18.0,0.0,202.0,1.0,,410.0,93.0,25.0,,,177.0,31.0,85.0,77.0,0.0,,876.0,3.0,213.0,,,144.0,19.0,48.0,76.0,1309.0,79.0,539.0,7.0,,8.0,111.0,51.0,39.0,11.0,3.0,29.0,5.0,4.0,8.0,5.0,1.0,5.0,34.0,23.0,85.0,8.0,4.0,1.8762,5.0,6.0,1.5653,2.0,5.0,2.0,,5.0,5.0,,,1.0,5.0,9.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
74297,Leandro Bacuna,Midfielder,Watford,Curacao,2014-15,68.0,1.8432,0.0,,,67.0,19.0,10.0,124.0,577.0,0.0,,,22.0,3.0,,981.0,15.0,45.0,4.0,,15.0,38.0,418.0,,1.0,13.8654,8.0,18.0,16.0,53.0,37.0,,5.0,0.0,113.0,0.0,,205.0,73.0,19.0,,,295.0,12.0,91.0,7.0,0.0,,559.0,13.0,226.0,,,242.0,16.0,15.0,35.0,899.0,25.0,176.0,11.0,,1.0,57.0,29.0,25.0,13.0,9.0,12.0,11.0,12.0,7.0,5.0,22.0,10.0,20.0,,93.0,92.0,6.0,1.0095,4.0,3.0,0.9056,5.0,46.0,3.0,1.0,2.0,2.0,1.0,10.0,,50.0,8.0,3.0,12.0,4.0,,18.0,1.0,,1.0,,4.0,1.0,,,0.3032,5.0,1.0,3.0,5.0,5.0,1.0,,,,,,,,,,
16854,Philippe Senderos,Defender,Aston Villa,Switzerland,2014-15,23.0,0.0216,0.0,,,15.0,8.0,7.0,43.0,234.0,0.0,,,13.0,3.0,,632.0,7.0,17.0,2.0,,8.0,11.0,172.0,,,7.4314,8.0,48.0,9.0,16.0,35.0,,4.0,0.0,40.0,0.0,,125.0,19.0,8.0,,,46.0,7.0,27.0,6.0,0.0,,228.0,,45.0,,,63.0,10.0,9.0,19.0,330.0,16.0,145.0,3.0,,2.0,28.0,12.0,7.0,4.0,1.0,5.0,,1.0,5.0,4.0,1.0,3.0,3.0,9.0,11.0,,,0.8688,1.0,1.0,0.0944,,,,,1.0,1.0,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
15073,Kieran Richardson,Defender,Cardiff City,England,2014-15,70.0,0.92,1.0,,,85.0,22.0,16.0,122.0,499.0,0.0,,,36.0,4.0,,1345.0,19.0,53.0,3.0,,22.0,36.0,348.0,,3.0,18.3075,4.0,25.0,25.0,51.0,124.0,,7.0,0.0,123.0,0.0,,205.0,63.0,22.0,,,239.0,22.0,87.0,17.0,1.0,,494.0,3.0,184.0,,,82.0,14.0,15.0,29.0,740.0,20.0,142.0,7.0,,2.0,37.0,31.0,25.0,6.0,6.0,11.0,10.0,7.0,10.0,7.0,20.0,3.0,18.0,6.0,88.0,60.0,6.0,0.8964,3.0,3.0,1.5486,1.0,19.0,3.0,1.0,2.0,2.0,1.0,6.0,,19.0,5.0,3.0,4.0,,,4.0,,,,,13.0,2.0,2.0,,,,1.0,,,,,1.0,,,,,,,,,
