season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,goalAssist,goals,minutesPlayed,ownGoals,penaltyMiss,substitute.1,totalShots
2010-11,1379830,7,54,Fulham,Away,1020,1863,Jonathan Greening,jonathan-greening,M,True,,,,,,,
2010-11,1379830,7,54,Fulham,Away,1027,18430,Zoltán Gera,zoltan-gera,M,True,0.0,0.0,22.0,0.0,,,0.0
2010-11,1379830,7,54,Fulham,Away,1298,1812,Danny Murphy,daniel-benjamin-murphy,M,False,0.0,0.0,90.0,0.0,,,0.0
2010-11,1379830,7,54,Fulham,Away,12743,20226,Clint Dempsey,clint-dempsey,M,False,0.0,1.0,90.0,0.0,,,0.0
2010-11,1379830,7,54,Fulham,Away,14112,10454,Dickson Etuhu,dickson-etuhu,M,False,0.0,0.0,90.0,0.0,,,0.0
2010-11,1379830,7,54,Fulham,Away,18514,37417,Bjorn Helge Riise,bjorn-helge-riise,M,True,0.0,0.0,1.0,0.0,,,0.0
2010-11,1379830,7,54,Fulham,Away,1422129,1256,Damien Duff,damien-duff,M,False,0.0,0.0,68.0,0.0,,,0.0
2010-11,1379838,8,54,Fulham,Home,1020,1863,Jonathan Greening,jonathan-greening,M,False,0.0,0.0,84.0,0.0,,,0.0
2010-11,1379838,8,54,Fulham,Home,1027,18430,Zoltán Gera,zoltan-gera,M,True,0.0,0.0,15.0,0.0,,,0.0
2010-11,1379838,8,54,Fulham,Home,1298,1812,Danny Murphy,daniel-benjamin-murphy,M,False,0.0,0.0,52.0,0.0,,,0.0
2010-11,1379838,8,54,Fulham,Home,9865,39104,Mousa Dembélé,mousa-dembele,M,False,0.0,0.0,75.0,0.0,,,0.0
2010-11,1379838,8,54,Fulham,Home,12743,20226,Clint Dempsey,clint-dempsey,M,False,1.0,0.0,90.0,0.0,,,0.0
2010-11,1379838,8,54,Fulham,Home,18514,37417,Bjorn Helge Riise,bjorn-helge-riise,M,True,,,,,,,
2010-11,1379849,9,54,Fulham,Away,1020,1863,Jonathan Greening,jonathan-greening,M,False,0.0,0.0,90.0,0.0,,,0.0
2010-11,1379849,9,54,Fulham,Away,1027,18430,Zoltán Gera,zoltan-gera,M,False,0.0,0.0,90.0,0.0,,,0.0
2010-11,1379849,9,54,Fulham,Away,9865,39104,Mousa Dembélé,mousa-dembele,M,False,0.0,0.0,90.0,0.0,,,0.0
2010-11,1379849,9,54,Fulham,Away,12743,20226,Clint Dempsey,clint-dempsey,M,False,0.0,0.0,90.0,0.0,,,0.0
2010-11,1379849,9,54,Fulham,Away,18514,37417,Bjorn Helge Riise,bjorn-helge-riise,M,True,0.0,0.0,17.0,0.0,,,0.0
2010-11,1379849,9,54,Fulham,Away,32832,46967,Kagisho Dikgacoi,kagisho-dikgacoi,M,True,,,,,,,
2010-11,1379858,10,54,Fulham,Home,1020,1863,Jonathan Greening,jonathan-greening,M,False,0.0,0.0,90.0,0.0,,,0.0
2010-11,1379858,10,54,Fulham,Home,1027,18430,Zoltán Gera,zoltan-gera,M,False,0.0,0.0,90.0,0.0,,,0.0
2010-11,1379858,10,54,Fulham,Home,1298,1812,Danny Murphy,daniel-benjamin-murphy,M,False,0.0,0.0,86.0,0.0,,,0.0
2010-11,1379858,10,54,Fulham,Home,9865,39104,Mousa Dembélé,mousa-dembele,M,False,0.0,0.0,90.0,0.0,,,0.0
2010-11,1379858,10,54,Fulham,Home,12743,20226,Clint Dempsey,clint-dempsey,M,False,0.0,2.0,90.0,0.0,,,0.0
