matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgLeft,attObxdLeft,attObxdRight,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,redCard,rightsidePass,savedIbox,savedObox,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
360474,1,2011-08-13 15:00:00,30,Bolton,Away,112.0,18.0,2.0,4.0,2.0,4.0,,176.0,3.0,1.0,3.0,9.0,35.0,29.0,284.0,,3.0,18.0,14.0,18.0,10.0,3.0,,,,1.0,,,,,10.0,,,,,2.0,5.0,12.0,69.0,76.0,2.0,2.0,,,7.0,5.0,1.0,2.0,6.0,2.0,1.0,10.0,2.0,51.0,59.0,,26.0,18.0,,1.0,97.0,16.0,9.0,1.0,,4.0,,1.0,179.0,3.0,,2.0,1.0,2.0,7.0,1.0,2.0,,19.0,,13.0,13.0,,3.0,95.0,103.0,52.0,3.0,1.0,5.0,11.0,5.0,7.0,,,64.0,76.0,24.0,,,,,,199.0,187.0,3.0,35.0,26.0,54.8,,1.0,0.0,75.0,1.0,1.0,,1.0,,6.0,,3.0,102.0,16.0,143.0,37.0,38.0,15.0,2.0,10.0,8.0,,179.0,18.0,285.0,2.0,2.0,33.0,39.0,72.0,1.0,418.0,,0.0,18.0,23.0,5.0,26.0,2.0,633.0,18.0,9.0,2.0,16.0,0.0
360481,2,2011-08-21 16:00:00,30,Bolton,Home,93.0,11.0,1.0,4.0,3.0,5.0,,160.0,8.0,1.0,4.0,11.0,10.0,25.0,249.0,,2.0,14.0,10.0,9.0,2.0,,,,1.0,1.0,,,,,3.0,,,,,2.0,11.0,7.0,36.0,43.0,,,,2.0,2.0,11.0,,7.0,11.0,4.0,,10.0,1.0,50.0,46.0,2.0,16.0,9.0,2.0,,83.0,19.0,14.0,2.0,,1.0,3.0,1.0,158.0,2.0,1.0,2.0,1.0,1.0,14.0,1.0,1.0,,15.0,,17.0,12.0,6.0,4.0,81.0,89.0,45.0,8.0,,1.0,3.0,3.0,3.0,,,70.0,36.0,26.0,,,,,,163.0,150.0,3.0,19.0,12.0,43.5,,,0.0,74.0,2.0,2.0,,1.0,,2.0,1.0,2.0,84.0,4.0,112.0,22.0,29.0,4.0,7.0,25.0,18.0,,146.0,18.0,262.0,1.0,1.0,30.0,10.0,53.0,2.0,349.0,,0.0,7.0,19.0,4.0,18.0,2.0,527.0,7.0,4.0,7.0,16.0,0.0
360492,3,2011-08-27 17:30:00,30,Bolton,Away,106.0,13.0,3.0,5.0,2.0,2.0,,156.0,7.0,1.0,4.0,5.0,18.0,31.0,257.0,,,13.0,9.0,6.0,4.0,3.0,,,,,,,,,7.0,,,,,,12.0,8.0,41.0,61.0,,,1.0,,3.0,9.0,,6.0,9.0,5.0,,21.0,1.0,50.0,37.0,,29.0,13.0,,,67.0,8.0,4.0,1.0,,1.0,1.0,,125.0,,,,,,15.0,1.0,2.0,1.0,17.0,,17.0,14.0,,4.0,79.0,85.0,51.0,12.0,,4.0,3.0,3.0,6.0,,,49.0,55.0,17.0,,,,,,157.0,142.0,3.0,26.0,22.0,41.2,,1.0,0.0,90.0,3.0,,,1.0,,4.0,,3.0,60.0,7.0,121.0,30.0,44.0,13.0,5.0,20.0,15.0,,105.0,13.0,234.0,3.0,1.0,16.0,20.0,58.0,,335.0,,0.0,10.0,18.0,,16.0,2.0,561.0,13.0,9.0,6.0,13.0,0.0
360500,4,2011-09-10 17:30:00,30,Bolton,Home,106.0,11.0,,8.0,8.0,8.0,,206.0,9.0,1.0,1.0,5.0,21.0,25.0,304.0,,,20.0,10.0,6.0,17.0,,,,,,,,,,21.0,,,1.0,,,9.0,5.0,49.0,60.0,,,,1.0,6.0,9.0,1.0,5.0,15.0,9.0,,6.0,2.0,49.0,29.0,1.0,10.0,3.0,,,63.0,15.0,1.0,,,,,,131.0,,,,,,12.0,,,,6.0,1.0,21.0,14.0,3.0,1.0,110.0,78.0,58.0,7.0,,9.0,8.0,6.0,3.0,1.0,,55.0,63.0,14.0,,,,,,136.0,132.0,3.0,19.0,33.0,42.2,1.0,,0.0,92.0,2.0,1.0,,3.0,,10.0,1.0,3.0,93.0,17.0,123.0,19.0,14.0,15.0,4.0,28.0,24.0,,132.0,14.0,287.0,1.0,1.0,14.0,23.0,40.0,,382.0,1.0,0.0,22.0,16.0,1.0,24.0,2.0,575.0,11.0,6.0,5.0,11.0,0.0
360511,5,2011-09-17 15:00:00,30,Bolton,Home,147.0,22.0,3.0,6.0,3.0,5.0,,191.0,3.0,4.0,6.0,7.0,28.0,33.0,332.0,,1.0,21.0,15.0,21.0,3.0,1.0,,,1.0,2.0,,,,,,1.0,,,,1.0,9.0,5.0,62.0,55.0,,,1.0,5.0,4.0,3.0,,6.0,8.0,4.0,,13.0,1.0,45.0,53.0,5.0,24.0,16.0,,,83.0,9.0,9.0,,,,,2.0,174.0,,,,,,12.0,,2.0,,26.0,,19.0,14.0,1.0,6.0,103.0,100.0,47.0,9.0,1.0,1.0,3.0,4.0,1.0,1.0,,69.0,60.0,27.0,,,,,1.0,185.0,172.0,,28.0,17.0,59.3,,,0.0,107.0,2.0,2.0,,2.0,,1.0,1.0,3.0,68.0,4.0,168.0,51.0,37.0,14.0,6.0,18.0,12.0,,129.0,18.0,296.0,2.0,4.0,26.0,29.0,76.0,,446.0,,1.0,9.0,14.0,9.0,25.0,3.0,664.0,14.0,9.0,6.0,14.0,0.0
360519,6,2011-09-24 15:00:00,30,Bolton,Away,153.0,12.0,,2.0,2.0,1.0,,102.0,10.0,2.0,4.0,15.0,36.0,27.0,253.0,,3.0,13.0,7.0,9.0,3.0,,1.0,,,,,,,,2.0,,,,,1.0,15.0,13.0,59.0,56.0,,,,3.0,1.0,10.0,,2.0,6.0,4.0,,5.0,8.0,39.0,40.0,3.0,10.0,4.0,,,67.0,9.0,7.0,,,,,,130.0,,,,,,12.0,,1.0,,11.0,,18.0,12.0,3.0,4.0,76.0,80.0,50.0,9.0,,,3.0,2.0,8.0,1.0,,30.0,47.0,11.0,,,,,,139.0,129.0,,28.0,16.0,37.1,,1.0,0.0,79.0,4.0,4.0,,,1.0,,,3.0,43.0,3.0,170.0,25.0,20.0,12.0,2.0,12.0,10.0,1.0,98.0,16.0,186.0,1.0,2.0,29.0,39.0,49.0,3.0,344.0,,1.0,3.0,20.0,6.0,14.0,1.0,532.0,8.0,4.0,2.0,14.0,0.0
360531,7,2011-10-02 13:30:00,30,Bolton,Home,178.0,18.0,1.0,2.0,1.0,5.0,1.0,169.0,7.0,1.0,4.0,15.0,43.0,38.0,345.0,,2.0,23.0,8.0,6.0,9.0,1.0,1.0,,,2.0,,,,,9.0,,,,,3.0,14.0,5.0,73.0,59.0,1.0,1.0,,1.0,7.0,3.0,,4.0,3.0,4.0,1.0,8.0,1.0,34.0,41.0,1.0,13.0,10.0,2.0,,69.0,10.0,11.0,,,4.0,1.0,2.0,151.0,1.0,1.0,1.0,,1.0,11.0,,,1.0,12.0,1.0,20.0,19.0,3.0,4.0,105.0,81.0,55.0,5.0,,3.0,8.0,4.0,3.0,2.0,,50.0,51.0,18.0,,,,,,125.0,121.0,2.0,22.0,26.0,40.9,,,0.0,93.0,3.0,1.0,,2.0,1.0,4.0,,3.0,83.0,11.0,192.0,31.0,17.0,14.0,4.0,12.0,8.0,1.0,132.0,11.0,242.0,1.0,1.0,26.0,47.0,59.0,2.0,422.0,,0.0,15.0,16.0,7.0,25.0,1.0,607.0,10.0,8.0,4.0,12.0,0.0
360548,8,2011-10-15 15:00:00,30,Bolton,Away,101.0,16.0,2.0,2.0,,7.0,,164.0,6.0,2.0,4.0,14.0,33.0,27.0,263.0,,1.0,15.0,13.0,15.0,10.0,,,,1.0,1.0,,,,,11.0,,1.0,,,3.0,8.0,8.0,47.0,67.0,3.0,3.0,1.0,2.0,4.0,13.0,,4.0,6.0,1.0,,9.0,1.0,63.0,75.0,2.0,19.0,6.0,,,72.0,17.0,16.0,1.0,,7.0,3.0,1.0,157.0,2.0,,1.0,2.0,,8.0,2.0,,2.0,10.0,,24.0,20.0,,4.0,84.0,95.0,60.0,5.0,1.0,2.0,10.0,9.0,7.0,3.0,,48.0,80.0,18.0,,,,,1.0,172.0,164.0,5.0,28.0,23.0,45.9,,,0.0,84.0,1.0,,,1.0,,3.0,,3.0,83.0,12.0,125.0,36.0,27.0,24.0,4.0,14.0,10.0,,135.0,18.0,261.0,,2.0,21.0,37.0,46.0,,372.0,,0.0,16.0,33.0,4.0,22.0,4.0,606.0,9.0,11.0,4.0,23.0,0.0
360552,9,2011-10-22 15:00:00,30,Bolton,Home,96.0,17.0,,3.0,3.0,8.0,,152.0,8.0,2.0,3.0,10.0,20.0,28.0,245.0,,3.0,20.0,16.0,16.0,10.0,2.0,,,,1.0,,,,,,,,,,2.0,12.0,7.0,36.0,65.0,,,,4.0,3.0,7.0,,2.0,8.0,4.0,,10.0,1.0,54.0,60.0,4.0,24.0,14.0,,,76.0,17.0,16.0,,,,,1.0,167.0,,,,,,10.0,,1.0,2.0,28.0,,19.0,14.0,1.0,3.0,73.0,84.0,45.0,11.0,,5.0,7.0,6.0,7.0,3.0,,50.0,45.0,24.0,,,,,,191.0,165.0,3.0,29.0,26.0,51.9,,1.0,0.0,82.0,1.0,1.0,,,,5.0,,3.0,88.0,12.0,125.0,41.0,50.0,9.0,1.0,13.0,12.0,,152.0,23.0,246.0,1.0,2.0,27.0,24.0,54.0,1.0,358.0,1.0,0.0,14.0,25.0,8.0,25.0,0.0,599.0,15.0,3.0,2.0,22.0,0.0
360565,10,2011-10-29 15:00:00,30,Bolton,Away,122.0,10.0,,1.0,1.0,4.0,,109.0,7.0,1.0,1.0,5.0,30.0,16.0,230.0,,,13.0,5.0,12.0,4.0,,,1.0,,1.0,,,,,5.0,,,,,1.0,13.0,10.0,43.0,45.0,1.0,1.0,,5.0,1.0,8.0,1.0,2.0,7.0,1.0,,6.0,2.0,38.0,39.0,5.0,8.0,4.0,,,51.0,14.0,9.0,,,1.0,,1.0,99.0,,,,,,9.0,,,1.0,6.0,,24.0,20.0,3.0,1.0,71.0,59.0,36.0,10.0,,2.0,2.0,3.0,9.0,1.0,,17.0,50.0,9.0,1.0,1.0,1.0,,,105.0,99.0,2.0,24.0,14.0,30.5,,1.0,0.0,76.0,2.0,3.0,1.0,,,4.0,,3.0,33.0,4.0,136.0,24.0,14.0,12.0,2.0,10.0,8.0,,67.0,12.0,163.0,,1.0,21.0,31.0,36.0,1.0,289.0,,1.0,8.0,12.0,1.0,16.0,3.0,446.0,12.0,6.0,2.0,7.0,0.0
