matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attLgCentre,attObxdLeft,attObxdRight,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,opponent,opponent_id,outfielderBlock,overrun,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
321761,11.0,2010-11-06 12:45:00,30,Bolton,Home,72.0,16.0,1.0,5.0,4.0,12.0,,150.0,5.0,2.0,1.0,17.0,8.0,27.0,217.0,1.0,2.0,19.0,25.0,21.0,9.0,2.0,1.0,,,,,,,,,14.0,1.0,,,,1.0,2.0,8.0,5.0,,37.0,63.0,,,,2.0,4.0,6.0,,7.0,9.0,8.0,1.0,22.0,1.0,69.0,72.0,2.0,26.0,13.0,,,103.0,14.0,9.0,2.0,1.0,4.0,2.0,,163.0,3.0,,3.0,3.0,,1.0,10.0,,,3.0,,,,,2.0,22.0,1.0,12.0,8.0,3.0,1.0,69.0,100.0,52.0,6.0,1.0,7.0,7.0,6.0,,,2.0,1.0,42.0,78.0,29.0,,,,,1.0,194.0,178.0,7.0,17.0,32.0,43.4,1.0,,0.0,,,,57.0,,2.0,,,1.0,10.0,,3.0,92.0,14.0,84.0,34.0,42.0,10.0,6.0,25.0,19.0,2.0,168.0,21.0,267.0,,2.0,37.0,9.0,62.0,2.0,326.0,1.0,0.0,20.0,36.0,3.0,25.0,1.0,569.0,8.0,6.0,7.0,22.0,0.0
321774,12.0,2010-11-10 20:00:00,30,Bolton,Away,46.0,15.0,5.0,8.0,3.0,8.0,,108.0,6.0,,3.0,12.0,10.0,25.0,146.0,1.0,3.0,9.0,12.0,23.0,5.0,4.0,1.0,,,,,,1.0,,,6.0,,,1.0,,,1.0,18.0,9.0,,36.0,42.0,3.0,2.0,1.0,8.0,4.0,8.0,1.0,9.0,8.0,3.0,,9.0,1.0,47.0,64.0,7.0,33.0,19.0,,,70.0,12.0,9.0,1.0,,2.0,,,127.0,1.0,,1.0,1.0,,1.0,14.0,,,1.0,1.0,,,,,34.0,1.0,14.0,11.0,1.0,3.0,36.0,70.0,32.0,15.0,,4.0,6.0,3.0,,,9.0,5.0,41.0,39.0,22.0,,,,,,172.0,142.0,1.0,17.0,13.0,35.7,1.0,2.0,0.0,,,,35.0,4.0,2.0,,,1.0,5.0,1.0,2.0,58.0,10.0,58.0,31.0,62.0,11.0,9.0,20.0,11.0,2.0,113.0,22.0,196.0,1.0,,32.0,11.0,51.0,2.0,234.0,1.0,0.0,12.0,27.0,4.0,12.0,2.0,477.0,9.0,5.0,10.0,19.0,0.0
321786,13.0,2010-11-13 15:00:00,30,Bolton,Away,77.0,12.0,2.0,6.0,4.0,6.0,1.0,159.0,3.0,,2.0,14.0,12.0,34.0,230.0,1.0,1.0,17.0,21.0,28.0,10.0,2.0,,,,,,1.0,,,,12.0,,,,,,1.0,10.0,5.0,,47.0,66.0,1.0,,1.0,6.0,5.0,9.0,,2.0,9.0,7.0,,11.0,2.0,54.0,64.0,6.0,38.0,23.0,1.0,,92.0,11.0,9.0,1.0,,2.0,1.0,1.0,167.0,2.0,,1.0,2.0,,,6.0,,,2.0,1.0,,,,1.0,43.0,,13.0,9.0,1.0,2.0,72.0,99.0,41.0,12.0,1.0,5.0,9.0,5.0,,,4.0,2.0,52.0,52.0,28.0,,,,,,208.0,179.0,3.0,24.0,27.0,44.5,,2.0,0.0,,,,66.0,1.0,2.0,,1.0,,7.0,,2.0,83.0,14.0,101.0,36.0,67.0,9.0,2.0,19.0,17.0,,149.0,23.0,270.0,2.0,,38.0,14.0,75.0,2.0,352.0,1.0,0.0,17.0,21.0,4.0,26.0,0.0,610.0,14.0,6.0,3.0,16.0,0.0
321791,14.0,2010-11-20 15:00:00,30,Bolton,Home,112.0,9.0,1.0,9.0,8.0,4.0,,155.0,9.0,3.0,1.0,19.0,12.0,34.0,258.0,,3.0,9.0,14.0,18.0,11.0,1.0,2.0,,,1.0,,2.0,,,,15.0,2.0,,1.0,,,1.0,7.0,,,47.0,68.0,4.0,3.0,5.0,3.0,3.0,12.0,,2.0,10.0,9.0,,7.0,1.0,50.0,70.0,3.0,22.0,11.0,,1.0,76.0,13.0,10.0,4.0,,5.0,1.0,2.0,152.0,2.0,,1.0,1.0,1.0,,11.0,,,2.0,,,,,,19.0,1.0,20.0,16.0,1.0,1.0,77.0,86.0,51.0,3.0,1.0,8.0,6.0,8.0,,,,2.0,41.0,52.0,29.0,,,,,2.0,157.0,147.0,5.0,28.0,30.0,49.3,1.0,1.0,0.0,,,,79.0,1.0,,,,2.0,10.0,,3.0,72.0,14.0,122.0,17.0,32.0,15.0,2.0,22.0,20.0,2.0,134.0,19.0,255.0,,3.0,42.0,13.0,59.0,4.0,355.0,,0.0,21.0,31.0,5.0,13.0,1.0,569.0,14.0,11.0,2.0,22.0,0.0
321798,15.0,2010-11-27 15:00:00,30,Bolton,Home,90.0,14.0,1.0,9.0,8.0,7.0,,169.0,3.0,2.0,9.0,19.0,14.0,29.0,250.0,,2.0,11.0,23.0,22.0,18.0,1.0,1.0,,3.0,,1.0,4.0,,,,25.0,,,,,,1.0,7.0,10.0,,47.0,59.0,3.0,3.0,1.0,,7.0,8.0,,4.0,13.0,8.0,,7.0,2.0,55.0,76.0,,16.0,9.0,,,85.0,8.0,14.0,,,3.0,,4.0,161.0,2.0,,1.0,2.0,,,9.0,,,2.0,1.0,,,,,20.0,,16.0,12.0,2.0,9.0,76.0,95.0,45.0,4.0,2.0,8.0,13.0,10.0,,,4.0,3.0,56.0,42.0,26.0,,,,,,182.0,166.0,3.0,25.0,20.0,48.7,,,0.0,,,,71.0,2.0,2.0,,1.0,1.0,15.0,1.0,3.0,100.0,21.0,98.0,28.0,32.0,20.0,4.0,25.0,21.0,1.0,166.0,18.0,282.0,1.0,2.0,47.0,15.0,59.0,,355.0,1.0,0.0,32.0,29.0,3.0,15.0,2.0,597.0,16.0,11.0,4.0,18.0,0.0
321813,16.0,2010-12-04 15:00:00,30,Bolton,Away,71.0,15.0,4.0,6.0,2.0,5.0,,121.0,7.0,1.0,3.0,20.0,11.0,29.0,186.0,,1.0,19.0,12.0,16.0,6.0,1.0,,,,,,1.0,,,,6.0,,,,,,,14.0,7.0,,33.0,54.0,,,,3.0,5.0,14.0,,7.0,10.0,8.0,,13.0,6.0,63.0,59.0,3.0,7.0,5.0,1.0,,70.0,20.0,12.0,,,2.0,1.0,1.0,138.0,,,,,,,12.0,,,,1.0,,,,1.0,12.0,,25.0,19.0,3.0,3.0,64.0,78.0,40.0,8.0,,5.0,2.0,1.0,,,5.0,4.0,49.0,36.0,25.0,,,,,,176.0,166.0,2.0,26.0,18.0,41.0,,,0.0,,,,57.0,5.0,1.0,,,,6.0,,3.0,57.0,7.0,85.0,22.0,17.0,14.0,7.0,26.0,19.0,,121.0,19.0,233.0,2.0,1.0,42.0,12.0,55.0,1.0,292.0,,0.0,12.0,22.0,1.0,22.0,2.0,503.0,9.0,9.0,8.0,18.0,0.0
321818,17.0,2010-12-12 13:30:00,30,Bolton,Home,77.0,15.0,1.0,6.0,5.0,8.0,2.0,127.0,8.0,,4.0,13.0,12.0,31.0,198.0,,1.0,16.0,25.0,20.0,6.0,,,,,,2.0,3.0,,,,8.0,,,,,,2.0,16.0,5.0,,38.0,52.0,,,,8.0,3.0,3.0,1.0,3.0,8.0,5.0,,12.0,2.0,58.0,59.0,8.0,27.0,15.0,,,78.0,14.0,15.0,,,7.0,3.0,3.0,163.0,1.0,,1.0,1.0,,,12.0,,,1.0,3.0,,,,1.0,26.0,,12.0,7.0,1.0,4.0,56.0,99.0,54.0,10.0,2.0,4.0,3.0,6.0,,,9.0,4.0,39.0,52.0,24.0,,,,,,194.0,177.0,,19.0,17.0,49.6,,2.0,0.0,,,,60.0,4.0,1.0,1.0,,,5.0,,2.0,63.0,7.0,102.0,28.0,44.0,11.0,3.0,19.0,16.0,,129.0,20.0,234.0,3.0,,33.0,15.0,66.0,,317.0,,1.0,14.0,18.0,2.0,21.0,3.0,547.0,15.0,6.0,3.0,16.0,0.0
321834,18.0,2010-12-18 12:45:00,30,Bolton,Away,76.0,19.0,2.0,9.0,7.0,15.0,,165.0,6.0,2.0,3.0,10.0,21.0,28.0,232.0,1.0,1.0,35.0,21.0,26.0,11.0,1.0,,,,,,,,,,11.0,,,,,,,9.0,4.0,,40.0,63.0,3.0,3.0,,,6.0,10.0,,4.0,13.0,12.0,,13.0,1.0,65.0,61.0,,20.0,13.0,,,97.0,13.0,8.0,,,1.0,1.0,,198.0,,,,,,,8.0,,,,1.0,,,,,19.0,,12.0,11.0,2.0,3.0,57.0,102.0,57.0,2.0,,4.0,8.0,3.0,,,1.0,1.0,58.0,55.0,34.0,,,,,,222.0,210.0,3.0,21.0,26.0,52.6,,,0.0,,,,81.0,4.0,,,1.0,,4.0,1.0,3.0,89.0,12.0,111.0,36.0,32.0,11.0,4.0,30.0,26.0,,168.0,30.0,295.0,1.0,2.0,39.0,22.0,66.0,,376.0,1.0,0.0,13.0,24.0,1.0,41.0,3.0,610.0,15.0,3.0,5.0,22.0,0.0
321841,19.0,2010-12-26 15:00:00,30,Bolton,Home,111.0,6.0,2.0,5.0,3.0,7.0,1.0,137.0,4.0,1.0,5.0,16.0,13.0,27.0,243.0,1.0,3.0,25.0,13.0,14.0,8.0,3.0,3.0,,,,1.0,1.0,,1.0,,9.0,,,,,,1.0,10.0,6.0,,48.0,68.0,2.0,1.0,2.0,3.0,2.0,6.0,,5.0,3.0,4.0,,8.0,1.0,40.0,48.0,3.0,22.0,14.0,,1.0,91.0,8.0,9.0,1.0,,1.0,1.0,1.0,167.0,1.0,,1.0,1.0,,,6.0,,,2.0,,,,,,24.0,,18.0,10.0,2.0,6.0,72.0,92.0,45.0,7.0,1.0,6.0,6.0,6.0,,,6.0,5.0,62.0,34.0,17.0,,,,,,195.0,180.0,2.0,29.0,26.0,44.8,,,0.0,,,,80.0,2.0,2.0,,1.0,3.0,6.0,,3.0,76.0,12.0,134.0,25.0,37.0,8.0,5.0,13.0,8.0,3.0,148.0,27.0,246.0,,1.0,43.0,15.0,60.0,3.0,367.0,1.0,0.0,14.0,22.0,5.0,29.0,1.0,592.0,20.0,3.0,5.0,16.0,0.0
321848,20.0,2010-12-29 19:45:00,30,Bolton,Away,95.0,13.0,,6.0,6.0,7.0,1.0,108.0,7.0,,3.0,13.0,17.0,27.0,197.0,,,16.0,23.0,14.0,6.0,1.0,,,,,,,,,,7.0,,,,,,2.0,6.0,10.0,,38.0,60.0,,,,3.0,3.0,19.0,1.0,3.0,6.0,8.0,,7.0,5.0,77.0,57.0,3.0,10.0,3.0,,,67.0,26.0,12.0,,,1.0,1.0,,152.0,,,,,,,10.0,,,,,,,,2.0,9.0,,18.0,13.0,2.0,3.0,59.0,100.0,48.0,6.0,,2.0,5.0,3.0,,,3.0,,45.0,31.0,29.0,,,,,,165.0,157.0,3.0,28.0,22.0,42.2,,,0.0,,,,61.0,2.0,4.0,,,,4.0,,3.0,55.0,7.0,124.0,29.0,18.0,12.0,3.0,18.0,15.0,,108.0,18.0,204.0,,,45.0,18.0,62.0,3.0,310.0,1.0,0.0,10.0,23.0,2.0,26.0,2.0,487.0,5.0,8.0,3.0,16.0,0.0
