playerId,playerName,position,team_name,team_id,nationality,season,straightRedCards,gamesPlayed,totalRedCards,yellowCards,duelsLost,blockedShots,totalTackles,unsuccessfulShortPasses,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,aerialDuels,cleanSheets,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,totalFoulsWon,winningGoal,duels,recoveries,appearances,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,openPlayPasses,cornersWon,totalLossesOfPossession,tacklesWon,blocks,totalFoulsConceded,interceptions,successfulLongPasses,touches,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,handballsConceded,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,shotsOnTargetIncGoals,totalShots,goalAssists,successfulLayoffs,unsuccessfulCrossesOpenPlay,substituteOn,cornersTakenInclShortCorners,successfulCrossesAndCorners,unsuccessfulLayoffs,penaltyGoalsConceded,keyPassesAttemptAssists,unsuccessfulCrossesAndCorners,timesTackled,shotsOffTargetIncWoodwork,successfulDribbles,throwInsToOwnPlayer,forwardPasses,throughBalls,goals,awayGoals,homeGoals,rightFootGoals,unsuccessfulDribbles,clearancesOffTheLine,leftFootGoals,lastPlayerTackle,headedGoals,hitWoodwork,successfulCornersIntoBox,throwInsToOppositionPlayer,unsuccessfulCornersIntoBox,offsides,attemptsFromSetPieces,penaltiesConceded,ownGoalScored,gkUnsuccessfulDistribution,penaltiesSaved,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,savesFromPenalty,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,foulWonPenalty,penaltiesTaken,penaltyGoals,setPiecesGoals,redCards2ndYellow
27696,Fabrice Muamba,Midfielder,Bolton,30,England,2009-10,0.0,36.0,0.0,11.0,163.0,15.0,152.0,202.0,35.0,236.0,810.0,49.0,5.0,2946.0,31.0,196.0,7.0,178.0,526.0,16.0,12.0,54.0,55.0,132.0,18.0,0.0,359.0,153.0,36.0,50.0,334.0,48.0,310.0,18.0,809.0,7.0,314.0,102.0,4.0,66.0,80.0,48.0,1273.0,12.0,29.0,241.0,1.0,34.0,57.0,1.0,6.0,26.0,,11.0,3.0,1.0,,1.0,,2.0,14.0,3.0,41.0,20.0,8.0,3.0,,8.0,1.0,0.0,1.0,1.0,9.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Gavin McCann,Midfielder,Bolton,30,England,2009-10,0.0,11.0,0.0,4.0,30.0,2.0,16.0,49.0,5.0,69.0,212.0,11.0,,531.0,3.0,32.0,2.0,24.0,125.0,8.0,,21.0,11.0,27.0,4.0,0.0,62.0,23.0,11.0,8.0,94.0,9.0,51.0,8.0,202.0,3.0,114.0,8.0,4.0,11.0,16.0,18.0,343.0,2.0,7.0,55.0,,20.0,9.0,3.0,1.0,2.0,,7.0,11.0,6.0,10.0,6.0,,,6.0,19.0,10.0,1.0,4.0,3.0,,4.0,,,,,2.0,2.0,,,,,3.0,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
54102,Jack Wilshere,Midfielder,Bolton,30,England,2009-10,0.0,15.0,0.0,4.0,90.0,5.0,32.0,88.0,13.0,103.0,401.0,12.0,,1093.0,7.0,89.0,2.0,84.0,284.0,19.0,,4.0,18.0,83.0,34.0,2.0,179.0,84.0,15.0,11.0,209.0,16.0,167.0,5.0,399.0,6.0,192.0,21.0,,27.0,31.0,14.0,684.0,8.0,4.0,96.0,2.0,15.0,17.0,2.0,5.0,12.0,1.0,11.0,21.0,2.0,15.0,7.0,3.0,2.0,19.0,43.0,42.0,7.0,18.0,5.0,,9.0,1.0,1.0,0.0,,19.0,,1.0,,,,4.0,,11.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,
75773,Lee Chung-yong,Midfielder,Bolton,30,South Korea,2009-10,0.0,34.0,0.0,4.0,182.0,4.0,50.0,202.0,27.0,230.0,719.0,68.0,1.0,2411.0,36.0,164.0,6.0,132.0,477.0,103.0,3.0,19.0,50.0,146.0,41.0,4.0,346.0,142.0,34.0,14.0,390.0,44.0,278.0,32.0,713.0,20.0,449.0,36.0,1.0,17.0,67.0,12.0,1327.0,13.0,23.0,148.0,1.0,28.0,62.0,26.0,11.0,22.0,3.0,20.0,55.0,7.0,47.0,49.0,5.0,3.0,53.0,91.0,115.0,11.0,41.0,8.0,,18.0,4.0,1.0,3.0,1.0,62.0,1.0,3.0,1.0,,,18.0,3.0,24.0,5.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,
19930,Mark Davies,Midfielder,Bolton,30,England,2009-10,0.0,17.0,0.0,1.0,36.0,4.0,27.0,21.0,5.0,26.0,160.0,7.0,,549.0,6.0,54.0,1.0,53.0,121.0,9.0,,4.0,13.0,30.0,16.0,0.0,90.0,36.0,17.0,6.0,86.0,12.0,83.0,1.0,158.0,1.0,45.0,21.0,,15.0,16.0,13.0,275.0,4.0,2.0,49.0,2.0,5.0,7.0,1.0,2.0,5.0,,4.0,1.0,12.0,4.0,1.0,,,1.0,5.0,10.0,3.0,10.0,,,,,,,,3.0,,,1.0,,1.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
3289,Matthew Taylor,Midfielder,Bolton,30,England,2009-10,0.0,37.0,0.0,2.0,151.0,32.0,33.0,236.0,29.0,305.0,813.0,55.0,,2582.0,36.0,96.0,7.0,77.0,457.0,111.0,9.0,42.0,51.0,115.0,32.0,2.0,247.0,126.0,37.0,11.0,427.0,44.0,192.0,19.0,790.0,37.0,577.0,22.0,8.0,24.0,48.0,51.0,1531.0,8.0,33.0,138.0,2.0,69.0,70.0,23.0,33.0,77.0,1.0,29.0,84.0,8.0,74.0,57.0,3.0,1.0,50.0,171.0,65.0,44.0,12.0,16.0,,7.0,8.0,6.0,2.0,1.0,14.0,1.0,6.0,,1.0,2.0,16.0,3.0,54.0,2.0,29.0,,,,,,,,,,,,,,,,,,,,3.0,3.0,2.0,
1307,Ricardo Gardner,Midfielder,Bolton,30,Jamaica,2009-10,0.0,21.0,0.0,1.0,84.0,5.0,39.0,79.0,11.0,87.0,453.0,28.0,,1105.0,12.0,80.0,2.0,64.0,346.0,24.0,1.0,15.0,26.0,72.0,16.0,0.0,164.0,62.0,21.0,11.0,234.0,24.0,136.0,16.0,450.0,6.0,157.0,28.0,4.0,16.0,30.0,20.0,692.0,5.0,,138.0,1.0,8.0,22.0,2.0,2.0,10.0,1.0,36.0,17.0,10.0,5.0,6.0,2.0,,13.0,20.0,44.0,8.0,9.0,5.0,,4.0,1.0,0.0,1.0,,18.0,1.0,1.0,,,,3.0,,2.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
1589,Sean Davis,Midfielder,Bolton,30,England,2009-10,0.0,3.0,1.0,2.0,17.0,4.0,12.0,14.0,3.0,24.0,91.0,3.0,,234.0,3.0,16.0,1.0,16.0,58.0,2.0,,,3.0,14.0,4.0,0.0,33.0,16.0,3.0,3.0,46.0,2.0,30.0,,88.0,2.0,40.0,9.0,2.0,9.0,3.0,9.0,138.0,,3.0,25.0,,10.0,4.0,1.0,1.0,1.0,,1.0,3.0,,7.0,4.0,,,4.0,11.0,5.0,,,,,,,,,,,,,,,,2.0,,5.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0
19948,Stuart Holden,Midfielder,Bolton,30,United States,2009-10,0.0,2.0,0.0,0.0,7.0,,7.0,6.0,1.0,7.0,36.0,2.0,1.0,114.0,2.0,9.0,,9.0,25.0,,1.0,6.0,1.0,5.0,2.0,0.0,16.0,4.0,2.0,1.0,19.0,1.0,14.0,,34.0,2.0,19.0,6.0,1.0,3.0,2.0,4.0,71.0,,1.0,12.0,,1.0,3.0,,1.0,3.0,,2.0,3.0,1.0,6.0,2.0,,,2.0,9.0,1.0,2.0,,,,,,,,,,,,,,,1.0,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
18621,Tamir Cohen,Midfielder,Bolton,30,Israel,2009-10,0.0,27.0,1.0,6.0,117.0,17.0,75.0,144.0,26.0,169.0,554.0,57.0,3.0,2102.0,22.0,134.0,6.0,99.0,357.0,52.0,2.0,54.0,40.0,95.0,22.0,0.0,251.0,65.0,27.0,25.0,227.0,34.0,194.0,35.0,552.0,7.0,227.0,50.0,13.0,54.0,52.0,28.0,917.0,11.0,13.0,159.0,2.0,25.0,39.0,1.0,12.0,44.0,3.0,18.0,8.0,1.0,,1.0,1.0,2.0,13.0,8.0,16.0,32.0,2.0,3.0,,10.0,3.0,2.0,1.0,,7.0,,2.0,,1.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,1.0,,,,1.0
