season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAShot,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2021-22,9576162,1,36,Brighton_and_Hove_Albion,Away,55570,61933,Shane Duffy,shane-duffy,D,False,,,2.0,5.0,40.0,45.0,4.0,9.0,3.0,,,1.0,,,,,4.0,12.0,,,,,,,,2.0,,,90.0,2.0,1.0,,,,,4.0,,8.0,,,1.0,,10.0,,,,4.0,,6.0,43.0,49.0,4,2.0,71.0,,1.0,,2.0
2021-22,9576162,1,36,Brighton_and_Hove_Albion,Away,115365,83299,Lewis Dunk,lewis-dunk,D,False,,,4.0,10.0,60.0,70.0,2.0,1.0,5.0,,,,,,,,2.0,1.0,,,,,,,,2.0,,,90.0,,1.0,,,,,9.0,,6.9,,,,,4.0,,,,10.0,,16.0,62.0,78.0,0,,89.0,1.0,,,
2021-22,9576162,1,36,Brighton_and_Hove_Albion,Away,216308,110735,Adam Webster,adam-webster,D,False,,,4.0,19.0,31.0,50.0,1.0,3.0,7.0,,,,2.0,,,,4.0,6.0,,,,,,,,1.0,,,90.0,,1.0,,,,,24.0,,6.7,,,,,3.0,1.0,,,9.0,,32.0,41.0,73.0,0,3.0,92.0,,,,2.0
2021-22,9576162,1,36,Brighton_and_Hove_Albion,Away,910043,442229,Michał Karbownik,michal-karbownik,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576184,2,36,Brighton_and_Hove_Albion,Home,55570,61933,Shane Duffy,shane-duffy,D,False,,,2.0,6.0,68.0,74.0,4.0,6.0,1.0,,,2.0,,,,,6.0,6.0,,2.0,,1.0,,,,,,,90.0,1.0,3.0,,,,,5.0,,8.1,,,,,4.0,,,,4.0,,9.0,70.0,79.0,3,,92.0,,,,
2021-22,9576184,2,36,Brighton_and_Hove_Albion,Home,115365,83299,Lewis Dunk,lewis-dunk,D,False,,,1.0,6.0,54.0,60.0,4.0,1.0,2.0,,,,,,,,5.0,1.0,,1.0,,,,,,1.0,,,90.0,,,,,,,2.0,,6.9,,,,,3.0,,,,2.0,,7.0,55.0,62.0,0,,69.0,,,,
2021-22,9576184,2,36,Brighton_and_Hove_Albion,Home,216308,110735,Adam Webster,adam-webster,D,False,1.0,,2.0,46.0,59.0,104.0,,3.0,6.0,,,,,,,1.0,3.0,8.0,,2.0,,,,,,1.0,,,90.0,,1.0,,,,,9.0,,7.8,,,,,,1.0,3.0,,5.0,,53.0,60.0,110.0,0,4.0,123.0,,,1.0,2.0
2021-22,9576184,2,36,Brighton_and_Hove_Albion,Home,980635,433589,Haydon Roberts,haydon-roberts,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576147,3,36,Brighton_and_Hove_Albion,Home,55570,61933,Shane Duffy,shane-duffy,D,False,,,5.0,11.0,65.0,76.0,,3.0,2.0,,,,,,,,,4.0,,,,,,,,1.0,,,90.0,,1.0,,,,,9.0,,7.0,,,1.0,,5.0,,,,8.0,,17.0,67.0,84.0,1,1.0,96.0,1.0,,,1.0
2021-22,9576147,3,36,Brighton_and_Hove_Albion,Home,115365,83299,Lewis Dunk,lewis-dunk,D,False,,,4.0,20.0,58.0,78.0,1.0,2.0,3.0,,,,,,,,1.0,3.0,,,,,,,,2.0,,,90.0,,,,,,,6.0,,6.7,,,,,3.0,,,,7.0,,22.0,62.0,84.0,0,1.0,92.0,,,,1.0
2021-22,9576147,3,36,Brighton_and_Hove_Albion,Home,216308,110735,Adam Webster,adam-webster,D,False,,,3.0,31.0,48.0,79.0,,1.0,2.0,,,,1.0,,,,1.0,6.0,,,,,,,,2.0,,,90.0,,2.0,,,,,13.0,,7.3,,,,,2.0,1.0,1.0,,7.0,,38.0,52.0,89.0,0,4.0,107.0,2.0,,1.0,1.0
2021-22,9576147,3,36,Brighton_and_Hove_Albion,Home,219572,111478,Joël Veltman,joel-veltman,D,True,,,4.0,14.0,20.0,34.0,,1.0,5.0,,,,,,,,3.0,5.0,,3.0,,,,,,1.0,2.0,,45.0,,1.0,1.0,,,,8.0,,7.0,,,1.0,,1.0,2.0,2.0,,4.0,,19.0,20.0,37.0,1,2.0,58.0,2.0,,2.0,1.0
2021-22,9576147,3,36,Brighton_and_Hove_Albion,Home,980635,433589,Haydon Roberts,haydon-roberts,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576087,4,36,Brighton_and_Hove_Albion,Away,55570,61933,Shane Duffy,shane-duffy,D,False,,,8.0,14.0,27.0,41.0,2.0,5.0,5.0,,,,1.0,,,,6.0,6.0,,3.0,,,,,,3.0,,,90.0,,,,,,,9.0,,7.1,,,,,3.0,,,,10.0,,21.0,29.0,50.0,0,1.0,59.0,,,,
2021-22,9576087,4,36,Brighton_and_Hove_Albion,Away,115365,83299,Lewis Dunk,lewis-dunk,D,False,,,8.0,14.0,29.0,43.0,,,3.0,,,,,,,,,,,,,,,,,2.0,,,90.0,,,,,,,9.0,,7.2,,,,,4.0,,,,13.0,,22.0,30.0,52.0,0,,58.0,,,,
2021-22,9576087,4,36,Brighton_and_Hove_Albion,Away,216308,110735,Adam Webster,adam-webster,D,False,,,1.0,5.0,11.0,16.0,,1.0,,,,,,,,,1.0,2.0,,1.0,,,,,,2.0,,,37.0,,,,,,,3.0,,6.7,,,,,1.0,1.0,,,3.0,,7.0,12.0,19.0,0,,24.0,,,1.0,
2021-22,9576087,4,36,Brighton_and_Hove_Albion,Away,219572,111478,Joël Veltman,joel-veltman,D,False,,,2.0,21.0,13.0,34.0,3.0,1.0,5.0,,,,2.0,,,1.0,9.0,8.0,,3.0,,,,,,2.0,,,90.0,,,,,,,20.0,,6.8,,,,,,2.0,4.0,,5.0,,30.0,16.0,42.0,0,3.0,74.0,1.0,2.0,2.0,3.0
2021-22,9576087,4,36,Brighton_and_Hove_Albion,Away,794939,179268,Marc Cucurella,marc-cucurella,D,False,,,1.0,32.0,11.0,43.0,1.0,,6.0,,,,1.0,,,,3.0,4.0,,1.0,,,,,,,1.0,,82.0,,,,,,,13.0,,6.7,,,,,,1.0,3.0,,5.0,,41.0,15.0,53.0,0,1.0,76.0,,2.0,1.0,
2021-22,9576087,4,36,Brighton_and_Hove_Albion,Away,980635,433589,Haydon Roberts,haydon-roberts,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576398,5,36,Brighton_and_Hove_Albion,Home,55570,61933,Shane Duffy,shane-duffy,D,False,1.0,,1.0,3.0,20.0,22.0,1.0,4.0,3.0,,,1.0,,,,,1.0,6.0,,,,,,,,1.0,1.0,,90.0,,1.0,,,,,10.0,,7.2,,,1.0,,7.0,,1.0,,8.0,,10.0,23.0,32.0,2,2.0,47.0,,,,1.0
2021-22,9576398,5,36,Brighton_and_Hove_Albion,Home,99090,78916,Dan Burn,dan-burn,D,True,,,,,1.0,1.0,,1.0,,,,,,,,,2.0,1.0,,2.0,,,,,,1.0,,,20.0,,,,,,,7.0,,6.4,,,,,1.0,,,,3.0,,3.0,5.0,8.0,0,,10.0,,,,
