season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2022-23,10385511,1,36,Brighton_and_Hove_Albion,Away,115365,83299,Lewis Dunk,lewis-dunk,D,False,,,2.0,2.0,12.0,14.0,,1.0,4.0,,,,,,,,1.0,,,0.00044889,0.0657,0.0,,,,,,,,,,90.0,,1.0,,,,,,12.0,,6.6,,,1.0,,5.0,,,,12.0,,13.0,13.0,26.0,1,,34.0,,,,
2022-23,10385511,1,36,Brighton_and_Hove_Albion,Away,216308,110735,Adam Webster,adam-webster,D,False,,,1.0,11.0,10.0,21.0,,1.0,4.0,,,,,,,,2.0,,,0.033774,0.0227,0.0708,,,,,,,1.0,,,90.0,1.0,1.0,,,,,,12.0,,6.9,,,,,3.0,,,,6.0,,19.0,13.0,32.0,1,1.0,43.0,,,,1.0
2022-23,10385511,1,36,Brighton_and_Hove_Albion,Away,219572,111478,Joël Veltman,joel-veltman,D,False,,,1.0,10.0,8.0,18.0,2.0,1.0,6.0,,,,,,,4.0,3.0,,,0.00823285,0.0,0.0,1.0,,,,,,3.0,,,90.0,,2.0,,,,,,17.0,,7.0,,,,,6.0,1.0,1.0,,5.0,,16.0,12.0,27.0,0,2.0,55.0,1.0,,,2.0
2022-23,10385511,1,36,Brighton_and_Hove_Albion,Away,914691,232792,Tariq Lamptey,tariq-lamptey,D,True,,,,4.0,,4.0,1.0,,,,,,,,,2.0,2.0,,,0.0067335,0.0,0.0,1.0,,,,,,,,,15.0,,,,,,,,3.0,,6.6,,,,,,1.0,1.0,,,,6.0,,5.0,0,,13.0,1.0,1.0,1.0,
2022-23,10385511,1,36,Brighton_and_Hove_Albion,Away,962012,469142,Jan Paul van Hecke,jan-paul-van-hecke,D,True,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385511,1,36,Brighton_and_Hove_Albion,Away,996911,460028,Levi Colwill,levi-colwill,D,True,,,,1.0,,1.0,,,,,,,,,,,,,,0.00324469,0.0,0.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,0,,1.0,,,,
2022-23,10385743,2,36,Brighton_and_Hove_Albion,Home,115365,83299,Lewis Dunk,lewis-dunk,D,False,,,4.0,9.0,17.0,26.0,2.0,2.0,7.0,,,,,,,2.0,4.0,,,0.00329488,0.0,0.0,,,,,,,2.0,,,90.0,,,,,,,,7.0,,7.2,,,,,7.0,,,,8.0,,15.0,17.0,32.0,0,,48.0,1.0,2.0,,
2022-23,10385743,2,36,Brighton_and_Hove_Albion,Home,216308,110735,Adam Webster,adam-webster,D,False,,,1.0,14.0,7.0,21.0,1.0,5.0,4.0,,,,1.0,,,3.0,6.0,,,0.00860019,0.0,0.0,,,,,,,,,,90.0,,,,,,,,11.0,,6.8,,,,,3.0,1.0,,,3.0,,20.0,8.0,28.0,0,1.0,44.0,1.0,,,1.0
2022-23,10385743,2,36,Brighton_and_Hove_Albion,Home,219572,111478,Joël Veltman,joel-veltman,D,False,,,,12.0,22.0,34.0,2.0,2.0,8.0,,,,1.0,,1.0,4.0,4.0,,,0.0401595,0.1245,0.0,,,,,,,1.0,,,90.0,1.0,1.0,,,,,,9.0,,7.3,,,,,5.0,,,,2.0,,15.0,25.0,40.0,1,2.0,64.0,,,,2.0
2022-23,10385743,2,36,Brighton_and_Hove_Albion,Home,914691,232792,Tariq Lamptey,tariq-lamptey,D,True,,,,2.0,1.0,3.0,1.0,,,,,,,,,2.0,,,,0.00322343,0.0,0.0,,,,,,,,,,15.0,,,,,,,,6.0,,6.3,,,,,,1.0,1.0,,,,3.0,1.0,3.0,0,,10.0,4.0,,,
2022-23,10385743,2,36,Brighton_and_Hove_Albion,Home,962012,469142,Jan Paul van Hecke,jan-paul-van-hecke,D,True,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385743,2,36,Brighton_and_Hove_Albion,Home,996911,460028,Levi Colwill,levi-colwill,D,True,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385538,3,36,Brighton_and_Hove_Albion,Away,115365,83299,Lewis Dunk,lewis-dunk,D,False,,,2.0,4.0,37.0,41.0,3.0,1.0,6.0,,,,1.0,,,5.0,2.0,,,0.00165928,0.0,0.0,1.0,,,,,,1.0,,,90.0,,3.0,,,,,,6.0,,7.2,,,,,3.0,,,,6.0,,8.0,39.0,47.0,0,,57.0,,1.0,,
2022-23,10385538,3,36,Brighton_and_Hove_Albion,Away,216308,110735,Adam Webster,adam-webster,D,False,,,3.0,20.0,23.0,43.0,2.0,3.0,5.0,,,,1.0,,,3.0,4.0,,,0.00517569,0.1228,0.0,,,,,,,2.0,,,90.0,,,,,,,,16.0,,7.0,,,1.0,,3.0,,,,9.0,,29.0,28.0,57.0,1,,71.0,,1.0,,
2022-23,10385538,3,36,Brighton_and_Hove_Albion,Away,219572,111478,Joël Veltman,joel-veltman,D,False,1.0,,3.0,26.0,28.0,53.0,1.0,1.0,3.0,,,,,,,1.0,5.0,,,0.0429255,0.0,0.0,1.0,,,,,,,,,90.0,,2.0,,,,,,11.0,,7.7,,,,,5.0,,1.0,,6.0,,33.0,28.0,60.0,0,3.0,83.0,3.0,1.0,,2.0
2022-23,10385538,3,36,Brighton_and_Hove_Albion,Away,914691,232792,Tariq Lamptey,tariq-lamptey,D,True,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
