season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2016-17,7089877,1,56,Sunderland,Away,763,3736,John O'Shea,john-oshea,D,False,,,1.0,3.0,4.0,7.0,,2.0,1.0,,,,,,,,1.0,2.0,,,1.0,,,,,,,90.0,,1.0,,,,,13.0,,6.4,,,,1.0,,,,4.0,,13.0,6.0,19.0,0,,26.0,1.0,,,
2016-17,7089877,1,56,Sunderland,Away,946,7958,Jermain Defoe,jermain-defoe,F,False,,,,1.0,2.0,3.0,,1.0,,,1.0,,,,,,2.0,3.0,,,3.0,,1.0,,,,,83.0,2.0,,,,,,3.0,,7.0,,,,,,,,,1.0,2.0,2.0,4.0,2,1.0,12.0,2.0,1.0,,1.0
2016-17,7089877,1,56,Sunderland,Away,1018,37742,Younès Kaboul,younes-kaboul,D,False,,,,4.0,7.0,11.0,1.0,4.0,3.0,,,,1.0,,,,2.0,8.0,,,,,,,,1.0,,90.0,,1.0,,,,,8.0,,7.0,,,,13.0,2.0,1.0,,3.0,,11.0,7.0,17.0,0,1.0,38.0,,1.0,2.0,
2016-17,7089877,1,56,Sunderland,Away,17053,20487,Vito Mannone,vito-mannone,G,False,,,6.0,6.0,2.0,8.0,,1.0,8.0,,,,,,,,,1.0,,1.0,,,,1.0,,,,90.0,,,,,1.0,,19.0,1.0,6.3,1.0,3.0,,2.0,,,,25.0,,23.0,4.0,27.0,0,,37.0,,,,
2016-17,7089877,1,56,Sunderland,Away,18115,39187,Jeremain Lens,jeremain-lens,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7089877,1,56,Sunderland,Away,32002,49384,Jack Rodwell,jack-rodwell,D,False,,,1.0,5.0,4.0,9.0,,4.0,4.0,1.0,,1.0,1.0,,,,3.0,8.0,,,2.0,1.0,,,,1.0,1.0,90.0,,,,,,,6.0,,7.4,,,,2.0,,,,1.0,,8.0,7.0,15.0,1,3.0,25.0,,1.0,,2.0
2016-17,7089877,1,56,Sunderland,Away,51444,45076,Lamine Koné,lamine-kone,D,False,,,1.0,4.0,9.0,13.0,2.0,3.0,5.0,1.0,,1.0,1.0,,,,3.0,7.0,,,,,,,,2.0,1.0,90.0,,1.0,,,,,8.0,,7.1,,,,4.0,2.0,,,5.0,1.0,8.0,11.0,19.0,1,2.0,34.0,,,2.0,2.0
2016-17,7089877,1,56,Sunderland,Away,51640,60165,Wahbi Khazri,wahbi-khazri,F,True,,,1.0,,3.0,3.0,,,2.0,,,,1.0,,,1.0,2.0,2.0,,,,,,,,1.0,,25.0,,,,,,,7.0,,6.4,,,1.0,,1.0,1.0,,4.0,,5.0,3.0,7.0,1,,15.0,1.0,1.0,1.0,
2016-17,7089877,1,56,Sunderland,Away,74577,74230,Patrick van Aanholt,patrick-van-aanholt,D,False,2.0,,1.0,5.0,7.0,10.0,,,4.0,,,,,,,,1.0,3.0,,1.0,1.0,,,,,2.0,,90.0,1.0,,,1.0,,,16.0,,6.6,,,,7.0,1.0,5.0,,5.0,,13.0,10.0,18.0,1,2.0,51.0,1.0,,1.0,2.0
2016-17,7089877,1,56,Sunderland,Away,89510,77454,Fabio Borini,fabio-borini,F,False,,,,6.0,9.0,15.0,4.0,2.0,5.0,,,,3.0,,,1.0,9.0,5.0,,,1.0,,,,,1.0,1.0,90.0,,,,,,,13.0,,6.3,,,,,1.0,2.0,,3.0,,15.0,9.0,22.0,0,1.0,35.0,2.0,1.0,1.0,
2016-17,7089877,1,56,Sunderland,Away,106661,80935,Papy Djilobodji,papy-djilobodji,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7089877,1,56,Sunderland,Away,138530,111234,Jordan Pickford,jordan-pickford,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7089877,1,56,Sunderland,Away,240256,115854,Duncan Watmore,duncan-watmore,M,False,,,,5.0,2.0,7.0,4.0,3.0,4.0,,,,,,,1.0,9.0,4.0,,,2.0,,,,,,,64.0,,,,,,,9.0,,6.4,,,1.0,,2.0,,,,,8.0,3.0,11.0,1,,24.0,2.0,2.0,,
2016-17,7089877,1,56,Sunderland,Away,328145,154976,Adnan Januzaj,adnan-januzaj,M,True,,,,1.0,2.0,3.0,2.0,,3.0,,,,,,,,3.0,4.0,,,2.0,,,,,1.0,,26.0,,,,,,,9.0,,6.6,,,,1.0,2.0,6.0,,,,7.0,2.0,3.0,0,,20.0,3.0,2.0,2.0,
2016-17,7089877,1,56,Sunderland,Away,592876,160817,Paddy McNair,paddy-mcnair,D,True,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,7.0,,,1.0,,,,3.0,,,,,,1.0,,,,,,2.0,1.0,3.0,0,1.0,6.0,,,,1.0
2016-17,7089877,1,56,Sunderland,Away,791439,149016,Lynden Gooch,lynden-gooch,D,False,1.0,,,5.0,1.0,5.0,2.0,,3.0,,,,3.0,,,,6.0,3.0,,,1.0,,,,,1.0,1.0,65.0,,,,,,,9.0,,6.3,,,,,2.0,4.0,,3.0,,10.0,2.0,8.0,0,,21.0,2.0,1.0,2.0,
2016-17,7089877,1,56,Sunderland,Away,812158,160816,Donald Love,donald-love,D,False,,,2.0,6.0,4.0,10.0,1.0,1.0,6.0,,,,3.0,,,,5.0,8.0,,,1.0,,,,,2.0,,90.0,,1.0,,,,,14.0,,6.8,,,,4.0,,1.0,,4.0,,10.0,7.0,16.0,0,6.0,51.0,2.0,1.0,,5.0
2016-17,7089877,1,56,Sunderland,Away,825901,219727,Joel Asoro,joel-asoro,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7090017,2,56,Sunderland,Home,763,3736,John O'Shea,john-oshea,D,False,,,,6.0,7.0,13.0,1.0,2.0,2.0,,,,1.0,,,,2.0,3.0,,,,,,,,2.0,,37.0,,,,,,,5.0,,6.4,,,,,,,,1.0,,11.0,7.0,18.0,0,,21.0,,1.0,,
2016-17,7090017,2,56,Sunderland,Home,946,7958,Jermain Defoe,jermain-defoe,F,False,,,,8.0,3.0,11.0,1.0,,1.0,,,1.0,1.0,,,2.0,4.0,3.0,,,,,,,,,,90.0,,,,,,,5.0,,6.6,,,1.0,,1.0,,,,1.0,9.0,3.0,12.0,2,1.0,25.0,2.0,1.0,1.0,
2016-17,7090017,2,56,Sunderland,Home,1924,7525,Steven Pienaar,steven-pienaar,M,True,,,1.0,32.0,14.0,46.0,2.0,1.0,3.0,,,,,,,3.0,5.0,4.0,,,1.0,,,,,,1.0,53.0,,1.0,,,,,12.0,,6.7,,,1.0,,1.0,1.0,,1.0,,39.0,15.0,53.0,1,1.0,66.0,1.0,1.0,1.0,1.0
2016-17,7090017,2,56,Sunderland,Home,17053,20487,Vito Mannone,vito-mannone,G,False,,1.0,2.0,1.0,10.0,11.0,,,9.0,,,,,,,,,1.0,,,,,,,,,,90.0,,,,,,,7.0,,6.3,,1.0,,,,,1.0,9.0,,8.0,10.0,18.0,0,,27.0,,,,
2016-17,7090017,2,56,Sunderland,Home,18115,39187,Jeremain Lens,jeremain-lens,F,True,,,2.0,11.0,2.0,13.0,,1.0,3.0,,,3.0,1.0,,,1.0,5.0,3.0,,,1.0,,,,,1.0,2.0,45.0,,1.0,,,,,11.0,,6.7,,,,,2.0,,,2.0,,16.0,2.0,18.0,3,1.0,38.0,2.0,2.0,,1.0
2016-17,7090017,2,56,Sunderland,Home,32002,49384,Jack Rodwell,jack-rodwell,D,False,,,,9.0,17.0,26.0,,2.0,7.0,,,,1.0,,,1.0,3.0,3.0,,,1.0,,,,,2.0,,90.0,,1.0,,,,,9.0,,6.5,,,1.0,3.0,,,,5.0,,15.0,19.0,34.0,1,1.0,45.0,,,,
2016-17,7090017,2,56,Sunderland,Home,51640,60165,Wahbi Khazri,wahbi-khazri,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7090017,2,56,Sunderland,Home,74577,74230,Patrick van Aanholt,patrick-van-aanholt,D,False,1.0,,1.0,27.0,11.0,37.0,1.0,,5.0,,,,,,,,3.0,5.0,,,1.0,,1.0,,,1.0,2.0,90.0,2.0,,,,,,9.0,,7.7,,,,,3.0,1.0,,2.0,,31.0,13.0,43.0,2,2.0,66.0,,1.0,2.0,1.0
2016-17,7090017,2,56,Sunderland,Home,106661,80935,Papy Djilobodji,papy-djilobodji,D,False,,,5.0,16.0,29.0,45.0,4.0,7.0,12.0,,,,,,,,4.0,9.0,,,1.0,,,,,3.0,,90.0,1.0,,,,,,21.0,,7.1,,,1.0,5.0,1.0,,,16.0,,32.0,32.0,64.0,2,1.0,80.0,1.0,1.0,1.0,1.0
2016-17,7090017,2,56,Sunderland,Home,138530,111234,Jordan Pickford,jordan-pickford,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7090017,2,56,Sunderland,Home,240256,115854,Duncan Watmore,duncan-watmore,M,False,1.0,,2.0,16.0,,15.0,,,1.0,,,,,,,4.0,8.0,7.0,,,,,,,,,1.0,81.0,1.0,,,,,,18.0,,6.5,,,,,9.0,2.0,,5.0,1.0,24.0,2.0,24.0,1,1.0,45.0,,1.0,5.0,1.0
2016-17,7090017,2,56,Sunderland,Home,328145,154976,Adnan Januzaj,adnan-januzaj,M,False,1.0,,2.0,11.0,3.0,13.0,1.0,1.0,5.0,,,1.0,,,,5.0,8.0,9.0,,,,,,,,1.0,4.0,90.0,1.0,,,,,,25.0,,7.1,,,2.0,,8.0,9.0,,3.0,,26.0,3.0,20.0,4,,53.0,1.0,2.0,6.0,
2016-17,7090017,2,56,Sunderland,Home,592876,160817,Paddy McNair,paddy-mcnair,D,False,,,1.0,8.0,6.0,14.0,3.0,1.0,4.0,,,,2.0,,,,6.0,4.0,,,1.0,,,,,,,45.0,,,,,,,9.0,,6.4,,,,1.0,,1.0,,1.0,,16.0,6.0,21.0,0,2.0,28.0,1.0,1.0,,1.0
2016-17,7090017,2,56,Sunderland,Home,770279,154558,Thomas Robson,thomas-robson,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7090017,2,56,Sunderland,Home,791439,149016,Lynden Gooch,lynden-gooch,D,False,2.0,,2.0,24.0,12.0,34.0,1.0,,4.0,,,2.0,,,,2.0,6.0,7.0,,,3.0,,,,,1.0,2.0,90.0,,,,,,,10.0,,7.3,,,,,3.0,4.0,,3.0,,30.0,12.0,38.0,2,3.0,61.0,2.0,1.0,3.0,3.0
