season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,goalAssist,goals,minutesPlayed,ownGoals,penaltyMiss,totalShots
2011-12,1769053,11,56,Sunderland,Away,43442,53371,David Meyler,david-meyler,M,True,0.0,0.0,14.0,0.0,,0.0
2011-12,1769053,11,56,Sunderland,Away,50485,59125,Connor Wickham,connor-wickham,F,False,0.0,0.0,5.0,0.0,,0.0
2011-12,1769053,11,56,Sunderland,Away,100578,108416,John Egan,john-egan,D,True,,,,,,
2011-12,1769053,11,56,Sunderland,Away,823127,98769,Ji Dong-Won,ji-dong-won,F,True,0.0,0.0,85.0,0.0,,0.0
2011-12,1769062,12,56,Sunderland,Home,749,1841,Wes Brown,wes-brown,D,False,0.0,0.0,90.0,0.0,,0.0
2011-12,1769062,12,56,Sunderland,Home,763,3736,John O'Shea,john-oshea,D,False,0.0,0.0,90.0,0.0,,0.0
2011-12,1769062,12,56,Sunderland,Home,764,15073,Kieran Richardson,kieran-richardson,M,False,0.0,0.0,90.0,0.0,,0.0
2011-12,1769062,12,56,Sunderland,Home,768,17997,Phil Bardsley,phil-bardsley,D,False,0.0,0.0,90.0,0.0,,0.0
2011-12,1769062,12,56,Sunderland,Home,9968,7631,David Vaughan,david-vaughan,M,True,,,,,,
2011-12,1769062,12,56,Sunderland,Home,14049,27697,Nicklas Bendtner,nicklas-bendtner,F,False,0.0,0.0,90.0,0.0,,0.0
2011-12,1769062,12,56,Sunderland,Home,14210,28448,Lee Cattermole,lee-cattermole,M,False,0.0,0.0,90.0,0.0,,0.0
2011-12,1769062,12,56,Sunderland,Home,14235,28468,Craig Gardner,craig-gardner,M,True,,,,,,
2011-12,1769062,12,56,Sunderland,Home,15162,19478,Trevor Carson,trevor-carson,G,True,,,,,,
2011-12,1769062,12,56,Sunderland,Home,16501,15864,Michael Turner,michael-turner,D,False,0.0,0.0,90.0,0.0,,0.0
2011-12,1769062,12,56,Sunderland,Home,16657,34392,Stéphane Sessègnon,stephane-sessegnon,M,False,0.0,0.0,90.0,0.0,,0.0
