matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attOboxOwnGoal,attObxdLeft,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsGainedLosingPos,punches,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
442000,1.0,2012-08-20 20:00:00,11,Everton,Home,58.0,11.0,3.0,6.0,3.0,1.0,1.0,144.0,9.0,,1.0,8.0,9.0,16.0,196.0,,,16.0,18.0,28.0,8.0,4.0,,,,1.0,,1.0,2.0,,,,,,,9.0,,1.0,1.0,,1.0,8.0,6.0,,,,42.0,61.0,1.0,,1.0,4.0,2.0,7.0,1.0,,6.0,6.0,3.0,,12.0,1.0,53.0,65.0,4.0,23.0,15.0,,,67.0,13.0,11.0,,,5.0,3.0,2.0,120.0,1.0,1.0,1.0,,1.0,,13.0,,,,2.0,,,,,22.0,2.0,14.0,8.0,4.0,1.0,49.0,67.0,34.0,8.0,1.0,7.0,6.0,7.0,,,,5.0,,,44.0,42.0,18.0,,,,,139.0,120.0,7.0,22.0,24.0,30.8,2.0,,1.0,0.0,,,,64.0,2.0,2.0,,,1.0,,9.0,1.0,3.0,72.0,,13.0,74.0,24.0,42.0,10.0,6.0,18.0,12.0,1.0,117.0,14.0,219.0,2.0,,36.0,11.0,47.0,,275.0,,0.0,18.0,19.0,1.0,18.0,1.0,485.0,,8.0,7.0,6.0,16.0,0.0
442009,2.0,2012-08-25 15:00:00,11,Everton,Away,174.0,16.0,3.0,8.0,5.0,4.0,,259.0,2.0,1.0,6.0,7.0,23.0,45.0,425.0,,,15.0,18.0,19.0,12.0,2.0,,2.0,,1.0,,,1.0,,,,,,,15.0,,,,,1.0,6.0,3.0,,,,74.0,73.0,1.0,1.0,,3.0,6.0,9.0,1.0,,9.0,12.0,3.0,,12.0,,54.0,49.0,3.0,14.0,8.0,1.0,2.0,77.0,12.0,12.0,1.0,,5.0,,1.0,174.0,3.0,,2.0,3.0,,,7.0,,,3.0,1.0,,,,3.0,17.0,,13.0,9.0,1.0,6.0,132.0,89.0,53.0,1.0,2.0,6.0,11.0,6.0,,,,3.0,2.0,,101.0,54.0,22.0,,,,,156.0,139.0,3.0,26.0,35.0,60.8,,,,0.0,,,,127.0,1.0,1.0,,,1.0,2.0,9.0,,3.0,143.0,,17.0,188.0,30.0,31.0,10.0,7.0,22.0,15.0,2.0,188.0,9.0,341.0,1.0,1.0,27.0,23.0,69.0,3.0,507.0,1.0,0.0,21.0,14.0,,22.0,0.0,699.0,,8.0,4.0,9.0,10.0,0.0
442026,3.0,2012-09-01 15:00:00,11,Everton,Away,163.0,16.0,3.0,6.0,3.0,3.0,1.0,229.0,4.0,,11.0,7.0,23.0,38.0,386.0,,,12.0,12.0,15.0,8.0,3.0,,1.0,,1.0,,,1.0,,,,,,,9.0,,,,,,6.0,6.0,,,,72.0,56.0,,1.0,,,5.0,4.0,,,3.0,9.0,10.0,,5.0,2.0,42.0,50.0,,19.0,15.0,1.0,,84.0,16.0,12.0,,,3.0,3.0,1.0,151.0,,,,,,,8.0,,,,1.0,,,,,26.0,,9.0,7.0,1.0,11.0,120.0,71.0,46.0,6.0,,5.0,6.0,2.0,,,,2.0,2.0,,82.0,52.0,26.0,,,,,136.0,114.0,2.0,24.0,18.0,55.7,,,,0.0,,,,108.0,1.0,2.0,,,,1.0,6.0,,3.0,105.0,,11.0,173.0,36.0,41.0,7.0,3.0,25.0,22.0,1.0,149.0,7.0,303.0,2.0,,19.0,27.0,57.0,1.0,451.0,,0.0,13.0,21.0,,14.0,4.0,639.0,,11.0,2.0,3.0,14.0,0.0
442031,4.0,2012-09-17 20:00:00,11,Everton,Home,107.0,10.0,,1.0,1.0,4.0,,219.0,4.0,,7.0,13.0,21.0,32.0,325.0,1.0,,30.0,13.0,22.0,11.0,1.0,,,,,,,,,,,,,,16.0,,,,1.0,1.0,8.0,3.0,,,,55.0,52.0,1.0,1.0,,2.0,6.0,10.0,,2.0,3.0,10.0,7.0,1.0,16.0,1.0,62.0,60.0,2.0,23.0,14.0,,1.0,87.0,18.0,13.0,1.0,,2.0,2.0,,152.0,2.0,,1.0,2.0,,,7.0,,,2.0,1.0,,,,1.0,25.0,2.0,8.0,5.0,,7.0,100.0,76.0,41.0,3.0,,4.0,10.0,6.0,,,,3.0,2.0,,99.0,47.0,26.0,,,,,171.0,154.0,2.0,17.0,22.0,58.3,1.0,,1.0,0.0,,,,99.0,1.0,,,,1.0,,6.0,,2.0,109.0,,14.0,119.0,24.0,40.0,14.0,2.0,21.0,19.0,,163.0,11.0,308.0,1.0,,28.0,23.0,57.0,3.0,406.0,1.0,0.0,18.0,17.0,,34.0,3.0,631.0,,19.0,8.0,3.0,15.0,0.0
442044,5.0,2012-09-22 12:45:00,11,Everton,Away,116.0,14.0,2.0,10.0,8.0,,3.0,245.0,6.0,,7.0,10.0,22.0,34.0,351.0,,,14.0,8.0,13.0,18.0,2.0,,4.0,,1.0,,,3.0,,,,,,1.0,21.0,,1.0,,,4.0,11.0,7.0,,,,66.0,55.0,4.0,3.0,2.0,2.0,9.0,,,,3.0,14.0,5.0,,12.0,4.0,31.0,50.0,2.0,19.0,7.0,,,58.0,9.0,22.0,2.0,,8.0,6.0,3.0,137.0,2.0,1.0,2.0,,2.0,1.0,8.0,,,1.0,1.0,,,,2.0,11.0,2.0,14.0,9.0,,7.0,106.0,61.0,39.0,8.0,1.0,8.0,14.0,11.0,,,,6.0,2.0,,105.0,43.0,34.0,,,,,122.0,110.0,4.0,23.0,21.0,51.5,1.0,,,0.0,,,,105.0,3.0,1.0,,,1.0,4.0,11.0,1.0,3.0,150.0,,22.0,125.0,23.0,31.0,8.0,2.0,27.0,25.0,4.0,186.0,7.0,316.0,1.0,,23.0,24.0,47.0,3.0,414.0,1.0,0.0,31.0,11.0,3.0,16.0,1.0,611.0,,5.0,4.0,3.0,8.0,0.0
442051,6.0,2012-09-29 15:00:00,11,Everton,Home,189.0,19.0,5.0,14.0,9.0,1.0,,244.0,4.0,,4.0,9.0,24.0,42.0,419.0,,1.0,15.0,14.0,7.0,11.0,5.0,,,,,,,,,,,,,,16.0,,1.0,,,,6.0,4.0,,,,92.0,65.0,3.0,1.0,2.0,3.0,6.0,5.0,,,10.0,11.0,8.0,,11.0,1.0,48.0,36.0,3.0,15.0,9.0,1.0,,66.0,4.0,6.0,2.0,,1.0,1.0,,152.0,3.0,,2.0,2.0,1.0,,16.0,,,2.0,,,,,1.0,15.0,1.0,24.0,19.0,,4.0,116.0,96.0,58.0,3.0,1.0,6.0,13.0,8.0,,,,,5.0,,83.0,60.0,24.0,,,,,152.0,142.0,3.0,24.0,29.0,52.4,1.0,,1.0,0.0,,,,122.0,2.0,2.0,,,,,8.0,1.0,3.0,133.0,,19.0,195.0,31.0,25.0,22.0,8.0,28.0,20.0,,174.0,7.0,315.0,,,26.0,24.0,66.0,6.0,482.0,1.0,0.0,22.0,16.0,1.0,19.0,0.0,723.0,,12.0,7.0,10.0,13.0,0.0
442068,7.0,2012-10-06 15:00:00,11,Everton,Away,91.0,10.0,,2.0,2.0,1.0,,218.0,2.0,,3.0,13.0,10.0,31.0,307.0,,1.0,30.0,11.0,10.0,13.0,,,,,,,,1.0,,,,,,,13.0,1.0,,1.0,,1.0,8.0,3.0,,,,47.0,39.0,3.0,2.0,2.0,2.0,6.0,3.0,,3.0,6.0,5.0,10.0,1.0,12.0,1.0,44.0,36.0,2.0,7.0,7.0,,,66.0,16.0,15.0,1.0,,5.0,1.0,1.0,142.0,1.0,,1.0,1.0,,,6.0,,,1.0,1.0,,,,2.0,17.0,1.0,15.0,11.0,2.0,3.0,111.0,66.0,36.0,7.0,,4.0,10.0,7.0,,,,3.0,2.0,,99.0,35.0,31.0,,,,1.0,168.0,155.0,1.0,12.0,20.0,53.9,1.0,,,0.0,,,,101.0,,1.0,,,1.0,,4.0,,3.0,134.0,,14.0,114.0,18.0,20.0,7.0,5.0,21.0,16.0,,180.0,12.0,308.0,1.0,,39.0,12.0,53.0,1.0,401.0,,0.0,17.0,8.0,1.0,38.0,5.0,583.0,,11.0,3.0,6.0,6.0,0.0
442073,8.0,2012-10-21 16:00:00,11,Everton,Away,97.0,7.0,2.0,5.0,3.0,3.0,2.0,142.0,7.0,,3.0,6.0,9.0,21.0,234.0,,,17.0,20.0,22.0,10.0,3.0,,,,1.0,,1.0,2.0,,,1.0,,,,8.0,,1.0,1.0,,2.0,9.0,7.0,,,,41.0,49.0,2.0,3.0,,6.0,6.0,10.0,,1.0,4.0,6.0,2.0,,8.0,3.0,63.0,56.0,6.0,12.0,7.0,,,60.0,18.0,12.0,,,5.0,2.0,2.0,137.0,,,,,,,10.0,,,,,,,,,17.0,2.0,9.0,7.0,,3.0,81.0,83.0,44.0,5.0,,6.0,7.0,3.0,,,,2.0,1.0,1.0,71.0,39.0,18.0,,,,,160.0,141.0,5.0,16.0,24.0,43.0,2.0,,2.0,0.0,,,,70.0,3.0,2.0,,1.0,1.0,,7.0,1.0,2.0,74.0,,13.0,117.0,21.0,31.0,10.0,4.0,14.0,10.0,1.0,121.0,11.0,226.0,,,30.0,9.0,46.0,3.0,329.0,,1.0,16.0,19.0,,20.0,0.0,522.0,,12.0,3.0,4.0,15.0,0.0
442082,9.0,2012-10-28 13:30:00,11,Everton,Home,116.0,17.0,3.0,11.0,8.0,5.0,2.0,208.0,6.0,1.0,3.0,6.0,16.0,32.0,313.0,,,28.0,19.0,17.0,9.0,4.0,,,,1.0,,,1.0,1.0,,,,,,9.0,,,,,1.0,8.0,6.0,,,,43.0,55.0,2.0,1.0,1.0,4.0,3.0,10.0,,,9.0,11.0,12.0,,12.0,1.0,68.0,63.0,4.0,5.0,3.0,,1.0,77.0,17.0,18.0,1.0,,4.0,3.0,1.0,154.0,1.0,,1.0,1.0,,,11.0,,,1.0,,,,,,11.0,,20.0,17.0,3.0,3.0,105.0,87.0,49.0,5.0,1.0,8.0,6.0,4.0,,,,2.0,2.0,1.0,72.0,59.0,30.0,,,,,169.0,159.0,5.0,20.0,24.0,56.2,,,,0.0,,,,97.0,,2.0,,,,,9.0,,2.0,101.0,,14.0,129.0,31.0,15.0,19.0,8.0,34.0,26.0,,156.0,11.0,304.0,,1.0,24.0,16.0,55.0,3.0,399.0,,0.0,16.0,20.0,1.0,33.0,4.0,625.0,,12.0,8.0,9.0,11.0,0.0
442089,10.0,2012-11-03 15:00:00,11,Everton,Away,167.0,18.0,2.0,12.0,10.0,1.0,2.0,255.0,5.0,1.0,7.0,9.0,14.0,34.0,410.0,2.0,1.0,28.0,11.0,10.0,16.0,2.0,,,,,,,,,,,,,1.0,21.0,,,,,3.0,3.0,6.0,,,,64.0,68.0,1.0,1.0,1.0,,9.0,4.0,,,9.0,21.0,7.0,,19.0,,51.0,55.0,,9.0,7.0,,,78.0,10.0,16.0,,,4.0,4.0,,170.0,1.0,,1.0,1.0,,,5.0,,,2.0,,,,,,11.0,1.0,19.0,15.0,2.0,7.0,134.0,80.0,55.0,5.0,2.0,7.0,12.0,9.0,,,,3.0,,,93.0,68.0,31.0,,,,,152.0,146.0,5.0,26.0,27.0,59.1,,,,0.0,,,,124.0,1.0,1.0,,,,,9.0,1.0,2.0,138.0,,19.0,180.0,28.0,15.0,15.0,8.0,40.0,32.0,,190.0,4.0,352.0,,1.0,26.0,14.0,53.0,1.0,492.0,3.0,0.0,27.0,21.0,6.0,29.0,1.0,723.0,,8.0,8.0,9.0,16.0,0.0
