matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attOboxOwnGoal,attObxdLeft,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,redCard,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
360476,1,2012-01-11 19:45:00,11,Everton,Away,131.0,2.0,1.0,5.0,4.0,,,155.0,4.0,,5.0,8.0,12.0,11.0,281.0,,,13.0,19.0,11.0,7.0,1.0,2.0,,,,,,,,,1.0,10.0,,,,,1.0,7.0,9.0,,,68.0,61.0,1.0,1.0,,,5.0,6.0,,4.0,12.0,10.0,,6.0,1.0,51.0,35.0,,15.0,5.0,,,70.0,16.0,6.0,,,1.0,,,135.0,,,,,,,11.0,,1.0,1.0,15.0,,29.0,22.0,3.0,5.0,72.0,74.0,28.0,6.0,,4.0,4.0,,,4.0,3.0,,73.0,32.0,23.0,,,,,,161.0,141.0,3.0,23.0,25.0,37.9,,1.0,0.0,86.0,1.0,1.0,,1.0,2.0,8.0,,3.0,92.0,,8.0,149.0,4.0,35.0,5.0,4.0,26.0,22.0,2.0,134.0,7.0,238.0,1.0,,36.0,13.0,35.0,,361.0,,0.0,13.0,18.0,,16.0,3.0,568.0,,16.0,,4.0,16.0,0.0
360483,2,2011-08-20 15:00:00,11,Everton,Home,133.0,11.0,,6.0,6.0,5.0,,201.0,,,10.0,10.0,11.0,24.0,328.0,,2.0,24.0,12.0,29.0,10.0,,,,,1.0,,2.0,,,,,12.0,,1.0,,,,2.0,2.0,6.0,8.0,45.0,56.0,1.0,1.0,,,2.0,4.0,,2.0,14.0,9.0,,18.0,,53.0,59.0,,5.0,3.0,,,73.0,12.0,7.0,,,4.0,1.0,2.0,176.0,,,,,,,6.0,,,,9.0,1.0,15.0,13.0,1.0,10.0,111.0,95.0,50.0,1.0,,6.0,4.0,4.0,431.0,2.0,,,76.0,57.0,38.0,,,,,,191.0,182.0,1.0,28.0,15.0,51.8,1.0,,0.0,107.0,,,,1.0,,8.0,,3.0,111.0,326.0,10.0,158.0,21.0,14.0,9.0,2.0,26.0,24.0,,161.0,8.0,307.0,,,28.0,13.0,50.0,4.0,439.0,,0.0,14.0,21.0,2.0,33.0,1.0,639.0,21.0,13.0,2.0,2.0,16.0,0.0
360490,3,2011-08-27 15:00:00,11,Everton,Away,127.0,7.0,,4.0,4.0,,,143.0,4.0,,8.0,9.0,3.0,27.0,266.0,,,21.0,13.0,21.0,8.0,,,,,,,1.0,,,,,9.0,1.0,,,,,14.0,7.0,,,51.0,57.0,1.0,1.0,1.0,4.0,3.0,10.0,,4.0,11.0,5.0,,11.0,2.0,52.0,58.0,4.0,27.0,18.0,,1.0,61.0,15.0,17.0,,,3.0,,1.0,161.0,,,,,,,7.0,,2.0,2.0,31.0,,13.0,11.0,1.0,8.0,86.0,91.0,40.0,5.0,1.0,5.0,3.0,3.0,,7.0,,,51.0,56.0,24.0,,2.0,2.0,1.0,1.0,175.0,159.0,,20.0,21.0,58.8,,2.0,0.0,74.0,5.0,2.0,,,,5.0,,3.0,77.0,,8.0,152.0,14.0,43.0,11.0,4.0,20.0,16.0,,133.0,10.0,240.0,2.0,,45.0,3.0,62.0,4.0,372.0,,0.0,11.0,13.0,1.0,27.0,1.0,578.0,,8.0,6.0,4.0,11.0,0.0
360501,4,2011-09-10 15:00:00,11,Everton,Home,105.0,11.0,4.0,5.0,1.0,3.0,,195.0,3.0,1.0,2.0,12.0,9.0,37.0,295.0,1.0,,23.0,17.0,17.0,11.0,5.0,1.0,,,,,,,,,,14.0,1.0,,,,2.0,3.0,6.0,,,50.0,55.0,6.0,6.0,2.0,2.0,6.0,5.0,,8.0,13.0,6.0,1.0,13.0,1.0,55.0,54.0,2.0,12.0,6.0,,,90.0,13.0,11.0,,1.0,4.0,1.0,,145.0,1.0,,,1.0,,,8.0,1.0,,1.0,10.0,,29.0,18.0,,2.0,100.0,97.0,51.0,,1.0,6.0,11.0,8.0,,2.0,3.0,,84.0,69.0,17.0,,,,,1.0,172.0,161.0,4.0,22.0,22.0,54.2,,,0.0,98.0,,1.0,,,1.0,7.0,,3.0,101.0,,17.0,123.0,20.0,23.0,20.0,8.0,28.0,20.0,1.0,160.0,8.0,298.0,,1.0,44.0,12.0,73.0,,393.0,1.0,0.0,21.0,14.0,,25.0,1.0,606.0,,8.0,12.0,8.0,12.0,0.0
360512,5,2011-09-17 15:00:00,11,Everton,Home,112.0,9.0,3.0,12.0,9.0,5.0,,194.0,2.0,1.0,8.0,15.0,7.0,37.0,294.0,,1.0,30.0,9.0,14.0,12.0,2.0,1.0,,2.0,,,2.0,,,,,14.0,,1.0,,,,4.0,6.0,,,44.0,59.0,1.0,,2.0,1.0,6.0,10.0,,4.0,14.0,10.0,1.0,14.0,,54.0,43.0,1.0,11.0,6.0,,,83.0,14.0,8.0,1.0,,5.0,2.0,2.0,139.0,2.0,,2.0,2.0,,,9.0,2.0,1.0,1.0,10.0,1.0,19.0,15.0,,8.0,87.0,95.0,57.0,9.0,1.0,6.0,10.0,5.0,,3.0,2.0,,56.0,80.0,23.0,,,,,,153.0,146.0,4.0,18.0,25.0,47.2,1.0,1.0,0.0,102.0,,,,2.0,1.0,8.0,2.0,3.0,116.0,,16.0,122.0,19.0,18.0,12.0,3.0,29.0,26.0,1.0,168.0,9.0,279.0,1.0,1.0,36.0,7.0,59.0,3.0,372.0,,0.0,19.0,17.0,1.0,36.0,2.0,594.0,,11.0,4.0,4.0,12.0,0.0
360522,6,2011-09-24 12:45:00,11,Everton,Away,106.0,9.0,,5.0,5.0,1.0,1.0,157.0,5.0,,8.0,6.0,11.0,20.0,258.0,,,16.0,8.0,5.0,6.0,,,,,,,,,,,,7.0,,,,,,7.0,12.0,,,41.0,48.0,,,,3.0,1.0,7.0,,5.0,9.0,6.0,,17.0,3.0,51.0,42.0,3.0,17.0,6.0,1.0,,53.0,13.0,9.0,,,1.0,1.0,,117.0,,,,,,,11.0,,2.0,,16.0,,26.0,23.0,3.0,8.0,86.0,73.0,44.0,7.0,,3.0,3.0,3.0,,2.0,5.0,,72.0,46.0,14.0,,,,,,150.0,129.0,,21.0,17.0,37.3,,,0.0,78.0,2.0,3.0,,,,4.0,,3.0,77.0,,6.0,122.0,20.0,38.0,12.0,4.0,20.0,16.0,,108.0,6.0,220.0,2.0,1.0,23.0,11.0,36.0,1.0,322.0,,0.0,8.0,22.0,,20.0,5.0,541.0,,11.0,6.0,5.0,19.0,0.0
360532,7,2011-10-01 12:45:00,11,Everton,Home,80.0,9.0,,2.0,2.0,1.0,,128.0,7.0,,3.0,6.0,7.0,23.0,206.0,,,13.0,17.0,9.0,7.0,,,,,,,,,,,,8.0,,,,,1.0,9.0,7.0,,,33.0,47.0,,,,3.0,3.0,2.0,1.0,5.0,7.0,7.0,,14.0,2.0,53.0,40.0,3.0,20.0,5.0,1.0,1.0,62.0,15.0,9.0,,,1.0,1.0,,109.0,,,,,,,15.0,,2.0,,14.0,,15.0,15.0,,3.0,58.0,63.0,29.0,9.0,,4.0,3.0,3.0,,4.0,1.0,,32.0,63.0,20.0,,1.0,1.0,1.0,,139.0,124.0,1.0,22.0,15.0,36.0,,2.0,0.0,68.0,4.0,1.0,,,,6.0,,3.0,66.0,,7.0,96.0,18.0,35.0,13.0,4.0,19.0,15.0,,102.0,8.0,191.0,2.0,,31.0,7.0,41.0,2.0,268.0,,1.0,12.0,14.0,,18.0,1.0,465.0,,10.0,8.0,5.0,12.0,0.0
360540,8,2011-10-15 17:30:00,11,Everton,Away,144.0,7.0,,3.0,3.0,1.0,,139.0,5.0,1.0,10.0,12.0,11.0,30.0,280.0,,,14.0,2.0,7.0,6.0,1.0,,,,,,,,,,,8.0,,,,1.0,1.0,3.0,4.0,,,41.0,53.0,1.0,,1.0,1.0,3.0,4.0,,2.0,5.0,2.0,,18.0,,41.0,41.0,1.0,22.0,12.0,,,56.0,11.0,13.0,1.0,,2.0,1.0,,118.0,1.0,,1.0,1.0,,,5.0,1.0,3.0,,18.0,1.0,16.0,13.0,2.0,10.0,87.0,61.0,36.0,2.0,,4.0,4.0,2.0,,,2.0,,54.0,41.0,13.0,,,,,,121.0,110.0,2.0,21.0,18.0,30.8,1.0,,0.0,89.0,,2.0,2.0,1.0,,4.0,,3.0,69.0,,8.0,156.0,12.0,33.0,8.0,2.0,10.0,8.0,,101.0,5.0,189.0,3.0,1.0,34.0,11.0,48.0,8.0,335.0,,0.0,9.0,19.0,1.0,17.0,2.0,517.0,,11.0,2.0,2.0,14.0,0.0
360553,9,2011-10-23 13:30:00,11,Everton,Away,120.0,6.0,,5.0,5.0,5.0,1.0,206.0,6.0,,16.0,10.0,12.0,30.0,321.0,,,13.0,15.0,9.0,7.0,,,,1.0,,,1.0,,,,,7.0,,,,,4.0,9.0,6.0,,,63.0,81.0,3.0,2.0,1.0,3.0,3.0,8.0,,1.0,8.0,11.0,,16.0,1.0,55.0,46.0,3.0,23.0,10.0,,,74.0,8.0,12.0,1.0,,5.0,3.0,1.0,153.0,2.0,,2.0,2.0,,,9.0,2.0,3.0,,17.0,,12.0,10.0,,16.0,98.0,92.0,53.0,5.0,2.0,3.0,6.0,5.0,,4.0,3.0,,74.0,64.0,26.0,,,,,,162.0,148.0,5.0,34.0,19.0,46.7,,,0.0,95.0,2.0,1.0,,,,4.0,,3.0,97.0,,9.0,144.0,15.0,37.0,14.0,1.0,23.0,22.0,,141.0,9.0,288.0,3.0,,39.0,12.0,60.0,1.0,409.0,,0.0,12.0,19.0,,16.0,1.0,623.0,,8.0,6.0,1.0,16.0,0.0
360560,10,2011-10-29 12:00:00,11,Everton,Home,156.0,7.0,,5.0,5.0,,,217.0,3.0,,7.0,3.0,8.0,44.0,368.0,,,23.0,9.0,8.0,12.0,1.0,,,,1.0,,2.0,,,,,14.0,,1.0,,,,3.0,4.0,,,50.0,63.0,,,,1.0,5.0,8.0,,4.0,12.0,11.0,,12.0,1.0,47.0,44.0,1.0,6.0,1.0,,,72.0,13.0,8.0,,,2.0,,2.0,147.0,,,,,,,3.0,,2.0,1.0,3.0,1.0,13.0,11.0,,7.0,122.0,74.0,47.0,1.0,,3.0,10.0,8.0,,2.0,1.0,,88.0,71.0,23.0,,,,,,149.0,144.0,5.0,29.0,20.0,52.4,1.0,,0.0,130.0,2.0,1.0,,,,6.0,,3.0,120.0,,13.0,169.0,18.0,11.0,11.0,4.0,27.0,23.0,,168.0,6.0,307.0,2.0,,21.0,8.0,67.0,3.0,449.0,,0.0,19.0,23.0,,27.0,3.0,640.0,,15.0,5.0,4.0,20.0,0.0
