matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,expectedGoalsFreekick,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperGoals,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalDistance,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,winningGoal,wonContest,wonCorners,wonTackle,yellowCard
2444472,1.0,2024-08-17 15:00:00,11,Everton,Home,153.0,21.0,1.0,4.0,3.0,4.0,1.0,117.0,4.0,2.0,4.0,15.0,4.0,45.0,266.0,,,24.0,13.0,18.0,3.0,1.0,,,0.0,,,,,8.0,0.0,,,,1.0,5.0,9.0,1.0,6.0,3.0,,66.0,52.0,,,,,10.0,4.0,6.0,,1.0,1.0,10.0,5.0,0.0,10.0,2.0,48.0,54.0,,11.0,4.0,,1.0,0.667151,0.4547,,0.0498,2.3748,69.0,8.0,8.0,,1.0,1.0,,127.0,,,,,,,4.0,,,0.0,1.0,,,,,4.0,,13.0,13.0,1.0,0.0,4.0,79.0,81.0,45.0,5.0,0.0,1.0,3.0,1.0,326.0,,,2.0,3.0,0.0,45.0,66.0,24.0,,,,,138.0,138.0,3.0,18.0,24.0,38.3,,,,,17.0,0.0,,,,72.0,2.0,,2.0,,,,4.0,,0.0,3.0,59.0,251.0,10.0,4.0,170.0,44.0,11.0,16.0,1.0,17.0,16.0,,,103.0,5.0,191.0,1.0,2.0,30.0,5.0,82.0,7.0,344.0,,1.0,9.0,23.0,,27.0,1.0,529.0,18.0,13.0,0.0,5.0,1.0,11.0,0.0
2444488,2.0,2024-08-24 15:00:00,11,Everton,Away,98.0,11.0,4.0,7.0,3.0,1.0,,97.0,5.0,1.0,2.0,7.0,2.0,25.0,188.0,,,14.0,11.0,14.0,5.0,3.0,6.0,1.0,,,,,,3.0,,,,,,9.0,9.0,4.0,10.0,,,34.0,48.0,,,,2.0,7.0,6.0,7.0,,,5.0,6.0,3.0,,6.0,2.0,55.0,59.0,2.0,15.0,5.0,1.0,,,,,,,44.0,15.0,11.0,,1.0,1.0,,116.0,,,,,,,6.0,,,,,,,,,5.0,,15.0,15.0,2.0,,2.0,46.0,52.0,28.0,12.0,,3.0,5.0,1.0,228.0,,,1.0,1.0,,32.0,25.0,18.0,,,,,108.0,108.0,3.0,18.0,22.0,29.5,,,,1.0,15.0,0.0,,,,55.0,2.0,1.0,3.0,,,1.0,3.0,2.0,,4.0,42.0,170.0,7.0,8.0,113.0,21.0,15.0,21.0,5.0,15.0,10.0,,1.0,76.0,5.0,153.0,,1.0,22.0,3.0,52.0,4.0,251.0,,0.0,10.0,29.0,2.0,15.0,0.0,435.0,24.0,9.0,,5.0,5.0,19.0,0.0
2444493,3.0,2024-08-31 15:00:00,11,Everton,Home,108.0,10.0,5.0,7.0,2.0,2.0,,156.0,7.0,2.0,1.0,8.0,4.0,37.0,257.0,,1.0,15.0,17.0,23.0,11.0,3.0,5.0,,,,,,,12.0,,,1.0,,1.0,2.0,12.0,5.0,13.0,5.0,,59.0,61.0,5.0,3.0,2.0,2.0,7.0,2.0,5.0,,,8.0,7.0,4.0,1.0,17.0,2.0,54.0,60.0,2.0,21.0,13.0,,,,,,,,70.0,6.0,11.0,1.0,3.0,3.0,,167.0,2.0,,2.0,1.0,1.0,,8.0,,,1.0,,,,,,13.0,1.0,12.0,12.0,2.0,,1.0,58.0,76.0,34.0,4.0,,7.0,9.0,8.0,323.0,,,5.0,2.0,,45.0,64.0,33.0,,,,,157.0,157.0,8.0,20.0,28.0,46.9,1.0,3.0,,1.0,16.0,0.0,,,,65.0,2.0,2.0,4.0,,,,8.0,,,2.0,81.0,239.0,7.0,16.0,121.0,17.0,21.0,19.0,7.0,21.0,14.0,108077.97,,139.0,5.0,249.0,,2.0,36.0,6.0,76.0,2.0,349.0,1.0,0.0,18.0,17.0,1.0,20.0,2.0,563.0,37.0,16.0,,10.0,8.0,11.0,0.0
2444501,4.0,2024-09-14 17:30:00,11,Everton,Away,96.0,7.0,2.0,6.0,4.0,1.0,2.0,92.0,9.0,2.0,4.0,7.0,3.0,21.0,182.0,,1.0,11.0,9.0,11.0,3.0,,,,,,,,1.0,3.0,,1.0,,,3.0,7.0,13.0,4.0,5.0,1.0,,36.0,45.0,1.0,1.0,1.0,4.0,3.0,1.0,6.0,1.0,,2.0,4.0,3.0,,8.0,,46.0,51.0,4.0,28.0,12.0,1.0,,0.885236,0.8968,,1.1424,2.3582,39.0,12.0,9.0,1.0,2.0,3.0,,110.0,1.0,1.0,1.0,,1.0,,10.0,,,1.0,,,,,,12.0,1.0,6.0,6.0,1.0,,4.0,49.0,53.0,33.0,6.0,1.0,2.0,2.0,2.0,215.0,,,4.0,,,30.0,45.0,15.0,,,,,102.0,102.0,4.0,22.0,10.0,27.1,1.0,3.0,,1.0,11.0,0.0,,,,45.0,4.0,1.0,4.0,,1.0,,3.0,,,5.0,39.0,160.0,3.0,4.0,112.0,18.0,28.0,19.0,2.0,12.0,10.0,110622.59,,65.0,2.0,140.0,,2.0,22.0,5.0,45.0,3.0,240.0,,0.0,6.0,24.0,1.0,13.0,4.0,412.0,15.0,13.0,,7.0,2.0,16.0,0.0
2444514,5.0,2024-09-21 15:00:00,11,Everton,Away,123.0,7.0,1.0,4.0,3.0,4.0,,152.0,7.0,1.0,2.0,7.0,,27.0,271.0,,3.0,18.0,17.0,12.0,11.0,1.0,1.0,2.0,,,,1.0,,15.0,,,,,,3.0,10.0,2.0,13.0,4.0,,52.0,53.0,2.0,3.0,,4.0,6.0,6.0,8.0,,,1.0,5.0,7.0,,11.0,,61.0,48.0,4.0,30.0,16.0,,,,,,,,53.0,12.0,11.0,,3.0,1.0,1.0,126.0,1.0,,,1.0,,,11.0,,,1.0,2.0,,,,,16.0,1.0,9.0,9.0,2.0,,2.0,85.0,54.0,31.0,6.0,1.0,5.0,8.0,5.0,309.0,,,3.0,4.0,,70.0,51.0,21.0,,,,,126.0,126.0,4.0,28.0,15.0,41.5,,2.0,,1.0,15.0,0.0,,,,72.0,1.0,,1.0,,,2.0,6.0,,,2.0,83.0,254.0,6.0,13.0,140.0,16.0,30.0,20.0,1.0,14.0,13.0,108436.32,2.0,116.0,7.0,209.0,2.0,1.0,20.0,,51.0,5.0,335.0,,0.0,17.0,18.0,3.0,24.0,2.0,547.0,25.0,13.0,,7.0,1.0,13.0,0.0
2444524,6.0,2024-09-28 15:00:00,11,Everton,Home,128.0,14.0,2.0,7.0,5.0,2.0,3.0,138.0,6.0,1.0,5.0,7.0,7.0,27.0,259.0,,,16.0,20.0,28.0,3.0,3.0,2.0,,,,,,,4.0,,,,,2.0,7.0,11.0,6.0,5.0,3.0,,57.0,57.0,1.0,1.0,,2.0,4.0,2.0,5.0,1.0,,5.0,8.0,6.0,,16.0,,63.0,59.0,2.0,22.0,11.0,,,,,,,,53.0,13.0,9.0,,3.0,4.0,,159.0,1.0,,,1.0,,,8.0,,,1.0,3.0,,,,,11.0,,16.0,16.0,1.0,,5.0,65.0,63.0,31.0,8.0,2.0,4.0,3.0,2.0,327.0,,,7.0,1.0,,42.0,68.0,34.0,,,,,149.0,149.0,5.0,17.0,23.0,40.1,,,3.0,,12.0,0.0,,,,66.0,2.0,2.0,3.0,,,,4.0,1.0,,3.0,76.0,247.0,4.0,7.0,142.0,26.0,22.0,17.0,5.0,23.0,18.0,110214.42,,128.0,6.0,228.0,3.0,1.0,23.0,9.0,60.0,2.0,347.0,1.0,0.0,8.0,14.0,1.0,22.0,2.0,552.0,16.0,11.0,,8.0,5.0,5.0,0.0
2444536,7.0,2024-10-05 17:30:00,11,Everton,Home,112.0,11.0,,2.0,2.0,3.0,,118.0,4.0,1.0,5.0,3.0,1.0,20.0,228.0,,,11.0,11.0,14.0,6.0,,,1.0,,1.0,,1.0,,7.0,,,,,,8.0,12.0,2.0,2.0,6.0,,42.0,60.0,1.0,2.0,,2.0,6.0,1.0,6.0,1.0,1.0,,7.0,2.0,,16.0,1.0,54.0,53.0,2.0,30.0,9.0,,,0.22407,0.6662,0.0389,0.5626,0.8644,58.0,12.0,8.0,,1.0,,1.0,135.0,,,,,,,9.0,,,,1.0,,,,,9.0,,10.0,10.0,,,5.0,68.0,61.0,27.0,10.0,,3.0,3.0,2.0,290.0,,,4.0,1.0,,47.0,53.0,15.0,1.0,1.0,1.0,,130.0,130.0,6.0,29.0,19.0,32.1,,,,2.0,21.0,0.0,,,,65.0,3.0,,3.0,,,1.0,5.0,,,2.0,60.0,220.0,6.0,6.0,130.0,28.0,30.0,22.0,,9.0,9.0,114268.13,1.0,107.0,6.0,189.0,1.0,1.0,22.0,1.0,57.0,2.0,310.0,,0.0,8.0,19.0,1.0,14.0,1.0,508.0,13.0,10.0,,13.0,,11.0,0.0
2444542,8.0,2024-10-19 15:15:00,11,Everton,Away,200.0,13.0,,3.0,3.0,1.0,1.0,122.0,3.0,2.0,4.0,5.0,2.0,27.0,319.0,1.0,1.0,10.0,12.0,11.0,6.0,,2.0,,,,1.0,1.0,2.0,7.0,,,,,,3.0,9.0,4.0,8.0,3.0,,63.0,50.0,1.0,2.0,1.0,4.0,4.0,,7.0,,,7.0,4.0,3.0,1.0,7.0,1.0,41.0,50.0,4.0,31.0,18.0,,,,,,,,46.0,10.0,12.0,,4.0,1.0,1.0,151.0,1.0,,1.0,,1.0,,9.0,,,1.0,,,,,1.0,18.0,,6.0,6.0,1.0,,4.0,95.0,57.0,23.0,5.0,1.0,3.0,4.0,8.0,377.0,,,3.0,1.0,,38.0,64.0,22.0,,,,,125.0,125.0,5.0,21.0,13.0,44.7,,,,2.0,16.0,0.0,,,,94.0,1.0,1.0,2.0,,1.0,,3.0,,,1.0,69.0,307.0,4.0,7.0,227.0,25.0,31.0,15.0,5.0,13.0,8.0,,,106.0,4.0,189.0,,2.0,28.0,2.0,68.0,,403.0,2.0,0.0,11.0,18.0,1.0,15.0,1.0,579.0,27.0,12.0,,9.0,8.0,12.0,0.0
2444556,9.0,2024-10-26 17:30:00,11,Everton,Home,172.0,14.0,,6.0,6.0,4.0,1.0,138.0,8.0,1.0,6.0,9.0,6.0,19.0,304.0,,,15.0,8.0,18.0,9.0,,,,,,,,,9.0,,1.0,,,1.0,3.0,7.0,7.0,8.0,2.0,,57.0,50.0,1.0,,1.0,1.0,9.0,2.0,7.0,,,4.0,6.0,6.0,,10.0,1.0,38.0,52.0,1.0,26.0,10.0,,2.0,,,,,,62.0,8.0,8.0,,1.0,2.0,,150.0,1.0,,1.0,1.0,,,11.0,,,1.0,,,,,1.0,10.0,1.0,8.0,8.0,1.0,,6.0,89.0,59.0,32.0,2.0,,3.0,7.0,5.0,359.0,,,2.0,,,42.0,49.0,32.0,,,,,129.0,129.0,2.0,27.0,11.0,39.9,1.0,,1.0,,19.0,0.0,,,,87.0,2.0,,2.0,,,,3.0,1.0,1.0,4.0,74.0,287.0,9.0,10.0,197.0,27.0,26.0,13.0,3.0,17.0,14.0,,,114.0,10.0,203.0,,1.0,27.0,6.0,51.0,4.0,383.0,,0.0,10.0,19.0,,19.0,1.0,565.0,17.0,15.0,,7.0,4.0,12.0,0.0
2444567,10.0,2024-11-02 15:00:00,11,Everton,Away,120.0,15.0,,5.0,5.0,1.0,1.0,132.0,4.0,,3.0,3.0,,20.0,247.0,,,8.0,7.0,6.0,7.0,2.0,4.0,,,,2.0,2.0,,7.0,,1.0,,,2.0,6.0,8.0,1.0,10.0,6.0,,56.0,50.0,3.0,3.0,,1.0,4.0,3.0,12.0,,1.0,6.0,6.0,7.0,,10.0,,49.0,51.0,1.0,17.0,9.0,,,,,,,,52.0,18.0,14.0,,2.0,1.0,2.0,92.0,,,,,,,7.0,,,,,,,,2.0,9.0,2.0,8.0,8.0,1.0,,3.0,79.0,46.0,22.0,3.0,,4.0,5.0,5.0,281.0,,,2.0,3.0,,50.0,37.0,28.0,,,,,105.0,105.0,7.0,18.0,21.0,34.7,1.0,,,1.0,11.0,0.0,,,,78.0,1.0,,1.0,,,,8.0,,,3.0,59.0,231.0,4.0,9.0,127.0,33.0,17.0,15.0,5.0,19.0,14.0,,,102.0,2.0,197.0,,,13.0,,51.0,1.0,305.0,,0.0,16.0,21.0,,12.0,2.0,476.0,27.0,11.0,,11.0,6.0,8.0,0.0
