matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
803170,1,2015-08-08 15:00:00,11,Everton,Home,193.0,27.0,2.0,6.0,4.0,2.0,,264.0,4.0,1.0,13.0,9.0,7.0,66.0,451.0,,,27.0,29.0,20.0,5.0,1.0,,,,,,,,,,,8.0,,,,,,,3.0,5.0,6.0,,,90.0,67.0,1.0,1.0,,2.0,11.0,2.0,11.0,,,8.0,10.0,13.0,,16.0,1.0,72.0,53.0,2.0,20.0,16.0,1.0,,102.0,7.0,13.0,,1.0,1.0,1.0,,215.0,2.0,,2.0,2.0,,,8.0,2.0,1.0,,17.0,,10.0,10.0,,13.0,133.0,113.0,75.0,2.0,1.0,3.0,5.0,5.0,533.0,3.0,4.0,,94.0,81.0,50.0,,,,,181.0,176.0,3.0,27.0,24.0,66.6,,,11.0,0.0,120.0,1.0,2.0,3.0,,1.0,,3.0,,3.0,130.0,432.0,5.0,8.0,200.0,51.0,25.0,15.0,7.0,31.0,24.0,,198.0,10.0,389.0,1.0,1.0,25.0,9.0,103.0,4.0,558.0,1.0,0.0,10.0,14.0,2.0,30.0,1.0,774.0,,7.0,6.0,8.0,10.0,0.0
803175,2,2015-08-15 12:45:00,11,Everton,Away,133.0,16.0,1.0,4.0,3.0,1.0,,185.0,7.0,,8.0,5.0,15.0,26.0,314.0,,,10.0,15.0,17.0,3.0,1.0,,1.0,,,,1.0,,,,,7.0,,,,,,,6.0,14.0,3.0,,,72.0,64.0,2.0,2.0,1.0,7.0,13.0,4.0,5.0,,,9.0,8.0,4.0,,12.0,2.0,46.0,48.0,7.0,28.0,22.0,,2.0,73.0,10.0,11.0,2.0,1.0,1.0,,1.0,176.0,3.0,,3.0,3.0,,1.0,13.0,3.0,2.0,1.0,23.0,,16.0,16.0,4.0,8.0,75.0,64.0,34.0,9.0,1.0,1.0,6.0,4.0,364.0,4.0,3.0,,51.0,69.0,23.0,,,,,138.0,134.0,3.0,30.0,19.0,45.6,,,13.0,0.0,70.0,2.0,2.0,4.0,,,1.0,2.0,,3.0,97.0,298.0,7.0,7.0,153.0,32.0,32.0,12.0,7.0,19.0,12.0,2.0,135.0,5.0,259.0,2.0,,22.0,16.0,64.0,2.0,393.0,,0.0,10.0,14.0,,14.0,2.0,590.0,,12.0,6.0,9.0,8.0,0.0
803186,3,2015-08-23 16:00:00,11,Everton,Home,156.0,17.0,2.0,5.0,3.0,1.0,,183.0,7.0,,6.0,4.0,16.0,28.0,334.0,,,16.0,16.0,11.0,7.0,1.0,,,1.0,1.0,,2.0,,,,,7.0,,,1.0,,,,3.0,9.0,7.0,,,59.0,51.0,,,,4.0,16.0,4.0,10.0,,1.0,8.0,7.0,4.0,,11.0,6.0,47.0,54.0,4.0,16.0,9.0,,1.0,58.0,5.0,7.0,,,2.0,,2.0,180.0,,,,,,,9.0,,2.0,,12.0,1.0,11.0,11.0,1.0,6.0,87.0,76.0,50.0,7.0,,3.0,5.0,1.0,388.0,4.0,,,33.0,67.0,21.0,,,,,130.0,122.0,3.0,25.0,13.0,45.7,1.0,,16.0,0.0,82.0,4.0,3.0,7.0,,,,5.0,1.0,3.0,80.0,318.0,11.0,8.0,172.0,28.0,24.0,22.0,8.0,19.0,11.0,,118.0,10.0,255.0,2.0,,23.0,18.0,57.0,3.0,408.0,,0.0,10.0,21.0,,18.0,0.0,608.0,,12.0,16.0,8.0,14.0,0.0
803194,4,2015-08-29 17:30:00,11,Everton,Away,156.0,20.0,1.0,4.0,3.0,3.0,1.0,216.0,10.0,,9.0,13.0,12.0,52.0,368.0,,,14.0,16.0,11.0,5.0,1.0,,,1.0,,,1.0,,,,,6.0,,,,,,1.0,3.0,10.0,10.0,,,68.0,54.0,1.0,1.0,,6.0,12.0,1.0,5.0,,,2.0,6.0,4.0,,15.0,5.0,54.0,55.0,6.0,15.0,8.0,,2.0,72.0,9.0,19.0,,,4.0,4.0,1.0,154.0,,,,,,,14.0,,1.0,,9.0,,6.0,6.0,3.0,9.0,119.0,85.0,54.0,6.0,,3.0,3.0,3.0,410.0,6.0,2.0,,57.0,83.0,19.0,,,,,141.0,137.0,,23.0,22.0,50.1,,,12.0,0.0,102.0,5.0,1.0,6.0,,1.0,,4.0,,3.0,92.0,340.0,8.0,6.0,175.0,35.0,19.0,18.0,2.0,16.0,14.0,,120.0,8.0,284.0,1.0,,30.0,12.0,87.0,1.0,443.0,,0.0,8.0,17.0,,17.0,1.0,644.0,,19.0,8.0,2.0,11.0,0.0
803204,5,2015-09-12 12:45:00,11,Everton,Home,129.0,11.0,1.0,6.0,5.0,,,164.0,6.0,,8.0,2.0,5.0,24.0,287.0,,3.0,10.0,5.0,12.0,7.0,1.0,,,,,1.0,1.0,,,,,11.0,,,,,,,6.0,9.0,6.0,,,50.0,51.0,1.0,,1.0,8.0,16.0,,7.0,,1.0,7.0,12.0,3.0,,7.0,,44.0,56.0,8.0,31.0,19.0,,1.0,57.0,12.0,12.0,,,2.0,,1.0,147.0,3.0,,2.0,3.0,,,10.0,3.0,1.0,,24.0,,7.0,7.0,1.0,8.0,82.0,65.0,41.0,14.0,,3.0,8.0,9.0,322.0,7.0,3.0,,42.0,55.0,25.0,,,,,118.0,110.0,1.0,25.0,15.0,38.8,,1.0,16.0,0.0,72.0,1.0,,1.0,,,,5.0,,3.0,77.0,268.0,7.0,11.0,144.0,20.0,39.0,23.0,4.0,19.0,15.0,,109.0,4.0,226.0,1.0,,15.0,5.0,51.0,,351.0,2.0,0.0,14.0,23.0,5.0,12.0,2.0,554.0,,7.0,9.0,7.0,19.0,0.0
803214,6,2015-09-19 15:00:00,11,Everton,Away,164.0,16.0,1.0,3.0,2.0,3.0,,201.0,6.0,1.0,1.0,6.0,9.0,30.0,362.0,,2.0,18.0,13.0,11.0,11.0,2.0,,,,,,1.0,,,,1.0,12.0,,,,,,2.0,8.0,7.0,5.0,,,67.0,61.0,3.0,4.0,,2.0,22.0,8.0,8.0,,,4.0,11.0,3.0,,9.0,1.0,53.0,50.0,2.0,11.0,7.0,,1.0,57.0,11.0,12.0,,1.0,3.0,1.0,1.0,176.0,,,,,,,12.0,,,,8.0,,27.0,27.0,4.0,2.0,93.0,77.0,43.0,2.0,,7.0,6.0,2.0,427.0,3.0,2.0,,74.0,35.0,26.0,,,,,146.0,143.0,2.0,31.0,25.0,52.1,,,22.0,0.0,118.0,2.0,1.0,3.0,,,,7.0,,2.0,115.0,345.0,7.0,14.0,186.0,27.0,14.0,22.0,3.0,18.0,15.0,,158.0,6.0,286.0,,1.0,34.0,11.0,70.0,1.0,454.0,,1.0,17.0,17.0,2.0,18.0,2.0,648.0,,10.0,10.0,4.0,13.0,0.0
803227,7,2015-09-28 20:00:00,11,Everton,Away,191.0,18.0,2.0,5.0,3.0,5.0,,188.0,6.0,,9.0,4.0,7.0,34.0,374.0,,3.0,17.0,21.0,15.0,4.0,2.0,,,,,,1.0,,,,1.0,9.0,,,,,,,4.0,4.0,5.0,,,59.0,61.0,3.0,2.0,2.0,8.0,21.0,3.0,11.0,,,4.0,7.0,6.0,,9.0,,58.0,45.0,8.0,27.0,18.0,1.0,,62.0,8.0,9.0,2.0,,2.0,,1.0,161.0,3.0,,3.0,3.0,,,7.0,3.0,1.0,,20.0,,12.0,12.0,1.0,9.0,115.0,78.0,43.0,6.0,,4.0,5.0,4.0,449.0,1.0,4.0,,39.0,59.0,25.0,,,,,158.0,148.0,4.0,25.0,23.0,54.0,,,21.0,0.0,135.0,,2.0,2.0,,,,5.0,1.0,3.0,96.0,359.0,10.0,9.0,215.0,33.0,37.0,15.0,4.0,17.0,13.0,,137.0,11.0,272.0,1.0,,32.0,8.0,75.0,2.0,470.0,,0.0,12.0,17.0,3.0,20.0,3.0,672.0,,12.0,5.0,4.0,14.0,0.0
803233,8,2015-10-04 13:30:00,11,Everton,Home,106.0,18.0,2.0,2.0,,1.0,,194.0,8.0,2.0,7.0,9.0,11.0,34.0,298.0,,,20.0,18.0,14.0,6.0,3.0,,,,,,1.0,,1.0,,,10.0,,,,,,1.0,6.0,11.0,2.0,,,60.0,54.0,1.0,1.0,1.0,4.0,13.0,8.0,10.0,,1.0,5.0,7.0,5.0,,19.0,1.0,63.0,72.0,4.0,17.0,13.0,,,78.0,10.0,19.0,1.0,,1.0,1.0,1.0,173.0,,,,,,,12.0,1.0,2.0,,14.0,,14.0,14.0,3.0,7.0,74.0,68.0,41.0,11.0,,2.0,7.0,4.0,357.0,4.0,3.0,,68.0,51.0,27.0,,,,,159.0,151.0,2.0,21.0,24.0,50.9,,,13.0,0.0,81.0,3.0,,3.0,,,,2.0,1.0,2.0,96.0,275.0,6.0,9.0,128.0,39.0,25.0,20.0,4.0,17.0,13.0,,149.0,6.0,277.0,2.0,2.0,26.0,14.0,72.0,1.0,388.0,1.0,0.0,14.0,27.0,1.0,24.0,3.0,615.0,,11.0,12.0,5.0,23.0,0.0
803247,9,2015-10-17 15:00:00,11,Everton,Home,183.0,30.0,,3.0,3.0,1.0,1.0,190.0,5.0,,5.0,2.0,8.0,35.0,370.0,1.0,1.0,21.0,11.0,15.0,7.0,,2.0,,1.0,,,2.0,,,,,7.0,,,,,,1.0,8.0,7.0,3.0,7.0,5.0,63.0,56.0,,,,,23.0,3.0,12.0,1.0,2.0,5.0,7.0,5.0,,13.0,2.0,58.0,66.0,,17.0,11.0,1.0,,70.0,12.0,14.0,,,6.0,3.0,2.0,156.0,,,,,,,5.0,,1.0,,11.0,,10.0,10.0,4.0,5.0,121.0,87.0,56.0,3.0,,3.0,4.0,3.0,438.0,2.0,2.0,,52.0,46.0,28.0,,,,,144.0,140.0,6.0,24.0,20.0,47.2,,,23.0,0.0,118.0,3.0,1.0,3.0,,,,6.0,,2.0,104.0,352.0,11.0,7.0,200.0,50.0,21.0,23.0,4.0,19.0,15.0,,160.0,7.0,277.0,1.0,,17.0,10.0,69.0,,458.0,1.0,0.0,12.0,25.0,2.0,22.0,2.0,656.0,22.0,10.0,13.0,5.0,17.0,0.0
803254,10,2015-10-24 17:30:00,11,Everton,Away,164.0,9.0,1.0,2.0,2.0,2.0,,160.0,8.0,1.0,6.0,5.0,13.0,26.0,322.0,,,18.0,13.0,8.0,5.0,,,,,,,,,,,,7.0,,,1.0,,,1.0,7.0,15.0,5.0,,,69.0,69.0,,,,1.0,24.0,2.0,17.0,,,5.0,9.0,7.0,,12.0,1.0,63.0,71.0,1.0,17.0,11.0,,1.0,46.0,14.0,11.0,,,1.0,1.0,,149.0,1.0,,,1.0,,,15.0,1.0,1.0,1.0,12.0,1.0,18.0,18.0,4.0,6.0,88.0,70.0,37.0,7.0,1.0,2.0,4.0,5.0,370.0,6.0,2.0,,54.0,56.0,14.0,,,,,143.0,139.0,4.0,35.0,21.0,43.8,1.0,,24.0,0.0,98.0,2.0,1.0,3.0,1.0,,,3.0,,3.0,70.0,301.0,11.0,6.0,186.0,23.0,21.0,26.0,3.0,19.0,17.0,,99.0,4.0,237.0,1.0,1.0,25.0,13.0,64.0,2.0,404.0,,1.0,10.0,36.0,,21.0,0.0,626.0,,13.0,18.0,5.0,27.0,0.0
803270,11,2015-11-01 13:30:00,11,Everton,Home,221.0,19.0,1.0,3.0,2.0,,,401.0,4.0,,7.0,6.0,31.0,32.0,619.0,,4.0,17.0,13.0,12.0,8.0,1.0,,1.0,,,,,,,,2.0,14.0,,,,,,,3.0,11.0,6.0,,,125.0,62.0,4.0,,4.0,2.0,8.0,2.0,13.0,,,6.0,9.0,6.0,,10.0,3.0,50.0,32.0,2.0,16.0,12.0,1.0,,78.0,6.0,5.0,1.0,,1.0,,,224.0,5.0,,5.0,5.0,,1.0,5.0,5.0,2.0,,13.0,,9.0,9.0,1.0,7.0,160.0,66.0,52.0,1.0,4.0,5.0,9.0,8.0,671.0,5.0,1.0,,84.0,104.0,36.0,,,,,124.0,119.0,,35.0,18.0,67.4,,,8.0,0.0,178.0,4.0,3.0,7.0,,,1.0,5.0,,3.0,211.0,604.0,2.0,14.0,239.0,29.0,21.0,16.0,4.0,19.0,15.0,2.0,248.0,3.0,467.0,2.0,,13.0,32.0,49.0,3.0,687.0,1.0,0.0,15.0,8.0,4.0,17.0,3.0,859.0,,12.0,7.0,6.0,5.0,0.0
