matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
855177,1,2016-08-13 15:00:00,11,Everton,Home,126.0,7.0,1.0,2.0,1.0,1.0,,138.0,1.0,,3.0,9.0,8.0,31.0,262.0,,,17.0,10.0,16.0,7.0,2.0,2.0,,1.0,,,1.0,,,,8.0,,,,,,1.0,6.0,8.0,5.0,6.0,6.0,68.0,56.0,,1.0,,4.0,27.0,2.0,13.0,,,5.0,4.0,2.0,,12.0,3.0,50.0,63.0,4.0,30.0,20.0,,,76.0,10.0,14.0,1.0,,2.0,1.0,1.0,152.0,,,,,,,4.0,,3.0,,27.0,,16.0,16.0,,3.0,67.0,73.0,30.0,6.0,,4.0,5.0,6.0,339.0,5.0,4.0,,84.0,65.0,19.0,,,,,,153.0,153.0,2.0,28.0,16.0,42.5,,2.0,,,27.0,0.0,74.0,2.0,1.0,3.0,,,,4.0,,3.0,61.0,252.0,15.0,9.0,147.0,16.0,40.0,15.0,5.0,12.0,7.0,,107.0,4.0,226.0,3.0,,47.0,8.0,84.0,5.0,361.0,1.0,0.0,12.0,25.0,,21.0,0.0,590.0,16.0,13.0,9.0,5.0,19.0,0.0
855190,2,2016-08-20 15:00:00,11,Everton,Away,214.0,13.0,2.0,7.0,5.0,2.0,1.0,279.0,2.0,1.0,6.0,8.0,16.0,44.0,486.0,1.0,,11.0,14.0,13.0,8.0,2.0,3.0,,,1.0,,1.0,,1.0,1.0,8.0,,,,,,1.0,5.0,8.0,3.0,10.0,3.0,99.0,56.0,4.0,3.0,1.0,5.0,17.0,1.0,14.0,,,4.0,7.0,4.0,,15.0,2.0,59.0,60.0,5.0,15.0,13.0,,,69.0,10.0,15.0,1.0,,3.0,2.0,1.0,174.0,2.0,,,1.0,1.0,,6.0,1.0,,1.0,15.0,,11.0,11.0,,6.0,155.0,85.0,47.0,7.0,1.0,4.0,8.0,7.0,560.0,2.0,,,95.0,82.0,24.0,,,,,,139.0,139.0,3.0,21.0,25.0,66.4,,,3.0,,17.0,0.0,152.0,3.0,,3.0,,,,5.0,,3.0,133.0,474.0,11.0,12.0,231.0,27.0,17.0,24.0,4.0,17.0,13.0,,181.0,2.0,366.0,,1.0,39.0,16.0,92.0,1.0,580.0,1.0,0.0,13.0,16.0,,13.0,1.0,766.0,25.0,9.0,16.0,4.0,13.0,0.0
855194,3,2016-08-27 15:00:00,11,Everton,Home,188.0,12.0,,4.0,4.0,2.0,,216.0,3.0,,6.0,7.0,4.0,24.0,400.0,,,12.0,21.0,17.0,16.0,,5.0,,,,1.0,1.0,,,,14.0,,1.0,,,,,6.0,1.0,7.0,9.0,12.0,71.0,70.0,1.0,2.0,,2.0,9.0,5.0,13.0,,,9.0,8.0,3.0,,16.0,1.0,72.0,68.0,2.0,25.0,13.0,,,71.0,14.0,11.0,,,3.0,1.0,1.0,167.0,,,,,,,6.0,,5.0,1.0,16.0,1.0,11.0,11.0,1.0,6.0,113.0,89.0,44.0,2.0,,5.0,11.0,9.0,461.0,3.0,2.0,,47.0,88.0,37.0,,,,,1.0,139.0,139.0,2.0,26.0,32.0,54.9,,,,2.0,9.0,0.0,131.0,1.0,,1.0,,1.0,,7.0,,3.0,104.0,387.0,7.0,16.0,196.0,29.0,30.0,29.0,7.0,19.0,12.0,,158.0,5.0,305.0,5.0,,22.0,5.0,62.0,3.0,482.0,1.0,0.0,21.0,21.0,1.0,14.0,2.0,697.0,27.0,9.0,19.0,9.0,14.0,0.0
855209,4,2016-09-12 20:00:00,11,Everton,Away,266.0,18.0,1.0,6.0,5.0,1.0,,247.0,1.0,,4.0,5.0,10.0,41.0,507.0,,3.0,11.0,12.0,5.0,15.0,1.0,2.0,,,,,,,,,18.0,,,1.0,,,,1.0,7.0,4.0,15.0,5.0,81.0,56.0,4.0,1.0,3.0,2.0,9.0,3.0,13.0,,,4.0,14.0,5.0,,4.0,,43.0,51.0,2.0,20.0,16.0,,,64.0,8.0,10.0,3.0,,,,,164.0,3.0,,3.0,3.0,,,6.0,3.0,1.0,1.0,17.0,1.0,5.0,5.0,,4.0,168.0,90.0,65.0,5.0,,8.0,11.0,9.0,549.0,8.0,1.0,,96.0,67.0,28.0,,,,,,106.0,106.0,3.0,23.0,24.0,66.7,1.0,,,,9.0,0.0,156.0,1.0,1.0,2.0,,1.0,,8.0,1.0,3.0,105.0,493.0,7.0,19.0,281.0,24.0,24.0,14.0,2.0,21.0,19.0,,139.0,3.0,309.0,1.0,,14.0,11.0,63.0,1.0,569.0,,0.0,20.0,29.0,4.0,13.0,1.0,756.0,30.0,14.0,7.0,5.0,20.0,0.0
855214,5,2016-09-17 17:30:00,11,Everton,Home,266.0,12.0,1.0,4.0,3.0,2.0,,195.0,2.0,,4.0,6.0,18.0,38.0,457.0,,,10.0,21.0,15.0,6.0,1.0,3.0,,,,,,1.0,,,8.0,,,,,,,4.0,2.0,6.0,8.0,3.0,69.0,55.0,1.0,,1.0,2.0,20.0,1.0,8.0,,1.0,6.0,12.0,5.0,1.0,13.0,,56.0,69.0,2.0,23.0,15.0,,,58.0,5.0,15.0,1.0,,3.0,,,182.0,2.0,,1.0,2.0,,,3.0,2.0,1.0,,15.0,,4.0,4.0,,4.0,146.0,71.0,36.0,3.0,1.0,4.0,5.0,6.0,519.0,4.0,2.0,1.0,62.0,86.0,29.0,,,,,,151.0,151.0,4.0,23.0,23.0,52.2,,,3.0,1.0,20.0,0.0,147.0,,,,,,,4.0,,3.0,103.0,438.0,9.0,9.0,288.0,21.0,27.0,29.0,5.0,22.0,17.0,,140.0,5.0,278.0,1.0,,20.0,20.0,62.0,4.0,544.0,,0.0,11.0,20.0,2.0,16.0,2.0,749.0,25.0,12.0,20.0,6.0,18.0,0.0
855222,6,2016-09-24 15:00:00,11,Everton,Away,129.0,12.0,1.0,6.0,5.0,3.0,1.0,156.0,4.0,,3.0,13.0,7.0,45.0,279.0,,,26.0,13.0,15.0,8.0,3.0,,,,,,,,,,8.0,,,,,,5.0,8.0,6.0,6.0,6.0,7.0,54.0,56.0,2.0,2.0,,2.0,19.0,5.0,10.0,,,3.0,8.0,10.0,,11.0,,54.0,56.0,2.0,14.0,11.0,,1.0,63.0,14.0,9.0,,1.0,3.0,2.0,,144.0,,,,,,,10.0,,,1.0,12.0,,10.0,10.0,2.0,3.0,85.0,76.0,35.0,5.0,,5.0,6.0,2.0,346.0,4.0,5.0,,48.0,74.0,23.0,,,,,,154.0,154.0,6.0,26.0,19.0,47.2,,,,,19.0,0.0,84.0,,,,,,,6.0,1.0,3.0,85.0,267.0,10.0,11.0,153.0,17.0,20.0,13.0,3.0,23.0,20.0,,125.0,10.0,237.0,,,52.0,8.0,94.0,2.0,367.0,,0.0,13.0,26.0,,31.0,2.0,581.0,14.0,18.0,6.0,3.0,20.0,0.0
855233,7,2016-09-30 20:00:00,11,Everton,Home,108.0,5.0,5.0,7.0,2.0,5.0,,198.0,3.0,,2.0,8.0,4.0,25.0,299.0,,,25.0,21.0,23.0,7.0,5.0,5.0,,1.0,,,1.0,,,,7.0,,,,,,,9.0,5.0,5.0,9.0,4.0,56.0,48.0,1.0,1.0,,5.0,17.0,4.0,15.0,,,10.0,14.0,5.0,,12.0,1.0,66.0,68.0,5.0,34.0,25.0,,,68.0,16.0,11.0,1.0,,4.0,2.0,1.0,161.0,,,,,,,4.0,,,,26.0,,12.0,12.0,,2.0,91.0,69.0,32.0,9.0,,6.0,6.0,3.0,382.0,6.0,4.0,,92.0,43.0,37.0,,,,,,156.0,156.0,8.0,19.0,15.0,56.6,,2.0,,2.0,17.0,0.0,90.0,1.0,,1.0,,1.0,,6.0,,2.0,113.0,287.0,8.0,12.0,133.0,27.0,36.0,18.0,9.0,30.0,21.0,,162.0,8.0,295.0,,,39.0,4.0,75.0,3.0,398.0,,0.0,13.0,18.0,1.0,28.0,5.0,624.0,28.0,10.0,16.0,10.0,13.0,0.0
855247,8,2016-10-15 15:00:00,11,Everton,Away,85.0,9.0,1.0,1.0,,5.0,,76.0,6.0,,2.0,15.0,2.0,31.0,160.0,,,10.0,12.0,18.0,1.0,,,,,1.0,,1.0,,,,2.0,,,,,,,7.0,12.0,7.0,1.0,2.0,40.0,56.0,,,,6.0,22.0,,14.0,,,1.0,8.0,1.0,,10.0,5.0,52.0,55.0,6.0,44.0,21.0,,,42.0,9.0,7.0,1.0,,2.0,,1.0,137.0,1.0,,,1.0,,,14.0,1.0,2.0,,21.0,,21.0,21.0,5.0,2.0,43.0,69.0,32.0,13.0,,,2.0,2.0,228.0,6.0,2.0,,39.0,40.0,13.0,,2.0,2.0,2.0,,146.0,146.0,1.0,25.0,19.0,27.4,,2.0,,,22.0,0.0,35.0,5.0,2.0,7.0,,,,1.0,,3.0,36.0,148.0,12.0,2.0,119.0,13.0,49.0,13.0,1.0,10.0,9.0,,70.0,15.0,146.0,2.0,,48.0,3.0,80.0,6.0,255.0,,0.0,3.0,25.0,1.0,16.0,2.0,478.0,4.0,11.0,6.0,1.0,20.0,0.0
855254,9,2016-10-22 15:00:00,11,Everton,Away,189.0,20.0,1.0,7.0,6.0,5.0,,270.0,,,4.0,9.0,12.0,40.0,452.0,,,19.0,15.0,23.0,12.0,1.0,2.0,,,,,,,,,19.0,,,,,,,8.0,4.0,6.0,9.0,12.0,83.0,50.0,,,,1.0,18.0,10.0,1.0,,,8.0,18.0,10.0,,8.0,,44.0,59.0,1.0,23.0,14.0,1.0,,73.0,15.0,16.0,1.0,,1.0,1.0,,193.0,1.0,,,1.0,,,2.0,1.0,2.0,,16.0,1.0,11.0,11.0,1.0,4.0,125.0,90.0,46.0,2.0,,,14.0,8.0,529.0,3.0,4.0,,68.0,119.0,43.0,,,,,,164.0,164.0,2.0,21.0,18.0,65.1,,,,1.0,18.0,0.0,156.0,,1.0,1.0,,,,3.0,1.0,3.0,146.0,436.0,10.0,14.0,207.0,40.0,27.0,19.0,3.0,32.0,29.0,,203.0,9.0,382.0,2.0,,32.0,13.0,81.0,1.0,557.0,,0.0,21.0,6.0,,22.0,3.0,764.0,28.0,13.0,14.0,8.0,5.0,0.0
855263,10,2016-10-30 13:30:00,11,Everton,Home,149.0,17.0,2.0,5.0,3.0,,,189.0,8.0,,5.0,4.0,9.0,33.0,333.0,,1.0,9.0,8.0,14.0,11.0,2.0,3.0,,,1.0,,1.0,,,1.0,13.0,,,,,,,5.0,7.0,6.0,12.0,5.0,64.0,56.0,3.0,1.0,2.0,7.0,12.0,7.0,10.0,,,8.0,14.0,3.0,,6.0,2.0,40.0,52.0,7.0,20.0,12.0,,1.0,60.0,15.0,10.0,1.0,,2.0,,1.0,135.0,2.0,,2.0,2.0,,,13.0,2.0,2.0,,12.0,,13.0,13.0,1.0,5.0,113.0,65.0,39.0,8.0,1.0,3.0,12.0,6.0,381.0,6.0,,,44.0,74.0,33.0,,,,,,120.0,120.0,,26.0,24.0,49.3,,,,,12.0,0.0,98.0,2.0,1.0,3.0,,,,4.0,,3.0,102.0,314.0,4.0,15.0,167.0,27.0,20.0,14.0,6.0,23.0,17.0,,139.0,4.0,266.0,2.0,,17.0,9.0,65.0,2.0,410.0,,0.0,17.0,15.0,1.0,9.0,2.0,587.0,22.0,16.0,13.0,8.0,13.0,0.0
