matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
1059807,11,2019-11-03 16:30:00,11,Everton,Home,118.0,22.0,3.0,8.0,5.0,3.0,,171.0,4.0,,5.0,8.0,1.0,47.0,281.0,,,23.0,18.0,16.0,5.0,,,,,,,,,,,,7.0,,,,,,5.0,3.0,2.0,6.0,1.0,55.0,54.0,1.0,1.0,1.0,,27.0,1.0,7.0,,2.0,5.0,14.0,6.0,,12.0,,48.0,66.0,,8.0,1.0,1.0,,54.0,9.0,8.0,,,2.0,3.0,,153.0,1.0,,1.0,1.0,,,5.0,1.0,,,1.0,,6.0,6.0,,5.0,100.0,65.0,43.0,2.0,,2.0,4.0,3.0,361.0,1.0,,,71.0,64.0,42.0,,,,,156.0,156.0,3.0,22.0,23.0,47.3,,,1.0,,27.0,0.0,67.0,,1.0,1.0,,3.0,,3.0,,3.0,91.0,268.0,8.0,6.0,144.0,43.0,8.0,19.0,5.0,28.0,23.0,,136.0,6.0,259.0,,,20.0,2.0,72.0,1.0,375.0,2.0,0.0,7.0,26.0,3.0,26.0,1.0,567.0,28.0,23.0,16.0,5.0,12.0,0.0
1059819,12,2019-11-09 15:00:00,11,Everton,Away,110.0,14.0,4.0,8.0,4.0,4.0,1.0,169.0,3.0,,1.0,9.0,3.0,32.0,271.0,,2.0,22.0,24.0,27.0,10.0,5.0,9.0,1.0,,,,,,,,,13.0,,,,,1.0,6.0,1.0,3.0,19.0,5.0,63.0,58.0,3.0,1.0,2.0,,18.0,10.0,10.0,,,9.0,7.0,8.0,,7.0,1.0,56.0,75.0,,20.0,10.0,,,58.0,12.0,12.0,,1.0,2.0,3.0,,165.0,2.0,,1.0,1.0,1.0,,8.0,1.0,,1.0,10.0,1.0,10.0,10.0,,1.0,72.0,75.0,37.0,5.0,2.0,7.0,10.0,5.0,351.0,,4.0,,81.0,46.0,41.0,,,,,166.0,166.0,1.0,20.0,33.0,52.7,,,,,18.0,0.0,77.0,,2.0,2.0,,1.0,1.0,9.0,,3.0,87.0,259.0,6.0,17.0,133.0,29.0,20.0,18.0,8.0,26.0,18.0,1.0,134.0,11.0,270.0,,,28.0,3.0,67.0,,377.0,1.0,0.0,24.0,23.0,2.0,29.0,1.0,596.0,46.0,18.0,13.0,9.0,16.0,0.0
1059827,13,2019-11-23 15:00:00,11,Everton,Home,137.0,25.0,3.0,9.0,6.0,4.0,1.0,177.0,5.0,,9.0,6.0,3.0,36.0,305.0,1.0,,26.0,24.0,23.0,10.0,3.0,5.0,,,,1.0,1.0,,,,,11.0,,,,,1.0,4.0,12.0,1.0,12.0,6.0,50.0,57.0,,,,2.0,16.0,4.0,10.0,,1.0,7.0,17.0,7.0,,10.0,1.0,61.0,58.0,2.0,14.0,9.0,1.0,,58.0,12.0,11.0,,,3.0,2.0,1.0,173.0,,,,,,,5.0,,1.0,1.0,9.0,,5.0,5.0,,9.0,84.0,62.0,38.0,7.0,,7.0,6.0,7.0,384.0,5.0,3.0,,51.0,74.0,52.0,,,,,162.0,162.0,3.0,19.0,25.0,57.3,,,,,16.0,0.0,94.0,3.0,,3.0,,,,7.0,,3.0,98.0,290.0,5.0,13.0,170.0,41.0,14.0,12.0,7.0,33.0,26.0,,141.0,11.0,264.0,1.0,,28.0,3.0,74.0,,401.0,1.0,0.0,18.0,20.0,1.0,34.0,3.0,621.0,43.0,13.0,4.0,7.0,13.0,0.0
1059834,14,2019-12-01 16:30:00,11,Everton,Away,80.0,14.0,2.0,9.0,7.0,2.0,2.0,114.0,4.0,1.0,5.0,1.0,2.0,21.0,185.0,1.0,,13.0,23.0,19.0,6.0,4.0,2.0,1.0,,,,,,,,,6.0,,,,,3.0,9.0,13.0,3.0,9.0,2.0,35.0,71.0,2.0,1.0,1.0,1.0,15.0,3.0,13.0,,,4.0,8.0,8.0,,12.0,2.0,64.0,59.0,1.0,32.0,18.0,,,43.0,9.0,7.0,1.0,,1.0,2.0,,132.0,1.0,,1.0,1.0,,,9.0,1.0,,,18.0,,21.0,21.0,2.0,5.0,48.0,70.0,32.0,4.0,,5.0,6.0,3.0,251.0,3.0,,,56.0,36.0,21.0,,,,,143.0,143.0,4.0,30.0,22.0,30.7,,3.0,,1.0,15.0,0.0,60.0,4.0,,4.0,,1.0,1.0,5.0,1.0,2.0,48.0,173.0,7.0,11.0,101.0,27.0,32.0,20.0,4.0,22.0,18.0,1.0,85.0,6.0,196.0,,1.0,21.0,4.0,63.0,3.0,275.0,1.0,0.0,11.0,20.0,1.0,20.0,1.0,503.0,22.0,11.0,13.0,4.0,7.0,0.0
1059850,15,2019-12-04 20:15:00,11,Everton,Away,133.0,11.0,2.0,4.0,2.0,5.0,,116.0,3.0,,5.0,4.0,2.0,20.0,245.0,,2.0,17.0,25.0,28.0,4.0,2.0,4.0,1.0,1.0,,,1.0,,,,,5.0,,,,,1.0,8.0,8.0,3.0,8.0,4.0,56.0,59.0,2.0,1.0,2.0,2.0,10.0,1.0,13.0,,2.0,6.0,16.0,3.0,1.0,8.0,,69.0,66.0,2.0,15.0,7.0,1.0,,50.0,17.0,12.0,,1.0,4.0,2.0,1.0,145.0,1.0,,1.0,1.0,,,5.0,1.0,,1.0,7.0,,14.0,14.0,2.0,5.0,67.0,76.0,34.0,5.0,1.0,5.0,2.0,4.0,314.0,3.0,2.0,,68.0,42.0,32.0,,,,,160.0,160.0,2.0,28.0,23.0,41.5,,,,,10.0,0.0,71.0,,,,,1.0,1.0,7.0,,3.0,50.0,227.0,3.0,7.0,153.0,32.0,15.0,15.0,5.0,26.0,21.0,1.0,87.0,10.0,212.0,,,22.0,2.0,57.0,3.0,339.0,,0.0,12.0,19.0,3.0,22.0,2.0,542.0,21.0,18.0,8.0,6.0,13.0,0.0
1059855,16,2019-12-07 12:30:00,11,Everton,Home,58.0,7.0,,5.0,5.0,2.0,1.0,107.0,5.0,1.0,,7.0,7.0,24.0,160.0,1.0,1.0,10.0,26.0,26.0,5.0,2.0,1.0,,,,,,,1.0,,,11.0,,,,,1.0,9.0,11.0,4.0,10.0,3.0,35.0,62.0,1.0,,3.0,2.0,14.0,3.0,24.0,,,1.0,7.0,2.0,,9.0,,77.0,74.0,2.0,25.0,12.0,,,68.0,14.0,8.0,3.0,,1.0,2.0,,133.0,1.0,,1.0,1.0,,,13.0,3.0,,,12.0,,10.0,10.0,,,47.0,73.0,28.0,5.0,,1.0,7.0,7.0,221.0,4.0,3.0,,40.0,47.0,23.0,,,,,150.0,150.0,4.0,21.0,27.0,30.0,,,,,14.0,0.0,40.0,3.0,,3.0,,2.0,,3.0,,3.0,69.0,145.0,8.0,8.0,75.0,20.0,25.0,10.0,1.0,12.0,11.0,,121.0,10.0,192.0,,1.0,33.0,7.0,74.0,2.0,255.0,1.0,0.0,13.0,36.0,2.0,20.0,3.0,470.0,24.0,19.0,5.0,1.0,21.0,0.0
1059868,17,2019-12-15 14:00:00,11,Everton,Away,69.0,7.0,2.0,2.0,,3.0,,109.0,3.0,,1.0,7.0,4.0,20.0,176.0,,,17.0,30.0,18.0,2.0,1.0,2.0,,1.0,,,1.0,,,,,4.0,,,,,1.0,6.0,9.0,15.0,2.0,6.0,43.0,54.0,,,,4.0,11.0,,13.0,,,5.0,11.0,1.0,,5.0,3.0,69.0,51.0,4.0,30.0,10.0,,,60.0,12.0,10.0,,,3.0,1.0,1.0,124.0,,,,,,,11.0,,,,10.0,,12.0,12.0,1.0,1.0,42.0,72.0,28.0,6.0,,2.0,1.0,3.0,232.0,7.0,1.0,,71.0,29.0,18.0,,,,,143.0,143.0,4.0,25.0,16.0,33.5,,2.0,,1.0,11.0,0.0,55.0,2.0,5.0,7.0,,1.0,,5.0,,3.0,64.0,167.0,2.0,3.0,80.0,23.0,30.0,13.0,5.0,18.0,13.0,,111.0,7.0,202.0,,,27.0,4.0,67.0,3.0,264.0,,0.0,8.0,21.0,,19.0,2.0,470.0,18.0,19.0,4.0,5.0,10.0,0.0
1059875,18,2019-12-21 12:30:00,11,Everton,Home,132.0,21.0,,3.0,3.0,4.0,1.0,151.0,5.0,,3.0,5.0,,35.0,280.0,1.0,,19.0,18.0,15.0,5.0,,,,1.0,,,1.0,,,,,5.0,,,,,,6.0,5.0,1.0,5.0,4.0,54.0,58.0,,,,2.0,14.0,4.0,13.0,,1.0,5.0,11.0,4.0,,7.0,1.0,53.0,52.0,2.0,13.0,5.0,,,54.0,10.0,10.0,,,4.0,3.0,1.0,137.0,,,,,,,6.0,,,,5.0,,17.0,17.0,2.0,3.0,87.0,67.0,43.0,4.0,,3.0,2.0,,337.0,,3.0,,60.0,70.0,31.0,,,,,139.0,139.0,5.0,20.0,28.0,43.0,,,,1.0,14.0,0.0,75.0,2.0,,2.0,,1.0,,5.0,,3.0,72.0,267.0,5.0,5.0,145.0,33.0,13.0,19.0,5.0,23.0,18.0,,112.0,6.0,231.0,,,18.0,1.0,62.0,,353.0,1.0,0.0,9.0,15.0,,26.0,2.0,548.0,24.0,22.0,12.0,5.0,6.0,0.0
1059886,19,2019-12-26 15:00:00,11,Everton,Home,233.0,15.0,2.0,10.0,8.0,5.0,3.0,203.0,3.0,,4.0,5.0,15.0,32.0,426.0,,,27.0,36.0,32.0,12.0,4.0,3.0,,,,,1.0,,,,,12.0,,,,,5.0,6.0,3.0,3.0,10.0,11.0,92.0,59.0,1.0,1.0,,,16.0,8.0,2.0,,,10.0,10.0,8.0,,10.0,,71.0,61.0,,14.0,10.0,,,55.0,15.0,14.0,1.0,,5.0,5.0,1.0,188.0,1.0,,1.0,1.0,,,5.0,1.0,,1.0,10.0,,7.0,7.0,,5.0,119.0,84.0,56.0,3.0,,6.0,11.0,5.0,505.0,,,,72.0,60.0,45.0,,,,,153.0,153.0,4.0,20.0,28.0,67.5,,,,,16.0,0.0,122.0,,,,,1.0,,8.0,,3.0,83.0,415.0,7.0,17.0,263.0,29.0,14.0,22.0,10.0,33.0,23.0,,118.0,11.0,291.0,,,22.0,15.0,64.0,,521.0,,0.0,21.0,5.0,1.0,32.0,0.0,717.0,26.0,9.0,12.0,10.0,4.0,0.0
1059897,20,2019-12-28 15:00:00,11,Everton,Away,182.0,16.0,1.0,8.0,7.0,4.0,1.0,167.0,3.0,,9.0,3.0,4.0,31.0,341.0,1.0,,18.0,49.0,24.0,14.0,1.0,7.0,2.0,,,,1.0,,,,1.0,11.0,,,,,3.0,7.0,16.0,4.0,16.0,6.0,49.0,59.0,2.0,1.0,2.0,1.0,11.0,6.0,14.0,,,8.0,9.0,8.0,,7.0,2.0,89.0,60.0,1.0,32.0,22.0,,1.0,56.0,13.0,12.0,2.0,,2.0,1.0,1.0,166.0,1.0,,1.0,1.0,,1.0,8.0,1.0,2.0,1.0,22.0,,6.0,6.0,,9.0,109.0,69.0,38.0,5.0,,5.0,11.0,9.0,407.0,6.0,2.0,,58.0,88.0,25.0,,,,,146.0,146.0,3.0,23.0,20.0,57.3,,,,,11.0,0.0,111.0,3.0,1.0,4.0,,,2.0,7.0,1.0,3.0,90.0,324.0,3.0,16.0,203.0,30.0,32.0,16.0,7.0,25.0,18.0,3.0,132.0,8.0,257.0,2.0,,18.0,5.0,66.0,2.0,435.0,1.0,0.0,22.0,15.0,3.0,19.0,2.0,659.0,32.0,16.0,9.0,8.0,10.0,0.0
