matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attLgRight,attObxdLeft,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,expectedGoalsFreekick,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperGoals,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalDistance,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,winningGoal,wonContest,wonCorners,wonTackle,yellowCard
2561904,1,2025-08-18 20:00:00,11,Everton,Away,204.0,11.0,1.0,4.0,3.0,3.0,1.0,124.0,8.0,1.0,5.0,7.0,13.0,18.0,324.0,,,16.0,18.0,19.0,2.0,1.0,1.0,,0.0,,,1.0,,,,,,1.0,0.0,,,,4.0,2.0,12.0,9.0,5.0,2.0,64.0,37.0,,1.0,,2.0,7.0,3.0,6.0,,,2.0,3.0,4.0,0.0,3.0,1.0,45.0,47.0,2.0,31.0,16.0,,2.0,0.438116,0.8028,0.0393,0.1047,1.0712,48.0,8.0,6.0,,,3.0,2.0,1.0,138.0,,,,,,,13.0,0.0,1.0,1.0,16.0,,2.0,2.0,,0.0,5.0,113.0,53.0,25.0,7.0,0.0,2.0,1.0,1.0,392.0,10.0,1.0,0.0,46.0,29.0,22.0,1.0,1.0,1.0,,,136.0,136.0,3.0,18.0,10.0,45.6,,,,1.0,13.0,0.0,96.0,1.0,1.0,2.0,,,,3.0,,0.0,2.0,61.0,311.0,7.0,3.0,234.0,28.0,31.0,18.0,2.0,11.0,9.0,105113.81,,98.0,5.0,188.0,1.0,1.0,27.0,14.0,56.0,2.0,411.0,,0.0,7.0,16.0,,21.0,2.0,602.0,14.0,19.0,0.0,6.0,2.0,12.0,0.0
2561910,2,2025-08-24 14:00:00,11,Everton,Home,124.0,16.0,2.0,4.0,2.0,1.0,,152.0,4.0,1.0,2.0,6.0,6.0,31.0,272.0,1.0,,15.0,16.0,31.0,5.0,3.0,2.0,1.0,0.0,,,,,,,,,8.0,0.0,,,,1.0,4.0,7.0,6.0,6.0,5.0,66.0,44.0,2.0,1.0,1.0,1.0,3.0,1.0,8.0,,,2.0,5.0,3.0,1.0,10.0,2.0,47.0,70.0,1.0,35.0,18.0,,2.0,0.993035,1.596,,1.2097,1.5401,73.0,7.0,15.0,,,3.0,2.0,,140.0,2.0,,2.0,2.0,,,7.0,2.0,1.0,1.0,18.0,,8.0,8.0,1.0,0.0,2.0,76.0,74.0,38.0,2.0,1.0,7.0,3.0,3.0,332.0,3.0,,0.0,74.0,51.0,22.0,,1.0,1.0,1.0,,127.0,127.0,2.0,17.0,15.0,42.4,,,,1.0,12.0,0.0,80.0,2.0,2.0,4.0,,,1.0,7.0,,0.0,4.0,84.0,252.0,3.0,10.0,141.0,25.0,35.0,16.0,2.0,12.0,10.0,108850.34,1.0,137.0,11.0,233.0,1.0,1.0,31.0,7.0,69.0,,362.0,1.0,0.0,11.0,15.0,1.0,19.0,4.0,545.0,18.0,8.0,0.0,9.0,2.0,8.0,0.0
2561924,3,2025-08-30 15:00:00,11,Everton,Away,118.0,11.0,,2.0,2.0,1.0,1.0,159.0,7.0,4.0,2.0,3.0,9.0,23.0,275.0,,4.0,19.0,12.0,24.0,5.0,1.0,1.0,,0.0,,,,,,1.0,,1.0,6.0,0.0,,,,3.0,2.0,6.0,6.0,7.0,3.0,75.0,50.0,3.0,1.0,2.0,,7.0,4.0,3.0,,,2.0,5.0,3.0,0.0,11.0,1.0,47.0,63.0,,28.0,15.0,1.0,1.0,1.44252,1.932,,2.5781,1.1555,61.0,10.0,15.0,1.0,,2.0,3.0,,135.0,3.0,,3.0,2.0,1.0,,10.0,2.0,1.0,1.0,15.0,,16.0,16.0,1.0,0.0,2.0,67.0,79.0,34.0,2.0,2.0,2.0,7.0,4.0,341.0,5.0,1.0,0.0,46.0,79.0,23.0,,,,,,153.0,153.0,4.0,11.0,29.0,41.5,,,,,13.0,0.0,94.0,,2.0,2.0,,1.0,,2.0,,0.0,4.0,80.0,255.0,7.0,9.0,141.0,22.0,28.0,20.0,2.0,13.0,11.0,114748.13,,125.0,6.0,243.0,1.0,4.0,30.0,10.0,64.0,1.0,371.0,,0.0,10.0,16.0,7.0,23.0,1.0,576.0,23.0,17.0,0.0,8.0,2.0,11.0,0.0
2561930,4,2025-09-13 15:00:00,11,Everton,Home,112.0,12.0,2.0,8.0,6.0,4.0,1.0,177.0,5.0,,4.0,7.0,3.0,25.0,281.0,,,15.0,17.0,20.0,15.0,2.0,5.0,2.0,0.0,,,,,,,,,9.0,0.0,,,,3.0,9.0,3.0,4.0,14.0,6.0,65.0,49.0,3.0,3.0,,,8.0,9.0,2.0,,,10.0,10.0,4.0,0.0,11.0,,51.0,66.0,,17.0,9.0,,,1.2499,2.0812,,0.2926,0.1268,53.0,17.0,15.0,,,2.0,1.0,,132.0,,,,,,,6.0,0.0,1.0,1.0,9.0,1.0,5.0,5.0,,0.0,4.0,83.0,57.0,34.0,3.0,0.0,9.0,8.0,2.0,316.0,5.0,,0.0,82.0,48.0,35.0,,,,,,119.0,119.0,5.0,9.0,26.0,48.3,,,,,21.0,0.0,63.0,,1.0,1.0,,1.0,2.0,9.0,1.0,0.0,2.0,95.0,261.0,8.0,17.0,123.0,19.0,17.0,13.0,7.0,22.0,15.0,100509.72,2.0,123.0,8.0,242.0,1.0,,21.0,4.0,49.0,2.0,343.0,,0.0,20.0,23.0,,20.0,3.0,548.0,46.0,20.0,0.0,8.0,10.0,16.0,0.0
2561940,5,2025-09-20 12:30:00,11,Everton,Away,119.0,12.0,1.0,5.0,4.0,1.0,,149.0,4.0,3.0,3.0,5.0,2.0,23.0,263.0,2.0,,16.0,20.0,15.0,6.0,1.0,3.0,,0.0,1.0,,1.0,,,,,,5.0,0.0,,,,,7.0,9.0,2.0,6.0,3.0,53.0,49.0,1.0,,1.0,,9.0,3.0,10.0,,,4.0,9.0,7.0,0.0,11.0,1.0,57.0,56.0,,23.0,13.0,,,0.620271,0.7006,0.0306,0.5692,1.1755,54.0,10.0,11.0,,,1.0,1.0,1.0,133.0,1.0,,1.0,1.0,,,9.0,1.0,,,13.0,,10.0,10.0,,0.0,3.0,73.0,67.0,30.0,5.0,1.0,3.0,5.0,2.0,322.0,5.0,,0.0,53.0,50.0,42.0,,,,,,139.0,139.0,4.0,16.0,24.0,42.8,,,,,14.0,0.0,86.0,1.0,,1.0,,,,4.0,1.0,0.0,3.0,88.0,249.0,9.0,8.0,134.0,27.0,23.0,19.0,3.0,20.0,17.0,101982.9,,133.0,4.0,231.0,,3.0,24.0,2.0,61.0,1.0,345.0,2.0,0.0,9.0,18.0,3.0,23.0,3.0,541.0,21.0,16.0,0.0,12.0,4.0,13.0,0.0
2561949,6,2025-09-29 20:00:00,11,Everton,Home,157.0,17.0,1.0,3.0,3.0,1.0,,226.0,7.0,1.0,4.0,5.0,9.0,25.0,380.0,1.0,,12.0,23.0,21.0,8.0,,3.0,1.0,0.0,1.0,,1.0,,,,,,6.0,0.0,,,,2.0,6.0,10.0,4.0,9.0,3.0,63.0,45.0,1.0,1.0,,2.0,9.0,3.0,4.0,,,3.0,11.0,6.0,1.0,10.0,,50.0,52.0,2.0,37.0,18.0,,2.0,0.68751,0.7349,0.0352,0.4135,1.1927,51.0,7.0,16.0,,,5.0,2.0,1.0,127.0,1.0,,1.0,,1.0,,7.0,0.0,,,18.0,,5.0,5.0,,0.0,4.0,129.0,58.0,35.0,5.0,0.0,2.0,7.0,6.0,423.0,5.0,,0.0,68.0,59.0,35.0,,,,,,129.0,129.0,8.0,18.0,14.0,51.8,,2.0,,,16.0,0.0,128.0,2.0,,2.0,,1.0,1.0,3.0,,0.0,2.0,110.0,358.0,9.0,9.0,172.0,30.0,37.0,10.0,3.0,22.0,19.0,106702.86,1.0,147.0,6.0,297.0,,1.0,13.0,10.0,45.0,,447.0,3.0,0.0,12.0,11.0,2.0,19.0,3.0,652.0,30.0,20.0,0.0,4.0,3.0,6.0,0.0
2561960,7,2025-10-05 14:00:00,11,Everton,Home,183.0,18.0,,6.0,6.0,,1.0,174.0,3.0,2.0,3.0,2.0,3.0,24.0,351.0,,2.0,22.0,27.0,24.0,9.0,,1.0,1.0,0.0,,,,,,,,,9.0,1.0,,,,2.0,9.0,11.0,4.0,10.0,4.0,66.0,48.0,3.0,3.0,2.0,2.0,7.0,2.0,2.0,2.0,,2.0,8.0,8.0,0.0,17.0,2.0,73.0,62.0,2.0,35.0,22.0,,1.0,1.14619,2.0315,,2.6158,1.3981,66.0,13.0,13.0,,,2.0,2.0,,132.0,,,,,,,4.0,1.0,,,22.0,,11.0,11.0,2.0,0.0,3.0,119.0,71.0,44.0,4.0,2.0,2.0,7.0,7.0,410.0,5.0,1.0,0.0,83.0,50.0,28.0,,,,,1.0,158.0,158.0,5.0,20.0,18.0,50.3,,,3.0,,17.0,0.0,116.0,6.0,1.0,5.0,,,1.0,5.0,,0.0,4.0,80.0,334.0,7.0,10.0,198.0,31.0,35.0,20.0,1.0,19.0,18.0,111095.23,1.0,128.0,6.0,254.0,,3.0,16.0,3.0,49.0,,433.0,,0.0,14.0,19.0,3.0,31.0,2.0,675.0,28.0,22.0,0.0,6.0,2.0,10.0,0.0
2561970,8,2025-10-18 15:00:00,11,Everton,Away,113.0,18.0,,1.0,1.0,1.0,,125.0,7.0,,4.0,7.0,7.0,25.0,237.0,,,5.0,17.0,18.0,3.0,,,,0.0,,,,,,,,,5.0,0.0,,,,,7.0,16.0,3.0,4.0,1.0,57.0,41.0,1.0,1.0,,1.0,6.0,2.0,15.0,,,3.0,6.0,1.0,0.0,5.0,4.0,60.0,49.0,1.0,28.0,12.0,1.0,,0.773058,0.8099,,0.0673,1.4775,43.0,14.0,8.0,,,1.0,1.0,,109.0,,,,,,,9.0,0.0,,1.0,12.0,,7.0,7.0,1.0,0.0,4.0,74.0,73.0,39.0,11.0,0.0,2.0,1.0,1.0,281.0,7.0,1.0,0.0,44.0,30.0,21.0,,,,,,115.0,115.0,1.0,24.0,12.0,28.9,,,,1.0,13.0,0.0,60.0,5.0,,5.0,,1.0,,2.0,,0.0,5.0,56.0,222.0,6.0,3.0,124.0,37.0,28.0,15.0,3.0,10.0,7.0,113233.26,,84.0,4.0,186.0,,1.0,19.0,8.0,56.0,1.0,300.0,,0.0,5.0,18.0,1.0,11.0,2.0,466.0,15.0,21.0,0.0,5.0,3.0,11.0,0.0
2561980,9,2025-10-26 16:30:00,11,Everton,Home,171.0,12.0,1.0,3.0,2.0,1.0,,206.0,3.0,1.0,3.0,5.0,6.0,16.0,374.0,1.0,,11.0,11.0,19.0,9.0,,1.0,,0.0,,,,,,,,,9.0,0.0,,,,1.0,6.0,5.0,2.0,8.0,4.0,70.0,46.0,2.0,3.0,,,5.0,5.0,8.0,,1.0,9.0,6.0,17.0,0.0,8.0,1.0,48.0,54.0,,27.0,16.0,1.0,1.0,1.48026,1.7387,,1.199,3.2262,56.0,9.0,8.0,,,2.0,2.0,,121.0,1.0,1.0,1.0,,1.0,,3.0,0.0,,1.0,16.0,,6.0,6.0,1.0,0.0,3.0,140.0,58.0,37.0,8.0,0.0,4.0,5.0,2.0,425.0,1.0,,0.0,66.0,55.0,47.0,,,,,,135.0,135.0,3.0,17.0,21.0,53.5,,,,1.0,14.0,0.0,111.0,1.0,,1.0,,,,5.0,2.0,0.0,3.0,123.0,358.0,5.0,9.0,183.0,30.0,27.0,21.0,8.0,33.0,25.0,106271.81,,168.0,4.0,292.0,,1.0,12.0,6.0,37.0,2.0,442.0,1.0,0.0,12.0,19.0,6.0,17.0,2.0,631.0,31.0,8.0,0.0,8.0,9.0,10.0,0.0
2561992,10,2025-11-03 20:00:00,11,Everton,Away,132.0,8.0,1.0,2.0,2.0,1.0,,137.0,2.0,2.0,3.0,5.0,6.0,13.0,267.0,1.0,,11.0,19.0,20.0,4.0,,,,0.0,,,,,,,,,7.0,0.0,,1.0,,,7.0,12.0,5.0,5.0,3.0,45.0,45.0,1.0,1.0,,,6.0,3.0,7.0,,,1.0,6.0,,0.0,6.0,1.0,52.0,50.0,,45.0,23.0,,,0.72914,0.8883,,0.736,1.3733,47.0,12.0,10.0,,,1.0,2.0,,128.0,,,,,,,5.0,1.0,,,23.0,1.0,8.0,8.0,2.0,0.0,3.0,92.0,66.0,27.0,4.0,1.0,2.0,2.0,2.0,330.0,7.0,,0.0,58.0,31.0,22.0,,,,,,126.0,126.0,4.0,23.0,12.0,39.3,1.0,2.0,,1.0,13.0,0.0,82.0,2.0,1.0,2.0,,2.0,,3.0,,0.0,4.0,59.0,258.0,6.0,4.0,159.0,19.0,45.0,14.0,1.0,9.0,8.0,108770.37,,93.0,5.0,197.0,,2.0,25.0,6.0,46.0,,347.0,1.0,0.0,8.0,14.0,3.0,21.0,2.0,540.0,19.0,15.0,0.0,6.0,1.0,6.0,0.0
