matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
2367542,1,2023-08-12 15:00:00,11,Everton,Home,133.0,25.0,2.0,5.0,3.0,1.0,1.0,160.0,5.0,,1.0,1.0,7.0,30.0,288.0,,1.0,22.0,15.0,9.0,11.0,3.0,5.0,5.0,,,,,,,,,,3.0,12.0,,,1.0,,,2.0,9.0,6.0,3.0,14.0,5.0,69.0,55.0,3.0,4.0,,,12.0,4.0,6.0,,,10.0,7.0,7.0,,3.0,,42.0,35.0,,16.0,7.0,,,66.0,12.0,6.0,,2.0,3.0,,125.0,,,,,,,9.0,,,,7.0,1.0,13.0,13.0,,1.0,88.0,61.0,29.0,4.0,,4.0,10.0,9.0,346.0,1.0,1.0,,58.0,69.0,35.0,,,,,133.0,133.0,7.0,21.0,24.0,40.6,1.0,,,,22.0,0.0,84.0,1.0,,1.0,,1.0,5.0,6.0,,,2.0,81.0,278.0,12.0,14.0,144.0,62.0,16.0,14.0,9.0,26.0,17.0,5.0,132.0,2.0,248.0,,,3.0,7.0,64.0,6.0,366.0,,0.0,19.0,13.0,1.0,27.0,0.0,550.0,24.0,12.0,7.0,10.0,6.0,0.0
2367548,2,2023-08-20 14:00:00,11,Everton,Away,172.0,15.0,2.0,3.0,1.0,1.0,,125.0,4.0,,4.0,2.0,7.0,25.0,294.0,1.0,1.0,10.0,10.0,8.0,5.0,2.0,2.0,,,,,,,,,,,,7.0,,,,,,,6.0,9.0,4.0,6.0,3.0,64.0,57.0,,,,1.0,6.0,4.0,13.0,,,6.0,8.0,3.0,,7.0,2.0,43.0,39.0,1.0,9.0,7.0,2.0,,47.0,12.0,8.0,,2.0,1.0,,121.0,,,,,,,6.0,,,,7.0,,6.0,6.0,1.0,4.0,92.0,54.0,28.0,7.0,,2.0,5.0,2.0,339.0,2.0,2.0,,46.0,54.0,24.0,1.0,1.0,1.0,,116.0,116.0,8.0,21.0,21.0,39.6,,,,,14.0,0.0,84.0,2.0,1.0,3.0,,,,3.0,,,4.0,66.0,280.0,6.0,7.0,188.0,40.0,9.0,11.0,6.0,18.0,12.0,,103.0,2.0,191.0,,,4.0,7.0,56.0,1.0,361.0,2.0,0.0,9.0,14.0,1.0,15.0,4.0,504.0,19.0,17.0,9.0,6.0,10.0,0.0
2367564,3,2023-08-26 15:00:00,11,Everton,Home,135.0,18.0,3.0,7.0,4.0,2.0,1.0,205.0,6.0,1.0,3.0,3.0,3.0,21.0,333.0,,1.0,19.0,10.0,14.0,5.0,3.0,7.0,,,,,,,,,,,1.0,7.0,,,,,,1.0,6.0,7.0,4.0,11.0,4.0,69.0,66.0,4.0,5.0,,1.0,7.0,2.0,5.0,,,7.0,10.0,7.0,,12.0,2.0,42.0,60.0,1.0,7.0,5.0,,,54.0,10.0,14.0,,4.0,3.0,,153.0,,,,,,,7.0,,,,5.0,1.0,10.0,10.0,1.0,3.0,99.0,74.0,40.0,,,2.0,6.0,7.0,383.0,4.0,1.0,,67.0,58.0,39.0,,,,,134.0,134.0,5.0,27.0,28.0,46.8,,,,,11.0,0.0,85.0,,1.0,2.0,,,,6.0,,,3.0,90.0,315.0,7.0,8.0,151.0,42.0,7.0,12.0,7.0,27.0,20.0,,122.0,5.0,282.0,,1.0,10.0,3.0,52.0,1.0,406.0,,0.0,15.0,26.0,1.0,23.0,3.0,603.0,28.0,17.0,6.0,7.0,16.0,0.0
2367577,4,2023-09-02 12:30:00,11,Everton,Away,170.0,23.0,4.0,5.0,1.0,5.0,,184.0,,2.0,7.0,2.0,7.0,26.0,349.0,,1.0,22.0,20.0,19.0,6.0,3.0,4.0,2.0,,,,1.0,2.0,1.0,,,,,10.0,,,,,,,5.0,12.0,2.0,10.0,6.0,73.0,73.0,3.0,2.0,2.0,1.0,14.0,7.0,7.0,1.0,,6.0,8.0,9.0,,7.0,4.0,54.0,63.0,1.0,17.0,11.0,,,65.0,13.0,11.0,1.0,3.0,1.0,2.0,184.0,1.0,,1.0,1.0,,,2.0,1.0,2.0,,11.0,,7.0,7.0,1.0,7.0,88.0,94.0,53.0,4.0,1.0,2.0,8.0,6.0,441.0,2.0,1.0,1.0,73.0,74.0,37.0,,,,,161.0,161.0,8.0,28.0,23.0,54.6,,2.0,1.0,,29.0,0.0,114.0,7.0,,6.0,,,2.0,3.0,2.0,,2.0,84.0,340.0,14.0,10.0,191.0,53.0,17.0,19.0,6.0,24.0,18.0,2.0,142.0,8.0,292.0,2.0,2.0,12.0,8.0,59.0,2.0,459.0,,0.0,16.0,23.0,1.0,26.0,2.0,673.0,26.0,9.0,10.0,6.0,18.0,0.0
2367580,5,2023-09-17 16:30:00,11,Everton,Home,103.0,9.0,,1.0,1.0,1.0,,56.0,4.0,,3.0,3.0,2.0,17.0,158.0,,,8.0,9.0,10.0,8.0,,,,,,,,,,,,,,7.0,,,,,,,5.0,9.0,4.0,4.0,4.0,41.0,50.0,,,,1.0,7.0,4.0,10.0,,,1.0,2.0,1.0,,5.0,2.0,40.0,40.0,1.0,17.0,8.0,,,49.0,12.0,8.0,,1.0,1.0,,100.0,,,,,,,9.0,,,,8.0,,10.0,10.0,3.0,3.0,42.0,50.0,18.0,11.0,,3.0,5.0,1.0,207.0,6.0,1.0,,15.0,30.0,17.0,,,,,102.0,102.0,2.0,21.0,18.0,26.0,,,,1.0,12.0,0.0,52.0,2.0,1.0,3.0,,1.0,,3.0,,,4.0,27.0,148.0,7.0,8.0,126.0,27.0,17.0,7.0,1.0,5.0,4.0,,71.0,3.0,114.0,,,17.0,3.0,56.0,1.0,235.0,,0.0,8.0,19.0,,11.0,1.0,372.0,9.0,7.0,3.0,1.0,13.0,0.0
2367589,6,2023-09-23 17:30:00,11,Everton,Away,137.0,24.0,2.0,6.0,4.0,4.0,1.0,207.0,1.0,1.0,5.0,6.0,9.0,25.0,338.0,,2.0,18.0,17.0,28.0,10.0,1.0,3.0,1.0,,,,,,,1.0,,,1.0,13.0,,,1.0,,,2.0,5.0,8.0,4.0,12.0,6.0,68.0,68.0,4.0,2.0,3.0,,10.0,1.0,7.0,,,4.0,6.0,9.0,1.0,14.0,,55.0,57.0,,20.0,6.0,,,59.0,12.0,9.0,1.0,1.0,1.0,,169.0,3.0,1.0,3.0,1.0,2.0,,4.0,1.0,1.0,1.0,6.0,1.0,7.0,7.0,,5.0,93.0,71.0,38.0,1.0,,9.0,5.0,6.0,407.0,4.0,,,74.0,29.0,28.0,,,,,140.0,140.0,4.0,26.0,31.0,42.6,1.0,,,,21.0,0.0,95.0,1.0,,1.0,,1.0,1.0,11.0,,1.0,2.0,111.0,328.0,10.0,14.0,158.0,43.0,20.0,10.0,4.0,20.0,16.0,1.0,150.0,14.0,287.0,1.0,1.0,20.0,10.0,55.0,1.0,425.0,,0.0,18.0,16.0,2.0,22.0,2.0,616.0,24.0,14.0,4.0,4.0,11.0,0.0
2367600,7,2023-09-30 15:00:00,11,Everton,Home,206.0,31.0,,8.0,8.0,1.0,,261.0,4.0,,2.0,3.0,11.0,44.0,459.0,,1.0,33.0,26.0,31.0,18.0,,2.0,1.0,,,,,,,,,,,17.0,,,1.0,,,4.0,4.0,8.0,1.0,16.0,7.0,93.0,79.0,4.0,5.0,1.0,2.0,19.0,4.0,5.0,,,3.0,11.0,17.0,,8.0,,62.0,72.0,2.0,14.0,3.0,1.0,,77.0,8.0,9.0,1.0,1.0,1.0,,221.0,,,,,,,8.0,,1.0,,3.0,1.0,5.0,5.0,,2.0,122.0,77.0,43.0,6.0,,13.0,5.0,5.0,552.0,3.0,1.0,,112.0,70.0,55.0,,,,,190.0,190.0,5.0,23.0,47.0,67.6,1.0,,,,32.0,0.0,140.0,,,,,1.0,1.0,14.0,,,4.0,136.0,445.0,19.0,18.0,237.0,60.0,14.0,26.0,3.0,32.0,29.0,1.0,193.0,11.0,371.0,1.0,,11.0,11.0,81.0,2.0,576.0,,0.0,23.0,23.0,3.0,37.0,0.0,828.0,36.0,18.0,10.0,3.0,11.0,0.0
2367612,8,2023-10-07 15:00:00,11,Everton,Home,129.0,30.0,3.0,4.0,1.0,2.0,,176.0,5.0,2.0,7.0,,2.0,33.0,301.0,,2.0,20.0,17.0,24.0,11.0,1.0,7.0,2.0,,,,,,,,,,1.0,15.0,,,1.0,,,3.0,5.0,7.0,4.0,16.0,9.0,56.0,69.0,3.0,3.0,1.0,,10.0,6.0,12.0,1.0,,8.0,11.0,4.0,,13.0,1.0,61.0,78.0,,18.0,6.0,,,50.0,14.0,15.0,1.0,2.0,2.0,,155.0,1.0,,,1.0,,,8.0,2.0,1.0,1.0,6.0,1.0,5.0,5.0,,7.0,92.0,68.0,40.0,7.0,2.0,6.0,7.0,8.0,358.0,5.0,,,56.0,78.0,37.0,,,,,150.0,150.0,10.0,24.0,21.0,47.4,1.0,,,,22.0,0.0,83.0,3.0,1.0,3.0,,,2.0,11.0,2.0,,3.0,98.0,283.0,10.0,13.0,147.0,53.0,18.0,19.0,8.0,25.0,17.0,2.0,138.0,10.0,264.0,1.0,2.0,4.0,3.0,59.0,2.0,386.0,1.0,0.0,25.0,28.0,5.0,23.0,1.0,629.0,41.0,19.0,12.0,8.0,12.0,0.0
2367622,9,2023-10-21 12:30:00,11,Everton,Away,66.0,10.0,,1.0,1.0,,,47.0,5.0,1.0,6.0,6.0,2.0,20.0,112.0,,,12.0,24.0,25.0,4.0,,,,,,,,,,2.0,,,,5.0,,,,,,1.0,6.0,13.0,13.0,1.0,5.0,21.0,75.0,,,,1.0,4.0,1.0,8.0,,,4.0,1.0,1.0,,5.0,,53.0,61.0,1.0,28.0,12.0,,1.0,45.0,9.0,8.0,,,,,117.0,,,,,,,14.0,,2.0,1.0,12.0,,14.0,14.0,5.0,6.0,31.0,69.0,25.0,12.0,,3.0,1.0,1.0,180.0,11.0,2.0,,26.0,22.0,14.0,1.0,1.0,1.0,,146.0,146.0,3.0,40.0,20.0,22.5,,,,1.0,10.0,0.0,44.0,1.0,3.0,4.0,1.0,3.0,,4.0,,,5.0,21.0,99.0,4.0,4.0,90.0,25.0,28.0,20.0,4.0,6.0,2.0,,64.0,5.0,129.0,2.0,1.0,26.0,2.0,67.0,1.0,213.0,,1.0,6.0,17.0,,18.0,1.0,409.0,6.0,18.0,12.0,4.0,14.0,0.0
2367636,10,2023-10-29 13:00:00,11,Everton,Away,148.0,26.0,3.0,7.0,4.0,3.0,,134.0,5.0,,4.0,3.0,4.0,28.0,275.0,1.0,,17.0,13.0,18.0,5.0,2.0,2.0,1.0,,,,,,,,,,,8.0,,,,,,,6.0,8.0,4.0,6.0,4.0,64.0,67.0,1.0,1.0,,2.0,9.0,2.0,18.0,,,3.0,6.0,5.0,,10.0,1.0,58.0,59.0,2.0,28.0,13.0,,,59.0,11.0,7.0,1.0,1.0,,,154.0,1.0,,,1.0,,,8.0,1.0,,1.0,13.0,,14.0,14.0,4.0,4.0,82.0,76.0,41.0,4.0,,3.0,5.0,4.0,344.0,2.0,1.0,,60.0,40.0,17.0,,,,,137.0,137.0,2.0,23.0,32.0,36.3,,,,,16.0,0.0,65.0,2.0,,2.0,,,1.0,4.0,1.0,,1.0,50.0,264.0,9.0,8.0,168.0,59.0,28.0,12.0,3.0,14.0,11.0,1.0,96.0,10.0,211.0,,,9.0,4.0,60.0,3.0,365.0,2.0,0.0,10.0,29.0,1.0,18.0,1.0,566.0,18.0,18.0,5.0,3.0,14.0,0.0
