matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,redCard,rightsidePass,savedIbox,savedObox,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
321658,1,2010-08-14 15:00:00,11,Everton,Away,133.0,11.0,,5.0,5.0,1.0,,252.0,5.0,2.0,13.0,8.0,17.0,25.0,380.0,,,20.0,10.0,14.0,12.0,2.0,,,,,,1.0,,,,,,,,,,2.0,5.0,2.0,78.0,29.0,,,,,8.0,4.0,,3.0,10.0,20.0,,10.0,,43.0,53.0,,21.0,17.0,1.0,,92.0,16.0,19.0,,,,,1.0,244.0,,,,,,,10.0,,5.0,2.0,32.0,,5.0,4.0,,13.0,31.0,85.0,45.0,1.0,,6.0,8.0,4.0,1.0,,,79.0,71.0,,,,,,,,,,,69.6,,3.0,0.0,116.0,1.0,,,,,8.0,,3.0,127.0,14.0,149.0,27.0,44.0,9.0,3.0,33.0,30.0,,170.0,10.0,353.0,6.0,2.0,27.0,20.0,50.0,2.0,469.0,,0.0,20.0,16.0,,29.0,1.0,729.0,8.0,4.0,3.0,11.0,0.0
321669,2,2010-08-21 15:00:00,11,Everton,Home,112.0,10.0,1.0,8.0,7.0,2.0,,219.0,5.0,,7.0,11.0,17.0,32.0,323.0,,2.0,21.0,17.0,22.0,8.0,1.0,,,1.0,,,2.0,,,,,,,,,,3.0,5.0,5.0,51.0,45.0,,,1.0,3.0,4.0,2.0,,3.0,15.0,6.0,,13.0,1.0,56.0,58.0,3.0,15.0,6.0,,,87.0,17.0,15.0,,,,,2.0,185.0,,,,,,,11.0,,2.0,,12.0,,11.0,8.0,,7.0,105.0,92.0,48.0,3.0,1.0,6.0,3.0,2.0,2.0,,,45.0,79.0,31.0,,,,,184.0,167.0,2.0,16.0,19.0,59.3,,,0.0,80.0,1.0,,,,,8.0,,3.0,126.0,9.0,137.0,25.0,32.0,12.0,2.0,27.0,25.0,,174.0,8.0,311.0,2.0,,27.0,18.0,56.0,3.0,421.0,,0.0,14.0,16.0,3.0,29.0,1.0,630.0,13.0,5.0,3.0,12.0,0.0
321677,3,2010-08-29 16:00:00,11,Everton,Away,142.0,14.0,6.0,14.0,9.0,1.0,2.0,281.0,3.0,1.0,11.0,5.0,22.0,30.0,409.0,,2.0,20.0,14.0,8.0,14.0,3.0,,,,,1.0,3.0,,,,13.0,,,,,1.0,1.0,8.0,7.0,80.0,54.0,1.0,1.0,,2.0,12.0,5.0,,18.0,17.0,8.0,,14.0,3.0,50.0,49.0,2.0,16.0,6.0,1.0,,95.0,10.0,20.0,,,7.0,3.0,3.0,186.0,,,,,,,8.0,,,1.0,10.0,1.0,11.0,9.0,1.0,11.0,129.0,93.0,52.0,4.0,,5.0,12.0,5.0,5.0,,,94.0,59.0,25.0,,,,,187.0,180.0,2.0,20.0,21.0,68.3,1.0,,0.0,122.0,3.0,1.0,,1.0,,6.0,1.0,3.0,141.0,17.0,163.0,30.0,23.0,18.0,15.0,42.0,28.0,,198.0,16.0,396.0,,1.0,22.0,26.0,54.0,,517.0,2.0,0.0,23.0,11.0,5.0,25.0,0.0,734.0,12.0,10.0,18.0,9.0,0.0
321689,4,2010-09-11 12:45:00,11,Everton,Home,125.0,10.0,1.0,10.0,9.0,3.0,,254.0,2.0,,7.0,9.0,15.0,25.0,369.0,,2.0,11.0,11.0,12.0,14.0,1.0,2.0,,1.0,1.0,,3.0,,,,19.0,,,1.0,,,1.0,9.0,4.0,61.0,47.0,4.0,2.0,2.0,4.0,9.0,4.0,,7.0,13.0,11.0,,10.0,3.0,46.0,51.0,4.0,10.0,4.0,,,85.0,12.0,19.0,,,8.0,2.0,3.0,170.0,3.0,,2.0,3.0,,1.0,7.0,3.0,,1.0,9.0,1.0,18.0,13.0,3.0,7.0,117.0,88.0,50.0,5.0,3.0,5.0,13.0,6.0,2.0,,,71.0,59.0,29.0,,,,,146.0,136.0,2.0,18.0,19.0,52.3,1.0,,0.0,93.0,2.0,1.0,,,2.0,11.0,1.0,2.0,147.0,18.0,133.0,20.0,20.0,14.0,6.0,32.0,26.0,3.0,194.0,9.0,340.0,,,33.0,15.0,54.0,2.0,441.0,2.0,0.0,26.0,16.0,2.0,13.0,1.0,638.0,13.0,4.0,7.0,12.0,0.0
321700,5,2010-09-18 15:00:00,11,Everton,Home,121.0,13.0,,5.0,5.0,8.0,,182.0,6.0,,7.0,14.0,10.0,34.0,298.0,1.0,,19.0,8.0,13.0,10.0,,,,,,,,,,,9.0,,,,1.0,,3.0,2.0,8.0,48.0,53.0,1.0,1.0,,4.0,4.0,8.0,,3.0,12.0,12.0,,12.0,2.0,51.0,62.0,4.0,15.0,9.0,,1.0,79.0,15.0,21.0,,,5.0,1.0,,171.0,,,,,,,10.0,,2.0,,14.0,1.0,20.0,11.0,2.0,7.0,80.0,82.0,50.0,6.0,,4.0,6.0,3.0,1.0,1.0,,44.0,76.0,34.0,,,,,164.0,158.0,3.0,19.0,21.0,51.7,1.0,1.0,0.0,88.0,,3.0,,1.0,,5.0,,3.0,108.0,10.0,135.0,29.0,21.0,12.0,2.0,27.0,25.0,,159.0,16.0,279.0,2.0,,29.0,10.0,56.0,3.0,387.0,1.0,0.0,12.0,24.0,1.0,24.0,2.0,595.0,14.0,4.0,3.0,18.0,0.0
321711,6,2010-09-25 15:00:00,11,Everton,Away,142.0,10.0,,4.0,4.0,6.0,,242.0,8.0,2.0,6.0,7.0,24.0,30.0,380.0,,1.0,15.0,19.0,24.0,12.0,1.0,,,,,,1.0,,,1.0,12.0,,,,,,1.0,5.0,6.0,94.0,62.0,1.0,1.0,,1.0,4.0,2.0,,5.0,10.0,9.0,,18.0,1.0,56.0,74.0,1.0,11.0,9.0,,,94.0,13.0,14.0,,,3.0,2.0,1.0,187.0,,,,,,,13.0,,2.0,1.0,17.0,,13.0,9.0,1.0,6.0,107.0,97.0,54.0,4.0,,7.0,6.0,5.0,1.0,,,93.0,84.0,29.0,,,,,181.0,168.0,6.0,23.0,22.0,54.2,,,0.0,96.0,1.0,1.0,,,,7.0,,2.0,132.0,13.0,169.0,25.0,24.0,18.0,4.0,25.0,21.0,,188.0,13.0,340.0,2.0,2.0,28.0,25.0,61.0,5.0,484.0,,0.0,16.0,23.0,4.0,19.0,1.0,699.0,6.0,13.0,5.0,20.0,0.0
321717,7,2010-10-02 15:00:00,11,Everton,Away,92.0,11.0,3.0,11.0,8.0,3.0,,205.0,7.0,,11.0,11.0,18.0,35.0,286.0,,1.0,22.0,16.0,17.0,8.0,,,,,,,,,,,9.0,,,,,,1.0,3.0,3.0,54.0,49.0,1.0,1.0,1.0,4.0,4.0,6.0,,5.0,15.0,6.0,,6.0,,45.0,40.0,3.0,19.0,8.0,,1.0,85.0,11.0,5.0,,,1.0,1.0,,147.0,1.0,,1.0,,1.0,,12.0,,2.0,1.0,13.0,,15.0,12.0,3.0,11.0,89.0,94.0,48.0,6.0,1.0,4.0,5.0,3.0,3.0,3.0,,70.0,58.0,17.0,,,,,150.0,140.0,,18.0,11.0,51.0,,4.0,0.0,83.0,,,,1.0,,5.0,,2.0,109.0,9.0,106.0,21.0,28.0,16.0,5.0,27.0,22.0,,160.0,10.0,294.0,2.0,,33.0,19.0,60.0,2.0,373.0,,0.0,12.0,9.0,2.0,28.0,0.0,581.0,8.0,9.0,5.0,6.0,0.0
321732,8,2010-10-17 13:30:00,11,Everton,Home,89.0,7.0,1.0,4.0,3.0,5.0,,106.0,6.0,1.0,7.0,10.0,6.0,24.0,191.0,,,12.0,19.0,16.0,7.0,1.0,1.0,,,,,1.0,,,,,,,,,,,5.0,15.0,34.0,52.0,,,1.0,3.0,5.0,7.0,,8.0,8.0,4.0,,18.0,2.0,61.0,60.0,3.0,22.0,9.0,,1.0,70.0,10.0,10.0,,,,,1.0,142.0,,,,,,,10.0,,1.0,,19.0,,16.0,13.0,2.0,7.0,51.0,71.0,32.0,7.0,2.0,2.0,6.0,4.0,7.0,2.0,,39.0,51.0,18.0,,,,,174.0,156.0,3.0,22.0,16.0,34.1,,,0.0,50.0,2.0,4.0,,1.0,1.0,4.0,1.0,3.0,62.0,8.0,102.0,22.0,40.0,14.0,8.0,21.0,13.0,,115.0,12.0,196.0,1.0,1.0,26.0,6.0,51.0,,277.0,,0.0,13.0,27.0,,20.0,2.0,509.0,14.0,7.0,8.0,19.0,0.0
321743,9,2010-10-23 12:45:00,11,Everton,Away,104.0,7.0,,2.0,2.0,1.0,1.0,166.0,2.0,,6.0,11.0,9.0,20.0,268.0,,,20.0,8.0,11.0,3.0,,,1.0,1.0,,,2.0,,,,4.0,,,,,,1.0,6.0,8.0,54.0,65.0,,,,2.0,1.0,11.0,,4.0,9.0,5.0,1.0,22.0,1.0,60.0,54.0,2.0,17.0,7.0,1.0,,74.0,14.0,15.0,,,4.0,4.0,2.0,161.0,,,,,,,11.0,,2.0,,17.0,,7.0,5.0,,6.0,70.0,85.0,45.0,4.0,,1.0,2.0,2.0,3.0,,,58.0,45.0,19.0,,,,,178.0,163.0,1.0,26.0,21.0,46.6,,2.0,0.0,70.0,1.0,2.0,,1.0,,4.0,,3.0,79.0,3.0,113.0,23.0,32.0,8.0,4.0,22.0,18.0,,131.0,6.0,264.0,2.0,,30.0,11.0,48.0,2.0,355.0,,0.0,7.0,25.0,1.0,27.0,1.0,566.0,11.0,3.0,4.0,19.0,0.0
321752,10,2010-10-30 15:00:00,11,Everton,Home,141.0,15.0,2.0,5.0,3.0,1.0,,244.0,6.0,,4.0,1.0,18.0,35.0,380.0,1.0,4.0,20.0,22.0,17.0,13.0,2.0,,,1.0,,,2.0,,,,,,,,,1.0,,6.0,5.0,69.0,50.0,,,,3.0,6.0,7.0,,6.0,8.0,5.0,,14.0,,64.0,57.0,3.0,12.0,8.0,,,78.0,16.0,14.0,1.0,,,,2.0,179.0,,,,,,,14.0,,,,18.0,1.0,12.0,10.0,,4.0,112.0,82.0,38.0,2.0,,4.0,11.0,7.0,2.0,3.0,,76.0,63.0,17.0,,,,,171.0,151.0,4.0,21.0,20.0,64.4,1.0,,0.0,115.0,,,,,,6.0,,2.0,131.0,15.0,165.0,24.0,32.0,11.0,4.0,18.0,14.0,,181.0,8.0,328.0,,,31.0,18.0,65.0,2.0,475.0,1.0,0.0,19.0,20.0,4.0,22.0,1.0,673.0,9.0,6.0,6.0,13.0,0.0
